,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
0,1,1,Jason Day,61,1.368,1502,1098
1,2,2,Mark Brooks,55,1.3719999999999999,1358,990
2,3,3,Patrick Sheehan,51,1.3780000000000001,1265,918
3,4,4,Scott Sterling,51,1.38,1267,918
4,5,5,Corey Pavin,73,1.413,1857,1314
5,6,6,Bryce Molder,69,1.42,1764,1242
6,7,7,Kevin Stadler,65,1.425,1667,1170
7,8,8,Greg Chalmers,85,1.431,2190,1530
8,9,9,Jarrod Lyle,65,1.436,1680,1170
9,10,10,Matt Jones,56,1.4380000000000002,1449,1008
10,11,11,Tag Ridings,50,1.439,1295,900
11,T12,T12,Jerry Kelly,90,1.446,2343,1620
12,T12,T12,Matt Weibring,65,1.446,1692,1170
13,14,14,Colt Knost,71,1.4480000000000002,1850,1278
14,15,15,Chris Riley,77,1.452,2013,1386
15,16,16,Kent Jones,73,1.4580000000000002,1916,1314
16,17,17,Derek Fathauer,63,1.46,1656,1134
17,18,18,Lee Janzen,74,1.4609999999999999,1946,1332
18,19,19,Joe Durant,62,1.463,1633,1116
19,20,20,Casey Wittenberg,71,1.464,1871,1278
20,21,21,Kris Blanks,60,1.465,1582,1080
21,22,22,Jimmy Walker,74,1.4680000000000002,1955,1332
22,23,23,Bo Van Pelt,100,1.469,2645,1800
23,24,24,Bob Heintz,59,1.472,1563,1062
24,T25,T25,David Mathis,82,1.476,2179,1476
25,T25,T25,Rick Price,54,1.476,1435,972
26,27,27,John Merrick,91,1.4769999999999999,2420,1638
27,28,28,Glen Day,79,1.48,2105,1422
28,29,29,Rich Beem,77,1.4809999999999999,2052,1386
29,30,30,Leif Olson,51,1.485,1363,918
30,T31,T31,Cliff Kresge,78,1.486,2086,1404
31,T31,T31,Brett Quigley,92,1.486,2461,1656
32,33,33,Gary Woodland,53,1.4869999999999999,1419,954
33,34,34,Ricky Barnes,67,1.4880000000000002,1794,1206
34,35,35,Jay Williamson,69,1.489,1849,1242
35,36,36,Charles Warren,63,1.4909999999999999,1691,1134
36,37,37,Charles Howell III,99,1.494,2662,1782
37,T38,T38,Brian Gay,96,1.4969999999999999,2586,1728
38,T38,T38,Aron Price,89,1.4969999999999999,2398,1602
39,T38,T38,Brian Vranesh,51,1.4969999999999999,1374,918
40,41,41,Eric Axley,71,1.499,1916,1278
41,42,42,Ted Purdy,101,1.5019999999999998,2730,1818
42,43,43,Peter Tomasulo,61,1.5090000000000001,1657,1098
43,T44,T44,Kevin Na,91,1.51,2473,1638
44,T44,T44,Dean Wilson,81,1.51,2202,1458
45,T46,T46,Bart Bryant,58,1.5119999999999998,1579,1044
46,T46,T46,Brandt Snedeker,81,1.5119999999999998,2205,1458
47,48,48,Jeff Overton,92,1.518,2514,1656
48,49,49,Darron Stiles,52,1.5190000000000001,1422,936
49,T50,T50,Alex Cejka,82,1.52,2243,1476
50,T50,T50,Vaughn Taylor,88,1.52,2408,1584
51,52,52,Joe Ogilvie,85,1.524,2332,1530
52,53,53,Michael Letzig,96,1.525,2635,1728
53,T54,T54,Chris DiMarco,97,1.527,2666,1746
54,T54,T54,Ryan Moore,89,1.527,2446,1602
55,T54,T54,James Nitties,86,1.527,2364,1548
56,T57,T57,Harrison Frazar,93,1.528,2558,1674
57,T57,T57,John Mallinger,90,1.528,2476,1620
58,59,59,Spencer Levin,75,1.531,2067,1350
