,Putts_per_Round_-_Round_2_RANK THIS WEEK,Putts_per_Round_-_Round_2_RANK LAST WEEK,Putts_per_Round_-_Round_2_PLAYER NAME,Putts_per_Round_-_Round_2_AVG,Putts_per_Round_-_Round_2_TOTAL PUTTS,Putts_per_Round_-_Round_2_TOTAL ROUNDS
0,1,1,Chris Riley,27.5,550,20
1,2,2,Retief Goosen,27.68,526,19
2,3,3,Ryuji Imada,27.72,693,25
3,4,4,Brad Faxon,27.78,639,23
4,5,5,Padraig Harrington,27.89,530,19
5,6,6,Jim Furyk,28.0,616,22
6,7,7,Webb Simpson,28.07,842,30
7,8,8,Daniel Chopra,28.08,730,26
8,T9,T9,John Mallinger,28.12,731,26
9,T9,T9,Tom Pernice Jr.,28.12,731,26
10,11,11,Bryce Molder,28.16,535,19
11,12,12,Tim Clark,28.19,592,21
12,13,13,Jeff Overton,28.2,705,25
13,14,14,Mark Brooks,28.21,395,14
14,15,15,Luke Donald,28.25,565,20
15,16,16,Jason Day,28.27,424,15
16,17,17,Jason Dufner,28.28,707,25
17,18,18,Tiger Woods,28.31,453,16
18,19,19,Bob Estes,28.32,623,22
19,20,20,Jimmy Walker,28.33,595,21
20,21,21,Matt Weibring,28.35,567,20
21,22,22,Parker McLachlin,28.36,709,25
22,23,23,Mark Wilson,28.37,766,27
23,24,24,Greg Chalmers,28.38,681,24
24,25,25,Leif Olson,28.39,511,18
25,26,26,Ryan Moore,28.42,739,26
26,27,27,Steve Stricker,28.43,597,21
27,T28,T28,Brad Adamonis,28.48,655,23
28,T28,T28,Joe Ogilvie,28.48,769,27
29,T28,T28,Brandt Snedeker,28.48,712,25
30,T31,T31,Ernie Els,28.5,513,18
31,T31,T31,Steve Flesch,28.5,684,24
32,33,33,Nathan Green,28.52,827,29
33,34,34,David Mathis,28.56,714,25
34,T35,T35,Freddie Jacobson,28.58,686,24
35,T35,T35,Ryan Palmer,28.58,743,26
36,37,37,Eric Axley,28.59,772,27
37,38,38,Jerry Kelly,28.61,658,23
38,T39,T39,Corey Pavin,28.62,601,21
39,T39,T39,Tag Ridings,28.62,372,13
40,T41,T41,Ángel Cabrera,28.63,458,16
41,T41,T41,Ian Poulter,28.63,458,16
42,43,43,Aaron Baddeley,28.65,573,20
43,T44,T44,Rod Pampling,28.68,631,22
44,T44,T44,Scott Piercy,28.68,717,25
45,46,46,James Nitties,28.69,746,26
46,T47,T47,Matt Kuchar,28.71,689,24
47,T47,T47,Pat Perez,28.71,603,21
48,49,49,Brian Vranesh,28.72,517,18
49,50,50,Derek Fathauer,28.73,632,22
50,51,51,Tim Herron,28.74,776,27
51,52,52,Fred Couples,28.75,460,16
52,T53,T53,Stephen Ames,28.77,633,22
53,T53,T53,Nick O'Hern,28.77,748,26
54,T53,T53,David Toms,28.77,748,26
55,56,56,Scott Verplank,28.78,662,23
56,57,57,Geoff Ogilvy,28.79,547,19
57,58,58,Harrison Frazar,28.81,778,27
58,59,59,Vaughn Taylor,28.85,779,27
59,60,60,Matt Jones,28.86,404,14
60,61,61,Tim Petrovic,28.87,866,30
61,T62,T62,Brian Gay,28.88,722,25
62,T62,T62,Paul Goydos,28.88,693,24
63,T62,T62,Zach Johnson,28.88,722,25
