,Average_Distance_of_Birdie_putts_made_RANK THIS WEEK,Average_Distance_of_Birdie_putts_made_RANK LAST WEEK,Average_Distance_of_Birdie_putts_made_PLAYER NAME,Average_Distance_of_Birdie_putts_made_ROUNDS,Average_Distance_of_Birdie_putts_made_AVG,Average_Distance_of_Birdie_putts_made_TOT DIST. (FT),Average_Distance_of_Birdie_putts_made_TOT BIRDIE PUTTS MADE,Average_Distance_of_Birdie_putts_made_LONGEST MADE (FT),Average_Distance_of_Birdie_putts_made_SHORTEST MADE (FT)
0,1,1,Brad Faxon,59,"11' 10""",1555.5,131,60,"3"""
1,2,2,Ben Curtis,63,"11' 7""",1762.9170000000001,152,57,"9"""
2,3,3,Marc Turnesa,77,"11' 5""",2277.417,199,42,"4"""
3,4,4,Mark Brooks,55,"11' 4""",1279.833,113,45,"2"""
4,5,5,Spencer Levin,75,"11' 3""",2375.333,211,43,"1"""
5,T6,T6,Greg Kraft,51,"11' 2""",1241.0,111,65,"10"""
6,T6,T6,Corey Pavin,73,"11' 2""",1902.4170000000001,170,52,"2"""
7,T6,T6,Ted Purdy,101,"11' 2""",3643.833,327,54,"3"""
8,T9,T9,Greg Chalmers,85,"11' 1""",2878.5,260,57,"4"""
9,T9,T9,Jeff Klauk,97,"11' 1""",3034.0,273,64,"3"""
10,T11,T11,Brian Gay,96,"10' 11""",3005.333,276,58,"6"""
11,T11,T11,Brendon Todd,53,"10' 11""",1405.5,129,40,"3"""
12,T13,T13,Ben Crane,93,"10' 10""",2951.25,272,52,"2"""
13,T13,T13,Patrick Sheehan,51,"10' 10""",1394.5,129,49,"9"""
14,T15,T15,Matt Kuchar,82,"10' 9""",2786.0,260,66,"1"""
15,T15,T15,Peter Lonard,86,"10' 9""",2398.667,224,58,"2"""
16,T15,T15,Nick O'Hern,90,"10' 9""",3031.667,281,56,"5"""
17,T18,T18,Richard Johnson,85,"10' 8""",2371.833,222,69,"2"""
18,T18,T18,Chris Riley,77,"10' 8""",2416.667,227,49,"1"""
19,T20,T20,Bart Bryant,58,"10' 7""",1618.25,153,60,"3"""
20,T20,T20,Ryuji Imada,85,"10' 7""",2409.583,227,60,"1"""
21,T20,T20,Bill Lunde,83,"10' 7""",2438.583,231,49,"8"""
22,T20,T20,Carl Pettersson,86,"10' 7""",2530.583,240,50,"3"""
23,T20,T20,David Toms,98,"10' 7""",3024.583,286,73,"5"""
24,T25,T25,Todd Hamilton,83,"10' 6""",1980.4170000000001,188,66,"3"""
25,T25,T25,Bob Heintz,59,"10' 6""",1944.1670000000001,185,46,"5"""
26,T25,T25,Jerry Kelly,90,"10' 6""",2933.167,279,79,"2"""
27,T28,T28,Cameron Beckman,87,"10' 5""",2341.25,225,60,"3"""
28,T28,T28,Lee Janzen,74,"10' 5""",2075.917,200,51,"3"""
29,T28,T28,Tom Lehman,55,"10' 5""",1039.583,100,39,"3"""
30,T28,T28,Webb Simpson,94,"10' 5""",3061.0,294,58,"3"""
31,T28,T28,Casey Wittenberg,71,"10' 5""",1609.1670000000001,155,57,"4"""
32,T33,T33,Luke Donald,79,"10' 4""",2298.917,223,44,"1"""
33,T33,T33,Parker McLachlin,71,"10' 4""",2224.083,215,62,"6"""
34,T33,T33,D.A. Points,99,"10' 4""",3117.333,301,63,"3"""
35,T36,T36,Woody Austin,84,"10' 3""",2656.417,259,61,"6"""
36,T36,T36,Stewart Cink,79,"10' 3""",1866.9170000000001,182,63,"2"""
37,T36,T36,Steve Elkington,70,"10' 3""",1977.6670000000001,193,68,"4"""
38,T36,T36,Paul Goydos,79,"10' 3""",2260.667,221,51,"4"""
39,T36,T36,Kent Jones,73,"10' 3""",1918.1670000000001,187,52,"1"""
40,T36,T36,James Nitties,86,"10' 3""",2606.417,254,53,"6"""
41,T36,T36,Rod Pampling,72,"10' 3""",2411.167,236,83,"3"""
42,T36,T36,Johnson Wagner,81,"10' 3""",2407.583,234,57,"5"""
43,T44,T44,David Mathis,82,"10' 2""",2138.0,210,62,"3"""
44,T44,T44,Kevin Na,91,"10' 2""",2830.833,278,66,"3"""
45,T44,T44,Justin Rose,71,"10' 2""",2176.75,214,56,"9"""
46,T44,T44,Kevin Stadler,65,"10' 2""",1678.9170000000001,165,46,"4"""
47,T44,T44,Kirk Triplett,60,"10' 2""",1772.0,175,38,"2"""
48,T44,T44,Dean Wilson,81,"10' 2""",2587.417,254,53,"4"""
49,T50,T50,Glen Day,79,"10' 1""",1873.0829999999999,185,44,"4"""
50,T50,T50,Charlie Wi,92,"10' 1""",2936.167,292,51,"5"""
51,T52,T52,Kris Blanks,60,"10' 0""",1746.25,175,60,"2"""
52,T52,T52,Steve Flesch,77,"10' 0""",1906.5,190,49,"1"""
53,T52,T52,John Merrick,91,"10' 0""",2143.75,214,65,"1"""
54,T52,T52,Pat Perez,74,"10' 0""",2072.167,207,71,"7"""
55,T56,T56,Lucas Glover,93,"9' 11""",2795.25,282,57,"4"""
56,T56,T56,Bryce Molder,69,"9' 11""",1930.3329999999999,194,39,"5"""
57,T56,T56,Kevin Sutherland,96,"9' 11""",2588.5,261,56,"1"""
58,T56,T56,Gary Woodland,53,"9' 11""",1240.0,125,48,"2"""
59,T60,T60,Derek Fathauer,63,"9' 10""",1500.25,152,34,"1"""
60,T60,T60,J.J. Henry,97,"9' 10""",2535.833,257,56,"3"""
61,T60,T60,Freddie Jacobson,83,"9' 10""",2503.333,255,37,"2"""
62,T60,T60,Marc Leishman,91,"9' 10""",2892.0,293,48,"2"""
63,T60,T60,Mark Wilson,99,"9' 10""",2926.5,297,36,"2"""
64,T65,T65,Rich Beem,77,"9' 9""",1869.5,192,42,"6"""
65,T65,T65,Chris DiMarco,97,"9' 9""",2583.5,264,61,"4"""
66,T65,T65,Joe Durant,62,"9' 9""",1668.1670000000001,171,43,"4"""
67,T65,T65,Jim Furyk,86,"9' 9""",2401.25,246,44,"3"""
68,T65,T65,Colt Knost,71,"9' 9""",1734.6670000000001,178,39,"3"""
69,T65,T65,Martin Laird,72,"9' 9""",2259.833,232,72,"4"""
70,T65,T65,Hunter Mahan,94,"9' 9""",2908.25,299,67,"2"""
71,T65,T65,Joe Ogilvie,85,"9' 9""",2692.583,277,54,"7"""
72,T65,T65,Kenny Perry,92,"9' 9""",2681.583,275,44,"2"""
73,T65,T65,Jeff Quinney,78,"9' 9""",2340.5,241,47,"3"""
74,T65,T65,Darron Stiles,52,"9' 9""",1372.9170000000001,141,45,"4"""
