,SG_Putting_RANK THIS WEEK,SG_Putting_RANK LAST WEEK,SG_Putting_PLAYER NAME,SG_Putting_ROUNDS,SG_Putting_AVERAGE,SG_Putting_TOTAL SG:PUTTING,SG_Putting_MEASURED ROUNDS
0,1,1,Luke Donald,79,0.934,56.986000000000004,61
1,2,2,Tiger Woods,64,0.877,42.108999999999995,48
2,3,3,Brad Faxon,59,0.78,40.558,52
3,4,4,Ben Curtis,63,0.7659999999999999,36.001999999999995,47
4,5,5,Brandt Snedeker,81,0.7609999999999999,49.434,65
5,6,6,Bryce Molder,69,0.747,40.353,54
6,7,7,Brian Gay,96,0.726,59.549,82
7,8,8,Jim Furyk,86,0.715,46.476000000000006,65
8,T9,T9,Greg Chalmers,85,0.698,49.523999999999994,71
9,T9,T9,Matt Kuchar,82,0.698,49.542,71
10,11,11,Parker McLachlin,71,0.617,41.318000000000005,67
11,12,12,Aaron Baddeley,66,0.604,35.041,58
12,13,13,Bob Heintz,59,0.601,30.67,51
13,14,14,Matt Jones,56,0.583,26.23,45
14,15,15,Webb Simpson,94,0.555,48.298,87
15,16,16,Joe Ogilvie,85,0.546,42.051,77
16,17,17,Pat Perez,74,0.534,33.121,62
17,18,18,Freddie Jacobson,83,0.516,37.703,73
18,19,19,Jason Day,61,0.5,25.009,50
19,20,20,Geoff Ogilvy,78,0.493,28.57,58
20,21,21,Charlie Wi,92,0.488,38.583,79
21,T22,T22,Padraig Harrington,66,0.47700000000000004,22.883000000000003,48
22,T22,T22,Kevin Na,91,0.47700000000000004,37.176,78
23,24,24,Scott McCarron,91,0.473,38.344,81
24,25,25,Retief Goosen,74,0.47,26.301,56
25,26,26,Mike Weir,85,0.469,31.421,67
26,27,27,Jeff Klauk,97,0.45299999999999996,39.896,88
27,28,28,Ryuji Imada,85,0.442,30.518,69
28,29,29,Stephen Ames,77,0.436,24.834,57
29,30,30,Ben Crane,93,0.431,34.466,80
30,31,31,Corey Pavin,73,0.429,23.148000000000003,54
31,32,32,Hunter Mahan,94,0.41,30.772,75
32,33,33,George McNeill,82,0.408,30.987,76
33,34,34,Spencer Levin,75,0.4,26.811,67
34,35,35,Mark Wilson,99,0.386,33.931999999999995,88
35,36,36,Zach Johnson,94,0.38,30.009,79
36,37,37,Nathan Green,104,0.375,34.494,92
37,38,38,Dean Wilson,81,0.35100000000000003,24.555,70
38,39,39,David Mathis,82,0.349,24.066,69
39,40,40,Ryan Moore,89,0.34700000000000003,26.009,75
40,41,41,Chris Riley,77,0.34600000000000003,23.151,67
41,42,42,Eric Axley,71,0.341,20.097,59
42,43,43,Stewart Cink,79,0.34,20.074,59
43,44,44,Vaughn Taylor,88,0.33899999999999997,26.781,79
44,45,45,Richard Johnson,85,0.332,24.596999999999998,74
45,46,46,Jerry Kelly,90,0.327,25.173000000000002,77
46,47,47,Harrison Frazar,93,0.322,27.073,84
47,48,48,Carl Pettersson,86,0.321,23.732,74
48,49,49,Bob Estes,78,0.313,21.594,69
