,Putting_from_3-5_RANK THIS WEEK,Putting_from_3-5_RANK LAST WEEK,Putting_from_3-5_PLAYER NAME,Putting_from_3-5_ROUNDS,Putting_from_3-5_% MADE,Putting_from_3-5_ATTEMPTS,Putting_from_3-5_PUTTS MADE
0,1,1,Luke Donald,79,94.24,191,180
1,2,2,Ben Crane,93,94.1,305,287
2,3,3,Freddie Jacobson,83,93.6,250,234
3,4,4,Tiger Woods,64,93.26,178,166
4,5,5,Geoff Ogilvy,78,92.67,232,215
5,6,6,Jim Furyk,86,92.27,207,191
6,7,7,Tim Clark,81,92.21,231,213
7,8,8,Kenny Perry,92,92.06,252,232
8,9,9,Brad Faxon,59,91.89,185,170
9,10,10,Brian Gay,96,91.72,314,288
10,11,11,Greg Chalmers,85,91.51,259,237
11,12,12,Richard Johnson,85,91.22,262,239
12,13,13,Matt Kuchar,82,91.07,224,204
13,14,14,Nathan Green,104,91.06,369,336
14,15,15,Y.E. Yang,83,91.04,268,244
15,16,16,Joe Ogilvie,85,90.88,285,259
16,17,17,Anthony Kim,76,90.83,240,218
17,18,18,Brandt Snedeker,81,90.75,227,206
18,19,19,Retief Goosen,74,90.71,183,166
19,20,20,Jeff Overton,92,90.7,301,273
20,T21,T21,Ryan Palmer,78,90.67,268,243
21,T21,T21,Charles Warren,63,90.67,150,136
22,23,23,Matt Jones,56,90.63,160,145
23,24,24,Brad Adamonis,70,90.58,191,173
24,25,25,Bryce Molder,69,90.5,179,162
25,26,26,Ian Poulter,59,90.28,144,130
26,T27,T27,Ángel Cabrera,55,90.23,133,120
27,T27,T27,Justin Leonard,95,90.23,256,231
28,29,29,Corey Pavin,73,90.18,163,147
29,30,30,Charley Hoffman,97,90.15,274,247
30,31,31,Tim Petrovic,97,90.04,281,253
31,T32,T32,Zach Johnson,94,89.97,289,260
32,T32,T32,Bo Van Pelt,100,89.97,319,287
33,34,34,Bart Bryant,58,89.89,188,169
34,35,35,Ben Curtis,63,89.88,168,151
35,36,36,Charlie Wi,92,89.84,305,274
36,37,37,Nick Watney,86,89.76,254,228
37,T38,T38,Aaron Baddeley,66,89.73,224,201
38,T38,T38,Jerry Kelly,90,89.73,263,236
39,40,40,David Duval,56,89.63,164,147
40,41,41,Spencer Levin,75,89.62,212,190
41,T42,T42,Stephen Ames,77,89.58,192,172
42,T42,T42,Jimmy Walker,74,89.58,240,215
43,44,44,Carl Pettersson,86,89.52,248,222
44,45,45,Eric Axley,71,89.5,219,196
45,46,46,Daniel Chopra,89,89.39,311,278
46,47,47,Scott McCarron,91,89.25,307,274
47,48,48,Pat Perez,74,89.11,248,221
48,49,49,Dean Wilson,81,89.06,256,228
49,50,50,Kevin Na,91,88.98,254,226
50,T51,T51,Padraig Harrington,66,88.82,152,135
51,T51,T51,Jeff Klauk,97,88.82,331,294
52,53,53,Stewart Cink,79,88.71,186,165
53,54,54,Bill Haas,91,88.69,274,243
54,T55,T55,Ryan Moore,89,88.64,264,234
55,T55,T55,Kevin Streelman,97,88.64,308,273
56,57,57,Andres Romero,58,88.57,175,155
57,58,58,John Rollins,92,88.5,287,254
58,59,59,Vaughn Taylor,88,88.48,269,238
59,60,60,Jarrod Lyle,65,88.37,172,152
60,61,61,Steve Flesch,77,88.31,231,204
61,62,62,Jeff Quinney,78,88.29,299,264
62,63,63,James Nitties,86,88.21,280,247
63,64,64,Tommy Armour III,58,88.14,194,171
64,65,65,Jason Dufner,90,88.11,286,252
65,66,66,Charles Howell III,99,88.08,260,229
66,67,67,Cliff Kresge,78,88.01,267,235
