,GIR_Putting_Avg_-__35_RANK THIS WEEK,GIR_Putting_Avg_-__35_RANK LAST WEEK,GIR_Putting_Avg_-__35_PLAYER NAME,GIR_Putting_Avg_-__35_ROUNDS,GIR_Putting_Avg_-__35_% MADE,GIR_Putting_Avg_-__35_ATTEMPTS,GIR_Putting_Avg_-__35_PUTTS MADE
0,1,1,Patrick Sheehan,51,0.91,77,7.0
1,2,2,Brian Gay,96,0.75,147,11.0
2,3,3,John Merrick,91,0.72,125,9.0
3,4,4,Nick O'Hern,90,0.7,158,11.0
4,5,5,Lucas Glover,93,0.69,160,11.0
5,6,6,Joe Durant,62,0.68,88,6.0
6,7,7,Tim Petrovic,97,0.65,185,12.0
7,8,8,Jeff Overton,92,0.64,141,9.0
8,9,9,Bubba Watson,73,0.63,128,8.0
9,T10,T10,Kevin Sutherland,96,0.62,161,10.0
10,T10,T10,Mike Weir,85,0.62,113,7.0
11,T12,T12,Joe Ogilvie,85,0.61,147,9.0
12,T12,T12,Charlie Wi,92,0.61,165,10.0
13,T12,T12,Tiger Woods,64,0.61,98,6.0
14,T15,T15,Chris Riley,77,0.6,133,8.0
15,T15,T15,David Toms,98,0.6,133,8.0
16,T17,T17,Ted Purdy,101,0.59,186,11.0
17,T17,T17,Webb Simpson,94,0.59,153,9.0
18,T19,T19,Woody Austin,84,0.57,141,8.0
19,T19,T19,Hunter Mahan,94,0.57,158,9.0
20,T21,T21,Jerry Kelly,90,0.56,143,8.0
21,T21,T21,Casey Wittenberg,71,0.56,108,6.0
22,T23,T23,Matt Bettencourt,98,0.55,181,10.0
23,T23,T23,Carl Pettersson,86,0.55,146,8.0
24,T25,T25,Zach Johnson,94,0.54,166,9.0
25,T25,T25,Kenny Perry,92,0.54,149,8.0
26,T25,T25,D.J. Trahan,96,0.54,167,9.0
27,T28,T28,Kris Blanks,60,0.53,76,4.0
28,T28,T28,Bill Haas,91,0.53,190,10.0
29,T28,T28,Greg Kraft,51,0.53,76,4.0
30,T28,T28,Ian Poulter,59,0.53,75,4.0
31,T28,T28,Gary Woodland,53,0.53,76,4.0
32,T33,T33,Tommy Armour III,58,0.51,79,4.0
33,T33,T33,Pat Perez,74,0.51,137,7.0
34,T35,T35,Tim Clark,81,0.5,100,5.0
35,T35,T35,Kevin Na,91,0.5,139,7.0
36,T35,T35,Chez Reavie,81,0.5,140,7.0
37,T35,T35,Johnson Wagner,81,0.5,159,8.0
38,T39,T39,Ben Crane,93,0.49,185,9.0
