,Putts_Per_Round_RANK THIS WEEK,Putts_Per_Round_RANK LAST WEEK,Putts_Per_Round_PLAYER NAME,Putts_Per_Round_ROUNDS,Putts_Per_Round_AVG,Putts_Per_Round_TOTAL PUTTS,Putts_Per_Round_TOTAL ROUNDS,Putts_Per_Round_LOW TOTAL PUTTS
0,1,1,Brad Faxon,59,28.0,1652,59,22
1,2,2,Aaron Baddeley,66,28.09,1826,65,23
2,3,3,Joe Ogilvie,85,28.1,2332,83,23
3,T4,T4,Luke Donald,79,28.11,2136,76,20
4,T4,T4,Brian Gay,96,28.11,2586,92,22
5,6,6,Ian Poulter,59,28.18,1578,56,24
6,7,7,Webb Simpson,94,28.21,2652,94,22
7,T8,T8,Jim Furyk,86,28.24,2344,83,22
8,T8,T8,Steve Stricker,81,28.24,2231,79,22
9,10,10,Padraig Harrington,66,28.29,1839,65,21
10,T11,T11,Jason Day,61,28.34,1502,53,24
11,T11,T11,Matt Kuchar,82,28.34,2324,82,22
12,T11,T11,Parker McLachlin,71,28.34,2012,71,22
13,14,14,Chris Riley,77,28.35,2013,71,23
14,15,15,Anthony Kim,76,28.36,2099,74,23
15,16,16,Daniel Chopra,89,28.37,2525,89,24
16,17,17,Ryuji Imada,85,28.41,2415,85,22
17,T18,T18,Bob Heintz,59,28.42,1563,55,22
18,T18,T18,Pat Perez,74,28.42,2046,72,24
19,T20,T20,Kevin Na,91,28.43,2473,87,23
20,T20,T20,Mike Weir,85,28.43,2388,84,23
21,T22,T22,Greg Chalmers,85,28.44,2190,77,23
22,T22,T22,Tiger Woods,64,28.44,1763,62,23
23,24,24,Freddie Jacobson,83,28.48,2307,81,24
24,25,25,Ben Crane,93,28.49,2650,93,22
25,26,26,Geoff Ogilvy,78,28.51,2053,72,23
26,T27,T27,Tim Clark,81,28.53,2225,78,23
27,T27,T27,Bob Estes,78,28.53,2225,78,22
28,29,29,Charlie Wi,92,28.54,2626,92,22
29,T30,T30,Jerry Kelly,90,28.57,2343,82,23
30,T30,T30,Jeff Overton,92,28.57,2514,88,24
31,T30,T30,Corey Pavin,73,28.57,1857,65,23
32,T33,T33,Eric Axley,71,28.6,1916,67,24
33,T33,T33,Dean Wilson,81,28.6,2202,77,23
34,35,35,Lee Janzen,74,28.62,1946,68,22
35,36,36,Retief Goosen,74,28.63,2090,73,23
36,T37,T37,Michael Letzig,96,28.64,2635,92,23
37,T37,T37,Brandt Snedeker,81,28.64,2205,77,23
38,T39,T39,George McNeill,82,28.65,2292,80,24
39,T39,T39,Jeff Quinney,78,28.65,2235,78,23
40,T41,T41,Chris DiMarco,97,28.67,2666,93,25
41,T41,T41,Justin Leonard,95,28.67,2609,91,23
42,T41,T41,David Mathis,82,28.67,2179,76,24
43,T41,T41,Vaughn Taylor,88,28.67,2408,84,23
44,T45,T45,Scott McCarron,91,28.68,2610,91,21
45,T45,T45,Matt Weibring,65,28.68,1692,59,24
46,47,47,Brian Davis,103,28.73,2844,99,23
47,48,48,Harrison Frazar,93,28.74,2558,89,20
48,T49,T49,Tim Herron,87,28.75,2501,87,24
49,T49,T49,Bo Van Pelt,100,28.75,2645,92,23
50,T49,T49,Jimmy Walker,74,28.75,1955,68,21
51,52,52,Zach Johnson,94,28.76,2646,92,23
52,53,53,Tom Pernice Jr.,82,28.77,2359,82,20
53,54,54,Ryan Moore,89,28.78,2446,85,23
54,T55,T55,John Mallinger,90,28.79,2476,86,22
55,T55,T55,Tim Petrovic,97,28.79,2735,95,23
56,57,57,Nathan Green,104,28.81,2881,100,22
57,T58,T58,Ángel Cabrera,55,28.83,1557,54,23
58,T58,T58,James Nitties,86,28.83,2364,82,24
59,60,60,Charley Hoffman,97,28.85,2798,97,24
60,61,61,Lucas Glover,93,28.86,2684,93,23
61,T62,T62,Brad Adamonis,70,28.88,1964,68,23
62,T62,T62,Dustin Johnson,85,28.88,2426,84,22
63,T64,T64,Mark Brooks,55,28.89,1358,47,24
64,T64,T64,Scott Verplank,88,28.89,2427,84,21
65,T64,T64,Mark Wilson,99,28.89,2745,95,22
66,T67,T67,Rod Pampling,72,28.9,2052,71,23
67,T67,T67,Bubba Watson,73,28.9,2110,73,23
68,T69,T69,Stephen Ames,77,28.92,2169,75,24
69,T69,T69,Phil Mickelson,66,28.92,1822,63,20
70,T69,T69,Bryce Molder,69,28.92,1764,61,22
71,72,72,Woody Austin,84,28.94,2431,84,23
72,73,73,David Duval,56,28.96,1622,56,22
73,T74,T74,Cliff Kresge,78,28.97,2086,72,23
74,T74,T74,David Toms,98,28.97,2723,94,24
75,T76,T76,Jason Dufner,90,28.98,2492,86,24
76,T76,T76,Matt Jones,56,28.98,1449,50,23
77,78,78,Ryan Palmer,78,28.99,2261,78,24
78,79,79,Leif Olson,51,29.0,1363,47,21
79,80,80,Jeff Klauk,97,29.02,2757,95,22
80,81,81,John Rollins,92,29.03,2555,88,23
81,82,82,Paul Goydos,79,29.04,2236,77,23
82,83,83,Derek Fathauer,63,29.05,1656,57,25
83,84,84,Steve Lowery,83,29.07,2413,83,24
84,T85,T85,Stewart Cink,79,29.08,2123,73,24
85,T85,T85,Carl Pettersson,86,29.08,2501,86,23
86,87,87,Hunter Mahan,94,29.1,2677,92,24
87,88,88,Spencer Levin,75,29.11,2067,71,23
88,89,89,Kenny Perry,92,29.12,2650,91,24
89,90,90,Alex Cejka,82,29.13,2243,77,22
90,91,91,Justin Rose,71,29.14,2040,70,23
91,T92,T92,Ken Duke,87,29.15,2536,87,18
92,T92,T92,Richard Johnson,85,29.15,2449,84,23
93,T94,T94,Matt Bettencourt,98,29.16,2858,98,22
94,T94,T94,John Merrick,91,29.16,2420,83,23
95,T94,T94,Nick O'Hern,90,29.16,2508,86,24
96,T94,T94,Nick Watney,86,29.16,2508,86,24
97,98,98,Bill Haas,91,29.17,2538,87,24
98,T99,T99,Steve Marino,98,29.19,2744,94,22
99,T99,T99,Rory Sabbatini,81,29.19,2335,80,23
100,T99,T99,Y.E. Yang,83,29.19,2306,79,24
101,102,102,Kevin Sutherland,96,29.21,2775,95,24
102,103,103,Brian Vranesh,51,29.23,1374,47,21
103,T104,T104,Bart Bryant,58,29.24,1579,54,25
104,T104,T104,Ben Curtis,63,29.24,1813,62,22
105,T106,T106,Cameron Beckman,87,29.25,2428,83,22
106,T106,T106,Charles Howell III,99,29.25,2662,91,24
107,T106,T106,Scott Piercy,85,29.25,2369,81,24
108,T106,T106,Kevin Stadler,65,29.25,1667,57,22
109,110,110,Steve Flesch,77,29.27,2254,77,23
110,T111,T111,Mark Calcavecchia,72,29.28,2108,72,21
111,T111,T111,Johnson Wagner,81,29.28,2372,81,23
112,T113,T113,Kris Blanks,60,29.3,1582,54,24
113,T113,T113,Chad Campbell,90,29.3,2520,86,24
114,T113,T113,Ernie Els,70,29.3,1934,66,24
115,T113,T113,Brett Quigley,92,29.3,2461,84,24
116,117,117,Todd Hamilton,83,29.31,2374,81,25
117,118,118,Bill Lunde,83,29.32,2375,81,23
118,T119,T119,Chez Reavie,81,29.34,2259,77,25
119,T119,T119,Camilo Villegas,76,29.34,2142,73,23
120,T121,T121,D.A. Points,99,29.35,2730,93,23
