,Total_1_Putts_-_10-15_RANK THIS WEEK,Total_1_Putts_-_10-15_RANK LAST WEEK,Total_1_Putts_-_10-15_PLAYER NAME,Total_1_Putts_-_10-15_ROUNDS,Total_1_Putts_-_10-15_TOTAL,Total_1_Putts_-_10-15_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_10-15_PCT OF ALL 1-PUTTS
0,1,1,Matt Bettencourt,98,98,634,15.5
1,2,2,Michael Letzig,96,85,633,13.4
2,3,3,Webb Simpson,94,83,691,12.0
3,4,4,Mark Wilson,99,80,635,12.6
4,T5,T5,John Senden,100,79,594,13.3
5,T5,T5,Kevin Streelman,97,79,597,13.2
6,7,7,Ted Purdy,101,78,622,12.5
7,8,8,Jeff Klauk,97,75,610,12.3
8,T9,T9,Aron Price,89,74,529,14.0
9,T9,T9,Charlie Wi,92,74,598,12.4
10,T11,T11,Matt Kuchar,82,73,556,13.1
11,T11,T11,George McNeill,82,73,569,12.8
12,T11,T11,Kevin Na,91,73,605,12.1
13,T14,T14,Charley Hoffman,97,72,640,11.3
14,T14,T14,Carl Pettersson,86,72,534,13.5
15,T16,T16,Justin Leonard,95,71,546,13.0
16,T16,T16,Scott Verplank,88,71,559,12.7
17,T18,T18,Jason Dufner,90,70,555,12.6
18,T18,T18,Hunter Mahan,94,70,543,12.9
19,T18,T18,Kenny Perry,92,70,542,12.9
20,T18,T18,Jeff Quinney,78,70,526,13.3
21,T18,T18,Heath Slocum,95,70,565,12.4
22,T18,T18,Brandt Snedeker,81,70,503,13.9
23,T18,T18,Vaughn Taylor,88,70,568,12.3
24,T25,T25,Jonathan Byrd,89,69,531,13.0
25,T25,T25,Bill Lunde,83,69,515,13.4
26,T25,T25,Troy Matteson,95,69,580,11.9
27,T25,T25,Bo Van Pelt,100,69,621,11.1
28,T29,T29,Brian Davis,103,68,691,9.8
29,T29,T29,Nathan Green,104,68,688,9.9
30,T29,T29,Tim Herron,87,68,576,11.8
31,T29,T29,Ryan Moore,89,68,546,12.5
32,T29,T29,David Toms,98,68,560,12.1
33,T29,T29,Dean Wilson,81,68,511,13.3
34,T35,T35,Luke Donald,79,67,495,13.5
35,T35,T35,Zach Johnson,94,67,581,11.5
36,T35,T35,Jerry Kelly,90,67,589,11.4
37,T35,T35,Jeff Maggert,79,67,476,14.1
38,T39,T39,Lee Janzen,74,66,456,14.5
39,T39,T39,D.A. Points,99,66,608,10.9
40,T41,T41,Woody Austin,84,65,548,11.9
41,T41,T41,Greg Chalmers,85,65,534,12.2
42,T41,T41,Parker McLachlin,71,65,529,12.3
43,T44,T44,Chris DiMarco,97,64,619,10.3
44,T44,T44,Harrison Frazar,93,64,625,10.2
45,T44,T44,Steve Lowery,83,64,557,11.5
46,T44,T44,Tim Petrovic,97,64,649,9.9
47,T44,T44,Nicholas Thompson,96,64,590,10.8
48,T49,T49,Tim Clark,81,63,455,13.8
49,T49,T49,J.J. Henry,97,63,528,11.9
50,T49,T49,Marc Leishman,91,63,583,10.8
51,T52,T52,Jason Bohn,88,62,542,11.4
52,T52,T52,Lucas Glover,93,62,574,10.8
53,T52,T52,Scott McCarron,91,62,590,10.5
54,T52,T52,Joe Ogilvie,85,62,618,10.0
55,T52,T52,Tom Pernice Jr.,82,62,545,11.4
56,T52,T52,Chris Stroud,88,62,500,12.4
57,T58,T58,Paul Goydos,79,61,471,13.0
58,T58,T58,Freddie Jacobson,83,61,550,11.1
59,T58,T58,Steve Marino,98,61,585,10.4
60,T58,T58,Pat Perez,74,61,478,12.8
61,T62,T62,Daniel Chopra,89,60,639,9.4
62,T62,T62,Peter Lonard,86,60,507,11.8
63,T62,T62,John Mallinger,90,60,518,11.6
64,T65,T65,Bryce Molder,69,59,402,14.7
65,T65,T65,Marc Turnesa,77,59,460,12.8
