,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
0,1,1,Colt Knost,71,"83' 9""",83.75,1,84,84
1,2,2,Brian Gay,96,"57' 3""",57.25,1,57,57
2,3,3,Jeff Overton,92,"37' 2""",186.0,5,92,8
3,4,4,Glen Day,79,"36' 9""",73.5,2,38,36
4,5,5,Bob Estes,78,"36' 2""",108.417,3,53,5
5,6,6,Tim Clark,81,"35' 6""",70.917,2,51,20
6,7,7,Justin Rose,71,"34' 9""",34.75,1,35,35
7,8,8,Casey Wittenberg,71,"32' 8""",97.917,3,77,5
8,9,9,John Rollins,92,"31' 8""",189.75,6,52,8
9,10,10,Parker McLachlin,71,"30' 10""",92.5,3,56,18
10,11,11,Jeff Klauk,97,"30' 9""",30.75,1,31,31
11,12,12,Bo Van Pelt,100,"27' 11""",167.583,6,65,7
12,13,13,Matt Bettencourt,98,"27' 3""",190.667,7,60,10
13,14,14,Nick O'Hern,90,"27' 2""",135.917,5,63,3
14,15,15,Dustin Johnson,85,"27' 0""",108.083,4,47,11
15,16,16,Marc Turnesa,77,"26' 10""",53.583,2,39,15
16,17,17,Stuart Appleby,79,"25' 10""",25.833000000000002,1,26,26
17,18,18,Brendon de Jonge,90,"25' 8""",51.333,2,30,21
18,19,19,Tim Petrovic,97,"25' 0""",50.0,2,43,7
19,20,20,Corey Pavin,73,"24' 5""",24.416999999999998,1,24,24
20,21,21,Brad Faxon,59,"24' 4""",48.667,2,47,2
21,T22,T22,Lee Janzen,74,"24' 2""",48.333,2,30,19
22,T22,T22,Matt Jones,56,"24' 2""",72.583,3,53,10
23,24,24,Nathan Green,104,"23' 10""",71.583,3,49,1
24,T25,T25,Aaron Baddeley,66,"23' 5""",163.833,7,38,9
25,T25,T25,Charlie Wi,92,"23' 5""",70.167,3,39,4
26,27,27,Ken Duke,87,"23' 2""",92.5,4,39,9
27,28,28,Andres Romero,58,"23' 1""",92.167,4,46,4
28,29,29,Ryan Palmer,78,"22' 11""",114.75,5,42,8
29,30,30,Robert Allenby,71,"22' 10""",91.417,4,60,5
30,31,31,David Mathis,82,"22' 9""",22.75,1,23,23
31,32,32,Joe Ogilvie,85,"22' 5""",112.083,5,56,4
32,33,33,Davis Love III,89,"22' 3""",111.083,5,45,8
33,T34,T34,Michael Allen,73,"21' 11""",87.75,4,29,12
34,T34,T34,Jeff Maggert,79,"21' 11""",65.75,3,34,3
35,36,36,Brett Quigley,92,"21' 6""",86.083,4,38,4
36,37,37,Steve Elkington,70,"21' 4""",42.667,2,27,16
37,38,38,George McNeill,82,"21' 3""",127.5,6,35,5
38,39,39,Ryan Moore,89,"21' 0""",63.083,3,29,7
39,40,40,Hunter Mahan,94,"20' 11""",83.583,4,38,4
40,41,41,Carl Pettersson,86,"20' 10""",104.0,5,45,5
41,42,42,Rocco Mediate,79,"20' 7""",82.333,4,38,5
42,43,43,D.J. Trahan,96,"20' 2""",141.167,7,37,4
43,T44,T44,Kenny Perry,92,"20' 0""",79.833,4,36,8
44,T44,T44,John Senden,100,"20' 0""",239.833,12,39,6
45,46,46,J.J. Henry,97,"19' 11""",139.583,7,45,3
46,47,47,Chez Reavie,81,"19' 10""",59.5,3,41,7
47,48,48,Steve Lowery,83,"19' 8""",58.917,3,47,5
48,49,49,Kevin Streelman,97,"19' 6""",97.583,5,43,2
49,T50,T50,Stephen Ames,77,"19' 5""",77.5,4,32,9
50,T50,T50,Jason Day,61,"19' 5""",77.667,4,32,6
51,T50,T50,Steve Stricker,81,"19' 5""",58.167,3,48,5
52,53,53,Chris Stroud,88,"19' 2""",172.167,9,48,4
53,54,54,Johnson Wagner,81,"19' 1""",152.917,8,40,1
54,55,55,Matt Weibring,65,"18' 11""",56.833,3,33,12
55,T56,T56,Mark Brooks,55,"18' 10""",37.583,2,32,5
56,T56,T56,Martin Laird,72,"18' 10""",150.667,8,50,5
57,T58,T58,Paul Goydos,79,"18' 9""",37.5,2,29,9
58,T58,T58,Pat Perez,74,"18' 9""",187.25,10,39,3
59,T58,T58,Camilo Villegas,76,"18' 9""",37.417,2,21,16
60,T61,T61,Fred Couples,54,"18' 7""",37.083,2,34,4
61,T61,T61,Brendon Todd,53,"18' 7""",18.583,1,19,19
62,63,63,Webb Simpson,94,"18' 6""",74.083,4,31,2
63,T64,T64,Chad Campbell,90,"18' 0""",90.083,5,32,6
64,T64,T64,Scott Sterling,51,"18' 0""",18.0,1,18,18
65,66,66,Kevin Sutherland,96,"17' 10""",53.417,3,36,7
66,67,67,Mike Weir,85,"17' 9""",106.583,6,31,2
67,68,68,D.A. Points,99,"17' 8""",70.667,4,40,3
68,T69,T69,Adam Scott,53,"17' 6""",34.917,2,33,2
69,T69,T69,Bubba Watson,73,"17' 6""",140.25,8,38,9
70,71,71,Scott McCarron,91,"17' 3""",69.083,4,38,6
71,72,72,Ted Purdy,101,"17' 2""",86.0,5,27,9
72,T73,T73,Phil Mickelson,66,"17' 1""",85.333,5,38,3
73,T73,T73,Geoff Ogilvy,78,"17' 1""",68.417,4,26,2
74,T73,T73,Boo Weekley,79,"17' 1""",34.083,2,27,7
75,76,76,Kirk Triplett,60,"17' 0""",67.833,4,28,6
76,77,77,James Nitties,86,"16' 11""",50.667,3,21,13
77,78,78,Mark Wilson,99,"16' 10""",67.167,4,25,7
78,79,79,Scott Verplank,88,"16' 4""",65.25,4,40,"4"""
79,80,80,Brad Adamonis,70,"16' 0""",79.917,5,31,10
80,81,81,Cameron Beckman,87,"15' 10""",126.583,8,42,6
81,82,82,Jason Bohn,88,"15' 9""",62.833,4,28,6
82,T83,T83,Padraig Harrington,66,"15' 8""",31.333000000000002,2,20,12
83,T83,T83,Charley Hoffman,97,"15' 8""",141.167,9,30,2
84,85,85,Jarrod Lyle,65,"15' 7""",46.667,3,23,9
85,86,86,Jason Gore,74,"15' 5""",30.833000000000002,2,17,14
86,T87,T87,Ricky Barnes,67,"15' 4""",61.25,4,27,6
87,T87,T87,Brian Davis,103,"15' 4""",46.083,3,26,6
88,T87,T87,Sergio Garcia,59,"15' 4""",107.083,7,32,2
89,T87,T87,John Merrick,91,"15' 4""",76.667,5,37,2
90,91,91,Woody Austin,84,"15' 2""",30.25,2,20,10
91,92,92,David Duval,56,"15' 1""",45.25,3,21,9
92,93,93,Steve Marino,98,"15' 0""",15.0,1,15,15
93,94,94,Tom Pernice Jr.,82,"14' 11""",14.917,1,15,15
94,95,95,Brian Bateman,55,"14' 10""",14.833,1,15,15
95,96,96,Rory Sabbatini,81,"14' 9""",58.833,4,18,11
