,Putting_from_-_15-20_RANK THIS WEEK,Putting_from_-_15-20_RANK LAST WEEK,Putting_from_-_15-20_PLAYER NAME,Putting_from_-_15-20_ROUNDS,Putting_from_-_15-20_% MADE,Putting_from_-_15-20_ATTEMPTS,Putting_from_-_15-20_PUTTS MADE
0,1,1,Stephen Ames,77,33.04,115,38
1,2,2,D.A. Points,99,27.33,161,44
2,3,3,Greg Chalmers,85,25.93,135,35
3,4,4,Bob Heintz,59,25.77,97,25
4,5,5,Kevin Na,91,25.0,144,36
5,6,6,Geoff Ogilvy,78,24.76,105,26
6,7,7,Michael Allen,73,24.58,118,29
7,8,8,George McNeill,82,24.06,133,32
8,9,9,Joe Ogilvie,85,23.78,143,34
9,10,10,Kirk Triplett,60,23.48,115,27
10,T11,T11,James Nitties,86,23.4,141,33
11,T11,T11,Dean Wilson,81,23.4,141,33
12,T13,T13,Matt Kuchar,82,23.36,137,32
13,T13,T13,Scott Piercy,85,23.36,137,32
14,15,15,Padraig Harrington,66,23.3,103,24
15,16,16,Nick Watney,86,23.2,125,29
16,17,17,K.J. Choi,65,23.16,95,22
17,18,18,Justin Rose,71,22.94,109,25
18,19,19,Charley Hoffman,97,22.93,157,36
19,20,20,Ben Curtis,63,22.92,96,22
20,21,21,Scott McCarron,91,22.79,136,31
21,22,22,Rory Sabbatini,81,22.76,123,28
22,23,23,Kris Blanks,60,22.64,106,24
23,24,24,Derek Fathauer,63,22.45,98,22
24,25,25,Brian Gay,96,22.44,156,35
25,26,26,Pat Perez,74,22.4,125,28
26,27,27,Todd Hamilton,83,22.39,134,30
27,28,28,Davis Love III,89,22.37,152,34
28,29,29,Rod Pampling,72,22.06,136,30
29,30,30,Corey Pavin,73,22.02,109,24
30,31,31,Freddie Jacobson,83,21.92,146,32
31,32,32,Anthony Kim,76,21.9,105,23
32,33,33,Stewart Cink,79,21.88,128,28
33,34,34,Ben Crane,93,21.58,139,30
34,35,35,Lucas Glover,93,21.57,153,33
35,36,36,Harrison Frazar,93,21.35,178,38
36,37,37,Troy Matteson,95,21.3,169,36
37,38,38,Jason Gore,74,21.26,127,27
38,39,39,Steve Lowery,83,21.21,165,35
39,40,40,Bill Lunde,83,21.01,138,29
40,41,41,Joe Durant,62,20.88,91,19
41,T42,T42,Kevin Sutherland,96,20.86,139,29
42,T42,T42,Johnson Wagner,81,20.86,139,29
43,T44,T44,J.J. Henry,97,20.81,149,31
44,T44,T44,Dustin Johnson,85,20.81,149,31
45,46,46,Martin Laird,72,20.8,125,26
46,47,47,Ryuji Imada,85,20.63,126,26
47,48,48,Jim Furyk,86,20.61,131,27
48,49,49,Chris Stroud,88,20.59,170,35
49,50,50,Lee Janzen,74,20.54,112,23
50,51,51,Brendon de Jonge,90,20.48,166,34
51,52,52,Chris Riley,77,20.33,123,25
52,53,53,Carl Pettersson,86,20.27,148,30
53,54,54,Matt Jones,56,20.24,84,17
54,55,55,Bubba Watson,73,20.18,114,23
55,56,56,Mike Weir,85,20.16,129,26
56,T57,T57,Matt Bettencourt,98,20.0,165,33
57,T57,T57,Jerry Kelly,90,20.0,150,30
58,T57,T57,Will MacKenzie,69,20.0,135,27
59,60,60,J.B. Holmes,74,19.79,96,19
60,61,61,Mark Calcavecchia,72,19.67,122,24
61,62,62,Marc Turnesa,77,19.48,154,30
62,63,63,Parker McLachlin,71,19.44,108,21
63,T64,T64,Zach Johnson,94,19.42,139,27
64,T64,T64,Charlie Wi,92,19.42,139,27
65,66,66,Brandt Snedeker,81,19.38,129,25
66,67,67,Jeff Quinney,78,19.26,135,26
67,68,68,Michael Letzig,96,19.23,156,30
68,69,69,Luke Donald,79,19.2,125,24
69,70,70,Chad Campbell,90,19.18,146,28
70,71,71,Steve Stricker,81,19.05,105,20
71,72,72,Brendon Todd,53,18.89,90,17
72,73,73,Webb Simpson,94,18.82,170,32
73,T74,T74,Mark Brooks,55,18.75,80,15
74,T74,T74,Steve Marino,98,18.75,176,33
75,T76,T76,Darron Stiles,52,18.6,86,16
76,T76,T76,David Toms,98,18.6,172,32
77,78,78,Aron Price,89,18.56,167,31
78,79,79,Brad Faxon,59,18.48,92,17
79,80,80,Nathan Green,104,18.45,168,31
80,81,81,Cameron Beckman,87,18.34,169,31
81,82,82,Eric Axley,71,18.32,131,24
82,T83,T83,Daniel Chopra,89,18.29,175,32
83,T83,T83,Marc Leishman,91,18.29,164,30
84,85,85,Spencer Levin,75,18.25,137,25
85,T86,T86,Tom Lehman,55,18.18,77,14
86,T86,T86,Gary Woodland,53,18.18,77,14
87,88,88,Mark Wilson,99,18.13,160,29
88,T89,T89,Jonathan Byrd,89,18.12,149,27
89,T89,T89,Scott Verplank,88,18.12,149,27
90,T91,T91,Ryan Moore,89,18.11,127,23
91,T91,T91,Y.E. Yang,83,18.11,127,23
92,93,93,John Senden,100,18.09,188,34
93,T94,T94,Rocco Mediate,79,18.06,144,26
94,T94,T94,Bo Van Pelt,100,18.06,144,26
95,96,96,Aaron Baddeley,66,18.02,111,20
96,97,97,David Mathis,82,17.99,139,25
97,98,98,Ángel Cabrera,55,17.95,78,14
98,T99,T99,John Mallinger,90,17.93,145,26
99,T99,T99,Nicholas Thompson,96,17.93,184,33
100,101,101,Camilo Villegas,76,17.92,106,19
101,102,102,Brian Vranesh,51,17.86,84,15
102,103,103,Greg Owen,97,17.79,163,29
103,104,104,Bill Haas,91,17.72,158,28
104,105,105,Steve Elkington,70,17.69,130,23
105,106,106,Tim Herron,87,17.68,164,29
106,107,107,Alex Cejka,82,17.65,153,27
107,108,108,Mathew Goggin,76,17.54,114,20
108,109,109,Jason Day,61,17.53,97,17
109,110,110,Heath Slocum,95,17.49,183,32
110,111,111,Bryce Molder,69,17.48,103,18
111,112,112,Kevin Streelman,97,17.42,178,31
112,113,113,Colt Knost,71,17.39,115,20
113,114,114,Justin Leonard,95,17.31,156,27
114,115,115,Nick O'Hern,90,17.28,162,28
115,116,116,Bob Estes,78,17.27,139,24
116,117,117,Tim Clark,81,17.24,116,20
117,118,118,Ken Duke,87,17.21,122,21
118,119,119,Hunter Mahan,94,17.18,163,28
119,120,120,Sean O'Hair,80,17.17,99,17
120,121,121,Retief Goosen,74,17.12,111,19
121,T122,T122,Kent Jones,73,17.07,123,21
122,T122,T122,Patrick Sheehan,51,17.07,82,14
123,124,124,Sergio Garcia,59,17.05,88,15
124,125,125,Ricky Barnes,67,16.98,106,18
125,126,126,Fred Couples,54,16.9,71,12
126,T127,T127,Cliff Kresge,78,16.67,132,22
127,T127,T127,Matt Weibring,65,16.67,120,20
128,129,129,Jeff Klauk,97,16.58,187,31
129,T130,T130,Brian Davis,103,16.57,175,29
130,T130,T130,Tim Petrovic,97,16.57,175,29
131,132,132,Ian Poulter,59,16.47,85,14
132,133,133,Andres Romero,58,16.44,73,12
133,134,134,Tom Pernice Jr.,82,16.42,134,22
134,135,135,Vaughn Taylor,88,16.36,165,27
135,136,136,Bart Bryant,58,16.33,98,16
136,137,137,Briny Baird,89,16.31,141,23
137,138,138,Chris DiMarco,97,16.28,172,28
138,139,139,Tiger Woods,64,16.18,68,11
139,140,140,Vijay Singh,71,15.96,94,15
140,141,141,David Duval,56,15.91,88,14
141,142,142,Robert Allenby,71,15.84,101,16
142,143,143,Paul Goydos,79,15.83,120,19
143,144,144,John Merrick,91,15.75,146,23
144,145,145,Kenny Perry,92,15.67,134,21
145,146,146,Jarrod Lyle,65,15.63,96,15
146,147,147,John Rollins,92,15.56,135,21
147,148,148,Brett Quigley,92,15.54,148,23
148,149,149,Peter Tomasulo,61,15.31,98,15
149,150,150,Jeff Maggert,79,15.29,157,24
150,T151,T151,Glen Day,79,15.25,118,18
151,T151,T151,D.J. Trahan,96,15.25,177,27
152,153,153,Casey Wittenberg,71,15.24,105,16
153,T154,T154,Brian Bateman,55,15.18,112,17
154,T154,T154,Kevin Stadler,65,15.18,112,17
155,156,156,Greg Kraft,51,15.12,86,13
156,157,157,Boo Weekley,79,15.11,139,21
157,T158,T158,Jeff Overton,92,15.0,140,21
158,T158,T158,Jay Williamson,69,15.0,120,18
159,160,160,Jason Dufner,90,14.97,147,22
160,161,161,Ryan Palmer,78,14.86,148,22
161,162,162,Steve Flesch,77,14.73,129,19
162,163,163,Ted Purdy,101,14.69,177,26
163,164,164,Charles Howell III,99,14.63,164,24
164,165,165,Brad Adamonis,70,14.47,152,22
165,166,166,Woody Austin,84,14.39,139,20
166,167,167,Tag Ridings,50,14.1,78,11
167,168,168,Peter Lonard,86,13.99,143,20
168,169,169,Chez Reavie,81,13.82,152,21
169,170,170,Phil Mickelson,66,13.48,89,12
170,171,171,Adam Scott,53,13.43,67,9
171,172,172,Richard Johnson,85,13.19,144,19
172,173,173,Jimmy Walker,74,12.96,108,14
173,174,174,Billy Mayfair,83,12.5,128,16
174,175,175,Jason Bohn,88,12.03,158,19
175,176,176,Charles Warren,63,11.93,109,13
176,177,177,Stuart Appleby,79,11.85,135,16
177,T178,T178,Robert Garrigus,83,11.76,170,20
178,T178,T178,Leif Olson,51,11.76,85,10
179,T178,T178,Rick Price,54,11.76,85,10
180,181,181,Scott Sterling,51,11.58,95,11
181,182,182,Ernie Els,70,10.84,83,9
182,183,183,Rich Beem,77,9.17,109,10
183,184,184,Tommy Armour III,58,8.57,105,9
