,GIR_Putting_-_20-25_RANK THIS WEEK,GIR_Putting_-_20-25_RANK LAST WEEK,GIR_Putting_-_20-25_PLAYER NAME,GIR_Putting_-_20-25_ROUNDS,GIR_Putting_-_20-25_%,GIR_Putting_-_20-25_ATTEMPTS,GIR_Putting_-_20-25_PUTTS MADE
0,1,1,Bo Van Pelt,100,21.21,99,21
1,2,2,Vaughn Taylor,88,21.0,100,21
2,3,3,Freddie Jacobson,83,20.62,97,20
3,4,4,Brandt Snedeker,81,19.72,71,14
4,5,5,Greg Chalmers,85,19.19,99,19
5,T6,T6,Jerry Kelly,90,19.05,105,20
6,T6,T6,John Senden,100,19.05,105,20
7,8,8,Rich Beem,77,18.89,90,17
8,T9,T9,Sean O'Hair,80,18.64,59,11
9,T9,T9,Ted Purdy,101,18.64,118,22
10,11,11,Brendon Todd,53,18.46,65,12
11,12,12,Tag Ridings,50,18.37,49,9
12,13,13,Luke Donald,79,18.29,82,15
13,14,14,Bill Haas,91,18.28,93,17
14,15,15,Ryan Palmer,78,17.86,84,15
15,16,16,Martin Laird,72,17.72,79,14
16,17,17,Brian Gay,96,17.56,131,23
17,18,18,Kevin Na,91,17.44,86,15
18,19,19,Mark Brooks,55,17.31,52,9
19,20,20,Parker McLachlin,71,16.88,77,13
20,T21,T21,Ryuji Imada,85,16.67,72,12
21,T21,T21,Geoff Ogilvy,78,16.67,72,12
22,T21,T21,Chris Riley,77,16.67,96,16
23,T21,T21,Matt Weibring,65,16.67,72,12
24,25,25,Zach Johnson,94,16.51,109,18
25,26,26,Marc Leishman,91,15.93,113,18
26,27,27,Justin Rose,71,15.91,88,14
27,28,28,Ken Duke,87,15.58,77,12
28,T29,T29,Tim Herron,87,15.56,90,14
29,T29,T29,Tom Pernice Jr.,82,15.56,90,14
30,T29,T29,Andres Romero,58,15.56,45,7
31,32,32,Boo Weekley,79,15.48,84,13
32,33,33,Jason Bohn,88,15.45,110,17
33,34,34,Scott Sterling,51,15.25,59,9
34,35,35,Jonathan Byrd,89,15.24,105,16
35,36,36,Rod Pampling,72,15.19,79,12
36,37,37,Bob Heintz,59,15.15,66,10
37,T38,T38,Mark Calcavecchia,72,15.0,80,12
38,T38,T38,Jarrod Lyle,65,15.0,60,9
39,40,40,James Nitties,86,14.86,74,11
40,T41,T41,Charley Hoffman,97,14.77,88,13
41,T41,T41,John Rollins,92,14.77,88,13
42,43,43,Bart Bryant,58,14.75,61,9
43,44,44,Brendon de Jonge,90,14.74,95,14
44,45,45,Colt Knost,71,14.47,76,11
45,46,46,Tim Clark,81,14.46,83,12
46,47,47,Nathan Green,104,14.42,104,15
47,48,48,Scott Piercy,85,14.15,106,15
48,49,49,Cliff Kresge,78,14.13,92,13
49,50,50,Aaron Baddeley,66,14.1,78,11
50,51,51,Camilo Villegas,76,14.08,71,10
51,52,52,Nicholas Thompson,96,14.04,114,16
52,53,53,Webb Simpson,94,13.91,115,16
53,54,54,Corey Pavin,73,13.89,72,10
54,55,55,Vijay Singh,71,13.64,66,9
55,T56,T56,Ben Crane,93,13.59,103,14
56,T56,T56,Justin Leonard,95,13.59,103,14
57,58,58,Dustin Johnson,85,13.58,81,11
58,59,59,Kris Blanks,60,13.46,52,7
59,60,60,Hunter Mahan,94,13.4,97,13
60,61,61,Nick O'Hern,90,13.39,127,17
61,T62,T62,Jason Day,61,13.33,60,8
62,T62,T62,Matt Jones,56,13.33,60,8
63,T62,T62,Darron Stiles,52,13.33,45,6
64,65,65,Briny Baird,89,13.27,98,13
65,66,66,Daniel Chopra,89,13.25,83,11
66,T67,T67,Brad Faxon,59,13.24,68,9
67,T67,T67,Kevin Stadler,65,13.24,68,9
68,69,69,Dean Wilson,81,13.19,91,12
69,70,70,Mark Wilson,99,13.18,129,17
70,71,71,Cameron Beckman,87,13.0,100,13
71,72,72,Brian Vranesh,51,12.96,54,7
72,73,73,Bill Lunde,83,12.87,101,13
73,74,74,Scott Verplank,88,12.84,109,14
74,75,75,David Mathis,82,12.82,78,10
75,76,76,Troy Matteson,95,12.8,125,16
76,77,77,Adam Scott,53,12.77,47,6
77,78,78,Phil Mickelson,66,12.73,55,7
78,T79,T79,Michael Letzig,96,12.5,104,13
79,T79,T79,Pat Perez,74,12.5,64,8
80,81,81,Brett Quigley,92,12.36,89,11
81,82,82,Chad Campbell,90,12.28,114,14
82,83,83,Jeff Overton,92,12.2,82,10
83,84,84,Matt Bettencourt,98,12.17,115,14
84,85,85,George McNeill,82,12.15,107,13
85,86,86,Chris DiMarco,97,12.12,99,12
86,87,87,Greg Owen,97,12.07,116,14
87,88,88,Paul Goydos,79,12.0,75,9
88,89,89,Peter Tomasulo,61,11.94,67,8
89,T90,T90,Brad Adamonis,70,11.76,85,10
90,T90,T90,Alex Cejka,82,11.76,85,10
91,T92,T92,Steve Stricker,81,11.63,86,10
92,T92,T92,Gary Woodland,53,11.63,43,5
93,T94,T94,J.B. Holmes,74,11.59,69,8
94,T94,T94,Bryce Molder,69,11.59,69,8
95,96,96,Sergio Garcia,59,11.54,52,6
96,T97,T97,Steve Lowery,83,11.49,87,10
97,T97,T97,Billy Mayfair,83,11.49,87,10
98,T99,T99,Matt Kuchar,82,11.46,96,11
99,T99,T99,D.J. Trahan,96,11.46,96,11
100,101,101,J.J. Henry,97,11.45,131,15
101,T102,T102,Glen Day,79,11.39,79,9
102,T102,T102,Jason Gore,74,11.39,79,9
103,104,104,Eric Axley,71,11.32,53,6
104,105,105,David Toms,98,11.28,133,15
105,106,106,Stewart Cink,79,11.25,80,9
106,T107,T107,Anthony Kim,76,11.11,72,8
107,T107,T107,Joe Ogilvie,85,11.11,90,10
108,109,109,Mike Weir,85,10.98,82,9
109,110,110,Charlie Wi,92,10.87,92,10
110,111,111,Robert Garrigus,83,10.84,83,9
111,T112,T112,Ángel Cabrera,55,10.81,37,4
112,T112,T112,Richard Johnson,85,10.81,111,12
113,114,114,Steve Marino,98,10.78,102,11
114,115,115,David Duval,56,10.77,65,7
115,116,116,Woody Austin,84,10.75,93,10
116,117,117,Charles Warren,63,10.67,75,8
117,118,118,Kevin Sutherland,96,10.59,85,9
118,T119,T119,Jeff Maggert,79,10.58,104,11
119,T119,T119,Kevin Streelman,97,10.58,104,11
120,121,121,Carl Pettersson,86,10.53,95,10
121,122,122,Brian Davis,103,10.48,105,11
122,123,123,D.A. Points,99,10.42,96,10
123,124,124,Mathew Goggin,76,10.39,77,8
124,125,125,Aron Price,89,10.38,106,11
125,126,126,Marc Turnesa,77,10.2,98,10
126,127,127,Kent Jones,73,10.14,69,7
127,128,128,Harrison Frazar,93,10.09,109,11
128,T129,T129,Derek Fathauer,63,10.0,60,6
129,T129,T129,Ryan Moore,89,10.0,80,8
130,131,131,Steve Elkington,70,9.88,81,8
131,132,132,Ben Curtis,63,9.84,61,6
132,133,133,Spencer Levin,75,9.68,93,9
133,134,134,Todd Hamilton,83,9.64,83,8
134,135,135,Brian Bateman,55,9.62,52,5
135,136,136,Scott McCarron,91,9.57,94,9
136,T137,T137,Bob Estes,78,9.52,84,8
137,T137,T137,Tim Petrovic,97,9.52,105,10
138,T137,T137,Nick Watney,86,9.52,63,6
139,140,140,Peter Lonard,86,9.38,96,9
140,141,141,John Merrick,91,9.3,86,8
141,142,142,Rick Price,54,9.26,54,5
142,T143,T143,Jim Furyk,86,9.21,76,7
143,T143,T143,Casey Wittenberg,71,9.21,76,7
144,145,145,Tommy Armour III,58,9.09,66,6
145,146,146,Johnson Wagner,81,9.0,100,9
146,147,147,Ricky Barnes,67,8.96,67,6
147,148,148,Kirk Triplett,60,8.93,56,5
148,149,149,Leif Olson,51,8.89,45,4
149,150,150,Jeff Quinney,78,8.86,79,7
150,151,151,Retief Goosen,74,8.82,68,6
151,152,152,Steve Flesch,77,8.7,92,8
152,153,153,Kenny Perry,92,8.6,93,8
153,T154,T154,Robert Allenby,71,8.51,94,8
154,T154,T154,Will MacKenzie,69,8.51,94,8
155,156,156,Jeff Klauk,97,8.41,107,9
156,157,157,Greg Kraft,51,8.33,48,4
157,158,158,Chris Stroud,88,8.24,85,7
158,159,159,Stephen Ames,77,8.05,87,7
159,160,160,John Mallinger,90,7.95,88,7
160,161,161,Y.E. Yang,83,7.92,101,8
161,162,162,Tiger Woods,64,7.81,64,5
162,T163,T163,Joe Durant,62,7.69,65,5
163,T163,T163,Lucas Glover,93,7.69,104,8
164,165,165,Davis Love III,89,7.62,105,8
165,166,166,Rocco Mediate,79,7.61,92,7
166,167,167,Ian Poulter,59,7.5,40,3
167,168,168,Jason Dufner,90,7.48,107,8
168,169,169,Ernie Els,70,7.35,68,5
169,170,170,Charles Howell III,99,7.27,110,8
170,171,171,Jimmy Walker,74,7.23,83,6
171,172,172,K.J. Choi,65,7.14,70,5
172,173,173,Patrick Sheehan,51,6.67,45,3
173,174,174,Lee Janzen,74,6.49,77,5
174,175,175,Bubba Watson,73,6.35,63,4
175,176,176,Jay Williamson,69,6.33,79,5
176,177,177,Rory Sabbatini,81,6.1,82,5
177,178,178,Chez Reavie,81,6.06,99,6
178,179,179,Padraig Harrington,66,5.8,69,4
179,180,180,Stuart Appleby,79,5.41,74,4
180,181,181,Heath Slocum,95,3.88,103,4
181,182,182,Tom Lehman,55,3.39,59,2
182,183,183,Michael Allen,73,2.99,67,2
183,184,184,Fred Couples,54,1.89,53,1
