,Putting_-_Inside_10_RANK THIS WEEK,Putting_-_Inside_10_RANK LAST WEEK,Putting_-_Inside_10_PLAYER NAME,Putting_-_Inside_10_ROUNDS,Putting_-_Inside_10_% MADE,Putting_-_Inside_10_ATTEMPTS,Putting_-_Inside_10_PUTTS MADE
0,1,1,Tiger Woods,64,90.44,858,776
1,T2,T2,Brad Adamonis,70,89.55,1110,994
2,T2,T2,Freddie Jacobson,83,89.55,1311,1174
3,4,4,Padraig Harrington,66,89.49,866,775
4,5,5,Luke Donald,79,89.32,1077,962
5,6,6,Brian Gay,96,89.3,1476,1318
6,7,7,Bryce Molder,69,89.25,967,863
7,8,8,Ben Curtis,63,89.23,845,754
8,9,9,Joe Ogilvie,85,89.2,1389,1239
9,10,10,Spencer Levin,75,89.17,1210,1079
10,11,11,Retief Goosen,74,89.13,1021,910
11,T12,T12,Harrison Frazar,93,89.11,1525,1359
12,T12,T12,Matt Jones,56,89.11,817,728
13,14,14,Jason Day,61,89.04,894,796
14,15,15,Aaron Baddeley,66,89.02,1056,940
15,16,16,Jim Furyk,86,89.0,1164,1036
16,17,17,Ryan Palmer,78,88.86,1284,1141
17,18,18,Brandt Snedeker,81,88.78,1168,1037
18,19,19,Ángel Cabrera,55,88.71,691,613
19,20,20,Hunter Mahan,94,88.62,1353,1199
20,21,21,Stewart Cink,79,88.54,1073,950
21,22,22,Stephen Ames,77,88.53,1020,903
22,23,23,Jerry Kelly,90,88.44,1401,1239
23,24,24,Colt Knost,71,88.43,1037,917
24,25,25,Richard Johnson,85,88.4,1371,1212
25,26,26,Kevin Sutherland,96,88.37,1350,1193
26,T27,T27,Nathan Green,104,88.28,1698,1499
27,T27,T27,Matt Kuchar,82,88.28,1271,1122
28,29,29,George McNeill,82,88.23,1376,1214
29,30,30,Zach Johnson,94,88.21,1433,1264
30,31,31,Ian Poulter,59,88.15,768,677
31,32,32,Chris Riley,77,88.11,1211,1067
32,33,33,Tim Clark,81,88.04,1070,942
33,34,34,Eric Axley,71,88.03,1086,956
34,35,35,Scott McCarron,91,88.01,1493,1314
35,36,36,Carl Pettersson,86,87.89,1346,1183
36,T37,T37,Steve Marino,98,87.88,1551,1363
37,T37,T37,Mike Weir,85,87.88,1229,1080
38,T39,T39,Brad Faxon,59,87.84,946,831
39,T39,T39,Jeff Klauk,97,87.84,1612,1416
40,T39,T39,Charlie Wi,92,87.84,1447,1271
41,T42,T42,Cliff Kresge,78,87.83,1257,1104
42,T42,T42,Vaughn Taylor,88,87.83,1446,1270
43,44,44,Corey Pavin,73,87.82,977,858
44,T45,T45,Scott Sterling,51,87.8,738,648
45,T45,T45,David Toms,98,87.8,1459,1281
46,47,47,Pat Perez,74,87.78,1121,984
47,48,48,Cameron Beckman,87,87.73,1386,1216
48,49,49,Ben Crane,93,87.7,1463,1283
49,T50,T50,Anthony Kim,76,87.66,1110,973
50,T50,T50,Tim Petrovic,97,87.66,1596,1399
51,52,52,Jimmy Walker,74,87.59,1209,1059
52,53,53,Ryan Moore,89,87.55,1381,1209
53,54,54,Steve Stricker,81,87.54,1140,998
54,T55,T55,Greg Chalmers,85,87.44,1274,1114
55,T55,T55,Geoff Ogilvy,78,87.44,1051,919
56,57,57,Brian Bateman,55,87.42,898,785
57,T58,T58,J.J. Henry,97,87.41,1557,1361
58,T58,T58,John Mallinger,90,87.41,1311,1146
59,T58,T58,Kenny Perry,92,87.41,1342,1173
60,61,61,Nick Watney,86,87.4,1262,1103
61,62,62,Jarrod Lyle,65,87.37,942,823
62,T63,T63,Bob Heintz,59,87.33,939,820
63,T63,T63,Charles Howell III,99,87.33,1563,1365
64,65,65,Aron Price,89,87.31,1418,1238
65,66,66,Chad Campbell,90,87.3,1315,1148
66,67,67,Y.E. Yang,83,87.28,1305,1139
67,T68,T68,K.J. Choi,65,87.27,943,823
68,T68,T68,Bob Estes,78,87.27,1280,1117
69,T68,T68,Jay Williamson,69,87.27,1084,946
70,71,71,Lucas Glover,93,87.22,1463,1276
71,72,72,John Rollins,92,87.21,1478,1289
72,73,73,Jeff Overton,92,87.17,1418,1236
73,74,74,Todd Hamilton,83,87.16,1184,1032
74,T75,T75,Jason Bohn,88,87.15,1549,1350
75,T75,T75,Kevin Streelman,97,87.15,1611,1404
76,T77,T77,Bart Bryant,58,87.13,971,846
77,T77,T77,Bill Haas,91,87.13,1539,1341
78,T77,T77,James Nitties,86,87.13,1399,1219
79,T77,T77,Andres Romero,58,87.13,816,711
80,T81,T81,Kevin Na,91,87.12,1421,1238
81,T81,T81,Chez Reavie,81,87.12,1312,1143
82,83,83,Jason Dufner,90,87.1,1450,1263
83,84,84,Charley Hoffman,97,87.08,1618,1409
84,85,85,Bubba Watson,73,87.07,1052,916
85,T86,T86,Brendon Todd,53,87.05,865,753
86,T86,T86,Scott Verplank,88,87.05,1467,1277
