,Putts_Made_Per_Event_Over_20_RANK THIS WEEK,Putts_Made_Per_Event_Over_20_RANK LAST WEEK,Putts_Made_Per_Event_Over_20_PLAYER NAME,Putts_Made_Per_Event_Over_20_ROUNDS,Putts_Made_Per_Event_Over_20_PUTTS MADE
0,1,1,Ted Purdy,101,2.1
1,T2,T2,Luke Donald,79,2.0
2,T2,T2,Brian Gay,96,2.0
3,T4,T4,Zach Johnson,94,1.9
4,T4,T4,Nick O'Hern,90,1.9
5,T4,T4,Kenny Perry,92,1.9
6,T4,T4,Tiger Woods,64,1.9
7,T8,T8,Ben Crane,93,1.8
8,T8,T8,Ben Curtis,63,1.8
9,T8,T8,Marc Leishman,91,1.8
10,T8,T8,Hunter Mahan,94,1.8
11,T8,T8,Geoff Ogilvy,78,1.8
12,T13,T13,Cameron Beckman,87,1.7
13,T13,T13,Greg Chalmers,85,1.7
14,T13,T13,Jason Day,61,1.7
15,T13,T13,Sergio Garcia,59,1.7
16,T13,T13,Spencer Levin,75,1.7
17,T13,T13,Kevin Na,91,1.7
18,T13,T13,Rod Pampling,72,1.7
19,T13,T13,Justin Rose,71,1.7
20,T13,T13,Mark Wilson,99,1.7
21,T22,T22,Jim Furyk,86,1.6
22,T22,T22,Ryuji Imada,85,1.6
23,T22,T22,Chris Riley,77,1.6
24,T22,T22,Webb Simpson,94,1.6
25,T22,T22,Steve Stricker,81,1.6
26,T22,T22,David Toms,98,1.6
27,T22,T22,Boo Weekley,79,1.6
28,T29,T29,Aaron Baddeley,66,1.5
29,T29,T29,Chad Campbell,90,1.5
30,T29,T29,J.J. Henry,97,1.5
31,T29,T29,Jerry Kelly,90,1.5
32,T29,T29,Matt Kuchar,82,1.5
33,T29,T29,Steve Marino,98,1.5
34,T29,T29,Parker McLachlin,71,1.5
35,T29,T29,James Nitties,86,1.5
36,T29,T29,Sean O'Hair,80,1.5
37,T29,T29,Jeff Overton,92,1.5
38,T29,T29,John Rollins,92,1.5
39,T29,T29,John Senden,100,1.5
40,T29,T29,Scott Sterling,51,1.5
41,T29,T29,Kevin Sutherland,96,1.5
42,T29,T29,Bo Van Pelt,100,1.5
43,T44,T44,Robert Allenby,71,1.4
44,T44,T44,Rich Beem,77,1.4
45,T44,T44,Bart Bryant,58,1.4
46,T44,T44,Jonathan Byrd,89,1.4
