,Total_1_Putts_-__25_RANK THIS WEEK,Total_1_Putts_-__25_RANK LAST WEEK,Total_1_Putts_-__25_PLAYER NAME,Total_1_Putts_-__25_ROUNDS,Total_1_Putts_-__25_TOTAL,Total_1_Putts_-__25_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-__25_PCT OF ALL 1-PUTTS
0,1,1,Ted Purdy,101,36,622,5.8
1,T2,T2,Jeff Klauk,97,29,610,4.8
2,T2,T2,Webb Simpson,94,29,691,4.2
3,T4,T4,Ben Crane,93,28,596,4.7
4,T4,T4,Kenny Perry,92,28,542,5.2
5,T6,T6,Nick O'Hern,90,26,601,4.3
6,T6,T6,D.A. Points,99,26,608,4.3
7,T8,T8,Spencer Levin,75,25,463,5.4
8,T8,T8,Steve Marino,98,25,585,4.3
9,T8,T8,Tim Petrovic,97,25,649,3.9
10,T11,T11,Harrison Frazar,93,24,625,3.8
11,T11,T11,Jeff Overton,92,24,588,4.1
12,T11,T11,John Rollins,92,24,565,4.2
13,T11,T11,Marc Turnesa,77,24,460,5.2
14,T11,T11,Johnson Wagner,81,24,499,4.8
15,T16,T16,Cameron Beckman,87,23,512,4.5
16,T16,T16,Matt Bettencourt,98,23,634,3.6
17,T16,T16,Marc Leishman,91,23,583,3.9
18,T16,T16,Kevin Sutherland,96,23,522,4.4
19,T16,T16,Charlie Wi,92,23,598,3.8
20,T16,T16,Mark Wilson,99,23,635,3.6
21,T22,T22,Brian Davis,103,22,691,3.2
22,T22,T22,J.J. Henry,97,22,528,4.2
23,T22,T22,Ryan Moore,89,22,546,4.0
24,T22,T22,James Nitties,86,22,550,4.0
25,T22,T22,D.J. Trahan,96,22,517,4.3
26,T27,T27,Greg Chalmers,85,21,534,3.9
27,T27,T27,Bill Haas,91,21,585,3.6
28,T27,T27,Ryuji Imada,85,21,530,4.0
29,T27,T27,Hunter Mahan,94,21,543,3.9
30,T27,T27,John Merrick,91,21,451,4.7
31,T27,T27,John Senden,100,21,594,3.5
32,T33,T33,Woody Austin,84,20,548,3.6
33,T33,T33,Daniel Chopra,89,20,639,3.1
34,T33,T33,Chris DiMarco,97,20,619,3.2
35,T33,T33,Jim Furyk,86,20,506,4.0
36,T33,T33,Robert Garrigus,83,20,473,4.2
37,T33,T33,Peter Lonard,86,20,507,3.9
38,T33,T33,Scott McCarron,91,20,590,3.4
39,T33,T33,Joe Ogilvie,85,20,618,3.2
40,T33,T33,Carl Pettersson,86,20,534,3.7
41,T33,T33,David Toms,98,20,560,3.6
42,T43,T43,Bob Estes,78,19,521,3.6
43,T43,T43,Brad Faxon,59,19,403,4.7
44,T43,T43,Brian Gay,96,19,658,2.9
45,T43,T43,Lucas Glover,93,19,574,3.3
46,T43,T43,Lee Janzen,74,19,456,4.2
47,T43,T43,Davis Love III,89,19,511,3.7
48,T43,T43,Parker McLachlin,71,19,529,3.6
49,T43,T43,Rod Pampling,72,19,464,4.1
50,T51,T51,Jason Dufner,90,18,555,3.2
51,T51,T51,Steve Flesch,77,18,431,4.2
52,T51,T51,Zach Johnson,94,18,581,3.1
53,T51,T51,Richard Johnson,85,18,513,3.5
54,T51,T51,Matt Kuchar,82,18,556,3.2
55,T51,T51,Michael Letzig,96,18,633,2.8
56,T51,T51,David Mathis,82,18,512,3.5
57,T51,T51,Troy Matteson,95,18,580,3.1
58,T51,T51,Kevin Na,91,18,605,3.0
59,T51,T51,Scott Piercy,85,18,515,3.5
60,T51,T51,Kevin Streelman,97,18,597,3.0
61,T51,T51,Chris Stroud,88,18,500,3.6
62,T63,T63,Michael Allen,73,17,394,4.3
