,GIR_Putting_Avg_-_25-30_RANK THIS WEEK,GIR_Putting_Avg_-_25-30_RANK LAST WEEK,GIR_Putting_Avg_-_25-30_PLAYER NAME,GIR_Putting_Avg_-_25-30_ROUNDS,GIR_Putting_Avg_-_25-30_% MADE,GIR_Putting_Avg_-_25-30_ATTEMPTS,GIR_Putting_Avg_-_25-30_PUTTS MADE
0,1,1,Steve Flesch,77,2.03,59,12.0
1,2,2,Cameron Beckman,87,1.79,78,14.0
2,3,3,Matt Weibring,65,1.64,61,10.0
3,4,4,Webb Simpson,94,1.46,89,13.0
4,T5,T5,Ryuji Imada,85,1.45,62,9.0
5,T5,T5,Parker McLachlin,71,1.45,69,10.0
6,T5,T5,Charlie Wi,92,1.45,69,10.0
7,T8,T8,Lee Janzen,74,1.43,56,8.0
8,T8,T8,D.A. Points,99,1.43,98,14.0
9,T8,T8,Mark Wilson,99,1.43,98,14.0
10,11,11,Y.E. Yang,83,1.41,64,9.0
11,T12,T12,Mark Brooks,55,1.38,29,4.0
12,T12,T12,Ted Purdy,101,1.38,109,15.0
13,14,14,Luke Donald,79,1.31,61,8.0
14,15,15,Ryan Moore,89,1.3,92,12.0
15,16,16,Greg Chalmers,85,1.29,62,8.0
16,T17,T17,Ben Crane,93,1.27,71,9.0
17,T17,T17,Spencer Levin,75,1.27,79,10.0
18,T19,T19,Stewart Cink,79,1.25,56,7.0
19,T19,T19,Peter Lonard,86,1.25,80,10.0
20,T19,T19,Will MacKenzie,69,1.25,56,7.0
21,T19,T19,Adam Scott,53,1.25,48,6.0
22,T19,T19,Dean Wilson,81,1.25,80,10.0
23,T24,T24,Robert Allenby,71,1.23,57,7.0
24,T24,T24,Jason Day,61,1.23,57,7.0
25,T24,T24,Brad Faxon,59,1.23,57,7.0
26,T24,T24,George McNeill,82,1.23,65,8.0
27,T28,T28,Chad Campbell,90,1.21,66,8.0
28,T28,T28,David Mathis,82,1.21,58,7.0
29,T30,T30,Aaron Baddeley,66,1.19,59,7.0
30,T30,T30,Geoff Ogilvy,78,1.19,67,8.0
31,T30,T30,Rod Pampling,72,1.19,67,8.0
32,T33,T33,Stuart Appleby,79,1.18,51,6.0
33,T33,T33,Steve Stricker,81,1.18,51,6.0
34,35,35,Brian Davis,103,1.17,111,13.0
35,36,36,Daniel Chopra,89,1.15,78,9.0
36,T37,T37,Jeff Overton,92,1.14,88,10.0
37,T37,T37,Scott Sterling,51,1.14,44,5.0
38,T37,T37,Kirk Triplett,60,1.14,70,8.0
39,40,40,Michael Letzig,96,1.13,62,7.0
40,41,41,Jason Dufner,90,1.12,89,10.0
41,T42,T42,Jason Bohn,88,1.11,90,10.0
42,T42,T42,K.J. Choi,65,1.11,45,5.0
43,T42,T42,Ben Curtis,63,1.11,45,5.0
44,T42,T42,Derek Fathauer,63,1.11,54,6.0
45,T42,T42,Sergio Garcia,59,1.11,45,5.0
46,T42,T42,Ian Poulter,59,1.11,45,5.0
47,T42,T42,Brendon Todd,53,1.11,36,4.0
48,49,49,Harrison Frazar,93,1.09,92,10.0
49,50,50,John Merrick,91,1.07,84,9.0
50,T51,T51,Tim Clark,81,1.06,47,5.0
51,T51,T51,Jimmy Walker,74,1.06,66,7.0
52,53,53,Brendon de Jonge,90,1.05,76,8.0
53,T54,T54,Michael Allen,73,1.04,67,7.0
54,T54,T54,Matt Kuchar,82,1.04,77,8.0
55,T56,T56,Robert Garrigus,83,1.03,87,9.0
56,T56,T56,Mathew Goggin,76,1.03,58,6.0
57,58,58,Fred Couples,54,1.02,59,6.0
58,T59,T59,Joe Durant,62,1.01,69,7.0
59,T59,T59,Jeff Klauk,97,1.01,109,11.0
60,T59,T59,Marc Turnesa,77,1.01,79,8.0
