,GIR_Putting_-_Inside_5_RANK THIS WEEK,GIR_Putting_-_Inside_5_RANK LAST WEEK,GIR_Putting_-_Inside_5_PLAYER NAME,GIR_Putting_-_Inside_5_ROUNDS,GIR_Putting_-_Inside_5_%,GIR_Putting_-_Inside_5_ATTEMPTS,GIR_Putting_-_Inside_5_PUTTS MADE
0,1,1,Retief Goosen,74,95.83,24,23
1,2,2,Vijay Singh,71,95.65,23,22
2,3,3,Ryan Palmer,78,95.35,43,41
3,T4,T4,Geoff Ogilvy,78,95.24,42,40
4,T4,T4,Charles Warren,63,95.24,21,20
5,6,6,Ben Crane,93,95.12,41,39
6,7,7,Mike Weir,85,94.87,39,37
7,8,8,Ángel Cabrera,55,94.74,19,18
8,9,9,Anthony Kim,76,94.12,34,32
9,10,10,Brad Adamonis,70,93.94,33,31
10,11,11,Luke Donald,79,92.86,28,26
11,12,12,Y.E. Yang,83,92.5,40,37
12,13,13,Joe Ogilvie,85,92.16,51,47
13,T14,T14,Stewart Cink,79,92.0,25,23
14,T14,T14,Justin Rose,71,92.0,25,23
15,16,16,Kent Jones,73,91.67,24,22
16,17,17,Peter Lonard,86,91.18,34,31
17,T18,T18,Steve Lowery,83,90.91,33,30
18,T18,T18,Tiger Woods,64,90.91,33,30
19,20,20,Ryan Moore,89,90.48,42,38
20,21,21,Kevin Na,91,90.38,52,47
21,T22,T22,Stephen Ames,77,90.0,30,27
22,T22,T22,Richard Johnson,85,90.0,40,36
23,T22,T22,Matt Kuchar,82,90.0,40,36
24,T22,T22,Brandt Snedeker,81,90.0,40,36
25,26,26,Chris Stroud,88,89.8,49,44
26,T27,T27,Aaron Baddeley,66,89.74,39,35
27,T27,T27,Nick Watney,86,89.74,39,35
28,29,29,Pat Perez,74,89.47,38,34
29,30,30,Scott Sterling,51,89.29,28,25
30,31,31,Justin Leonard,95,89.23,65,58
31,32,32,Jim Furyk,86,89.19,37,33
32,33,33,Jimmy Walker,74,89.13,46,41
33,34,34,Jeff Overton,92,89.09,55,49
34,T35,T35,Jerry Kelly,90,88.89,27,24
35,T35,T35,David Mathis,82,88.89,36,32
36,T35,T35,Chris Riley,77,88.89,45,40
37,T35,T35,Andres Romero,58,88.89,27,24
38,39,39,Tim Herron,87,88.68,53,47
39,40,40,George McNeill,82,88.64,44,39
40,T41,T41,Tim Clark,81,88.37,43,38
41,T41,T41,Ted Purdy,101,88.37,43,38
42,43,43,Jason Bohn,88,88.33,60,53
43,T44,T44,Charles Howell III,99,88.0,50,44
44,T44,T44,Vaughn Taylor,88,88.0,50,44
45,46,46,Bryce Molder,69,87.88,33,29
46,T47,T47,Brian Gay,96,87.5,40,35
47,T47,T47,Freddie Jacobson,83,87.5,32,28
48,T47,T47,Colt Knost,71,87.5,32,28
49,T47,T47,Cliff Kresge,78,87.5,32,28
50,T47,T47,James Nitties,86,87.5,40,35
51,T47,T47,Carl Pettersson,86,87.5,40,35
52,T47,T47,D.A. Points,99,87.5,56,49
53,54,54,Brett Quigley,92,87.27,55,48
54,55,55,Mathew Goggin,76,87.18,39,34
55,56,56,Chez Reavie,81,87.1,31,27
56,57,57,Bo Van Pelt,100,87.04,54,47
57,58,58,Charley Hoffman,97,86.54,52,45
58,59,59,Charlie Wi,92,86.27,51,44
59,60,60,Eric Axley,71,86.05,43,37
60,61,61,Daniel Chopra,89,86.0,50,43
61,T62,T62,Kris Blanks,60,85.71,35,30
62,T62,T62,Chad Campbell,90,85.71,42,36
63,T62,T62,Greg Chalmers,85,85.71,35,30
64,T62,T62,Jason Day,61,85.71,35,30
65,T62,T62,Jeff Klauk,97,85.71,49,42
66,67,67,Jason Dufner,90,85.42,48,41
67,68,68,Mark Brooks,55,85.0,20,17
68,69,69,Heath Slocum,95,84.91,53,45
69,70,70,Martin Laird,72,84.78,46,39
70,T71,T71,Kenny Perry,92,84.62,52,44
71,T71,T71,Brian Vranesh,51,84.62,26,22
72,73,73,Scott McCarron,91,84.44,45,38
73,74,74,Brendon Todd,53,84.21,19,16
74,T75,T75,Brian Bateman,55,84.0,25,21
75,T75,T75,Brendon de Jonge,90,84.0,50,42
76,T75,T75,Brad Faxon,59,84.0,25,21
77,T75,T75,Todd Hamilton,83,84.0,25,21
78,79,79,Zach Johnson,94,83.67,49,41
79,T80,T80,Lucas Glover,93,83.33,36,30
80,T80,T80,Padraig Harrington,66,83.33,24,20
81,T80,T80,John Rollins,92,83.33,48,40
82,83,83,Chris DiMarco,97,83.02,53,44
83,84,84,Billy Mayfair,83,82.93,41,34
84,T85,T85,Ian Poulter,59,82.61,23,19
85,T85,T85,Aron Price,89,82.61,46,38
86,87,87,Brian Davis,103,82.54,63,52
87,T88,T88,Mark Calcavecchia,72,82.5,40,33
88,T88,T88,Jason Gore,74,82.5,40,33
89,T88,T88,Jeff Quinney,78,82.5,40,33
90,T91,T91,Bart Bryant,58,82.35,34,28
91,T91,T91,Parker McLachlin,71,82.35,34,28
92,T91,T91,Tim Petrovic,97,82.35,51,42
93,T94,T94,Ken Duke,87,82.22,45,37
94,T94,T94,Bill Haas,91,82.22,45,37
95,96,96,Peter Tomasulo,61,82.14,28,23
96,97,97,John Mallinger,90,82.0,50,41
97,T98,T98,Jarrod Lyle,65,81.82,22,18
98,T98,T98,Nicholas Thompson,96,81.82,66,54
