,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
0,1,1,Luke Donald,79,102.07,823,32,808
1,2,2,Ben Crane,93,102.0,1101,43,1080
2,3,3,Brad Faxon,59,101.95,718,31,701
3,4,4,Greg Chalmers,85,101.87,962,41,939
4,5,5,Tiger Woods,64,101.48,676,23,663
5,6,6,Jim Furyk,86,101.22,901,29,883
6,7,7,Freddie Jacobson,83,101.19,1011,31,992
7,8,8,Kenny Perry,92,101.18,1014,37,989
8,9,9,Spencer Levin,75,101.17,939,38,912
9,10,10,Brian Gay,96,101.15,1130,45,1098
10,11,11,Matt Kuchar,82,100.94,961,32,938
11,12,12,Corey Pavin,73,100.8,750,24,732
12,T13,T13,Ben Curtis,63,100.75,669,23,651
13,T13,T13,Kevin Na,91,100.75,1071,41,1038
14,T13,T13,Geoff Ogilvy,78,100.75,800,28,778
15,16,16,Tim Petrovic,97,100.57,1220,39,1188
16,17,17,Jerry Kelly,90,100.55,1088,35,1059
17,18,18,Aaron Baddeley,66,100.5,802,31,775
18,19,19,Bob Heintz,59,100.42,716,26,693
19,T20,T20,Bart Bryant,58,100.4,756,23,736
20,T20,T20,Ted Purdy,101,100.4,1257,60,1202
21,22,22,Richard Johnson,85,100.38,1057,35,1026
22,23,23,James Nitties,86,100.37,1079,38,1045
23,24,24,Zach Johnson,94,100.36,1110,39,1075
24,25,25,Ryan Palmer,78,100.31,981,30,954
25,26,26,Jeff Overton,92,100.28,1060,37,1026
26,27,27,Parker McLachlin,71,100.22,910,37,875
27,28,28,Matt Jones,56,100.16,634,18,617
28,29,29,Steve Stricker,81,100.11,883,29,855
29,T30,T30,Cameron Beckman,87,100.09,1072,39,1034
30,T30,T30,Charlie Wi,92,100.09,1111,35,1077
31,T32,T32,Nathan Green,104,100.08,1286,37,1250
32,T32,T32,J.J. Henry,97,100.08,1209,37,1173
33,T34,T34,Brad Adamonis,70,100.0,878,23,855
34,T34,T34,Retief Goosen,74,100.0,799,18,781
35,T34,T34,Bill Haas,91,100.0,1181,40,1141
36,T34,T34,John Rollins,92,100.0,1138,38,1100
37,T34,T34,Scott Sterling,51,100.0,589,21,568
38,T34,T34,Bo Van Pelt,100,100.0,1146,39,1107
39,40,40,David Toms,98,99.91,1142,37,1104
40,T41,T41,Ryuji Imada,85,99.9,971,33,937
41,T41,T41,Carl Pettersson,86,99.9,1051,31,1019
42,T41,T41,Dean Wilson,81,99.9,974,32,941
43,44,44,Brandt Snedeker,81,99.89,898,26,871
44,45,45,Jeff Klauk,97,99.84,1248,39,1207
45,T46,T46,Marc Leishman,91,99.83,1190,47,1141
46,T46,T46,Ian Poulter,59,99.83,588,13,574
47,48,48,Vaughn Taylor,88,99.82,1132,34,1096
48,49,49,Joe Ogilvie,85,99.81,1069,33,1034
49,50,50,Lee Janzen,74,99.77,868,28,838
50,T51,T51,Rich Beem,77,99.76,845,32,811
51,T51,T51,Tim Clark,81,99.76,820,23,795
52,T53,T53,Stephen Ames,77,99.75,788,21,765
