,One-Putt_Percentage_-_Round_4_RANK THIS WEEK,One-Putt_Percentage_-_Round_4_RANK LAST WEEK,One-Putt_Percentage_-_Round_4_PLAYER NAME,One-Putt_Percentage_-_Round_4_%,One-Putt_Percentage_-_Round_4_# OF 1 PUTTS,One-Putt_Percentage_-_Round_4_# OF HOLES
0,1,1,Brian Vranesh,53.33,48,90
1,2,2,Aaron Baddeley,48.99,97,198
2,T3,T3,Joe Ogilvie,47.86,112,234
3,T3,T3,Jeff Quinney,47.86,112,234
4,5,5,Webb Simpson,46.53,134,288
5,6,6,Pat Perez,46.43,117,252
6,7,7,Mark Calcavecchia,45.96,91,198
7,8,8,Steve Stricker,45.68,148,324
8,9,9,Ian Poulter,44.91,97,216
9,10,10,Jim Furyk,44.74,153,342
10,11,11,Brian Gay,44.71,169,378
11,12,12,Kenny Perry,44.44,176,396
12,13,13,Matt Bettencourt,43.83,142,324
13,T14,T14,Ken Duke,43.59,102,234
14,T14,T14,Steve Lowery,43.59,102,234
15,16,16,Justin Rose,43.25,109,252
16,17,17,Bob Heintz,43.21,70,162
17,T18,T18,Matt Kuchar,43.06,124,288
18,T18,T18,Rory Sabbatini,43.06,124,288
19,20,20,Daniel Chopra,42.81,131,306
20,21,21,K.J. Choi,42.78,77,180
21,22,22,Anthony Kim,42.71,123,288
22,23,23,Ben Crane,42.69,146,342
23,T24,T24,Stephen Ames,42.59,115,270
24,T24,T24,Carl Pettersson,42.59,115,270
25,26,26,Tommy Armour III,42.42,84,198
26,T27,T27,Luke Donald,42.28,137,324
27,T27,T27,Scott McCarron,42.28,137,324
28,T29,T29,Charley Hoffman,42.22,152,360
29,T29,T29,Tiger Woods,42.22,114,270
30,31,31,Ryan Moore,42.16,129,306
31,32,32,Brandt Snedeker,42.06,106,252
32,33,33,Sean O'Hair,42.01,121,288
33,34,34,Brian Davis,41.94,151,360
34,T35,T35,Padraig Harrington,41.88,98,234
35,T35,T35,Bubba Watson,41.88,98,234
36,T37,T37,Geoff Ogilvy,41.83,128,306
37,T37,T37,Camilo Villegas,41.83,128,306
38,39,39,Zach Johnson,41.8,158,378
39,T40,T40,Tim Petrovic,41.67,120,288
40,T40,T40,Nick Watney,41.67,135,324
41,42,42,Woody Austin,41.5,127,306
42,T43,T43,Alex Cejka,41.48,112,270
43,T43,T43,George McNeill,41.48,112,270
44,45,45,Kevin Na,41.39,149,360
45,T46,T46,Marc Turnesa,41.36,67,162
46,T46,T46,Mike Weir,41.36,134,324
47,48,48,Lucas Glover,41.11,148,360
48,49,49,Rod Pampling,41.03,96,234
49,50,50,Bill Haas,40.97,118,288
50,51,51,Tim Clark,40.85,125,306
51,52,52,Chris DiMarco,40.74,132,324
52,53,53,Dustin Johnson,40.52,124,306
53,54,54,Bill Lunde,40.48,102,252
54,55,55,Harrison Frazar,40.43,131,324
55,56,56,Ernie Els,40.37,109,270
56,T57,T57,Todd Hamilton,40.28,87,216
57,T57,T57,Jeff Maggert,40.28,87,216
58,59,59,Hunter Mahan,40.21,152,378
59,60,60,Lee Janzen,40.17,94,234
60,T61,T61,Vijay Singh,40.08,101,252
61,T61,T61,Johnson Wagner,40.08,101,252
62,63,63,Cliff Kresge,40.0,72,180
63,64,64,Jeff Klauk,39.77,136,342
64,65,65,Phil Mickelson,39.68,100,252
65,T66,T66,Brad Adamonis,39.44,71,180
66,T66,T66,Parker McLachlin,39.44,71,180
67,68,68,Ángel Cabrera,39.39,78,198
68,T69,T69,J.B. Holmes,39.35,85,216
69,T69,T69,Jimmy Walker,39.35,85,216
70,71,71,Tim Herron,39.24,113,288
71,72,72,Justin Leonard,39.17,141,360
72,T73,T73,Brian Bateman,38.89,21,54
73,T73,T73,Stewart Cink,38.89,105,270
74,T73,T73,Mathew Goggin,38.89,84,216
75,T73,T73,Freddie Jacobson,38.89,112,288
76,T73,T73,Richard Johnson,38.89,112,288
77,T73,T73,Darron Stiles,38.89,42,108
78,T73,T73,Nicholas Thompson,38.89,112,288
79,80,80,Ryuji Imada,38.56,118,306
80,81,81,Chris Riley,38.54,111,288
81,82,82,Michael Allen,38.46,90,234
82,83,83,Matt Weibring,38.33,69,180
83,T84,T84,Jeff Overton,38.27,124,324
84,T84,T84,Kirk Triplett,38.27,62,162
85,86,86,Davis Love III,38.24,117,306
86,87,87,Nathan Green,38.1,144,378
87,88,88,Michael Letzig,38.06,137,360
88,T89,T89,Steve Flesch,38.03,89,234
89,T89,T89,Chez Reavie,38.03,89,234
90,91,91,Chad Campbell,38.01,130,342
91,92,92,David Duval,37.96,41,108
92,93,93,Retief Goosen,37.91,116,306
93,94,94,Charles Warren,37.88,75,198
94,T95,T95,Will MacKenzie,37.78,68,180
95,T95,T95,Rick Price,37.78,34,90
96,97,97,David Mathis,37.61,88,234
97,T98,T98,Charles Howell III,37.5,135,360
98,T98,T98,Spencer Levin,37.5,81,216
99,T98,T98,Adam Scott,37.5,54,144
100,101,101,Stuart Appleby,37.41,101,270
101,102,102,Jason Bohn,37.35,121,324
102,103,103,Scott Verplank,37.22,134,360
103,T104,T104,Jason Day,37.18,87,234
104,T104,T104,Sergio Garcia,37.18,87,234
105,106,106,Dean Wilson,37.04,80,216
106,107,107,D.A. Points,36.94,133,360
107,108,108,Martin Laird,36.87,73,198
108,T109,T109,Marc Leishman,36.6,112,306
109,T109,T109,Heath Slocum,36.6,112,306
110,111,111,David Toms,36.51,138,378
111,112,112,John Senden,36.39,131,360
112,113,113,Robert Allenby,36.3,98,270
113,114,114,Boo Weekley,36.27,111,306
114,T115,T115,Fred Couples,36.11,65,180
115,T115,T115,Jason Dufner,36.11,117,324
116,T115,T115,Steve Elkington,36.11,78,216
117,T115,T115,Brad Faxon,36.11,39,108
118,T115,T115,Robert Garrigus,36.11,104,288
119,T115,T115,James Nitties,36.11,104,288
120,121,121,Mark Wilson,35.98,136,378
121,122,122,Charlie Wi,35.95,110,306
122,123,123,Vaughn Taylor,35.93,97,270
123,124,124,Matt Jones,35.86,71,198
124,125,125,Kris Blanks,35.8,58,162
125,126,126,Greg Chalmers,35.76,103,288
126,T127,T127,Jonathan Byrd,35.67,122,342
127,T127,T127,Bo Van Pelt,35.67,122,342
128,129,129,Ryan Palmer,35.65,77,216
129,T130,T130,John Mallinger,35.62,109,306
130,T130,T130,D.J. Trahan,35.62,109,306
131,T132,T132,Brendon de Jonge,35.56,96,270
132,T132,T132,Bob Estes,35.56,96,270
133,T132,T132,Andres Romero,35.56,64,180
134,T132,T132,Kevin Sutherland,35.56,128,360
135,136,136,Ben Curtis,35.32,89,252
136,T137,T137,Derek Fathauer,35.19,38,108
137,T137,T137,Scott Piercy,35.19,95,270
138,T137,T137,Chris Stroud,35.19,95,270
139,140,140,Cameron Beckman,34.64,106,306
140,T141,T141,Glen Day,34.62,81,234
141,T141,T141,Bryce Molder,34.62,81,234
142,143,143,Brett Quigley,34.31,105,306
143,144,144,Rich Beem,34.26,74,216
144,145,145,Tom Pernice Jr.,34.13,86,252
145,146,146,Troy Matteson,33.68,97,288
146,147,147,Rocco Mediate,33.66,103,306
147,148,148,Nick O'Hern,33.64,109,324
148,149,149,Kevin Streelman,33.63,115,342
149,T150,T150,Eric Axley,33.33,36,108
150,T150,T150,Leif Olson,33.33,24,72
151,152,152,Billy Mayfair,32.91,77,234
152,153,153,Kevin Stadler,32.87,71,216
153,154,154,John Rollins,32.75,112,342
154,155,155,Corey Pavin,32.48,76,234
155,156,156,Jerry Kelly,32.46,111,342
156,157,157,Briny Baird,32.29,93,288
157,158,158,Colt Knost,32.22,58,180
158,159,159,Paul Goydos,32.14,81,252
159,T160,T160,Scott Sterling,32.1,52,162
160,T160,T160,Y.E. Yang,32.1,104,324
161,162,162,J.J. Henry,31.87,109,342
162,T163,T163,Ted Purdy,31.67,114,360
163,T163,T163,Casey Wittenberg,31.67,57,180
164,165,165,Bart Bryant,31.48,68,216
165,166,166,John Merrick,31.37,96,306
166,167,167,Peter Tomasulo,31.11,28,90
167,168,168,Aron Price,31.05,95,306
168,169,169,Steve Marino,30.7,105,342
169,170,170,Patrick Sheehan,30.56,55,180
170,171,171,Peter Lonard,30.09,65,216
171,172,172,Ricky Barnes,30.0,54,180
172,173,173,Jason Gore,29.49,69,234
173,174,174,Jay Williamson,29.29,58,198
174,175,175,Tag Ridings,28.4,46,162
175,T176,T176,Mark Brooks,27.78,50,180
176,T176,T176,Greg Owen,27.78,90,324
177,T176,T176,Brendon Todd,27.78,25,90
178,T176,T176,Gary Woodland,27.78,35,126
179,180,180,Joe Durant,27.22,49,180
180,181,181,Jarrod Lyle,25.76,51,198
181,T182,T182,Kent Jones,25.0,54,216
182,T182,T182,Greg Kraft,25.0,18,72
183,184,184,Tom Lehman,24.75,49,198
