,Approach_Putt_Performance_RANK THIS WEEK,Approach_Putt_Performance_RANK LAST WEEK,Approach_Putt_Performance_PLAYER NAME,Approach_Putt_Performance_ROUNDS,Approach_Putt_Performance_VALUE,Approach_Putt_Performance_ATTEMPTS,Approach_Putt_Performance_TOTAL DISTANCE (FEET)
0,1,1,John Merrick,91,"2' 0""",756,1536.0829999999999
1,T2,T2,Ricky Barnes,67,"2' 1""",598,1223.0
2,T2,T2,Ernie Els,70,"2' 1""",572,1206.167
3,T2,T2,Retief Goosen,74,"2' 1""",571,1193.417
4,T2,T2,Bob Heintz,59,"2' 1""",519,1087.833
5,T2,T2,Charles Howell III,99,"2' 1""",916,1901.4170000000001
6,T2,T2,Chris Riley,77,"2' 1""",680,1409.4170000000001
7,T2,T2,Vaughn Taylor,88,"2' 1""",835,1732.25
8,T2,T2,Scott Verplank,88,"2' 1""",847,1783.6670000000001
9,T10,T10,Jason Bohn,88,"2' 2""",923,1962.1670000000001
10,T10,T10,Mark Brooks,55,"2' 2""",415,882.0
11,T10,T10,Alex Cejka,82,"2' 2""",767,1671.4170000000001
12,T10,T10,K.J. Choi,65,"2' 2""",553,1217.917
13,T10,T10,Stewart Cink,79,"2' 2""",625,1335.4170000000001
14,T10,T10,Fred Couples,54,"2' 2""",460,1008.8330000000001
15,T10,T10,Luke Donald,79,"2' 2""",591,1296.917
16,T10,T10,Steve Elkington,70,"2' 2""",702,1537.5
17,T10,T10,Bob Estes,78,"2' 2""",705,1531.9170000000001
18,T10,T10,Jim Furyk,86,"2' 2""",642,1372.75
19,T10,T10,Todd Hamilton,83,"2' 2""",696,1536.75
20,T10,T10,J.J. Henry,97,"2' 2""",965,2105.167
21,T10,T10,Justin Leonard,95,"2' 2""",785,1725.3329999999999
22,T10,T10,Jarrod Lyle,65,"2' 2""",573,1241.0
23,T10,T10,Scott McCarron,91,"2' 2""",848,1848.1670000000001
24,T10,T10,Nick O'Hern,90,"2' 2""",918,2027.0
25,T10,T10,Carl Pettersson,86,"2' 2""",785,1724.3329999999999
26,T10,T10,Scott Sterling,51,"2' 2""",439,966.75
27,T10,T10,David Toms,98,"2' 2""",862,1882.5
28,T10,T10,Johnson Wagner,81,"2' 2""",813,1791.3329999999999
29,T10,T10,Bubba Watson,73,"2' 2""",601,1322.8329999999999
30,T31,T31,Michael Allen,73,"2' 3""",641,1452.4170000000001
31,T31,T31,Stuart Appleby,79,"2' 3""",734,1670.6670000000001
32,T31,T31,Kris Blanks,60,"2' 3""",511,1130.417
33,T31,T31,Bart Bryant,58,"2' 3""",575,1311.8329999999999
34,T31,T31,Jonathan Byrd,89,"2' 3""",877,1939.3329999999999
35,T31,T31,Chad Campbell,90,"2' 3""",770,1737.25
36,T31,T31,Glen Day,79,"2' 3""",714,1611.75
37,T31,T31,Brendon de Jonge,90,"2' 3""",875,1956.0
38,T31,T31,Chris DiMarco,97,"2' 3""",920,2068.917
39,T31,T31,Ken Duke,87,"2' 3""",754,1684.8329999999999
