,3-Putt_Avoidance_RANK THIS WEEK,3-Putt_Avoidance_RANK LAST WEEK,3-Putt_Avoidance_PLAYER NAME,3-Putt_Avoidance_ROUNDS,3-Putt_Avoidance_%,3-Putt_Avoidance_TOTAL 3 PUTTS,3-Putt_Avoidance_TOTAL HOLES (OVERALL)
0,1,1,Bob Heintz,59,1.6,17,1062
1,2,2,Jim Furyk,86,1.67,25,1494
2,3,3,Brian Gay,96,1.68,29,1728
3,4,4,Jarrod Lyle,65,1.71,20,1170
4,5,5,Charlie Wi,92,1.75,29,1656
5,6,6,Scott Verplank,88,1.77,28,1584
6,T7,T7,David Duval,56,1.79,18,1008
7,T7,T7,Brad Faxon,59,1.79,19,1062
8,9,9,Corey Pavin,73,1.83,24,1314
9,T10,T10,Greg Chalmers,85,1.9,29,1530
10,T10,T10,Luke Donald,79,1.9,26,1368
11,12,12,Freddie Jacobson,83,1.94,29,1494
12,13,13,Vaughn Taylor,88,1.96,31,1584
13,14,14,Steve Stricker,81,1.97,28,1422
14,15,15,Spencer Levin,75,2.0,27,1350
15,16,16,Charles Howell III,99,2.02,36,1782
16,17,17,Aaron Baddeley,66,2.05,24,1170
17,18,18,Tiger Woods,64,2.06,23,1116
18,19,19,Tag Ridings,50,2.11,19,900
19,20,20,John Merrick,91,2.14,35,1638
20,21,21,Eric Axley,71,2.19,28,1278
21,22,22,Bart Bryant,58,2.2,23,1044
22,T23,T23,Justin Leonard,95,2.26,37,1638
23,T23,T23,Carl Pettersson,86,2.26,35,1548
24,T25,T25,Harrison Frazar,93,2.27,38,1674
25,T25,T25,David Toms,98,2.27,40,1764
26,27,27,Retief Goosen,74,2.28,30,1314
27,T28,T28,Chris DiMarco,97,2.29,40,1746
28,T28,T28,Jeff Klauk,97,2.29,40,1746
29,30,30,Tommy Armour III,58,2.3,24,1044
30,31,31,Scott McCarron,91,2.32,38,1638
31,T32,T32,Tim Clark,81,2.35,33,1404
32,T32,T32,Bob Estes,78,2.35,33,1404
33,T32,T32,Jerry Kelly,90,2.35,38,1620
34,T32,T32,Nick O'Hern,90,2.35,38,1620
