,Birdie_or_Better_Conversion_Percentage_RANK THIS WEEK,Birdie_or_Better_Conversion_Percentage_RANK LAST WEEK,Birdie_or_Better_Conversion_Percentage_PLAYER NAME,Birdie_or_Better_Conversion_Percentage_ROUNDS,Birdie_or_Better_Conversion_Percentage_%,Birdie_or_Better_Conversion_Percentage_# BIRDIES,Birdie_or_Better_Conversion_Percentage_GREENS HIT
0,1,1,Anthony Kim,76,35.77,298,833
1,2,2,Daniel Chopra,89,33.53,338,1008
2,3,3,Tiger Woods,64,33.25,253,761
3,4,4,Jason Day,61,33.12,204,616
4,T5,T5,Stephen Ames,77,32.89,300,912
5,T5,T5,Harrison Frazar,93,32.89,345,1049
6,T7,T7,Dustin Johnson,85,32.8,326,994
7,T7,T7,Joe Ogilvie,85,32.8,305,930
8,9,9,Phil Mickelson,66,32.74,238,727
9,10,10,Aaron Baddeley,66,32.66,227,695
10,11,11,Hunter Mahan,94,32.42,367,1132
11,12,12,Bo Van Pelt,100,32.28,356,1103
12,13,13,Matt Bettencourt,98,32.19,358,1112
13,14,14,Steve Stricker,81,32.17,304,945
14,15,15,Martin Laird,72,32.1,268,835
15,16,16,Brian Davis,103,32.09,369,1150
16,17,17,Fred Couples,54,32.0,208,650
17,18,18,Matt Weibring,65,31.89,221,693
18,19,19,Tim Clark,81,31.88,299,938
19,20,20,Jonathan Byrd,89,31.82,343,1078
20,21,21,Nick Watney,86,31.76,324,1020
21,T22,T22,Kris Blanks,60,31.73,204,643
22,T22,T22,Charley Hoffman,97,31.73,369,1163
23,T24,T24,Lucas Glover,93,31.69,348,1098
24,T24,T24,Geoff Ogilvy,78,31.69,264,833
25,26,26,Greg Chalmers,85,31.64,287,907
26,27,27,Bubba Watson,73,31.5,264,838
27,28,28,Matt Kuchar,82,31.47,298,947
28,29,29,Webb Simpson,94,31.37,331,1055
29,30,30,Ted Purdy,101,31.35,347,1107
30,T31,T31,Justin Leonard,95,31.27,343,1097
31,T31,T31,Kevin Na,91,31.27,314,1004
32,33,33,Charlie Wi,92,31.21,334,1070
33,T34,T34,J.B. Holmes,74,31.2,254,814
34,T34,T34,Jerry Kelly,90,31.2,297,952
35,36,36,Dean Wilson,81,31.18,280,898
36,T37,T37,Luke Donald,79,31.13,268,861
37,T37,T37,Pat Perez,74,31.13,254,816
38,39,39,Justin Rose,71,31.08,258,830
39,40,40,Michael Letzig,96,31.02,330,1064
40,T41,T41,Parker McLachlin,71,30.97,231,746
41,T41,T41,Jeff Overton,92,30.97,301,972
42,43,43,George McNeill,82,30.9,283,916
43,T44,T44,Vaughn Taylor,88,30.88,302,978
44,T44,T44,Mike Weir,85,30.88,294,952
45,T46,T46,Ángel Cabrera,55,30.86,187,606
46,T46,T46,Ryan Moore,89,30.86,312,1011
47,48,48,Sean O'Hair,80,30.85,286,927
48,49,49,Andres Romero,58,30.68,204,665
49,50,50,Scott Piercy,85,30.67,295,962
50,51,51,Rory Sabbatini,81,30.61,288,941
51,52,52,Kevin Streelman,97,30.55,340,1113
52,53,53,Y.E. Yang,83,30.53,287,940
53,54,54,Mark Calcavecchia,72,30.42,258,848
54,T55,T55,Brendon de Jonge,90,30.23,312,1032
55,T55,T55,James Nitties,86,30.23,282,933
56,57,57,Ben Crane,93,30.21,326,1079
57,58,58,Bob Heintz,59,30.16,193,640
58,59,59,Bill Haas,91,30.1,317,1053
59,60,60,Kenny Perry,92,30.06,331,1101
60,61,61,Jim Furyk,86,30.05,293,975
61,62,62,Zach Johnson,94,30.03,336,1119
62,63,63,Camilo Villegas,76,30.0,261,870
63,64,64,Jason Dufner,90,29.98,310,1034
64,65,65,Leif Olson,51,29.9,154,515
65,66,66,Brian Gay,96,29.88,309,1034
66,67,67,Marc Leishman,91,29.84,313,1049
67,T68,T68,Paul Goydos,79,29.83,261,875
68,T68,T68,Chris Stroud,88,29.83,309,1036
69,70,70,Chris Riley,77,29.81,245,822
70,71,71,Joe Durant,62,29.78,204,685
71,72,72,Jeff Quinney,78,29.73,264,888
72,73,73,John Rollins,92,29.71,301,1013
73,74,74,Scott Verplank,88,29.7,300,1010
74,75,75,Freddie Jacobson,83,29.69,274,923
75,76,76,Brandt Snedeker,81,29.67,262,883
76,77,77,Ryuji Imada,85,29.61,278,939
77,78,78,Steve Lowery,83,29.6,283,956
78,T79,T79,David Duval,56,29.58,181,612
79,T79,T79,Gary Woodland,53,29.58,163,551
80,81,81,D.A. Points,99,29.57,327,1106
81,82,82,Tim Petrovic,97,29.52,330,1118
82,83,83,Nicholas Thompson,96,29.51,334,1132
83,84,84,Tag Ridings,50,29.5,154,522
84,85,85,Tim Herron,87,29.46,294,998
85,T86,T86,Woody Austin,84,29.41,290,986
86,T86,T86,Ryan Palmer,78,29.41,270,918
87,88,88,John Merrick,91,29.4,284,966
88,89,89,Retief Goosen,74,29.38,240,817
89,T90,T90,Padraig Harrington,66,29.37,210,715
90,T90,T90,Steve Marino,98,29.37,338,1151
91,T90,T90,Rod Pampling,72,29.37,247,841
92,93,93,Bryce Molder,69,29.35,216,736
93,94,94,Cliff Kresge,78,29.3,242,826
94,95,95,Matt Jones,56,29.24,176,602
95,96,96,Derek Fathauer,63,29.22,180,616
96,97,97,Ian Poulter,59,29.2,179,613
97,T98,T98,Brett Quigley,92,29.15,290,995
98,T98,T98,Jimmy Walker,74,29.15,225,772
99,100,100,David Toms,98,29.14,336,1153
100,101,101,Lee Janzen,74,29.12,228,783
101,102,102,Scott McCarron,91,29.07,311,1070
