,Average_Putting_Distance_-_All_3_putts_RANK THIS WEEK,Average_Putting_Distance_-_All_3_putts_RANK LAST WEEK,Average_Putting_Distance_-_All_3_putts_PLAYER NAME,Average_Putting_Distance_-_All_3_putts_ROUNDS,Average_Putting_Distance_-_All_3_putts_AVG,Average_Putting_Distance_-_All_3_putts_DISTANCE (FEET),Average_Putting_Distance_-_All_3_putts_TOTAL PUTTS
0,1,1,David Duval,56,"86' 0""",86.0,1
1,2,2,Billy Mayfair,83,"76' 3""",152.5,2
2,3,3,Ryuji Imada,85,"70' 2""",70.167,1
3,4,4,Nick Watney,86,"63' 7""",63.583,1
4,5,5,Brad Adamonis,70,"62' 10""",62.833,1
5,6,6,Aaron Baddeley,66,"62' 7""",187.75,3
6,7,7,Padraig Harrington,66,"60' 11""",60.917,1
7,8,8,Tom Lehman,55,"60' 7""",60.583,1
8,9,9,Ricky Barnes,67,"59' 6""",59.5,1
9,10,10,Chris DiMarco,97,"58' 5""",116.75,2
10,11,11,Matt Bettencourt,98,"57' 10""",115.667,2
11,12,12,Steve Flesch,77,"57' 9""",57.75,1
12,13,13,Vaughn Taylor,88,"56' 2""",168.417,3
13,14,14,Leif Olson,51,"54' 10""",54.833,1
14,15,15,Rory Sabbatini,81,"54' 1""",54.083,1
15,16,16,Jonathan Byrd,89,"51' 10""",51.833,1
16,17,17,Jeff Quinney,78,"51' 8""",103.333,2
17,18,18,George McNeill,82,"51' 2""",51.167,1
18,19,19,Bart Bryant,58,"49' 3""",49.25,1
19,20,20,John Merrick,91,"47' 9""",47.75,1
20,21,21,Brian Davis,103,"47' 6""",47.5,1
21,22,22,Eric Axley,71,"47' 4""",94.583,2
22,23,23,Nathan Green,104,"47' 2""",47.167,1
23,24,24,Tim Herron,87,"46' 5""",46.417,1
24,25,25,Matt Kuchar,82,"46' 2""",46.167,1
25,26,26,Jerry Kelly,90,"45' 0""",45.0,1
26,27,27,Kevin Stadler,65,"44' 11""",44.917,1
27,28,28,Mark Calcavecchia,72,"44' 9""",89.5,2
28,29,29,Casey Wittenberg,71,"44' 1""",88.167,2
29,30,30,Greg Owen,97,"43' 11""",131.667,3
30,31,31,Hunter Mahan,94,"43' 10""",43.833,1
31,32,32,Phil Mickelson,66,"43' 7""",87.167,2
32,T33,T33,John Senden,100,"42' 9""",171.083,4
33,T33,T33,Mark Wilson,99,"42' 9""",85.5,2
34,35,35,Ian Poulter,59,"42' 7""",42.583,1
35,T36,T36,Ken Duke,87,"41' 6""",41.5,1
36,T36,T36,Troy Matteson,95,"41' 6""",41.5,1
37,38,38,Daniel Chopra,89,"40' 10""",40.833,1
38,39,39,Pat Perez,74,"40' 9""",40.75,1
39,40,40,Kevin Na,91,"40' 5""",40.417,1
40,41,41,Briny Baird,89,"40' 0""",79.917,2
41,42,42,Kent Jones,73,"39' 0""",39.0,1
42,43,43,Brendon Todd,53,"38' 8""",77.333,2
43,44,44,Glen Day,79,"38' 5""",76.75,2
44,45,45,Tim Clark,81,"38' 2""",38.167,1
45,46,46,Y.E. Yang,83,"37' 4""",37.333,1
46,47,47,Paul Goydos,79,"35' 9""",107.167,3
47,48,48,Nicholas Thompson,96,"35' 5""",70.833,2
48,49,49,Kirk Triplett,60,"35' 0""",174.833,5
49,50,50,Scott Piercy,85,"34' 8""",34.667,1
50,51,51,Dustin Johnson,85,"33' 7""",67.167,2
51,52,52,Kris Blanks,60,"33' 0""",33.0,1
52,53,53,Michael Letzig,96,"32' 5""",32.417,1
53,54,54,Webb Simpson,94,"31' 11""",63.75,2
54,55,55,Martin Laird,72,"31' 10""",63.667,2
55,56,56,Nick O'Hern,90,"31' 6""",126.0,4
56,57,57,Aron Price,89,"31' 0""",31.0,1
57,58,58,Marc Leishman,91,"30' 11""",30.916999999999998,1
58,59,59,Michael Allen,73,"30' 5""",30.416999999999998,1
59,60,60,Ben Curtis,63,"30' 1""",30.083000000000002,1
60,61,61,Todd Hamilton,83,"29' 0""",29.0,1
61,62,62,Lucas Glover,93,"28' 6""",56.917,2
62,63,63,Gary Woodland,53,"27' 6""",27.5,1
63,64,64,Scott Verplank,88,"25' 1""",25.083000000000002,1
64,65,65,Rick Price,54,"25' 0""",49.917,2
65,66,66,Richard Johnson,85,"24' 11""",24.916999999999998,1
66,67,67,Brandt Snedeker,81,"24' 10""",49.583,2
67,68,68,Zach Johnson,94,"24' 4""",24.333000000000002,1
68,69,69,Will MacKenzie,69,"24' 3""",48.417,2
69,70,70,Scott McCarron,91,"24' 2""",24.166999999999998,1
70,71,71,Matt Weibring,65,"23' 2""",23.166999999999998,1
71,72,72,J.B. Holmes,74,"22' 3""",22.25,1
72,73,73,Steve Lowery,83,"21' 3""",42.5,2
73,74,74,Boo Weekley,79,"19' 7""",58.667,3
74,75,75,Carl Pettersson,86,"19' 6""",58.417,3
75,76,76,Greg Kraft,51,"17' 10""",35.667,2
76,77,77,Jason Day,61,"14' 10""",14.833,1
77,78,78,Fred Couples,54,"12' 10""",12.833,1
78,79,79,Johnson Wagner,81,"12' 5""",12.417,1
79,80,80,Ted Purdy,101,"10' 6""",10.5,1
80,81,81,Jason Gore,74,"9' 2""",9.167,1
81,82,82,David Mathis,82,"8' 8""",8.667,1
82,83,83,D.A. Points,99,"7' 5""",7.417000000000001,1
83,84,84,Brett Quigley,92,"7' 3""",7.25,1
84,85,85,Dean Wilson,81,"4' 9""",4.75,1
