,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
0,1,1,Greg Chalmers,85,"82' 5""",70200,71,"4' 8""","175' 2"""
1,2,2,Matt Bettencourt,98,"82' 0""",85577,87,"4' 7""","160' 4"""
2,T3,T3,Brian Gay,96,"80' 3""",78978,82,"4' 6""","151' 9"""
3,T3,T3,Ted Purdy,101,"80' 3""",85665,89,"4' 6""","168' 2"""
4,5,5,Ben Crane,93,"80' 2""",76992,80,"4' 6""","171' 8"""
5,T6,T6,Parker McLachlin,71,"80' 1""",64404,67,"4' 6""","160' 4"""
6,T6,T6,Webb Simpson,94,"80' 1""",83582,87,"4' 6""","181' 4"""
7,8,8,Brad Faxon,59,"80' 0""",49918,52,"4' 6""","158' 11"""
8,9,9,Joe Ogilvie,85,"79' 7""",73528,77,"4' 6""","131' 6"""
9,T10,T10,Ben Curtis,63,"79' 6""",44820,47,"4' 5""","128' 0"""
10,T10,T10,Kevin Na,91,"79' 6""",74428,78,"4' 6""","146' 7"""
11,12,12,Luke Donald,79,"79' 5""",58151,61,"4' 6""","130' 8"""
12,13,13,Martin Laird,72,"79' 3""",58949,62,"4' 5""","157' 7"""
13,14,14,Matt Kuchar,82,"79' 2""",67419,71,"4' 6""","196' 3"""
14,T15,T15,Stephen Ames,77,"78' 11""",54004,57,"4' 5""","148' 0"""
15,T15,T15,Woody Austin,84,"78' 11""",71962,76,"4' 5""","194' 4"""
16,17,17,Hunter Mahan,94,"78' 10""",70922,75,"4' 5""","165' 9"""
17,18,18,Kenny Perry,92,"78' 6""",68770,73,"4' 5""","140' 10"""
18,19,19,Aaron Baddeley,66,"78' 4""",54529,58,"4' 5""","152' 2"""
19,T20,T20,David Mathis,82,"78' 3""",64822,69,"4' 5""","157' 3"""
20,T20,T20,Geoff Ogilvy,78,"78' 3""",54488,58,"4' 5""","128' 11"""
21,T20,T20,Jeff Overton,92,"78' 3""",71391,76,"4' 5""","143' 10"""
22,23,23,Dean Wilson,81,"78' 2""",65686,70,"4' 5""","131' 9"""
23,24,24,Pat Perez,74,"78' 1""",58069,62,"4' 5""","142' 10"""
24,T25,T25,Ryuji Imada,85,"77' 8""",64310,69,"4' 4""","181' 2"""
25,T25,T25,Charlie Wi,92,"77' 8""",73656,79,"4' 4""","158' 11"""
26,27,27,Bob Heintz,59,"77' 5""",47403,51,"4' 4""","121' 10"""
27,T28,T28,Tim Clark,81,"77' 4""",54776,59,"4' 4""","152' 2"""
28,T28,T28,Bo Van Pelt,100,"77' 4""",76107,82,"4' 4""","156' 7"""
29,30,30,Marc Leishman,91,"77' 3""",77885,84,"4' 4""","147' 9"""
30,31,31,Brandt Snedeker,81,"77' 1""",60102,65,"4' 4""","147' 2"""
31,32,32,Ryan Moore,89,"77' 0""",69264,75,"4' 4""","140' 3"""
32,T33,T33,Jason Day,61,"76' 11""",46146,50,"4' 4""","133' 6"""
33,T33,T33,Dustin Johnson,85,"76' 11""",59078,64,"4' 4""","134' 7"""
34,T35,T35,James Nitties,86,"76' 10""",70046,76,"4' 4""","133' 11"""
35,T35,T35,Mike Weir,85,"76' 10""",61753,67,"4' 4""","147' 5"""
36,37,37,Jeff Klauk,97,"76' 9""",81011,88,"4' 4""","148' 4"""
37,T38,T38,Nick O'Hern,90,"76' 8""",78177,85,"4' 3""","184' 7"""
38,T38,T38,Mark Wilson,99,"76' 8""",80955,88,"4' 4""","131' 11"""
39,40,40,Andres Romero,58,"76' 7""",39520,43,"4' 3""","144' 5"""
40,41,41,Tiger Woods,64,"76' 6""",44083,48,"4' 4""","146' 1"""
41,42,42,Jerry Kelly,90,"76' 5""",70627,77,"4' 3""","146' 11"""
42,T43,T43,Rod Pampling,72,"76' 4""",58622,64,"4' 4""","175' 3"""
43,T43,T43,Carl Pettersson,86,"76' 4""",67776,74,"4' 3""","155' 6"""
44,45,45,Nathan Green,104,"76' 3""",84222,92,"4' 3""","185' 7"""
45,46,46,Nick Watney,86,"76' 1""",62098,68,"4' 3""","149' 4"""
46,47,47,Sean O'Hair,80,"76' 0""",52899,58,"4' 3""","138' 9"""
47,48,48,Aron Price,89,"75' 11""",70160,77,"4' 3""","140' 4"""
48,T49,T49,Paul Goydos,79,"75' 10""",59158,65,"4' 3""","136' 4"""
49,T49,T49,Steve Marino,98,"75' 10""",76430,84,"4' 3""","151' 4"""
50,T49,T49,Justin Rose,71,"75' 10""",51870,57,"4' 3""","142' 7"""
51,T52,T52,Bill Lunde,83,"75' 9""",68181,75,"4' 3""","126' 0"""
52,T52,T52,D.A. Points,99,"75' 9""",78206,86,"4' 3""","165' 3"""
53,T54,T54,Lee Janzen,74,"75' 8""",55384,61,"4' 3""","146' 11"""
54,T54,T54,Zach Johnson,94,"75' 8""",71743,79,"4' 3""","149' 0"""
55,T54,T54,Kevin Sutherland,96,"75' 8""",66306,73,"4' 3""","158' 8"""
56,T57,T57,Jeff Quinney,78,"75' 7""",64367,71,"4' 3""","121' 11"""
57,T57,T57,Marc Turnesa,77,"75' 7""",64407,71,"4' 3""","130' 5"""
58,59,59,Bryce Molder,69,"75' 5""",48894,54,"4' 3""","118' 1"""
59,T60,T60,Spencer Levin,75,"75' 4""",60583,67,"4' 3""","145' 6"""
60,T60,T60,Steve Lowery,83,"75' 4""",69635,77,"4' 3""","149' 9"""
61,62,62,Jim Furyk,86,"75' 3""",58678,65,"4' 3""","164' 0"""
62,T63,T63,Kevin Streelman,97,"75' 2""",78466,87,"4' 3""","139' 0"""
63,T63,T63,David Toms,98,"75' 2""",72150,80,"4' 3""","152' 9"""
64,65,65,Tim Petrovic,97,"75' 0""",77441,86,"4' 3""","130' 2"""
65,T66,T66,Cameron Beckman,87,"74' 11""",67462,75,"4' 3""","148' 10"""
66,T66,T66,Lucas Glover,93,"74' 11""",71022,79,"4' 3""","139' 3"""
67,T68,T68,Harrison Frazar,93,"74' 9""",75370,84,"4' 2""","188' 0"""
68,T68,T68,Patrick Sheehan,51,"74' 9""",35000,39,"4' 3""","167' 7"""
69,70,70,Brian Vranesh,51,"74' 8""",38516,43,"4' 3""","99' 0"""
70,T71,T71,Daniel Chopra,89,"74' 5""",74154,83,"4' 2""","144' 9"""
71,T71,T71,Freddie Jacobson,83,"74' 5""",65173,73,"4' 2""","130' 7"""
72,T73,T73,Richard Johnson,85,"74' 4""",65994,74,"4' 2""","133' 7"""
73,T73,T73,Kirk Triplett,60,"74' 4""",49056,55,"4' 2""","126' 11"""
74,75,75,Scott Piercy,85,"74' 3""",67696,76,"4' 2""","141' 9"""
75,76,76,John Rollins,92,"74' 2""",70333,79,"4' 2""","193' 0"""
76,77,77,Johnson Wagner,81,"74' 1""",65790,74,"4' 2""","156' 1"""
77,T78,T78,Kris Blanks,60,"74' 0""",41741,47,"4' 2""","183' 6"""
78,T78,T78,Anthony Kim,76,"74' 0""",53271,60,"4' 2""","119' 9"""
79,T80,T80,George McNeill,82,"73' 11""",67427,76,"4' 2""","131' 3"""
80,T80,T80,John Senden,100,"73' 11""",81595,92,"4' 2""","132' 6"""
81,T80,T80,Matt Weibring,65,"73' 11""",48795,55,"4' 2""","139' 11"""
82,T83,T83,Mark Calcavecchia,72,"73' 10""",54952,62,"4' 2""","139' 4"""
83,T83,T83,Steve Stricker,81,"73' 10""",54933,62,"4' 2""","167' 4"""
84,85,85,Ryan Palmer,78,"73' 9""",61970,70,"4' 2""","157' 9"""
85,86,86,Corey Pavin,73,"73' 8""",47743,54,"4' 2""","141' 9"""
86,T87,T87,Eric Axley,71,"73' 7""",52086,59,"4' 2""","112' 0"""
87,T87,T87,Brian Bateman,55,"73' 7""",42385,48,"4' 1""","142' 7"""
88,T89,T89,Sergio Garcia,59,"73' 6""",38803,44,"4' 1""","120' 5"""
89,T89,T89,Brendon Todd,53,"73' 6""",41452,47,"4' 2""","142' 5"""
90,T91,T91,Michael Letzig,96,"73' 4""",75705,86,"4' 2""","147' 6"""
91,T91,T91,D.J. Trahan,96,"73' 4""",70387,80,"4' 2""","141' 6"""
92,T91,T91,Gary Woodland,53,"73' 4""",32571,37,"4' 2""","128' 6"""
93,T94,T94,Chris Riley,77,"73' 3""",58919,67,"4' 2""","163' 10"""
