,3-Putt_Avoidance_-_20-25_RANK THIS WEEK,3-Putt_Avoidance_-_20-25_RANK LAST WEEK,3-Putt_Avoidance_-_20-25_PLAYER NAME,3-Putt_Avoidance_-_20-25_ROUNDS,3-Putt_Avoidance_-_20-25_%,3-Putt_Avoidance_-_20-25_TOTAL 3 PUTTS,3-Putt_Avoidance_-_20-25_ATTEMPTS,3-Putt_Avoidance_-_20-25_2 PUTT OR BETTER %
0,T1,T1,Bart Bryant,58,0.0,,73,100.0
1,T1,T1,Ángel Cabrera,55,0.0,,40,100.0
2,T1,T1,Tim Clark,81,0.0,,91,100.0
3,T1,T1,David Duval,56,0.0,,70,100.0
4,T1,T1,Charles Howell III,99,0.0,,123,100.0
5,T1,T1,Lee Janzen,74,0.0,,89,100.0
6,T1,T1,Geoff Ogilvy,78,0.0,,81,100.0
7,T1,T1,Pat Perez,74,0.0,,69,100.0
8,T1,T1,Brandt Snedeker,81,0.0,,79,100.0
9,T1,T1,Steve Stricker,81,0.0,,92,100.0
10,T1,T1,Charlie Wi,92,0.0,,105,100.0
11,12,12,Mark Wilson,99,0.69,1.0,144,99.3
12,13,13,David Toms,98,0.7,1.0,142,99.3
13,14,14,Nick O'Hern,90,0.72,1.0,138,99.2
14,15,15,Troy Matteson,95,0.73,1.0,137,99.2
15,16,16,Marc Leishman,91,0.76,1.0,131,99.2
16,17,17,Greg Owen,97,0.82,1.0,122,99.1
17,18,18,George McNeill,82,0.84,1.0,119,99.1
18,T19,T19,Heath Slocum,95,0.85,1.0,117,99.1
19,T19,T19,Scott Verplank,88,0.85,1.0,118,99.1
20,21,21,Y.E. Yang,83,0.86,1.0,116,99.1
21,22,22,Vaughn Taylor,88,0.88,1.0,114,99.1
22,23,23,Chris DiMarco,97,0.89,1.0,112,99.1
23,24,24,Greg Chalmers,85,0.91,1.0,110,99.0
24,25,25,Cliff Kresge,78,0.93,1.0,107,99.0
25,T26,T26,Freddie Jacobson,83,0.95,1.0,105,99.0
26,T26,T26,Carl Pettersson,86,0.95,1.0,105,99.0
27,28,28,Ryan Palmer,78,1.01,1.0,99,98.9
28,29,29,Brett Quigley,92,1.02,1.0,98,98.9
29,T30,T30,Todd Hamilton,83,1.05,1.0,95,98.9
30,T30,T30,Jeff Overton,92,1.05,1.0,95,98.9
31,T32,T32,Bob Estes,78,1.08,1.0,93,98.9
32,T32,T32,Rory Sabbatini,81,1.08,1.0,93,98.9
33,34,34,Aaron Baddeley,66,1.09,1.0,92,98.9
34,35,35,Parker McLachlin,71,1.1,1.0,91,98.9
35,T36,T36,David Mathis,82,1.14,1.0,88,98.8
36,T36,T36,Jeff Quinney,78,1.14,1.0,88,98.8
37,T38,T38,Jim Furyk,86,1.15,1.0,87,98.8
38,T38,T38,Mike Weir,85,1.15,1.0,87,98.8
39,40,40,Charles Warren,63,1.19,1.0,84,98.8
40,41,41,Brad Faxon,59,1.2,1.0,83,98.8
41,42,42,Anthony Kim,76,1.22,1.0,82,98.7
42,43,43,Retief Goosen,74,1.25,1.0,80,98.7
43,44,44,Corey Pavin,73,1.27,1.0,79,98.7
44,T45,T45,Michael Allen,73,1.3,1.0,77,98.7
45,T45,T45,Bryce Molder,69,1.3,1.0,77,98.7
46,T47,T47,K.J. Choi,65,1.33,1.0,75,98.6
47,T47,T47,Bubba Watson,73,1.33,1.0,75,98.6
48,49,49,Kent Jones,73,1.35,1.0,74,98.6
49,T50,T50,Joe Durant,62,1.39,1.0,72,98.6
50,T50,T50,Bob Heintz,59,1.39,1.0,72,98.6
51,T50,T50,Nick Watney,86,1.39,1.0,72,98.6
52,53,53,Brian Gay,96,1.42,2.0,141,98.5
53,T54,T54,Brian Bateman,55,1.45,1.0,69,98.5
54,T54,T54,Ben Curtis,63,1.45,1.0,69,98.5
55,56,56,Kris Blanks,60,1.47,1.0,68,98.5
56,T57,T57,Matt Jones,56,1.54,1.0,65,98.4
57,T57,T57,Jarrod Lyle,65,1.54,1.0,65,98.4
58,59,59,Jason Bohn,88,1.63,2.0,123,98.3
59,T60,T60,Eric Axley,71,1.64,1.0,61,98.3
60,T60,T60,Chad Campbell,90,1.64,2.0,122,98.3
61,T60,T60,Sergio Garcia,59,1.64,1.0,61,98.3
62,T60,T60,Tom Lehman,55,1.64,1.0,61,98.3
63,T60,T60,Rick Price,54,1.64,1.0,61,98.3
64,T65,T65,Peter Lonard,86,1.69,2.0,118,98.3
65,T65,T65,Bo Van Pelt,100,1.69,2.0,118,98.3
66,T65,T65,Brian Vranesh,51,1.69,1.0,59,98.3
67,T68,T68,Mark Brooks,55,1.75,1.0,57,98.2
68,T68,T68,Justin Leonard,95,1.75,2.0,114,98.2
69,T68,T68,Tag Ridings,50,1.75,1.0,57,98.2
70,71,71,Hunter Mahan,94,1.82,2.0,110,98.1
