,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
0,1,1,Aaron Baddeley,66,43.93,514,1170
1,2,2,Parker McLachlin,71,43.9,561,1278
2,3,3,Luke Donald,79,43.86,600,1368
3,4,4,Webb Simpson,94,43.85,742,1692
4,T5,T5,Brad Faxon,59,43.79,465,1062
5,T5,T5,Joe Ogilvie,85,43.79,670,1530
6,7,7,Matt Kuchar,82,42.89,633,1476
7,8,8,Mike Weir,85,42.79,647,1512
8,9,9,Anthony Kim,76,42.49,566,1332
9,10,10,Padraig Harrington,66,42.48,497,1170
10,11,11,Daniel Chopra,89,42.38,679,1602
11,12,12,Pat Perez,74,42.36,549,1296
12,13,13,Ian Poulter,59,42.26,426,1008
13,14,14,Ryuji Imada,85,42.16,645,1530
14,15,15,Steve Stricker,81,42.12,599,1422
15,16,16,Tim Clark,81,41.74,586,1404
16,17,17,Tiger Woods,64,41.58,464,1116
17,18,18,Ben Crane,93,41.46,694,1674
18,19,19,Brian Gay,96,41.38,715,1728
19,20,20,Bob Estes,78,41.31,580,1404
20,21,21,Jim Furyk,86,41.16,615,1494
21,22,22,Retief Goosen,74,41.1,540,1314
22,23,23,Charlie Wi,92,41.0,679,1656
23,T24,T24,Matt Bettencourt,98,40.82,720,1764
24,T24,T24,Geoff Ogilvy,78,40.82,529,1296
25,26,26,Kevin Na,91,40.72,667,1638
26,27,27,Tom Pernice Jr.,82,40.65,600,1476
27,28,28,Stephen Ames,77,40.59,548,1350
28,29,29,Jeff Quinney,78,40.53,569,1404
29,30,30,Scott McCarron,91,40.48,663,1638
30,31,31,Tim Petrovic,97,40.44,706,1746
31,32,32,Phil Mickelson,66,40.3,457,1134
32,33,33,George McNeill,82,40.24,594,1476
33,T34,T34,Freddie Jacobson,83,40.16,600,1494
34,T34,T34,Jeff Overton,92,40.16,665,1656
35,T36,T36,Woody Austin,84,40.15,607,1512
36,T36,T36,Charley Hoffman,97,40.15,701,1746
37,38,38,Steve Lowery,83,40.09,599,1494
38,39,39,Brian Davis,103,40.08,743,1854
39,40,40,Zach Johnson,94,40.04,663,1656
40,41,41,Lucas Glover,93,40.02,670,1674
41,T42,T42,Justin Leonard,95,39.93,654,1638
42,T42,T42,Kenny Perry,92,39.93,654,1638
43,44,44,Hunter Mahan,94,39.86,660,1656
44,45,45,Justin Rose,71,39.84,502,1260
45,46,46,Ángel Cabrera,55,39.81,387,972
46,47,47,Nathan Green,104,39.74,744,1872
47,48,48,Brandt Snedeker,81,39.64,578,1458
48,49,49,Mark Calcavecchia,72,39.51,512,1296
49,50,50,Tim Herron,87,39.46,618,1566
50,51,51,Bob Heintz,59,39.36,418,1062
51,52,52,Ryan Palmer,78,39.32,552,1404
52,53,53,Rod Pampling,72,39.28,502,1278
