,Putts_per_Round_-_Round_1_RANK THIS WEEK,Putts_per_Round_-_Round_1_RANK LAST WEEK,Putts_per_Round_-_Round_1_PLAYER NAME,Putts_per_Round_-_Round_1_AVG,Putts_per_Round_-_Round_1_TOTAL PUTTS,Putts_per_Round_-_Round_1_TOTAL ROUNDS
0,1,1,Ian Poulter,27.44,439,16
1,2,2,Bob Heintz,27.61,497,18
2,3,3,Parker McLachlin,27.64,691,25
3,4,4,Bob Estes,27.74,638,23
4,5,5,Jerry Kelly,27.83,668,24
5,6,6,Brad Faxon,27.91,642,23
6,7,7,Charlie Wi,28.04,785,28
7,8,8,Vaughn Taylor,28.11,759,27
8,9,9,Brian Gay,28.15,732,26
9,T10,T10,Michael Letzig,28.19,761,27
10,T10,T10,Pat Perez,28.19,592,21
11,12,12,Greg Chalmers,28.21,677,24
12,13,13,Aaron Baddeley,28.27,622,22
13,14,14,Mike Weir,28.3,651,23
14,T15,T15,Padraig Harrington,28.32,538,19
15,T15,T15,Justin Leonard,28.32,708,25
16,T17,T17,Luke Donald,28.35,567,20
17,T17,T17,Phil Mickelson,28.35,482,17
18,19,19,Chris DiMarco,28.36,794,28
19,20,20,Joe Ogilvie,28.41,767,27
20,T21,T21,Nathan Green,28.45,825,29
21,T21,T21,Y.E. Yang,28.45,626,22
22,23,23,Johnson Wagner,28.46,740,26
23,24,24,Geoff Ogilvy,28.47,541,19
24,T25,T25,Bart Bryant,28.5,456,16
25,T25,T25,Paul Goydos,28.5,684,24
26,27,27,Ryuji Imada,28.52,713,25
27,28,28,Scott McCarron,28.54,742,26
28,T29,T29,Anthony Kim,28.57,600,21
29,T29,T29,Dean Wilson,28.57,800,28
30,T31,T31,Freddie Jacobson,28.58,686,24
31,T31,T31,John Rollins,28.58,743,26
32,33,33,Eric Axley,28.59,829,29
33,T34,T34,Steve Elkington,28.61,658,23
34,T34,T34,Bo Van Pelt,28.61,801,28
35,36,36,Lee Janzen,28.62,601,21
36,T37,T37,Ángel Cabrera,28.63,458,16
37,T37,T37,Retief Goosen,28.63,544,19
38,T39,T39,Tim Herron,28.7,775,27
39,T39,T39,Mark Wilson,28.7,775,27
40,T41,T41,Ken Duke,28.72,833,29
41,T41,T41,George McNeill,28.72,718,25
42,T43,T43,Colt Knost,28.73,632,22
43,T43,T43,Tim Petrovic,28.73,862,30
44,T43,T43,Webb Simpson,28.73,862,30
45,T46,T46,Daniel Chopra,28.75,805,28
46,T46,T46,Jeff Klauk,28.75,805,28
