,3-Putt_Avoidance_-_10-15_RANK THIS WEEK,3-Putt_Avoidance_-_10-15_RANK LAST WEEK,3-Putt_Avoidance_-_10-15_PLAYER NAME,3-Putt_Avoidance_-_10-15_ROUNDS,3-Putt_Avoidance_-_10-15_%,3-Putt_Avoidance_-_10-15_TOTAL 3 PUTTS,3-Putt_Avoidance_-_10-15_ATTEMPTS,3-Putt_Avoidance_-_10-15_2 PUTT OR BETTER %
0,T1,T1,Michael Allen,73,0.0,,155,100.0
1,T1,T1,Tommy Armour III,58,0.0,,136,100.0
2,T1,T1,Eric Axley,71,0.0,,145,100.0
3,T1,T1,Brian Bateman,55,0.0,,118,100.0
4,T1,T1,Cameron Beckman,87,0.0,,202,100.0
5,T1,T1,Greg Chalmers,85,0.0,,198,100.0
6,T1,T1,K.J. Choi,65,0.0,,139,100.0
7,T1,T1,Ben Curtis,63,0.0,,120,100.0
8,T1,T1,Luke Donald,79,0.0,,172,100.0
9,T1,T1,Ken Duke,87,0.0,,227,100.0
10,T1,T1,Joe Durant,62,0.0,,124,100.0
11,T1,T1,Ernie Els,70,0.0,,151,100.0
12,T1,T1,Bob Estes,78,0.0,,153,100.0
13,T1,T1,Brad Faxon,59,0.0,,129,100.0
14,T1,T1,Harrison Frazar,93,0.0,,238,100.0
15,T1,T1,Jim Furyk,86,0.0,,160,100.0
16,T1,T1,Retief Goosen,74,0.0,,144,100.0
17,T1,T1,Charles Howell III,99,0.0,,206,100.0
18,T1,T1,Greg Kraft,51,0.0,,114,100.0
19,T1,T1,Matt Kuchar,82,0.0,,201,100.0
20,T1,T1,Spencer Levin,75,0.0,,160,100.0
21,T1,T1,Jarrod Lyle,65,0.0,,150,100.0
22,T1,T1,Rocco Mediate,79,0.0,,159,100.0
23,T1,T1,John Merrick,91,0.0,,166,100.0
24,T1,T1,Phil Mickelson,66,0.0,,124,100.0
25,T1,T1,Rod Pampling,72,0.0,,172,100.0
26,T1,T1,Corey Pavin,73,0.0,,126,100.0
27,T1,T1,Pat Perez,74,0.0,,163,100.0
28,T1,T1,Kenny Perry,92,0.0,,201,100.0
29,T1,T1,Rick Price,54,0.0,,92,100.0
