,Total_Putting_RANK THIS WEEK,Total_Putting_RANK LAST WEEK,Total_Putting_PLAYER NAME,Total_Putting_EVENTS,Total_Putting_TOTAL
0,1,1,Brian Gay,27,38.6
1,2,2,Luke Donald,21,42.8
2,3,3,Brandt Snedeker,26,50.5
3,4,4,Freddie Jacobson,25,64.2
4,5,5,Brad Faxon,23,72.2
5,6,6,Jim Furyk,23,77.0
6,7,7,Bryce Molder,21,83.8
7,8,8,Kevin Na,26,86.1
8,9,9,Matt Kuchar,24,87.7
9,10,10,Tiger Woods,17,87.9
10,11,11,Geoff Ogilvy,20,89.6
11,12,12,Padraig Harrington,20,92.2
12,13,13,Greg Chalmers,26,92.5
13,14,14,Scott McCarron,27,93.2
14,15,15,Nathan Green,30,93.3
15,16,16,Corey Pavin,23,93.9
16,17,17,Matt Jones,17,96.3
17,18,18,Charlie Wi,28,96.7
18,19,19,Spencer Levin,25,98.2
19,20,20,Joe Ogilvie,29,104.9
20,21,21,Eric Axley,30,105.8
21,22,22,Tim Clark,23,106.5
22,23,23,Nick Watney,24,110.9
23,24,24,Zach Johnson,26,111.0
24,25,25,Aaron Baddeley,23,111.2
25,26,26,Stephen Ames,23,112.1
26,27,27,Pat Perez,22,113.3
27,28,28,Bob Heintz,20,116.6
28,29,29,Jeff Klauk,29,116.7
29,30,30,Stewart Cink,22,117.5
30,31,31,Ryuji Imada,25,117.7
31,32,32,Carl Pettersson,29,119.3
32,33,33,Retief Goosen,20,119.7
33,34,34,Ryan Moore,27,120.5
34,35,35,Ben Curtis,18,127.1
35,36,36,Ben Crane,27,127.5
36,37,37,Anthony Kim,22,130.4
37,T38,T38,Richard Johnson,26,131.3
38,T38,T38,Webb Simpson,30,131.3
39,40,40,Mike Weir,24,131.8
40,41,41,Justin Leonard,26,132.6
41,42,42,Tim Petrovic,31,133.3
42,43,43,Vaughn Taylor,28,133.5
43,44,44,Jason Day,18,136.3
44,45,45,Harrison Frazar,28,139.6
45,46,46,Jerry Kelly,26,139.9
46,47,47,Ryan Palmer,26,144.8
47,48,48,Hunter Mahan,25,145.5
48,49,49,Parker McLachlin,25,146.2
49,50,50,George McNeill,26,150.3
50,T51,T51,Chris Riley,22,150.7
51,T51,T51,Bo Van Pelt,30,150.7
52,53,53,Dean Wilson,29,152.0
53,54,54,Dustin Johnson,25,153.7
54,55,55,David Toms,27,156.2
55,56,56,Aron Price,27,156.8
56,57,57,Mark Wilson,28,157.8
57,58,58,Kevin Sutherland,27,159.6
58,59,59,James Nitties,27,159.7
59,60,60,Charley Hoffman,27,159.8
60,61,61,Daniel Chopra,28,160.6
61,62,62,Woody Austin,24,161.3
62,63,63,Ian Poulter,17,162.2
63,T64,T64,Ángel Cabrera,17,163.6
64,T64,T64,Jeff Quinney,26,163.6
65,66,66,Scott Piercy,28,167.3
66,67,67,David Mathis,27,168.4
67,68,68,Steve Stricker,22,168.6
68,69,69,Bob Estes,23,169.4
69,70,70,Kenny Perry,24,170.1
70,71,71,Jeff Overton,28,171.0
71,72,72,Steve Marino,29,171.1
72,73,73,Scott Verplank,24,171.8
73,74,74,Bill Lunde,27,173.8
74,75,75,Brian Bateman,25,174.3
75,76,76,Brad Adamonis,25,175.4
76,77,77,John Mallinger,27,179.0
77,78,78,Kevin Streelman,29,179.3
78,79,79,Sergio Garcia,17,182.7
79,T80,T80,Colt Knost,24,184.5
80,T80,T80,John Senden,29,184.5
81,82,82,Phil Mickelson,18,185.1
82,83,83,Brendon Todd,21,186.3
83,84,84,Andres Romero,20,187.8
84,85,85,Tommy Armour III,19,192.0
85,86,86,Todd Hamilton,29,193.5
86,87,87,Justin Rose,22,194.9
87,88,88,Martin Laird,24,198.9
88,89,89,Jarrod Lyle,21,199.0
89,90,90,Marc Leishman,28,205.7
90,91,91,David Duval,22,206.1
91,92,92,J.J. Henry,28,206.5
92,T93,T93,Chad Campbell,26,206.7
93,T93,T93,John Merrick,28,206.7
94,95,95,Johnson Wagner,26,209.3
95,96,96,Brian Davis,32,210.3
96,97,97,Cliff Kresge,28,211.0
97,98,98,Tim Herron,27,211.6
98,99,99,K.J. Choi,22,211.7
99,100,100,Jason Dufner,26,211.9
100,101,101,Rory Sabbatini,25,212.2
101,102,102,Ted Purdy,30,212.9
102,103,103,Steve Lowery,27,213.3
103,104,104,Lucas Glover,26,214.4
104,105,105,Cameron Beckman,26,214.5
105,106,106,Lee Janzen,23,214.8
106,107,107,Mark Calcavecchia,23,216.6
107,108,108,Rich Beem,26,219.0
108,109,109,Troy Matteson,30,219.7
109,T110,T110,Paul Goydos,25,219.8
110,T110,T110,Charles Howell III,29,219.8
