,3-Putt_Avoidance__25_RANK THIS WEEK,3-Putt_Avoidance__25_RANK LAST WEEK,3-Putt_Avoidance__25_PLAYER NAME,3-Putt_Avoidance__25_ROUNDS,3-Putt_Avoidance__25_%,3-Putt_Avoidance__25_TOTAL 3 PUTTS,3-Putt_Avoidance__25_ATTEMPTS,3-Putt_Avoidance__25_2 PUTT OR BETTER %
0,1,1,Brad Faxon,59,3.83,8,209,96.1
1,2,2,Bob Heintz,59,4.9,10,204,95.1
2,3,3,Charlie Wi,92,5.59,18,322,94.4
3,4,4,Chez Reavie,81,5.63,16,284,94.3
4,5,5,Tiger Woods,64,5.66,12,212,94.3
5,6,6,Brian Gay,96,5.9,19,322,94.1
6,7,7,Scott McCarron,91,5.91,24,406,94.0
7,8,8,John Merrick,91,5.94,18,303,94.0
8,9,9,Jeff Klauk,97,6.03,26,431,93.9
9,T10,T10,Stewart Cink,79,6.2,15,242,93.8
10,T10,T10,Justin Leonard,95,6.2,17,274,93.8
11,12,12,Spencer Levin,75,6.23,20,321,93.7
12,T13,T13,Sergio Garcia,59,6.25,12,192,93.7
13,T13,T13,Corey Pavin,73,6.25,15,240,93.7
14,15,15,Jarrod Lyle,65,6.31,14,222,93.6
15,16,16,Jim Furyk,86,6.39,17,266,93.6
16,17,17,John Senden,100,6.4,29,453,93.6
17,18,18,Vaughn Taylor,88,6.48,21,324,93.5
18,19,19,Carl Pettersson,86,6.6,21,318,93.4
19,20,20,Padraig Harrington,66,6.63,11,166,93.3
20,21,21,Luke Donald,79,6.64,15,226,93.3
21,22,22,Scott Verplank,88,6.67,21,315,93.3
22,23,23,Nick Watney,86,6.81,22,323,93.1
23,24,24,Tommy Armour III,58,6.93,14,202,93.0
24,25,25,Phil Mickelson,66,6.95,13,187,93.0
25,26,26,Ryuji Imada,85,7.04,20,284,92.9
26,27,27,Eric Axley,71,7.17,18,251,92.8
27,28,28,Brandt Snedeker,81,7.25,20,276,92.7
28,29,29,Freddie Jacobson,83,7.26,22,303,92.7
29,30,30,Kevin Sutherland,96,7.4,25,338,92.6
30,T31,T31,Retief Goosen,74,7.49,17,227,92.5
31,T31,T31,David Toms,98,7.49,23,307,92.5
32,33,33,Brian Bateman,55,7.51,16,213,92.4
33,34,34,Tim Petrovic,97,7.53,28,372,92.4
34,35,35,Woody Austin,84,7.59,24,316,92.4
35,36,36,Ben Crane,93,7.6,26,342,92.4
36,37,37,Bob Estes,78,7.64,22,288,92.3
37,38,38,Kevin Na,91,7.69,24,312,92.3
38,39,39,Tag Ridings,50,7.77,15,193,92.2
39,40,40,Geoff Ogilvy,78,7.79,18,231,92.2
40,T41,T41,Charles Howell III,99,7.82,28,358,92.1
41,T41,T41,Steve Marino,98,7.82,29,371,92.1
42,43,43,David Duval,56,7.88,13,165,92.1
43,44,44,John Mallinger,90,7.93,23,290,92.0
44,45,45,Harrison Frazar,93,7.94,27,340,92.0
45,46,46,Richard Johnson,85,8.01,27,337,91.9
46,47,47,Zach Johnson,94,8.06,27,335,91.9
47,48,48,Aaron Baddeley,66,8.11,18,222,91.8
48,49,49,K.J. Choi,65,8.13,17,209,91.8
49,50,50,Rory Sabbatini,81,8.16,20,245,91.8
50,51,51,Scott Piercy,85,8.22,29,353,91.7
51,52,52,Matt Jones,56,8.23,19,231,91.7
52,T53,T53,Tim Clark,81,8.33,16,192,91.6
53,T53,T53,Steve Elkington,70,8.33,23,276,91.6
54,T53,T53,James Nitties,86,8.33,28,336,91.6
55,56,56,Nick O'Hern,90,8.38,30,358,91.6
56,57,57,Dustin Johnson,85,8.47,21,248,91.5
57,58,58,Johnson Wagner,81,8.51,28,329,91.4
58,59,59,Ryan Moore,89,8.52,30,352,91.4
59,T60,T60,Jason Bohn,88,8.61,29,337,91.3
60,T60,T60,Bryce Molder,69,8.61,21,244,91.3
61,62,62,Colt Knost,71,8.66,22,254,91.3
62,T63,T63,Greg Chalmers,85,8.68,25,288,91.3
63,T63,T63,Chris DiMarco,97,8.68,31,357,91.3
64,T65,T65,Bart Bryant,58,8.7,18,207,91.3
65,T65,T65,Ian Poulter,59,8.7,14,161,91.3
66,67,67,J.J. Henry,97,8.71,37,425,91.2
67,68,68,Nathan Green,104,8.75,37,423,91.2
68,69,69,Jimmy Walker,74,8.81,23,261,91.1
69,70,70,Brendon Todd,53,8.84,19,215,91.1
70,71,71,Charley Hoffman,97,8.86,32,361,91.1
71,72,72,Michael Allen,73,8.88,23,259,91.1
72,73,73,Chris Riley,77,8.92,24,269,91.0
73,74,74,Ryan Palmer,78,8.97,26,290,91.0
74,75,75,Stephen Ames,77,8.98,22,245,91.0
75,76,76,Chad Campbell,90,9.06,26,287,90.9
76,T77,T77,Todd Hamilton,83,9.09,24,264,90.9
77,T77,T77,Kent Jones,73,9.09,26,286,90.9
78,T77,T77,Anthony Kim,76,9.09,21,231,90.9
79,T77,T77,Steve Stricker,81,9.09,22,242,90.9
80,81,81,Daniel Chopra,89,9.15,30,328,90.8
81,82,82,Jerry Kelly,90,9.22,27,293,90.7
82,83,83,Patrick Sheehan,51,9.25,16,173,90.7
83,84,84,Pat Perez,74,9.26,25,270,90.7
84,85,85,Troy Matteson,95,9.27,37,399,90.7
85,86,86,Matt Kuchar,82,9.35,26,278,90.6
86,87,87,Mike Weir,85,9.45,24,254,90.5
87,88,88,Joe Ogilvie,85,9.54,29,304,90.4
88,89,89,Mathew Goggin,76,9.59,26,271,90.4
89,90,90,Ben Curtis,63,9.63,21,218,90.3
90,91,91,Aron Price,89,9.66,34,352,90.3
91,92,92,Casey Wittenberg,71,9.72,24,247,90.2
92,93,93,Mark Wilson,99,9.76,37,379,90.2
93,94,94,Jason Dufner,90,9.78,31,317,90.2
94,95,95,Boo Weekley,79,9.85,27,274,90.1
95,T96,T96,Brad Adamonis,70,9.96,25,251,90.0
96,T96,T96,Dean Wilson,81,9.96,28,281,90.0
97,98,98,Jeff Quinney,78,9.97,29,291,90.0
98,T99,T99,Rich Beem,77,10.0,27,270,90.0
99,T99,T99,Davis Love III,89,10.0,33,330,90.0
100,T99,T99,Camilo Villegas,76,10.0,25,250,90.0
101,102,102,Billy Mayfair,83,10.06,33,328,89.9
102,T103,T103,Briny Baird,89,10.09,34,337,89.9
103,T103,T103,Chris Stroud,88,10.09,35,347,89.9
104,105,105,Scott Sterling,51,10.17,18,177,89.8
105,106,106,D.A. Points,99,10.2,40,392,89.8
106,107,107,John Rollins,92,10.23,36,352,89.7
107,108,108,Andres Romero,58,10.24,21,205,89.7
108,109,109,Jason Day,61,10.28,22,214,89.7
109,110,110,Brian Davis,103,10.29,36,350,89.7
110,111,111,Brett Quigley,92,10.32,35,339,89.6
111,112,112,Kenny Perry,92,10.34,33,319,89.6
112,113,113,Webb Simpson,94,10.36,35,338,89.6
113,114,114,Marc Turnesa,77,10.4,36,346,89.6
114,115,115,Cameron Beckman,87,10.41,33,317,89.5
115,116,116,Heath Slocum,95,10.43,36,345,89.5
116,117,117,Lucas Glover,93,10.44,33,316,89.5
117,118,118,Ernie Els,70,10.58,22,208,89.4
118,119,119,Hunter Mahan,94,10.61,35,330,89.3
119,120,120,Bubba Watson,73,10.68,25,234,89.3
120,121,121,Kevin Stadler,65,10.73,25,233,89.2
121,T122,T122,Bill Lunde,83,10.75,36,335,89.2
122,T122,T122,Tom Pernice Jr.,82,10.75,33,307,89.2
123,124,124,Bo Van Pelt,100,10.82,37,342,89.1
124,125,125,Tim Herron,87,10.84,35,323,89.1
125,126,126,Jeff Overton,92,10.86,34,313,89.1
126,127,127,David Mathis,82,10.88,31,285,89.1
127,128,128,Tom Lehman,55,10.91,18,165,89.0
128,129,129,Kevin Streelman,97,10.92,44,403,89.0
129,130,130,Ken Duke,87,10.98,29,264,89.0
130,131,131,George McNeill,82,11.0,33,300,89.0
131,132,132,Martin Laird,72,11.03,31,281,88.9
132,133,133,Jonathan Byrd,89,11.08,37,334,88.9
133,134,134,Ted Purdy,101,11.11,44,396,88.8
134,135,135,Stuart Appleby,79,11.24,29,258,88.7
135,T136,T136,Justin Rose,71,11.3,27,239,88.7
136,T136,T136,D.J. Trahan,96,11.3,40,354,88.7
137,138,138,Lee Janzen,74,11.34,28,247,88.6
138,139,139,Marc Leishman,91,11.4,44,386,88.6
139,140,140,Paul Goydos,79,11.45,30,262,88.5
140,141,141,Greg Owen,97,11.5,46,400,88.5
141,142,142,Parker McLachlin,71,11.52,31,269,88.4
142,T143,T143,Mark Brooks,55,11.54,18,156,88.4
143,T143,T143,Michael Letzig,96,11.54,39,338,88.4
144,145,145,Alex Cejka,82,11.66,33,283,88.3
145,146,146,Fred Couples,54,11.76,22,187,88.2
146,147,147,Steve Lowery,83,11.8,36,305,88.2
147,148,148,Sean O'Hair,80,11.83,31,262,88.1
148,149,149,Derek Fathauer,63,12.02,25,208,87.9
149,150,150,Kris Blanks,60,12.09,22,182,87.9
150,151,151,Bill Haas,91,12.13,45,371,87.8
151,152,152,Glen Day,79,12.2,35,287,87.8
152,153,153,Adam Scott,53,12.44,25,201,87.5
153,154,154,Rod Pampling,72,12.45,32,257,87.5
154,155,155,Ángel Cabrera,55,12.58,20,159,87.4
155,156,156,Steve Flesch,77,12.6,33,262,87.4
156,157,157,Cliff Kresge,78,12.82,35,273,87.1
157,158,158,Peter Lonard,86,12.95,43,332,87.0
158,159,159,Y.E. Yang,83,13.01,38,292,86.9
159,160,160,Brendon de Jonge,90,13.27,43,324,86.7
160,161,161,Matt Bettencourt,98,13.35,49,367,86.6
161,162,162,Will MacKenzie,69,13.39,32,239,86.6
162,163,163,Rocco Mediate,79,13.41,37,276,86.5
