,GIR_Putting_-__25_RANK THIS WEEK,GIR_Putting_-__25_RANK LAST WEEK,GIR_Putting_-__25_PLAYER NAME,GIR_Putting_-__25_ROUNDS,GIR_Putting_-__25_%,GIR_Putting_-__25_ATTEMPTS,GIR_Putting_-__25_PUTTS MADE
0,1,1,Ted Purdy,101,9.46,370,35
1,2,2,Brad Faxon,59,9.19,185,17
2,3,3,Ben Crane,93,8.54,328,28
3,4,4,Kenny Perry,92,8.36,299,25
4,5,5,Webb Simpson,94,8.09,309,25
5,6,6,Lee Janzen,74,8.07,223,18
6,T7,T7,Jeff Overton,92,7.8,295,23
7,T7,T7,Charlie Wi,92,7.8,295,23
8,9,9,Tiger Woods,64,7.61,197,15
9,10,10,Greg Chalmers,85,7.52,266,20
10,11,11,Jim Furyk,86,7.51,253,19
11,12,12,Fred Couples,54,7.43,175,13
12,13,13,Rod Pampling,72,7.38,244,18
13,14,14,Nick O'Hern,90,7.35,340,25
14,15,15,Johnson Wagner,81,7.26,303,22
15,16,16,D.A. Points,99,7.14,364,26
16,17,17,Spencer Levin,75,7.05,298,21
17,18,18,Jason Day,61,7.04,199,14
18,19,19,Cameron Beckman,87,7.02,299,21
19,20,20,Joe Durant,62,7.0,200,14
20,21,21,Ryuji Imada,85,6.98,258,18
21,22,22,Steve Flesch,77,6.97,244,17
22,23,23,Matt Kuchar,82,6.9,261,18
23,T24,T24,Ben Curtis,63,6.86,204,14
24,T24,T24,Jeff Klauk,97,6.86,408,28
25,26,26,Kevin Sutherland,96,6.85,321,22
26,T27,T27,Aaron Baddeley,66,6.83,205,14
27,T27,T27,Parker McLachlin,71,6.83,249,17
28,29,29,Patrick Sheehan,51,6.79,162,11
29,T30,T30,John Merrick,91,6.77,266,18
30,T30,T30,Matt Weibring,65,6.77,192,13
31,T32,T32,Luke Donald,79,6.73,208,14
32,T32,T32,Steve Stricker,81,6.73,223,15
33,34,34,Bart Bryant,58,6.7,194,13
34,35,35,James Nitties,86,6.69,314,21
35,T36,T36,Brian Davis,103,6.63,332,22
36,T36,T36,Tim Petrovic,97,6.63,347,23
37,38,38,Ian Poulter,59,6.62,151,10
38,39,39,Carl Pettersson,86,6.53,291,19
39,40,40,Justin Rose,71,6.52,230,15
40,41,41,Harrison Frazar,93,6.45,310,20
41,42,42,Woody Austin,84,6.44,295,19
42,43,43,Marc Turnesa,77,6.43,311,20
43,44,44,Lucas Glover,93,6.4,297,19
44,45,45,Geoff Ogilvy,78,6.39,219,14
45,T46,T46,Hunter Mahan,94,6.38,298,19
46,T46,T46,Ryan Moore,89,6.38,329,21
47,48,48,Paul Goydos,79,6.37,251,16
48,49,49,Kevin Stadler,65,6.36,220,14
49,50,50,Phil Mickelson,66,6.29,175,11
50,51,51,Adam Scott,53,6.21,177,11
51,52,52,Davis Love III,89,6.15,309,19
52,53,53,Robert Garrigus,83,6.12,278,17
53,54,54,David Toms,98,6.1,295,18
54,55,55,Joe Ogilvie,85,6.09,279,17
55,56,56,Peter Lonard,86,6.07,313,19
56,T57,T57,Bob Estes,78,6.02,266,16
57,T57,T57,Pat Perez,74,6.02,249,15
58,59,59,Daniel Chopra,89,6.0,300,18
59,60,60,Bubba Watson,73,5.99,217,13
60,61,61,Jason Dufner,90,5.96,302,18
61,T62,T62,Kris Blanks,60,5.92,169,10
62,T62,T62,Kevin Na,91,5.92,287,17
63,64,64,D.J. Trahan,96,5.9,339,20
64,T65,T65,Mark Brooks,55,5.88,153,9
65,T65,T65,Dustin Johnson,85,5.88,221,13
66,67,67,Corey Pavin,73,5.86,222,13
67,T68,T68,Tim Clark,81,5.85,188,11
68,T68,T68,Mark Wilson,99,5.85,359,21
69,70,70,Mike Weir,85,5.83,240,14
70,T71,T71,Richard Johnson,85,5.79,311,18
71,T71,T71,Jimmy Walker,74,5.79,242,14
72,73,73,Bill Haas,91,5.75,348,20
73,T74,T74,Greg Kraft,51,5.73,157,9
74,T74,T74,Chez Reavie,81,5.73,262,15
75,76,76,Steve Elkington,70,5.7,263,15
76,77,77,Kirk Triplett,60,5.66,212,12
77,T78,T78,Sergio Garcia,59,5.62,178,10
78,T78,T78,David Mathis,82,5.62,267,15
79,80,80,Brian Gay,96,5.61,303,17
80,T81,T81,Dean Wilson,81,5.6,268,15
81,T81,T81,Casey Wittenberg,71,5.6,232,13
82,83,83,Gary Woodland,53,5.59,161,9
83,84,84,Michael Allen,73,5.58,233,13
84,T85,T85,Derek Fathauer,63,5.49,182,10
85,T85,T85,John Rollins,92,5.49,328,18
86,87,87,Scott Piercy,85,5.43,313,17
87,88,88,Zach Johnson,94,5.4,315,17
88,89,89,Todd Hamilton,83,5.39,241,13
89,T90,T90,Steve Marino,98,5.38,353,19
90,T90,T90,Andres Romero,58,5.38,186,10
91,92,92,Leif Olson,51,5.36,168,9
92,93,93,Michael Letzig,96,5.35,318,17
93,94,94,Bob Heintz,59,5.32,188,10
94,95,95,Chris Stroud,88,5.31,320,17
95,T96,T96,Brendon de Jonge,90,5.3,302,16
