,Total_1_Putts_-_5-10_RANK THIS WEEK,Total_1_Putts_-_5-10_RANK LAST WEEK,Total_1_Putts_-_5-10_PLAYER NAME,Total_1_Putts_-_5-10_ROUNDS,Total_1_Putts_-_5-10_TOTAL,Total_1_Putts_-_5-10_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_5-10_PCT OF ALL 1-PUTTS
0,1,1,Brian Davis,103,203,691,29.4
1,2,2,Webb Simpson,94,198,691,28.7
2,3,3,Nathan Green,104,197,688,28.6
3,4,4,Mark Wilson,99,187,635,29.4
4,5,5,Brian Gay,96,184,658,28.0
5,6,6,Bo Van Pelt,100,179,621,28.8
6,T7,T7,Daniel Chopra,89,170,639,26.6
7,T7,T7,Joe Ogilvie,85,170,618,27.5
8,T9,T9,Marc Leishman,91,168,583,28.8
9,T9,T9,Kevin Streelman,97,168,597,28.1
10,T11,T11,Ben Crane,93,167,596,28.0
11,T11,T11,Charlie Wi,92,167,598,27.9
12,T13,T13,Woody Austin,84,166,548,30.3
13,T13,T13,Harrison Frazar,93,166,625,26.6
14,15,15,Charley Hoffman,97,165,640,25.8
15,T16,T16,Troy Matteson,95,164,580,28.3
16,T16,T16,Ted Purdy,101,164,622,26.4
17,T18,T18,Lucas Glover,93,163,574,28.4
18,T18,T18,Charles Howell III,99,163,559,29.2
19,T18,T18,Nick O'Hern,90,163,601,27.1
20,T18,T18,Jeff Overton,92,163,588,27.7
21,T18,T18,Greg Owen,97,163,518,31.5
22,23,23,Tim Petrovic,97,162,649,25.0
23,T24,T24,Bill Haas,91,161,585,27.5
24,T24,T24,Zach Johnson,94,161,581,27.7
25,T26,T26,Ryan Moore,89,160,546,29.3
26,T26,T26,Kevin Na,91,160,605,26.4
27,28,28,Parker McLachlin,71,159,529,30.1
28,T29,T29,Jerry Kelly,90,157,589,26.7
29,T29,T29,Matt Kuchar,82,157,556,28.2
30,T29,T29,Heath Slocum,95,157,565,27.8
31,T32,T32,Steve Lowery,83,156,557,28.0
32,T32,T32,David Mathis,82,156,512,30.5
33,T32,T32,Scott McCarron,91,156,590,26.4
34,T32,T32,George McNeill,82,156,569,27.4
35,36,36,Mike Weir,85,155,534,29.0
36,T37,T37,Matt Bettencourt,98,153,634,24.1
37,T37,T37,Nicholas Thompson,96,153,590,25.9
38,T39,T39,Tim Herron,87,152,576,26.4
39,T39,T39,John Senden,100,152,594,25.6
40,T41,T41,Jeff Klauk,97,151,610,24.8
41,T41,T41,Hunter Mahan,94,151,543,27.8
42,T41,T41,Kevin Sutherland,96,151,522,28.9
43,44,44,Richard Johnson,85,150,513,29.2
44,T45,T45,Jason Bohn,88,149,542,27.5
45,T45,T45,Tom Pernice Jr.,82,149,545,27.3
46,T47,T47,Freddie Jacobson,83,148,550,26.9
47,T47,T47,Vaughn Taylor,88,148,568,26.1
48,T47,T47,Scott Verplank,88,148,559,26.5
49,T50,T50,Jason Dufner,90,145,555,26.1
50,T50,T50,J.J. Henry,97,145,528,27.5
51,T52,T52,Michael Letzig,96,144,633,22.7
52,T52,T52,John Rollins,92,144,565,25.5
53,T52,T52,David Toms,98,144,560,25.7
54,T55,T55,Greg Chalmers,85,143,534,26.8
55,T55,T55,Steve Marino,98,143,585,24.4
56,T55,T55,Brandt Snedeker,81,143,503,28.4
57,T58,T58,Cameron Beckman,87,142,512,27.7
58,T58,T58,Bill Lunde,83,142,515,27.6
59,T58,T58,Kenny Perry,92,142,542,26.2
60,T61,T61,Cliff Kresge,78,141,490,28.8
61,T61,T61,Scott Piercy,85,141,515,27.4
62,T63,T63,Chris DiMarco,97,140,619,22.6
63,T63,T63,Carl Pettersson,86,140,534,26.2
64,T63,T63,Johnson Wagner,81,140,499,28.1
65,T66,T66,Brendon de Jonge,90,139,533,26.1
66,T66,T66,Ryuji Imada,85,139,530,26.2
67,T66,T66,Ryan Palmer,78,139,499,27.9
68,T66,T66,Brett Quigley,92,139,523,26.6
69,T70,T70,Alex Cejka,82,138,493,28.0
70,T70,T70,Y.E. Yang,83,138,491,28.1
