,Consecutive_Sand_Saves_RANK THIS WEEK,Consecutive_Sand_Saves_RANK LAST WEEK,Consecutive_Sand_Saves_PLAYER NAME,Consecutive_Sand_Saves_EVENTS,Consecutive_Sand_Saves_STREAK,Consecutive_Sand_Saves_CURRENT STREAK,Consecutive_Sand_Saves_ROUND,Consecutive_Sand_Saves_HOLE,Consecutive_Sand_Saves_YEAR/TOURN#
0,T1,T1,Anthony Painter,31,13,5.0,2,18,2003180
1,T1,T1,Mark Wilson,30,13,,3,9,2003370
2,T3,T3,Doug Barron,32,12,,1,5,2003320
3,T3,T3,John Huston,23,12,1.0,1,2,2003420
4,T3,T3,Kenny Perry,26,12,3.0,1,7,2003210
5,T3,T3,Hidemichi Tanaka,30,12,,3,8,2003240
6,T3,T3,Tiger Woods,18,12,,4,16,2003270
7,T8,T8,Stuart Appleby,27,11,2.0,3,1,2003230
8,T8,T8,Vijay Singh,27,11,1.0,3,11,2003200
9,T8,T8,Jay Williamson,31,11,,3,2,2003140
10,T11,T11,Steven Alker,30,10,5.0,4,14,2003290
11,T11,T11,Todd Barranger,31,10,,1,12,2003320
12,T11,T11,Notah Begay III,30,10,,1,7,2003260
13,T11,T11,Bob Burns,28,10,4.0,4,2,2003360
14,T11,T11,Danny Ellis,10,10,,2,4,2003280
15,T11,T11,Dan Forsman,27,10,1.0,3,8,2003230
16,T11,T11,Brian Gay,34,10,2.0,2,15,2003160
17,T11,T11,Skip Kendall,30,10,,2,2,2003160
18,T19,T19,Aaron Baddeley,20,9,1.0,1,8,2003380
19,T19,T19,Jonathan Byrd,29,9,,1,11,2003130
20,T19,T19,John Daly,22,9,,4,12,2003320
21,T19,T19,Carlos Franco,30,9,,4,13,2003270
22,T19,T19,Paul Goydos,25,9,1.0,2,15,2003440
23,T19,T19,Jay Haas,25,9,1.0,1,16,2003250
24,T19,T19,Dudley Hart,22,9,,1,3,2003270
25,T19,T19,Matt Kuchar,23,9,1.0,2,2,2003250
26,T19,T19,John Maginnes,29,9,,2,5,2003040
27,T19,T19,Len Mattiace,27,9,,3,16,2003210
28,T19,T19,Scott McCarron,27,9,2.0,1,3,2003180
29,T19,T19,Jesper Parnevik,31,9,1.0,1,7,2003020
30,T19,T19,John Rollins,27,9,4.0,1,17,2003450
31,T19,T19,Scott Verplank,26,9,,3,7,2003150
32,T33,T33,Olin Browne,34,8,,4,7,2003200
33,T33,T33,Jason Buha,25,8,2.0,1,1,2003280
34,T33,T33,Tom Byrum,31,8,2.0,4,1,2003160
35,T33,T33,Greg Chalmers,32,8,,1,13,2003020
36,T33,T33,Stewart Cink,28,8,,2,8,2003240
37,T33,T33,Tim Clark,25,8,,4,12,2003050
38,T33,T33,Ben Curtis,21,8,,1,2,2003200
39,T33,T33,Todd Fischer,32,8,,2,5,2003160
40,T33,T33,Mathew Goggin,28,8,1.0,4,12,2003460
41,T33,T33,J.J. Henry,31,8,1.0,1,14,2003320
42,T33,T33,Charles Howell III,31,8,,1,4,2003190
43,T33,T33,Lee Janzen,25,8,,3,2,2003220
44,T33,T33,Shigeki Maruyama,28,8,,4,4,2003420
45,T33,T33,Bob May,7,8,1.0,4,11,2003050
46,T33,T33,Billy Mayfair,31,8,1.0,4,18,2003370
47,T33,T33,Arron Oberholser,25,8,,1,13,2003020
48,T33,T33,Geoff Ogilvy,26,8,3.0,2,18,2003270
49,T33,T33,Pat Perez,33,8,3.0,1,12,2003450
50,T33,T33,John Senden,33,8,1.0,2,5,2003170
51,T33,T33,David Toms,26,8,1.0,3,5,2003200
52,T33,T33,Duffy Waldorf,25,8,,1,1,2003120
53,T54,T54,Robert Allenby,24,7,1.0,2,13,2003200
54,T54,T54,Billy Andrade,29,7,1.0,1,8,2003180
55,T54,T54,Pat Bates,35,7,5.0,2,5,2003040
56,T54,T54,Rich Beem,26,7,1.0,1,12,2003270
57,T54,T54,Jeff Brehaut,32,7,3.0,1,7,2003420
58,T54,T54,Mark Calcavecchia,24,7,2.0,4,12,2003160
59,T54,T54,Jim Carter,33,7,,1,1,2003160
60,T54,T54,Alex Cejka,30,7,1.0,1,10,2003360
61,T54,T54,Darren Clarke,16,7,,3,12,2003060
62,T54,T54,José Coceres,21,7,,1,12,2003260
63,T54,T54,Gavin Coles,28,7,,2,17,2003080
64,T54,T54,John Cook,10,7,,2,14,2003020
65,T54,T54,Bob Estes,25,7,1.0,1,12,2003430
66,T54,T54,Robin Freeman,12,7,,2,13,2003280
67,T54,T54,Tom Gillis,25,7,1.0,4,13,2003060
68,T54,T54,Bill Glasson,13,7,,4,7,2003420
69,T54,T54,Matt Gogel,25,7,3.0,1,2,2003170
70,T54,T54,Tim Herron,29,7,2.0,4,7,2003230
71,T54,T54,Per-Ulrik Johansson,31,7,,3,6,2003450
72,T54,T54,Jerry Kelly,30,7,3.0,2,1,2003250
73,T54,T54,Jeff Klein,25,7,2.0,2,14,2003180
74,T54,T54,Neal Lancaster,35,7,5.0,2,10,2003250
75,T54,T54,Justin Leonard,23,7,,2,1,2003160
76,T54,T54,J.L. Lewis,31,7,3.0,1,3,2003390
77,T54,T54,Peter Lonard,26,7,3.0,4,10,2003190
78,T54,T54,Davis Love III,23,7,,2,14,2003240
79,T54,T54,Spike McRoy,35,7,,3,11,2003210
80,T54,T54,Peter O'Malley,3,7,,2,7,2003220
81,T54,T54,Deane Pappas,24,7,1.0,2,7,2003250
82,T54,T54,Nick Price,17,7,1.0,4,13,2003190
83,T54,T54,Brett Quigley,27,7,1.0,2,10,2003080
84,T54,T54,Chris Riley,29,7,,4,8,2003380
85,T54,T54,"Dave Stockton, Jr.",31,7,3.0,2,5,2003020
86,T54,T54,Steve Stricker,21,7,3.0,3,13,2003140
87,T54,T54,Kevin Sutherland,27,7,1.0,4,3,2003240
88,T54,T54,Stan Utley,11,7,5.0,2,2,2003280
89,T54,T54,Grant Waite,18,7,,2,16,2003260
90,T54,T54,Garrett Willis,32,7,,1,10,2003280
91,T54,T54,Cameron Yancey,23,7,,4,18,2003140
92,T93,T93,Stephen Ames,27,6,,4,18,2003450
93,T93,T93,Chris Anderson,31,6,,4,4,2003460
94,T93,T93,Paul Azinger,26,6,3.0,2,8,2003250
95,T93,T93,Cameron Beckman,26,6,,1,18,2003040
96,T93,T93,Jay Don Blake,27,6,1.0,1,17,2003180
97,T93,T93,Chad Campbell,27,6,3.0,3,13,2003080
98,T93,T93,K.J. Choi,32,6,1.0,2,12,2003470
99,T93,T93,Robert Damron,32,6,,4,18,2003240
100,T93,T93,Chris DiMarco,27,6,2.0,3,15,2003360
101,T93,T93,Luke Donald,27,6,,1,2,2003420
102,T93,T93,David Duval,20,6,,2,14,2003180
103,T93,T93,Brad Faxon,27,6,3.0,4,2,2003430
104,T93,T93,Steve Flesch,33,6,,4,14,2003080
105,T93,T93,David Frost,26,6,3.0,2,9,2003370
106,T93,T93,Fred Funk,33,6,2.0,2,5,2003470
107,T93,T93,Jim Furyk,27,6,,3,12,2003100
108,T93,T93,Sergio Garcia,20,6,2.0,4,3,2003030
109,T93,T93,Jason Gore,30,6,,1,5,2003260
110,T93,T93,Mike Grob,27,6,,2,13,2003320
111,T93,T93,Mike Heinen,29,6,,1,2,2003080
112,T93,T93,Trevor Immelman,12,6,,2,17,2003170
113,T93,T93,Richard Johnson,28,6,,1,18,2003350
114,T93,T93,Bernhard Langer,21,6,,4,6,2003160
115,T93,T93,Ian Leggatt,26,6,,1,7,2003320
116,T93,T93,Tom Lehman,25,6,,2,7,2003160
117,T93,T93,Steve Lowery,29,6,,3,11,2003040
118,T93,T93,Hunter Mahan,9,6,,3,2,2003270
119,T93,T93,Jim McGovern,11,6,,2,6,2003170
120,T93,T93,Phil Mickelson,23,6,1.0,3,18,2003150
121,T93,T93,Andy Miller,25,6,,3,1,2003280
122,T93,T93,John Morgan,29,6,1.0,1,9,2003420
123,T93,T93,Mark O'Meara,25,6,,2,12,2003070
124,T93,T93,Rod Pampling,27,6,1.0,1,8,2003130
125,T93,T93,Brenden Pappas,33,6,1.0,3,4,2003100
126,T93,T93,David Peoples,30,6,1.0,1,5,2003100
127,T93,T93,Tim Petrovic,32,6,,1,3,2003400
128,T93,T93,Carl Pettersson,26,6,1.0,2,1,2003210
129,T93,T93,Scott Simpson,18,6,,1,1,2003270
130,T93,T93,Joey Sindelar,29,6,,3,16,2003450
131,T93,T93,Jeff Sluman,31,6,,2,12,2003450
132,T93,T93,Mike Sposa,25,6,,1,10,2003400
133,T93,T93,Craig Stadler,10,6,,4,10,2003070
134,T93,T93,Paul Stankowski,21,6,1.0,2,11,2003130
135,T93,T93,Darron Stiles,29,6,,3,18,2003320
136,T93,T93,Esteban Toledo,35,6,2.0,1,16,2003420
137,T93,T93,Kirk Triplett,25,6,,2,6,2003190
138,T93,T93,Ty Tryon,21,6,1.0,1,4,2003120
139,T93,T93,Vance Veazey,26,6,,4,3,2003260
140,T93,T93,D.A. Weibring,2,6,2.0,4,9,2003160
141,T93,T93,Dean Wilson,27,6,1.0,1,17,2003350
