,Best_YTD_Streak_wo_a_3-Putt_RANK THIS WEEK,Best_YTD_Streak_wo_a_3-Putt_RANK LAST WEEK,Best_YTD_Streak_wo_a_3-Putt_PLAYER NAME,Best_YTD_Streak_wo_a_3-Putt_EVENTS,Best_YTD_Streak_wo_a_3-Putt_BEST STREAK,Best_YTD_Streak_wo_a_3-Putt_CURRENT STREAK
0,1,1,Tim Herron,29,342,14.0
1,2,2,Peter Jacobsen,22,339,4.0
2,3,3,Jesper Parnevik,31,330,29.0
3,4,4,Rod Pampling,27,300,11.0
4,5,5,Spike McRoy,35,288,33.0
5,6,6,Greg Chalmers,32,265,57.0
6,7,7,Carl Paulson,32,260,15.0
7,8,8,Davis Love III,23,249,5.0
8,9,9,J.P. Hayes,25,237,35.0
9,10,10,Skip Kendall,30,236,28.0
10,11,11,Jay Haas,25,233,3.0
11,12,12,Shaun Micheel,28,232,7.0
12,13,13,Justin Leonard,23,229,11.0
13,14,14,David Frost,26,224,12.0
14,15,15,Brian Henninger,17,220,31.0
15,16,16,Paul Lawrie,7,217,18.0
16,17,17,Anthony Painter,31,215,10.0
17,18,18,Jim Furyk,27,214,7.0
18,T19,T19,Olin Browne,34,210,94.0
19,T19,T19,Glen Day,31,210,3.0
20,T19,T19,Len Mattiace,27,210,9.0
21,T19,T19,Loren Roberts,24,210,5.0
22,23,23,Tiger Woods,18,209,1.0
23,24,24,Jeff Sluman,31,199,79.0
24,T25,T25,Chris Anderson,31,198,25.0
25,T25,T25,Paul Azinger,26,198,57.0
26,27,27,Joel Edwards,23,193,18.0
27,T28,T28,Freddie Jacobson,8,192,23.0
28,T28,T28,Shigeki Maruyama,28,192,34.0
29,T30,T30,Lee Janzen,25,190,15.0
30,T30,T30,Brett Quigley,27,190,18.0
31,32,32,Fred Funk,33,189,14.0
32,33,33,John Riegger,17,187,15.0
33,34,34,Briny Baird,33,185,8.0
34,35,35,José María Olazábal,16,183,86.0
35,36,36,Stan Utley,11,182,54.0
36,T37,T37,Frank Lickliter II,30,181,6.0
37,T37,T37,Hidemichi Tanaka,30,181,7.0
38,T39,T39,Jeff Brehaut,32,180,17.0
39,T39,T39,Brent Geiberger,16,180,5.0
40,T39,T39,Thomas Levet,26,180,5.0
41,T39,T39,Dean Wilson,27,180,30.0
42,43,43,Esteban Toledo,35,179,27.0
43,T44,T44,Steve Flesch,33,178,1.0
44,T44,T44,John Huston,23,178,2.0
45,T44,T44,Dicky Pride,23,178,21.0
46,T47,T47,Kenichi Kuboya,31,177,
47,T47,T47,Chris Riley,29,177,26.0
48,49,49,John Maginnes,29,176,20.0
49,50,50,Stewart Cink,28,175,33.0
50,51,51,Brian Gay,34,174,6.0
51,T52,T52,Ángel Cabrera,14,173,17.0
52,T52,T52,Dudley Hart,22,173,40.0
53,54,54,Todd Fischer,32,172,21.0
54,T55,T55,Robert Gamez,31,171,66.0
55,T55,T55,Richard Johnson,28,171,66.0
56,T55,T55,Corey Pavin,26,171,6.0
57,T55,T55,Kirk Triplett,25,171,12.0
58,59,59,Donnie Hammond,27,170,10.0
59,60,60,Mike Heinen,29,167,9.0
60,61,61,Scott Laycock,25,165,34.0
61,62,62,Stuart Appleby,27,163,8.0
62,63,63,Scott Verplank,26,160,2.0
63,64,64,Glen Hnatiuk,29,159,2.0
64,T65,T65,Mark Brooks,31,158,24.0
65,T65,T65,Chris Smith,30,158,12.0
66,T67,T67,Toshi Izawa,6,157,2.0
67,T67,T67,Brenden Pappas,33,157,12.0
68,T67,T67,Vance Veazey,26,157,32.0
69,70,70,Harrison Frazar,27,156,29.0
70,T71,T71,Chris DiMarco,27,155,22.0
71,T71,T71,Retief Goosen,19,155,8.0
72,T71,T71,Mike Grob,27,155,8.0
73,T71,T71,Scott McCarron,27,155,19.0
74,T71,T71,Phil Mickelson,23,155,
75,T71,T71,Phil Tataurangi,11,155,74.0
76,77,77,Vijay Singh,27,153,3.0
77,T78,T78,Brad Faxon,27,152,34.0
78,T78,T78,Tim Petrovic,32,152,1.0
79,T78,T78,Bob Tway,26,152,24.0
80,T81,T81,Deane Pappas,24,150,150.0
81,T81,T81,Mike Weir,21,150,22.0
82,83,83,Carlos Franco,30,149,3.0
83,T84,T84,Jay Don Blake,27,148,11.0
84,T84,T84,Luke Donald,27,148,9.0
85,T86,T86,Woody Austin,31,147,22.0
86,T86,T86,Paul Gow,21,147,32.0
87,T88,T88,Bill Glasson,13,146,14.0
88,T88,T88,Patrick Sheehan,32,146,1.0
89,T90,T90,Aaron Baddeley,20,144,68.0
90,T90,T90,Darren Clarke,16,144,58.0
91,T90,T90,Billy Mayfair,31,144,5.0
92,T90,T90,Tom Pernice Jr.,31,144,4.0
93,T90,T90,David Sutherland,25,144,3.0
94,95,95,Joe Durant,28,143,24.0
95,T96,T96,Hal Sutton,24,142,30.0
96,T96,T96,Jay Williamson,31,142,142.0
97,T98,T98,Billy Andrade,29,141,6.0
98,T98,T98,Tim Clark,25,141,24.0
99,T98,T98,Steve Stricker,21,141,47.0
100,T101,T101,Steven Alker,30,140,21.0
101,T101,T101,Peter Lonard,26,140,140.0
102,T103,T103,K.J. Choi,32,139,12.0
103,T103,T103,Joel Kribel,16,139,1.0
104,T103,T103,Dennis Paulson,15,139,21.0
105,T106,T106,Brian Bateman,26,138,5.0
106,T106,T106,Jeff Gallagher,10,138,6.0
107,T106,T106,David Peoples,30,138,2.0
108,T106,T106,Mark Wilson,30,138,6.0
109,T110,T110,Jason Caron,29,137,49.0
110,T110,T110,Bob Estes,25,137,18.0
111,T110,T110,Geoff Ogilvy,26,137,37.0
112,T110,T110,Joey Sindelar,29,137,20.0
113,T114,T114,Jay Delsing,9,136,56.0
114,T114,T114,Scott Hoch,17,136,12.0
115,T114,T114,Kenny Perry,26,136,23.0
116,T117,T117,Marco Dawson,31,135,13.0
117,T117,T117,Steve Lowery,29,135,19.0
118,T119,T119,Jim McGovern,11,134,64.0
119,T119,T119,John Rollins,27,134,2.0
120,T119,T119,Brian Watts,13,134,23.0
121,T122,T122,Jason Buha,25,133,22.0
122,T122,T122,Fred Couples,18,133,15.0
123,T122,T122,Jeff Klein,25,133,50.0
124,T122,T122,"Dave Stockton, Jr.",31,133,27.0
125,T126,T126,Gavin Coles,28,132,16.0
126,T126,T126,Neal Lancaster,35,132,
127,T126,T126,Andrew Magee,26,132,24.0
128,T126,T126,Arron Oberholser,25,132,62.0
129,T126,T126,Kaname Yokoo,22,132,45.0
130,T131,T131,Jason Gore,30,131,14.0
131,T131,T131,Charles Howell III,31,131,16.0
132,T133,T133,Aaron Barber,32,129,91.0
133,T133,T133,Brandt Jobe,22,129,47.0
134,T135,T135,Cameron Beckman,26,128,9.0
135,T135,T135,Robert Damron,32,128,78.0
136,T135,T135,Cliff Kresge,32,128,15.0
137,T135,T135,Kevin Sutherland,27,128,9.0
138,T139,T139,Steve Allan,18,127,6.0
139,T139,T139,Alex Cejka,30,127,26.0
