,YTD_Consecutive_Cuts_RANK THIS WEEK,YTD_Consecutive_Cuts_RANK LAST WEEK,YTD_Consecutive_Cuts_PLAYER NAME,YTD_Consecutive_Cuts_NUMBER OF CUTS
0,1,1,Vijay Singh,21
1,2,2,Charles Howell III,19
2,3,3,Tiger Woods,18
3,T4,T4,Chad Campbell,17
4,T4,T4,Fred Couples,17
5,T4,T4,Ernie Els,17
6,T7,T7,Kenny Perry,13
7,T7,T7,Mike Weir,13
8,T9,T9,Robert Allenby,12
9,T9,T9,Nick Price,12
10,11,11,Paul Goydos,11
11,T12,T12,Joe Durant,9
12,T12,T12,Steve Flesch,9
13,T12,T12,David Frost,9
14,T12,T12,Jim Furyk,9
15,T16,T16,Brad Faxon,8
16,T16,T16,Jerry Kelly,8
17,T16,T16,John Riegger,8
18,T16,T16,Loren Roberts,8
19,T20,T20,Stewart Cink,7
20,T20,T20,Padraig Harrington,7
21,T20,T20,Skip Kendall,7
22,T20,T20,Rory Sabbatini,7
23,T20,T20,David Toms,7
24,T20,T20,Scott Verplank,7
25,T26,T26,Billy Andrade,6
26,T26,T26,Craig Barlow,6
27,T26,T26,Bart Bryant,6
28,T26,T26,Robert Gamez,6
29,T26,T26,Retief Goosen,6
30,T26,T26,Neal Lancaster,6
31,T26,T26,Tom Lehman,6
32,T26,T26,Kirk Triplett,6
33,T34,T34,Stuart Appleby,5
34,T34,T34,Aaron Baddeley,5
35,T34,T34,Darren Clarke,5
36,T34,T34,John Huston,5
37,T34,T34,Hank Kuehne,5
38,T34,T34,Adam Scott,5
39,T40,T40,Stephen Ames,4
40,T40,T40,Briny Baird,4
41,T40,T40,Aaron Barber,4
42,T40,T40,Jeff Brehaut,4
43,T40,T40,Michael Campbell,4
44,T40,T40,Paul Casey,4
45,T40,T40,David Edwards,4
46,T40,T40,Bob Estes,4
47,T40,T40,Niclas Fasth,4
48,T40,T40,Dan Forsman,4
49,T40,T40,David Gossett,4
50,T40,T40,Trevor Immelman,4
51,T40,T40,Kent Jones,4
52,T40,T40,Justin Leonard,4
53,T40,T40,Peter Lonard,4
54,T40,T40,Andrew Magee,4
55,T40,T40,Bob May,4
56,T40,T40,Jesper Parnevik,4
57,T40,T40,Ian Poulter,4
58,T40,T40,Phillip Price,4
59,T40,T40,Chris Riley,4
60,T40,T40,Eduardo Romero,4
61,T40,T40,Jeff Sluman,4
62,T40,T40,Vance Veazey,4
63,T40,T40,Duffy Waldorf,4
64,T65,T65,Jay Haas,3
65,T65,T65,Brian Henninger,3
66,T65,T65,Toshi Izawa,3
67,T65,T65,Davis Love III,3
68,T65,T65,Steve Lowery,3
69,T65,T65,Geoff Ogilvy,3
70,T65,T65,Hennie Otto,3
71,T65,T65,Deane Pappas,3
72,T65,T65,Brenden Pappas,3
73,T65,T65,Carl Paulson,3
74,T65,T65,Pat Perez,3
75,T65,T65,Tim Petrovic,3
76,T65,T65,Justin Rose,3
77,T65,T65,Hidemichi Tanaka,3
78,T79,T79,Woody Austin,2
79,T79,T79,Paul Azinger,2
80,T79,T79,Cameron Beckman,2
81,T79,T79,Thomas Bjørn,2
82,T79,T79,Brad Bryant,2
83,T79,T79,Ángel Cabrera,2
84,T79,T79,Tom Carter,2
85,T79,T79,K.J. Choi,2
86,T79,T79,Russ Cochran,2
87,T79,T79,Gary Evans,2
88,T79,T79,Nick Faldo,2
89,T79,T79,Mark Foster,2
90,T79,T79,Bill Glasson,2
91,T79,T79,Matt Gogel,2
92,T79,T79,Jason Gore,2
93,T79,T79,Todd Hamilton,2
94,T79,T79,Freddie Jacobson,2
95,T79,T79,Raphael Jacquelin,2
96,T79,T79,Thomas Levet,2
97,T79,T79,Hunter Mahan,2
98,T79,T79,Blaine McCallister,2
99,T79,T79,Scott McCarron,2
100,T79,T79,Colin Montgomerie,2
101,T79,T79,Patrick Moore,2
102,T79,T79,Arron Oberholser,2
103,T79,T79,José María Olazábal,2
104,T79,T79,Rod Pampling,2
105,T79,T79,Craig Parry,2
106,T79,T79,David Peoples,2
107,T79,T79,Brett Quigley,2
108,T79,T79,John Rollins,2
109,T79,T79,Brent Schwarzrock,2
110,T79,T79,Paul Stankowski,2
111,T79,T79,Kevin Sutherland,2
112,T79,T79,Hal Sutton,2
113,T79,T79,Bob Tway,2
114,T79,T79,D.A. Weibring,2
115,T79,T79,Lee Westwood,2
