,Current_Par_or_Better_Streak_RANK THIS WEEK,Current_Par_or_Better_Streak_RANK LAST WEEK,Current_Par_or_Better_Streak_PLAYER NAME,Current_Par_or_Better_Streak_EVENTS,Current_Par_or_Better_Streak_NUMBER OF ROUNDS
0,1,1,Tom Lehman,340,18
1,2,2,Scott Laycock,29,16
2,3,3,David Frost,471,13
3,T4,T4,Russ Cochran,562,10
4,T4,T4,Paul Stankowski,260,10
5,T6,T6,Jim Furyk,266,9
6,T6,T6,Matt Gogel,105,9
7,T6,T6,Scott Verplank,403,9
8,T9,T9,Tom Carter,10,8
9,T9,T9,Bill Glasson,409,8
10,T9,T9,Retief Goosen,69,8
11,T9,T9,Peter Lonard,62,8
12,T9,T9,Arron Oberholser,28,8
13,T9,T9,Geoff Ogilvy,75,8
14,T9,T9,Rod Pampling,60,8
15,T9,T9,Kevin Sutherland,224,8
16,T17,T17,Tom Byrum,489,6
17,T17,T17,Fred Couples,482,6
18,T17,T17,Chris Riley,139,6
19,T20,T20,Bart Bryant,164,5
20,T20,T20,Chad Campbell,66,5
21,T20,T20,Ernie Gonzalez,173,5
22,T20,T20,Brian Henninger,276,5
23,T20,T20,Scott McCarron,233,5
24,T20,T20,Jim McGovern,317,5
25,T20,T20,Phillip Price,26,5
26,T20,T20,Jeff Quinney,14,5
27,T20,T20,Tom Scherrer,171,5
28,T20,T20,Brent Schwarzrock,68,5
29,T30,T30,Jay Don Blake,466,4
30,T30,T30,Brad Bryant,514,4
31,T30,T30,Chris Downes,1,4
32,T30,T30,Brad Elder,121,4
33,T30,T30,Mathias Grönberg,15,4
34,T30,T30,Mark Hensby,33,4
35,T30,T30,Charles Howell III,96,4
36,T30,T30,Jonathan Kaye,196,4
37,T30,T30,Thomas Levet,41,4
38,T30,T30,Hunter Mahan,11,4
39,T30,T30,John Senden,61,4
40,T30,T30,Craig Stadler,500,4
41,T30,T30,Steve Stricker,217,4
42,T30,T30,Hal Sutton,608,4
43,T44,T44,Mark Calcavecchia,549,3
44,T44,T44,K.J. Choi,116,3
45,T44,T44,Brian Claar,360,3
46,T44,T44,Jay Delsing,473,3
47,T44,T44,Brad Faxon,530,3
48,T44,T44,Sergio Garcia,78,3
49,T44,T44,Jay Haas,639,3
50,T44,T44,Kent Jones,138,3
51,T44,T44,Taichiro Kiyota,4,3
52,T44,T44,Davis Love III,437,3
53,T44,T44,Jesper Parnevik,208,3
54,T44,T44,Akio Sadakata,28,3
55,T44,T44,Vijay Singh,254,3
56,T44,T44,Mario Tiziani,13,3
57,T44,T44,Cameron Yancey,23,3
58,T59,T59,Robert Allenby,164,2
59,T59,T59,Stuart Appleby,199,2
60,T59,T59,Briny Baird,121,2
61,T59,T59,Ángel Cabrera,40,2
62,T59,T59,Rex Caldwell,314,2
63,T59,T59,Gavin Coles,27,2
64,T59,T59,Niclas Fasth,38,2
65,T59,T59,Dan Forsman,554,2
66,T59,T59,Peter Fowler,9,2
67,T59,T59,Robert Hamilton,3,2
68,T59,T59,Padraig Harrington,44,2
69,T59,T59,Dudley Hart,329,2
70,T59,T59,J.P. Hayes,230,2
71,T59,T59,James Healey,1,2
72,T59,T59,John Huston,405,2
73,T59,T59,Freddie Jacobson,12,2
74,T59,T59,Jerry Kelly,252,2
75,T59,T59,Wayne Levi,474,2
76,T59,T59,George McNeill,3,2
77,T59,T59,Kelly Mitchum,4,2
78,T59,T59,Larry Mize,514,2
79,T59,T59,Kenny Perry,428,2
80,T59,T59,Mark Roe,6,2
81,T59,T59,Kevin Shields,1,2
82,T59,T59,Kevin Stadler,2,2
83,T59,T59,Mike Sullivan,482,2
84,T59,T59,Duffy Waldorf,437,2
85,T59,T59,Jimmy Walker,5,2
86,T59,T59,Mike Weir,162,2
