,Consecutive_BirdiesEagles_streak_RANK THIS WEEK,Consecutive_BirdiesEagles_streak_RANK LAST WEEK,Consecutive_BirdiesEagles_streak_PLAYER NAME,Consecutive_BirdiesEagles_streak_EVENTS,Consecutive_BirdiesEagles_streak_NUMBER OF HOLES
0,1,1,Briny Baird,33,8
1,2,2,Billy Mayfair,31,6
2,T3,T3,Chad Campbell,27,5
3,T3,T3,José Coceres,21,5
4,T3,T3,Tim Herron,29,5
5,T3,T3,Pat Perez,33,5
6,T3,T3,Paul Stankowski,21,5
7,T3,T3,Ty Tryon,21,5
8,T9,T9,Steve Allan,18,4
9,T9,T9,Jeff Brehaut,32,4
10,T9,T9,Olin Browne,34,4
11,T9,T9,Jonathan Byrd,29,4
12,T9,T9,Greg Chalmers,32,4
13,T9,T9,Tim Clark,25,4
14,T9,T9,Ernie Els,17,4
15,T9,T9,Brad Faxon,27,4
16,T9,T9,Harrison Frazar,27,4
17,T9,T9,David Frost,26,4
18,T9,T9,Mathew Goggin,28,4
19,T9,T9,Retief Goosen,19,4
20,T9,T9,J.J. Henry,31,4
21,T9,T9,Jerry Kelly,30,4
22,T9,T9,Bernhard Langer,21,4
23,T9,T9,Tom Lehman,25,4
24,T9,T9,Scott McCarron,27,4
25,T9,T9,John Rollins,27,4
26,T9,T9,John Senden,33,4
27,T9,T9,Jeff Sluman,31,4
28,T9,T9,Hidemichi Tanaka,30,4
29,T9,T9,Garrett Willis,32,4
30,T9,T9,Willie Wood,11,4
31,T32,T32,Woody Austin,31,3
32,T32,T32,Pat Bates,35,3
33,T32,T32,Rich Beem,26,3
34,T32,T32,Notah Begay III,30,3
35,T32,T32,"David Berganio, Jr.",15,3
36,T32,T32,Tom Byrum,31,3
37,T32,T32,Ángel Cabrera,14,3
38,T32,T32,Jim Carter,33,3
39,T32,T32,Tom Carter,8,3
40,T32,T32,Alex Cejka,30,3
41,T32,T32,K.J. Choi,32,3
42,T32,T32,Darren Clarke,16,3
43,T32,T32,Russ Cochran,4,3
44,T32,T32,Ben Crane,27,3
45,T32,T32,John Daly,22,3
46,T32,T32,Marco Dawson,31,3
47,T32,T32,Chris DiMarco,27,3
48,T32,T32,David Duval,20,3
49,T32,T32,Todd Fischer,32,3
50,T32,T32,Dan Forsman,27,3
51,T32,T32,Carlos Franco,30,3
52,T32,T32,Robin Freeman,12,3
53,T32,T32,Fred Funk,33,3
54,T32,T32,Jim Furyk,27,3
55,T32,T32,Brian Gay,34,3
56,T32,T32,Brent Geiberger,16,3
57,T32,T32,Bill Glasson,13,3
58,T32,T32,Jason Gore,30,3
59,T32,T32,David Gossett,28,3
60,T32,T32,Padraig Harrington,11,3
61,T32,T32,Dudley Hart,22,3
62,T32,T32,Mike Heinen,29,3
63,T32,T32,Peter Jacobsen,22,3
64,T32,T32,Freddie Jacobson,8,3
65,T32,T32,Lee Janzen,25,3
66,T32,T32,Brandt Jobe,22,3
67,T32,T32,Richard Johnson,28,3
68,T32,T32,Skip Kendall,30,3
69,T32,T32,Hank Kuehne,23,3
70,T32,T32,Neal Lancaster,35,3
71,T32,T32,J.L. Lewis,31,3
72,T32,T32,Davis Love III,23,3
73,T32,T32,Andrew Magee,26,3
74,T32,T32,Shigeki Maruyama,28,3
75,T32,T32,Len Mattiace,27,3
