,Consecutive_GIR_RANK THIS WEEK,Consecutive_GIR_RANK LAST WEEK,Consecutive_GIR_PLAYER NAME,Consecutive_GIR_EVENTS,Consecutive_GIR_STREAK,Consecutive_GIR_CURRENT STREAK,Consecutive_GIR_ROUND,Consecutive_GIR_HOLE,Consecutive_GIR_YEAR/TOURN#
0,1,1,Tim Herron,29,34,2.0,1,5,2003440
1,2,2,Carlos Franco,30,33,,2,18,2003290
2,T3,T3,Woody Austin,31,32,,2,18,2003440
3,T3,T3,David Gossett,28,32,1.0,2,6,2003040
4,5,5,Stephen Ames,27,31,8.0,4,12,2003280
5,6,6,Tom Lehman,25,30,,1,17,2003440
6,7,7,Bob Estes,25,29,1.0,2,15,2003010
7,T8,T8,Davis Love III,23,28,2.0,2,17,2003110
8,T8,T8,Kirk Triplett,25,28,1.0,4,17,2003430
9,T10,T10,Chad Campbell,27,27,1.0,1,1,2003440
10,T10,T10,Dan Forsman,27,27,1.0,2,15,2003010
11,T10,T10,Scott Verplank,26,27,,3,7,2003440
12,T13,T13,Dudley Hart,22,26,,1,6,2003040
13,T13,T13,Rocco Mediate,24,26,,3,12,2003010
14,T15,T15,Doug Barron,32,25,1.0,1,1,2003040
15,T15,T15,Robert Gamez,31,25,,1,1,2003460
16,T17,T17,Robert Allenby,24,24,2.0,4,1,2003260
17,T17,T17,Jeff Brehaut,32,24,3.0,4,14,2003190
18,T17,T17,K.J. Choi,32,24,3.0,3,2,2003010
19,T17,T17,Ben Crane,27,24,3.0,3,15,2003420
20,T17,T17,David Edwards,13,24,,1,11,2003410
21,T17,T17,Paul Goydos,25,24,,1,14,2003060
22,T17,T17,Shigeki Maruyama,28,24,2.0,1,1,2003010
23,T17,T17,Spike McRoy,35,24,1.0,2,3,2003320
24,T17,T17,Jeff Sluman,31,24,,1,3,2003440
25,T17,T17,Kevin Sutherland,27,24,,3,13,2003140
26,T27,T27,Briny Baird,33,23,2.0,4,2,2003460
27,T27,T27,Craig Barlow,29,23,1.0,4,18,2003420
28,T27,T27,Brian Bateman,26,23,2.0,4,17,2003440
29,T27,T27,Cameron Beckman,26,23,,4,8,2003400
30,T27,T27,Russ Cochran,4,23,1.0,3,12,2003420
31,T27,T27,Donnie Hammond,27,23,3.0,1,8,2003460
32,T27,T27,Corey Pavin,26,23,1.0,3,11,2003040
33,T34,T34,Kent Jones,23,22,1.0,3,2,2003440
34,T34,T34,Jerry Kelly,30,22,3.0,3,12,2003010
35,T34,T34,Ian Leggatt,26,22,1.0,3,13,2003010
36,T34,T34,Kenny Perry,26,22,,1,13,2003210
37,T34,T34,David Toms,26,22,1.0,3,1,2003030
38,T34,T34,Duffy Waldorf,25,22,,3,9,2003440
39,T40,T40,Tommy Armour III,23,21,,4,9,2003390
40,T40,T40,Jason Caron,29,21,,2,14,2003280
41,T40,T40,Ernie Els,17,21,,2,14,2003010
42,T40,T40,Fred Funk,33,21,,4,6,2003020
43,T40,T40,Charles Howell III,31,21,2.0,2,2,2003440
44,T40,T40,Steve Lowery,29,21,4.0,2,2,2003230
45,T40,T40,Billy Mayfair,31,21,1.0,3,11,2003210
46,T40,T40,Tim Petrovic,32,21,,1,11,2003440
47,T40,T40,Heath Slocum,32,21,,3,2,2003320
48,T40,T40,Chris Smith,30,21,,1,13,2003350
49,T40,T40,Paul Stankowski,21,21,1.0,4,10,2003040
50,T40,T40,David Sutherland,25,21,2.0,1,9,2003140
51,T52,T52,Steven Alker,30,20,1.0,4,18,2003050
52,T52,T52,Pat Bates,35,20,2.0,2,6,2003100
53,T52,T52,Marco Dawson,31,20,1.0,2,1,2003290
54,T52,T52,Glen Day,31,20,,3,6,2003440
55,T52,T52,Chris DiMarco,27,20,,3,18,2003440
56,T52,T52,Jim Furyk,27,20,6.0,3,16,2003320
57,T52,T52,Skip Kendall,30,20,3.0,4,9,2003050
58,T52,T52,Shaun Micheel,28,20,1.0,4,13,2003310
59,T52,T52,Arron Oberholser,25,20,,1,11,2003060
60,T52,T52,Brenden Pappas,33,20,1.0,1,14,2003350
61,T52,T52,Chris Riley,29,20,1.0,2,14,2003060
62,T52,T52,Loren Roberts,24,20,,1,10,2003410
63,T64,T64,Fred Couples,18,19,,1,7,2003190
64,T64,T64,John Daly,22,19,1.0,4,15,2003170
65,T64,T64,Jason Gore,30,19,,2,2,2003460
66,T64,T64,Mike Grob,27,19,1.0,1,10,2003420
67,T64,T64,J.J. Henry,31,19,,2,16,2003380
68,T64,T64,Peter Jacobsen,22,19,3.0,2,3,2003440
69,T64,T64,Jonathan Kaye,27,19,4.0,2,10,2003030
70,T64,T64,Neal Lancaster,35,19,2.0,4,8,2003310
71,T64,T64,Thomas Levet,26,19,,4,13,2003020
72,T64,T64,Andrew Magee,26,19,1.0,4,7,2003410
73,T64,T64,Tom Pernice Jr.,31,19,,1,18,2003280
74,T64,T64,Carl Pettersson,26,19,,2,11,2003460
75,T64,T64,John Riegger,17,19,9.0,2,6,2003440
76,T64,T64,John Rollins,27,19,,2,5,2003010
77,T64,T64,Rory Sabbatini,27,19,,1,4,2003170
78,T64,T64,Akio Sadakata,29,19,5.0,1,14,2003440
79,T64,T64,Adam Scott,14,19,,4,13,2003150
80,T64,T64,Esteban Toledo,35,19,2.0,3,7,2003320
81,T64,T64,Mike Weir,21,19,,2,6,2003040
82,T83,T83,Stuart Appleby,27,18,,1,3,2003400
83,T83,T83,"David Berganio, Jr.",15,18,2.0,1,11,2003250
84,T83,T83,Bob Burns,28,18,1.0,1,1,2003010
85,T83,T83,Jim Carter,33,18,,2,17,2003290
86,T83,T83,Alex Cejka,30,18,1.0,3,6,2003040
87,T83,T83,Luke Donald,27,18,,3,14,2003010
88,T83,T83,Joel Edwards,23,18,,1,15,2003400
89,T83,T83,Jay Haas,25,18,2.0,2,11,2003040
90,T83,T83,Hank Kuehne,23,18,1.0,2,2,2003290
91,T83,T83,Scott Laycock,25,18,,4,3,2003420
92,T83,T83,Carl Paulson,32,18,3.0,2,6,2003310
93,T83,T83,Pat Perez,33,18,2.0,3,9,2003290
94,T83,T83,Craig Perks,28,18,2.0,2,13,2003270
95,T83,T83,Gene Sauers,30,18,,1,8,2003060
96,T83,T83,Joey Sindelar,29,18,3.0,1,3,2003250
97,T83,T83,Hidemichi Tanaka,30,18,,1,17,2003030
98,T99,T99,Paul Azinger,26,17,,1,14,2003440
99,T99,T99,Jonathan Byrd,29,17,,4,5,2003010
100,T99,T99,Michael Clark II,21,17,,2,1,2003160
101,T99,T99,John Cook,10,17,,1,2,2003040
102,T99,T99,Joe Durant,28,17,2.0,2,10,2003470
103,T99,T99,Steve Flesch,33,17,,2,9,2003440
104,T99,T99,Harrison Frazar,27,17,,1,6,2003400
105,T99,T99,Tom Gillis,25,17,1.0,2,10,2003230
106,T99,T99,Bill Glasson,13,17,3.0,4,11,2003420
107,T99,T99,J.P. Hayes,25,17,3.0,3,2,2003010
108,T99,T99,John Maginnes,29,17,,1,10,2003290
109,T99,T99,Mark O'Meara,25,17,1.0,2,6,2003400
110,T99,T99,Jesper Parnevik,31,17,2.0,3,9,2003440
111,T99,T99,Steve Pate,16,17,,3,6,2003440
112,T99,T99,Vijay Singh,27,17,,1,13,2003010
113,T99,T99,Hal Sutton,24,17,1.0,3,5,2003210
114,T99,T99,Bob Tway,26,17,6.0,3,4,2003040
115,T116,T116,Steve Allan,18,16,1.0,2,15,2003290
116,T116,T116,Jay Don Blake,27,16,1.0,1,1,2003250
117,T116,T116,Olin Browne,34,16,,1,12,2003040
118,T116,T116,Stewart Cink,28,16,,2,5,2003410
119,T116,T116,Jeff Gallagher,10,16,1.0,2,8,2003280
120,T116,T116,Sergio Garcia,20,16,1.0,1,4,2003020
121,T116,T116,Mathew Goggin,28,16,1.0,2,5,2003450
122,T116,T116,Mike Heinen,29,16,2.0,2,1,2003290
123,T116,T116,Richard Johnson,28,16,,2,9,2003440
124,T116,T116,James McLean,19,16,,2,16,2003290
125,T116,T116,Phil Mickelson,23,16,,1,3,2003440
126,T116,T116,Andy Miller,25,16,1.0,2,13,2003080
127,T116,T116,Nick Price,17,16,,4,3,2003010
128,T116,T116,Mike Standly,9,16,,1,11,2003400
129,T116,T116,Phil Tataurangi,11,16,1.0,1,1,2003010
130,T116,T116,Garrett Willis,32,16,1.0,1,8,2003320
131,T116,T116,Tiger Woods,18,16,2.0,3,7,2003370
132,T133,T133,Chris Anderson,31,15,2.0,3,18,2003040
133,T133,T133,Aaron Barber,32,15,1.0,3,3,2003100
134,T133,T133,Mark Brooks,31,15,1.0,1,10,2003460
135,T133,T133,Mark Calcavecchia,24,15,2.0,1,1,2003240
136,T133,T133,Tim Clark,25,15,,1,9,2003130
137,T133,T133,Darren Clarke,16,15,2.0,1,11,2003440
138,T133,T133,José Coceres,21,15,,3,14,2003420
139,T133,T133,Robin Freeman,12,15,2.0,3,4,2003040
140,T133,T133,Brent Geiberger,16,15,,1,18,2003140
141,T133,T133,Kelly Gibson,13,15,1.0,1,7,2003290
142,T133,T133,Brian Henninger,17,15,1.0,2,5,2003400
143,T133,T133,John Huston,23,15,,1,3,2003410
144,T133,T133,Lee Janzen,25,15,3.0,3,18,2003260
145,T133,T133,Brandt Jobe,22,15,1.0,1,11,2003170
146,T133,T133,Per-Ulrik Johansson,31,15,1.0,2,2,2003400
147,T133,T133,Cliff Kresge,32,15,,4,2,2003060
148,T133,T133,Bernhard Langer,21,15,4.0,1,16,2003390
149,T133,T133,Frank Lickliter II,30,15,,2,6,2003440
150,T133,T133,Jeff Maggert,24,15,1.0,3,14,2003390
151,T133,T133,Hunter Mahan,9,15,3.0,1,11,2003410
152,T133,T133,John Morgan,29,15,1.0,1,8,2003290
153,T133,T133,Deane Pappas,24,15,,4,4,2003290
154,T133,T133,Brett Quigley,27,15,1.0,2,10,2003110
155,T133,T133,John Senden,33,15,6.0,2,1,2003180
156,T133,T133,Patrick Sheehan,32,15,1.0,2,11,2003460
157,T133,T133,"Dave Stockton, Jr.",31,15,,2,14,2003440
158,T133,T133,Steve Stricker,21,15,,2,11,2003030
159,T133,T133,Grant Waite,18,15,,4,11,2003400
160,T133,T133,Jay Williamson,31,15,1.0,4,18,2003140
161,T133,T133,Dean Wilson,27,15,5.0,3,17,2003080
162,T163,T163,Jeremy Anderson,1,14,1.0,1,5,2003440
163,T163,T163,Billy Andrade,29,14,,4,6,2003440
164,T163,T163,Aaron Baddeley,20,14,2.0,1,17,2003030
165,T163,T163,Jason Buha,25,14,,4,2,2003320
166,T163,T163,Tom Byrum,31,14,1.0,1,17,2003450
167,T163,T163,Robert Damron,32,14,3.0,3,6,2003400
168,T163,T163,Jay Delsing,9,14,,2,14,2003320
169,T163,T163,David Duval,20,14,1.0,3,18,2003040
170,T163,T163,Brad Faxon,27,14,2.0,4,12,2003440
171,T163,T163,Todd Fischer,32,14,,2,5,2003040
172,T163,T163,David Frost,26,14,,3,3,2003440
173,T163,T163,Brian Gay,34,14,,4,16,2003290
174,T163,T163,Retief Goosen,19,14,1.0,1,16,2003460
175,T163,T163,Padraig Harrington,11,14,,2,11,2003230
176,T163,T163,Yasuharu Imano,3,14,,2,7,2003020
177,T163,T163,Freddie Jacobson,8,14,,3,14,2003270
178,T163,T163,Justin Leonard,23,14,2.0,1,17,2003010
179,T163,T163,Len Mattiace,27,14,,3,11,2003010
180,T163,T163,Blaine McCallister,8,14,2.0,2,9,2003170
181,T163,T163,Scott McCarron,27,14,4.0,3,10,2003350
182,T163,T163,Jim McGovern,11,14,3.0,2,5,2003420
183,T163,T163,Yusaku Miyazato,4,14,3.0,1,8,2003020
184,T163,T163,Wilfredo Morales,2,14,4.0,1,2,2003170
185,T163,T163,Rod Pampling,27,14,3.0,3,16,2003400
186,T163,T163,Dennis Paulson,15,14,,2,7,2003410
187,T163,T163,David Peoples,30,14,3.0,3,7,2003440
188,T163,T163,Brent Schwarzrock,20,14,11.0,4,4,2003390
189,T163,T163,Scott Simpson,18,14,,2,8,2003380
190,T163,T163,Mike Sposa,25,14,1.0,1,15,2003210
191,T163,T163,Darron Stiles,29,14,,2,7,2003020
192,T163,T163,Stan Utley,11,14,1.0,1,10,2003320
193,T163,T163,Cameron Yancey,23,14,2.0,2,8,2003060
194,T195,T195,Rich Beem,26,13,1.0,1,4,2003440
195,T195,T195,Notah Begay III,30,13,3.0,2,15,2003060
196,T195,T195,Scott Brauer,1,13,3.0,1,10,2003390
197,T195,T195,Bart Bryant,6,13,,1,13,2003440
198,T195,T195,Brad Bryant,4,13,4.0,1,18,2003460
199,T195,T195,Paul Casey,7,13,1.0,2,1,2003300
200,T195,T195,Greg Chalmers,32,13,1.0,3,8,2003190
201,T195,T195,Brad Elder,20,13,,4,2,2003290
202,T195,T195,Danny Ellis,10,13,,4,7,2003410
203,T195,T195,Glen Hnatiuk,29,13,,4,1,2003110
204,T195,T195,Jeff Klein,25,13,3.0,2,1,2003310
205,T195,T195,Greg Kraft,9,13,1.0,1,14,2003410
206,T195,T195,Matt Kuchar,23,13,,2,10,2003230
207,T195,T195,Paul Lawrie,7,13,,1,17,2003140
208,T195,T195,J.L. Lewis,31,13,,2,8,2003040
209,T195,T195,Peter Lonard,26,13,1.0,3,1,2003450
210,T195,T195,Larry Mize,19,13,1.0,1,18,2003060
211,T195,T195,Michael Muehr,7,13,,3,13,2003280
212,T195,T195,Geoff Ogilvy,26,13,3.0,3,1,2003180
213,T195,T195,Phillip Price,9,13,1.0,2,1,2003300
214,T195,T195,Sam Randolph,2,13,7.0,2,15,2003280
215,T195,T195,Tom Scherrer,16,13,1.0,1,12,2003390
216,T195,T195,Craig Stadler,10,13,1.0,1,11,2003290
217,T195,T195,Vance Veazey,26,13,,3,11,2003440
218,T195,T195,Brian Watts,13,13,,1,13,2003060
219,T220,T220,John Adams,1,12,1.0,1,10,2003290
220,T220,T220,Ricky Barnes,10,12,,2,15,2003300
221,T220,T220,Todd Barranger,31,12,,3,12,2003290
222,T220,T220,Brandel Chamblee,15,12,,4,12,2003250
223,T220,T220,Ben Curtis,21,12,1.0,1,15,2003170
224,T220,T220,Steve Elkington,14,12,,2,16,2003100
225,T220,T220,Niclas Fasth,14,12,1.0,3,1,2003230
226,T220,T220,Paul Gow,21,12,,3,8,2003440
227,T220,T220,Ken Green,7,12,,1,8,2003060
228,T220,T220,Mathias Grönberg,4,12,3.0,2,12,2003390
229,T220,T220,Scott Hoch,17,12,1.0,1,1,2003100
230,T220,T220,Trevor Immelman,12,12,,2,18,2003430
231,T220,T220,Kenichi Kuboya,31,12,2.0,4,10,2003440
232,T220,T220,Brad Lardon,8,12,,4,3,2003140
233,T220,T220,Bob May,7,12,,1,18,2003170
234,T220,T220,Graeme McDowell,3,12,,3,1,2003080
235,T220,T220,Patrick Moore,3,12,1.0,4,8,2003030
236,T220,T220,Gary Nicklaus,6,12,,2,8,2003080
237,T220,T220,José María Olazábal,16,12,6.0,1,9,2003010
238,T220,T220,Anthony Painter,31,12,3.0,1,10,2003390
239,T220,T220,Justin Rose,11,12,1.0,2,15,2003430
240,T220,T220,Marco Ruiz,1,12,,2,4,2003300
241,T220,T220,Annika Sorenstam,1,12,,1,14,2003210
242,T220,T220,Mike Springer,9,12,,2,14,2003400
243,T220,T220,Ty Tryon,21,12,3.0,1,2,2003290
244,T220,T220,Nick Watney,8,12,1.0,2,8,2003350
245,T220,T220,Kaname Yokoo,22,12,2.0,1,4,2003440
246,T220,T220,Richard Zokol,13,12,3.0,1,9,2003060
247,T248,T248,Thomas Bjørn,6,11,1.0,1,3,2003240
248,T248,T248,Danny Briggs,1,11,1.0,2,6,2003320
249,T248,T248,Chris Downes,1,11,1.0,3,14,2003290
250,T248,T248,Barry Evans,6,11,1.0,2,5,2003420
251,T248,T248,Nick Faldo,7,11,,2,5,2003100
252,T248,T248,Alastair Forsyth,3,11,1.0,4,2,2003300
253,T248,T248,Matt Gogel,25,11,1.0,4,13,2003030
254,T248,T248,Gabriel Hjertstedt,9,11,,1,4,2003080
