,Birdie_or_Better_Conversion_Percentage_RANK THIS WEEK,Birdie_or_Better_Conversion_Percentage_RANK LAST WEEK,Birdie_or_Better_Conversion_Percentage_PLAYER NAME,Birdie_or_Better_Conversion_Percentage_ROUNDS,Birdie_or_Better_Conversion_Percentage_%,Birdie_or_Better_Conversion_Percentage_# BIRDIES,Birdie_or_Better_Conversion_Percentage_GREENS HIT
0,1,1,Tiger Woods,82,3.61,352,974
1,2,2,Sergio Garcia,59,3.55,190,535
2,3,3,Brad Faxon,98,3.5,389,1113
3,4,4,Phil Mickelson,85,3.47,323,931
4,T5,T5,Davis Love III,98,3.43,375,1093
5,T5,T5,Rory Sabbatini,85,3.43,323,943
6,T7,T7,Scott McCarron,100,3.38,377,1117
7,T7,T7,Jesper Parnevik,71,3.38,257,760
8,9,9,Paul Stankowski,77,3.36,298,886
9,T10,T10,Jonathan Kaye,115,3.3,438,1327
10,T10,T10,Tommy Tolles,60,3.3,219,664
11,T12,T12,Paul Azinger,73,3.29,263,800
12,T12,T12,David Duval,73,3.29,263,799
13,T12,T12,Carlos Franco,85,3.29,315,958
14,15,15,Billy Andrade,89,3.25,315,968
15,T16,T16,Mark Calcavecchia,99,3.24,354,1092
16,T16,T16,Nick Price,63,3.24,238,734
17,T18,T18,Greg Chalmers,96,3.22,367,1138
18,T18,T18,Skip Kendall,114,3.22,438,1360
19,T18,T18,Steve Lowery,107,3.22,410,1274
20,21,21,John Huston,81,3.21,300,935
21,T22,T22,Stephen Ames,99,3.2,372,1161
22,T22,T22,Steve Flesch,123,3.2,477,1490
23,T24,T24,Franklin Langham,95,3.19,353,1105
24,T24,T24,Mike Springer,83,3.19,292,916
25,T24,T24,Grant Waite,85,3.19,336,1054
26,T27,T27,Glen Day,93,3.18,349,1096
27,T27,T27,Mike Weir,102,3.18,361,1134
28,T29,T29,Robert Damron,93,3.17,330,1042
29,T29,T29,Brian Henninger,93,3.17,334,1055
30,31,31,Ernie Els,74,3.15,241,766
31,32,32,Fred Couples,71,3.14,265,845
32,33,33,Kirk Triplett,101,3.12,364,1167
33,T34,T34,Robert Allenby,98,3.11,339,1090
34,T34,T34,Stuart Appleby,86,3.11,282,908
35,T34,T34,John Daly,71,3.11,240,771
36,T34,T34,Chris Riley,98,3.11,341,1095
37,T34,T34,David Toms,113,3.11,412,1326
38,T39,T39,Gabriel Hjertstedt,86,3.1,296,955
39,T39,T39,Frank Lickliter II,107,3.1,387,1249
40,T41,T41,Jay Don Blake,95,3.09,333,1077
41,T41,T41,Kenny Perry,76,3.09,304,983
42,T41,T41,Vijay Singh,97,3.09,348,1126
43,T41,T41,Jay Williamson,105,3.09,372,1202
44,T45,T45,Paul Goydos,99,3.08,342,1112
45,T45,T45,Scott Hoch,108,3.08,397,1289
46,47,47,Charles Raulerson,98,3.07,337,1097
47,T48,T48,Barry Cheesman,96,3.06,333,1088
48,T48,T48,Jeff Sluman,113,3.06,400,1306
49,T48,T48,Hal Sutton,93,3.06,334,1092
50,T51,T51,Bob Burns,91,3.05,318,1041
51,T51,T51,Lee Janzen,92,3.05,328,1075
52,T51,T51,Tom Pernice Jr.,98,3.05,336,1100
53,T54,T54,Tim Herron,96,3.04,337,1107
54,T54,T54,Mark O'Meara,61,3.04,163,536
55,T54,T54,Loren Roberts,87,3.04,297,977
56,T54,T54,Scott Verplank,106,3.04,396,1303
57,T58,T58,J.L. Lewis,104,3.03,380,1254
58,T58,T58,Kevin Wentworth,83,3.03,264,870
59,T60,T60,J.P. Hayes,91,3.02,315,1044
60,T60,T60,Jim McGovern,55,3.02,187,620
61,T60,T60,Craig Stadler,70,3.02,235,779
62,T63,T63,Chris DiMarco,118,3.01,420,1396
63,T63,T63,Joe Ogilvie,95,3.01,319,1060
64,T65,T65,Scott Dunlap,106,3.0,389,1298
65,T65,T65,Brent Geiberger,79,3.0,273,909
66,T65,T65,Carl Paulson,105,3.0,376,1253
67,T65,T65,Jean Van de Velde,70,3.0,220,734
68,T69,T69,Chip Beck,51,2.99,156,521
69,T69,T69,Jim Furyk,98,2.99,333,1114
70,T69,T69,Brian Gay,101,2.99,345,1154
71,T72,T72,Stewart Cink,98,2.98,337,1132
72,T72,T72,Brad Fabel,88,2.98,289,969
73,T72,T72,Harrison Frazar,72,2.98,248,831
74,T72,T72,Steve Gotsche,91,2.98,312,1046
75,T72,T72,Steve Jones,75,2.98,222,746
76,T77,T77,Woody Austin,104,2.97,359,1207
77,T77,T77,Brad Elder,110,2.97,389,1311
78,T77,T77,Bob Estes,68,2.97,197,663
79,T80,T80,Jim Carter,96,2.96,308,1039
80,T80,T80,Brandel Chamblee,72,2.96,258,873
81,T80,T80,Justin Leonard,98,2.96,321,1086
82,T80,T80,Corey Pavin,74,2.96,223,754
83,T80,T80,David Sutherland,109,2.96,375,1269
84,T85,T85,Mark Brooks,91,2.95,291,986
85,T85,T85,Michael Clark II,84,2.95,275,932
86,T85,T85,Shigeki Maruyama,88,2.95,277,938
87,T85,T85,Larry Mize,71,2.95,236,800
88,T89,T89,Russ Cochran,71,2.94,253,861
89,T89,T89,Bill Glasson,93,2.94,338,1148
90,T89,T89,Jerry Kelly,111,2.94,393,1335
91,T89,T89,Blaine McCallister,104,2.94,381,1295
92,T93,T93,Rich Beem,84,2.93,282,961
93,T93,T93,Ted Tryba,112,2.93,342,1168
94,T95,T95,Jeff Maggert,86,2.92,281,961
95,T95,T95,Shaun Micheel,94,2.92,323,1106
96,T95,T95,David Peoples,99,2.92,363,1244
97,T98,T98,Craig Barlow,98,2.91,335,1152
98,T98,T98,Tom Byrum,91,2.91,313,1076
99,T98,T98,Bob Heintz,87,2.91,271,931
100,T98,T98,Brandt Jobe,91,2.91,311,1067
101,T98,T98,David Morland IV,88,2.91,292,1003
102,T98,T98,Kevin Sutherland,98,2.91,337,1159
103,T104,T104,Cameron Beckman,81,2.9,283,975
104,T104,T104,Rick Fehr,73,2.9,235,809
105,T104,T104,Bob May,95,2.9,318,1098
106,T107,T107,Jason Buha,82,2.89,281,971
107,T107,T107,Robert Gamez,76,2.89,270,934
108,T107,T107,Chris Perry,109,2.89,381,1320
109,T107,T107,Duffy Waldorf,80,2.89,271,937
110,T111,T111,Doug Dunakey,83,2.88,272,943
111,T111,T111,Edward Fryatt,101,2.88,328,1137
112,T111,T111,Dennis Paulson,82,2.88,249,864
113,T111,T111,Tom Scherrer,104,2.88,349,1210
114,T115,T115,Doug Barron,85,2.87,286,995
115,T115,T115,Dudley Hart,74,2.87,254,885
116,T115,T115,Bob Tway,91,2.87,310,1080
117,118,118,"Dave Stockton, Jr.",89,2.86,287,1005
118,119,119,Pete Jordan,102,2.85,344,1208
119,T120,T120,Trevor Dodds,86,2.84,274,965
120,T120,T120,Fred Funk,110,2.84,377,1329
121,T120,T120,Matt Gogel,86,2.84,277,976
122,T123,T123,K.J. Choi,92,2.82,303,1074
123,T123,T123,Joel Edwards,99,2.82,347,1232
124,T123,T123,Dan Forsman,88,2.82,299,1060
125,T123,T123,Robin Freeman,98,2.82,323,1144
126,T123,T123,Craig Spence,89,2.82,266,942
127,T123,T123,Steve Stricker,63,2.82,185,657
128,T123,T123,Mark Wiebe,95,2.82,303,1076
129,T130,T130,Joe Durant,94,2.81,344,1224
130,T130,T130,Jimmy Green,85,2.81,271,965
131,T130,T130,Andrew Magee,78,2.81,243,865
132,T130,T130,Frank Nobilo,98,2.81,321,1142
133,T130,T130,Brett Quigley,63,2.81,206,734
134,T135,T135,Jay Haas,80,2.8,245,875
135,T135,T135,Craig Parry,73,2.8,219,783
136,T137,T137,David Frost,65,2.79,179,641
137,T137,T137,Mathew Goggin,91,2.79,310,1110
138,T137,T137,Joey Sindelar,88,2.79,285,1023
139,T140,T140,Sean Murphy,102,2.78,324,1165
140,T140,T140,Craig Perks,82,2.78,263,946
141,T142,T142,Michael Bradley,73,2.77,233,840
142,T142,T142,Olin Browne,103,2.77,338,1221
143,T142,T142,Bobby Cochran,78,2.77,234,845
144,T142,T142,Bob Friend,96,2.77,289,1043
145,T142,T142,Casey Martin,90,2.77,295,1065
146,T147,T147,Ronnie Black,82,2.76,258,936
147,T147,T147,Rocco Mediate,79,2.76,242,878
148,T149,T149,Greg Kraft,106,2.75,356,1296
149,T149,T149,Neal Lancaster,99,2.75,307,1117
150,T149,T149,Omar Uresti,94,2.75,298,1082
151,152,152,Tom Lehman,71,2.74,225,822
152,153,153,Paul Curry,64,2.73,185,677
153,154,154,Peter Jacobsen,65,2.72,211,775
154,T155,T155,Nick Faldo,51,2.71,139,513
155,T155,T155,Dicky Pride,98,2.71,290,1071
156,T155,T155,Mike Sposa,73,2.71,231,853
157,T158,T158,Ben Bates,107,2.7,330,1223
158,T158,T158,Bradley Hughes,93,2.7,295,1092
159,T158,T158,Gary Nicklaus,84,2.7,259,959
160,T158,T158,John Rollins,72,2.7,224,831
161,T162,T162,Jay Delsing,97,2.69,284,1057
162,T162,T162,Brian Watts,89,2.69,282,1049
163,T164,T164,Steve Elkington,59,2.68,179,668
164,T164,T164,Billy Mayfair,93,2.68,288,1073
165,T164,T164,Steve Pate,97,2.68,278,1036
166,T167,T167,Tommy Armour III,91,2.67,282,1058
167,T167,T167,Notah Begay III,82,2.67,234,875
168,T167,T167,Aaron Bengoechea,75,2.67,219,819
169,T167,T167,Eric Booker,87,2.67,255,954
170,T167,T167,Mike Brisky,89,2.67,265,992
171,T167,T167,Jeff Gove,86,2.67,260,975
172,T167,T167,John Maginnes,99,2.67,303,1134
173,T174,T174,Perry Moss,53,2.66,172,646
174,T174,T174,Tom Purtzer,58,2.66,182,684
175,T176,T176,Emlyn Aubrey,68,2.65,192,724
176,T176,T176,Len Mattiace,107,2.65,332,1254
177,T178,T178,Joe Ozaki,55,2.63,158,600
178,T178,T178,Jerry Smith,104,2.63,314,1196
179,T178,T178,Esteban Toledo,113,2.63,347,1321
180,T181,T181,Glen Hnatiuk,94,2.62,301,1147
181,T181,T181,Ryan Howison,83,2.62,233,888
182,183,183,Mike Reid,76,2.59,227,878
183,184,184,P.H. Horgan III,65,2.58,192,745
184,185,185,Kelly Gibson,84,2.56,262,1023
185,186,186,Keith Nolan,57,2.55,158,620
186,T187,T187,Fulton Allem,77,2.54,223,878
187,T187,T187,John Cook,90,2.54,282,1111
188,T187,T187,Mike Hulbert,82,2.54,221,870
189,190,190,Steve Hart,72,2.53,184,726
190,191,191,Bart Bryant,73,2.52,215,854
191,192,192,Craig Bowden,54,2.51,149,593
192,193,193,Jason Caron,77,2.5,210,840
193,194,194,Nolan Henke,79,2.37,214,902
194,195,195,Scott Gump,108,2.27,286,1259
