,Putts_Per_Round_RANK THIS WEEK,Putts_Per_Round_RANK LAST WEEK,Putts_Per_Round_PLAYER NAME,Putts_Per_Round_ROUNDS,Putts_Per_Round_AVG,Putts_Per_Round_TOTAL PUTTS,Putts_Per_Round_TOTAL ROUNDS,Putts_Per_Round_LOW TOTAL PUTTS
0,1,1,Brad Faxon,98,28.05,2693,96,22
1,2,2,Mark O'Meara,61,28.14,1435,51,24
2,3,3,Paul Azinger,73,28.21,1918,68,22
3,4,4,Sergio Garcia,59,28.23,1355,48,23
4,5,5,Steve Jones,75,28.3,1896,67,23
5,T6,T6,Ernie Els,74,28.33,1813,64,24
6,T6,T6,Phil Mickelson,85,28.33,2153,76,22
7,8,8,Paul Curry,64,28.39,1817,64,24
8,9,9,Billy Andrade,89,28.4,2442,86,20
9,10,10,Stuart Appleby,86,28.42,2188,77,21
10,11,11,Paul Goydos,99,28.44,2759,97,23
11,T12,T12,Jonathan Kaye,115,28.46,3188,112,22
12,T12,T12,Scott McCarron,100,28.46,2789,98,23
13,T14,T14,Rick Fehr,73,28.48,2022,71,21
14,T14,T14,Mike Springer,83,28.48,2307,81,23
15,16,16,Corey Pavin,74,28.51,2053,72,18
16,17,17,Larry Mize,71,28.55,1970,69,22
17,18,18,Mark Brooks,91,28.58,2458,86,23
18,19,19,Bob Estes,68,28.59,1687,59,24
19,T20,T20,Rory Sabbatini,85,28.6,2374,83,21
20,T20,T20,Jean Van de Velde,70,28.6,1802,63,23
21,22,22,Loren Roberts,87,28.61,2346,82,23
22,23,23,Robert Damron,93,28.62,2604,91,23
23,T24,T24,Jim Carter,96,28.63,2634,92,20
24,T24,T24,Tommy Tolles,60,28.63,1718,60,24
25,26,26,Ted Tryba,112,28.64,3122,109,24
26,27,27,Bob Heintz,87,28.67,2437,85,22
27,T28,T28,Brian Gay,101,28.69,2840,99,24
28,T28,T28,Kevin Wentworth,83,28.69,2295,80,22
29,30,30,Chris Riley,98,28.7,2698,94,23
30,T31,T31,Glen Day,93,28.71,2641,92,22
31,T31,T31,Paul Stankowski,77,28.71,2096,73,23
32,33,33,Brad Fabel,88,28.72,2527,88,20
33,34,34,Jesper Parnevik,71,28.73,1839,64,24
34,35,35,Frank Lickliter II,107,28.74,3018,105,24
35,36,36,Tiger Woods,82,28.76,2071,72,23
36,37,37,Skip Kendall,114,28.78,3223,112,21
37,38,38,Tom Pernice Jr.,98,28.79,2764,96,22
38,T39,T39,Chip Beck,51,28.8,1411,49,23
39,T39,T39,Jay Don Blake,95,28.8,2678,93,23
40,T39,T39,Nick Price,63,28.8,1728,60,24
41,T42,T42,David Frost,65,28.81,1700,59,22
42,T42,T42,Len Mattiace,107,28.81,3083,107,24
43,44,44,Franklin Langham,95,28.82,2623,91,24
44,45,45,Michael Bradley,73,28.85,2106,73,23
45,T46,T46,Steve Lowery,107,28.86,3001,104,22
46,T46,T46,Mike Weir,102,28.86,2655,92,22
47,48,48,Carlos Franco,85,28.87,2367,82,24
48,T49,T49,Jim Furyk,98,28.88,2628,91,23
49,T49,T49,Shigeki Maruyama,88,28.88,2339,81,23
50,T49,T49,Sean Murphy,102,28.88,2888,100,25
51,T52,T52,Steve Hart,72,28.89,2022,70,23
52,T52,T52,Keith Nolan,57,28.89,1647,57,23
53,T54,T54,John Huston,81,28.9,2254,78,23
54,T54,T54,Lee Janzen,92,28.9,2572,89,23
55,T54,T54,Jay Williamson,105,28.9,2948,102,24
56,57,57,Joe Ogilvie,95,28.91,2631,91,23
57,58,58,Brent Geiberger,79,28.92,2169,75,24
58,59,59,Davis Love III,98,28.94,2547,88,21
59,T60,T60,Bill Glasson,93,28.95,2692,93,24
60,T60,T60,John Maginnes,99,28.95,2866,99,22
61,T60,T60,Jerry Smith,104,28.95,2924,101,23
62,T60,T60,Steve Stricker,63,28.95,1708,59,23
63,T60,T60,Esteban Toledo,113,28.95,3213,111,22
64,T60,T60,Scott Verplank,106,28.95,3011,104,23
65,T66,T66,Steve Flesch,123,28.96,3388,117,22
66,T66,T66,J.P. Hayes,91,28.96,2577,89,24
67,T66,T66,Jerry Kelly,111,28.96,3215,111,24
68,T69,T69,Stephen Ames,99,28.97,2752,95,23
69,T69,T69,Stewart Cink,98,28.97,2636,91,24
70,T69,T69,Jeff Sluman,113,28.97,3100,107,23
71,T72,T72,Bob Friend,96,28.98,2666,92,22
72,T72,T72,Justin Leonard,98,28.98,2579,89,23
73,T72,T72,Jim McGovern,55,28.98,1536,53,24
74,T75,T75,Greg Chalmers,96,29.0,2668,92,23
75,T75,T75,Brian Henninger,93,29.0,2581,89,22
76,T77,T77,Mike Sposa,73,29.01,2118,73,24
77,T77,T77,"Dave Stockton, Jr.",89,29.01,2524,87,22
78,79,79,Brett Quigley,63,29.02,1828,63,23
79,T80,T80,Ryan Howison,83,29.04,2352,81,24
80,T80,T80,Pete Jordan,102,29.04,2962,102,24
81,T80,T80,Andrew Magee,78,29.04,2120,73,23
