,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
0,1,1,Brad Faxon,98,44.39,767,1728
1,2,2,Billy Andrade,89,42.83,663,1548
2,3,3,Paul Goydos,99,42.67,745,1746
3,4,4,Paul Curry,64,42.62,491,1152
4,5,5,Robert Damron,93,42.43,695,1638
5,6,6,Chris Riley,98,41.67,705,1692
6,7,7,Rory Sabbatini,85,41.43,619,1494
7,T8,T8,Rick Fehr,73,41.39,529,1278
8,T8,T8,Kevin Wentworth,83,41.39,596,1440
9,10,10,Bob Heintz,87,41.37,633,1530
10,11,11,Jay Don Blake,95,41.28,691,1674
11,12,12,Jonathan Kaye,115,41.22,831,2016
12,T13,T13,Brad Fabel,88,41.16,652,1584
13,T13,T13,Scott McCarron,100,41.16,726,1764
14,15,15,Brian Gay,101,41.08,732,1782
15,16,16,Tommy Tolles,60,41.02,443,1080
16,17,17,Frank Lickliter II,107,40.9,773,1890
17,T18,T18,Paul Azinger,73,40.74,528,1296
18,T18,T18,Mike Springer,83,40.74,594,1458
19,20,20,Glen Day,93,40.58,672,1656
20,21,21,Corey Pavin,74,40.47,539,1332
21,22,22,Ted Tryba,112,40.44,808,1998
22,23,23,Paul Stankowski,77,40.33,530,1314
23,24,24,Franklin Langham,95,40.23,659,1638
24,25,25,Jay Williamson,105,40.14,737,1836
25,26,26,Mark O'Meara,61,40.1,397,990
26,27,27,Skip Kendall,114,40.03,807,2016
27,28,28,Larry Mize,71,40.02,497,1242
28,29,29,Steve Hart,72,40.0,504,1260
29,30,30,Craig Perks,82,39.97,590,1476
30,31,31,Keith Nolan,57,39.96,410,1026
31,32,32,Craig Spence,89,39.93,611,1530
32,33,33,Brett Quigley,63,39.86,452,1134
33,34,34,Carlos Franco,85,39.75,601,1512
34,35,35,Jim Carter,96,39.72,672,1692
35,36,36,Joe Ogilvie,95,39.68,650,1638
36,T37,T37,Sergio Garcia,59,39.64,371,936
37,T37,T37,Tom Pernice Jr.,98,39.64,685,1728
38,39,39,Ernie Els,74,39.62,485,1224
39,T40,T40,Brian Henninger,93,39.58,634,1602
