,Putts_per_Round_-_Round_1_RANK THIS WEEK,Putts_per_Round_-_Round_1_RANK LAST WEEK,Putts_per_Round_-_Round_1_PLAYER NAME,Putts_per_Round_-_Round_1_AVG,Putts_per_Round_-_Round_1_TOTAL PUTTS,Putts_per_Round_-_Round_1_TOTAL ROUNDS
0,1,1,Paul Azinger,27.89,502,18
1,2,2,Brad Faxon,27.96,783,28
2,3,3,Ernie Els,28.0,448,16
3,4,4,Jesper Parnevik,28.06,477,17
4,5,5,Rick Fehr,28.13,647,23
5,6,6,Jason Caron,28.18,789,28
6,7,7,Sergio Garcia,28.23,367,13
7,8,8,Skip Kendall,28.29,877,31
8,9,9,Phil Mickelson,28.3,566,20
9,10,10,Billy Andrade,28.33,850,30
10,11,11,Mike Springer,28.34,822,29
11,12,12,Paul Goydos,28.38,823,29
12,13,13,Chris Riley,28.41,767,27
13,14,14,J.P. Hayes,28.44,711,25
14,15,15,Len Mattiace,28.45,882,31
15,16,16,John Huston,28.48,598,21
16,17,17,Bob Estes,28.5,513,18
17,18,18,David Frost,28.52,656,23
18,19,19,Ted Tryba,28.57,1000,35
19,T20,T20,Mark Brooks,28.59,772,27
20,T20,T20,Carlos Franco,28.59,629,22
21,22,22,Jean Van de Velde,28.6,572,20
22,23,23,Paul Stankowski,28.62,601,21
23,24,24,Steve Jones,28.63,544,19
24,T25,T25,Rory Sabbatini,28.64,716,25
25,T25,T25,Grant Waite,28.64,716,25
26,27,27,Davis Love III,28.65,659,23
27,28,28,Mike Hulbert,28.67,946,33
28,29,29,Stuart Appleby,28.71,603,21
29,30,30,Jim Carter,28.75,805,28
30,T31,T31,Paul Curry,28.76,719,25
31,T31,T31,Scott McCarron,28.76,834,29
32,33,33,Kevin Wentworth,28.77,863,30
33,34,34,Tommy Tolles,28.79,547,19
34,35,35,Justin Leonard,28.8,720,25
35,T36,T36,Brian Henninger,28.82,807,28
36,T36,T36,Loren Roberts,28.82,634,22
37,38,38,Brad Fabel,28.83,865,30
38,T39,T39,Nick Faldo,28.85,375,13
39,T39,T39,Sean Murphy,28.85,981,34
40,41,41,Brett Quigley,28.86,606,21
41,42,42,Mark O'Meara,28.88,462,16
42,43,43,Scott Hoch,28.89,809,28
43,T44,T44,Robin Freeman,28.9,896,31
44,T44,T44,Frank Lickliter II,28.9,867,30
45,46,46,Brian Gay,28.91,925,32
46,47,47,Corey Pavin,28.96,695,24
47,T48,T48,Matt Gogel,28.97,840,29
48,T48,T48,Jerry Smith,28.97,898,31
49,T50,T50,Chip Beck,29.0,580,20
50,T50,T50,Michael Bradley,29.0,754,26
51,T50,T50,Tom Byrum,29.0,754,26
52,T50,T50,Bobby Cochran,29.0,841,29
53,T50,T50,Bill Glasson,29.0,754,26
54,T50,T50,Steve Hart,29.0,841,29
55,T50,T50,Nick Price,29.0,464,16
56,T50,T50,"Dave Stockton, Jr.",29.0,870,30
57,T50,T50,Jay Williamson,29.0,899,31
58,59,59,Bob Heintz,29.03,958,33
59,T60,T60,Dan Forsman,29.07,785,27
60,T60,T60,Craig Perks,29.07,814,28
61,T62,T62,Emlyn Aubrey,29.08,727,25
62,T62,T62,P.H. Horgan III,29.08,727,25
63,T62,T62,Bob May,29.08,698,24
64,T65,T65,Mike Brisky,29.1,873,30
65,T65,T65,Steve Flesch,29.1,873,30
66,T65,T65,Ryan Howison,29.1,844,29
67,T68,T68,Greg Chalmers,29.11,786,27
68,T68,T68,Scott Verplank,29.11,786,27
69,70,70,Jeff Sluman,29.13,874,30
70,T71,T71,Robert Damron,29.15,787,27
71,T71,T71,Dicky Pride,29.15,991,34
72,T71,T71,Mike Sposa,29.15,758,26
73,74,74,Pete Jordan,29.16,904,31
74,T75,T75,Jay Haas,29.2,730,25
75,T75,T75,Blaine McCallister,29.2,876,30
76,T77,T77,Stephen Ames,29.21,847,29
77,T77,T77,Greg Kraft,29.21,847,29
78,T77,T77,J.L. Lewis,29.21,847,29
79,T77,T77,Andrew Magee,29.21,701,24
80,T81,T81,Edward Fryatt,29.23,906,31
81,T81,T81,Neal Lancaster,29.23,877,30
82,T81,T81,Kirk Triplett,29.23,760,26
83,84,84,Keith Nolan,29.26,673,23
84,85,85,Tiger Woods,29.28,527,18
85,T86,T86,Bob Burns,29.29,820,28
86,T86,T86,Bob Friend,29.29,908,31
87,88,88,Jonathan Kaye,29.3,967,33
88,89,89,Aaron Bengoechea,29.32,821,28
89,90,90,Charles Raulerson,29.34,939,32
90,T91,T91,Jim Furyk,29.35,675,23
91,T91,T91,Larry Mize,29.35,587,20
92,93,93,Frank Nobilo,29.37,793,27
93,94,94,Carl Paulson,29.38,940,32
94,95,95,Steve Gotsche,29.39,911,31
95,T96,T96,Mark Calcavecchia,29.4,735,25
96,T96,T96,Steve Pate,29.4,735,25
97,T98,T98,Glen Day,29.41,794,27
98,T98,T98,Jay Delsing,29.41,941,32
99,T98,T98,John Maginnes,29.41,941,32
100,T98,T98,Joe Ogilvie,29.41,853,29
101,T98,T98,Mark Wiebe,29.41,794,27
102,103,103,Rocco Mediate,29.43,618,21
103,T104,T104,Ronnie Black,29.44,795,27
104,T104,T104,David Duval,29.44,471,16
105,T104,T104,Lee Janzen,29.44,736,25
106,T107,T107,Shigeki Maruyama,29.46,707,24
107,T107,T107,Bob Tway,29.46,825,28
108,T109,T109,Joel Edwards,29.48,855,29
109,T109,T109,Franklin Langham,29.48,796,27
110,T109,T109,Steve Lowery,29.48,855,29
111,T109,T109,Hal Sutton,29.48,678,23
112,T113,T113,Jay Don Blake,29.5,826,28
113,T113,T113,Trevor Dodds,29.5,826,28
114,T113,T113,Brent Geiberger,29.5,649,22
115,T113,T113,Casey Martin,29.5,826,28
116,T113,T113,David Morland IV,29.5,885,30
117,T113,T113,Esteban Toledo,29.5,1003,34
118,T119,T119,Brad Elder,29.53,1004,34
119,T119,T119,Omar Uresti,29.53,1004,34
120,T121,T121,Stewart Cink,29.54,709,24
121,T121,T121,Russ Cochran,29.54,709,24
122,123,123,Craig Bowden,29.56,739,25
123,124,124,Brandt Jobe,29.57,887,30
124,125,125,Kevin Sutherland,29.58,769,26
125,126,126,Michael Clark II,29.59,799,27
126,T127,T127,Jeff Gove,29.6,888,30
127,T127,T127,Craig Stadler,29.6,592,20
128,129,129,Tim Herron,29.62,770,26
129,T130,T130,Notah Begay III,29.64,652,22
130,T130,T130,Joe Durant,29.64,830,28
131,T130,T130,Dudley Hart,29.64,652,22
132,T130,T130,Brian Watts,29.64,830,28
133,T134,T134,Jim McGovern,29.65,504,17
