,One-Putt_Percentage_-_Round_3_RANK THIS WEEK,One-Putt_Percentage_-_Round_3_RANK LAST WEEK,One-Putt_Percentage_-_Round_3_PLAYER NAME,One-Putt_Percentage_-_Round_3_%,One-Putt_Percentage_-_Round_3_# OF 1 PUTTS,One-Putt_Percentage_-_Round_3_# OF HOLES
0,1,1,Jerry Kelly,44.21,191,432
1,2,2,Ted Tryba,44.18,167,378
2,3,3,Corey Pavin,44.02,103,234
3,4,4,Tommy Tolles,43.52,94,216
4,5,5,Rory Sabbatini,43.4,125,288
5,6,6,Jay Haas,43.33,117,270
6,7,7,Nick Price,43.25,109,252
7,T8,T8,Billy Andrade,43.16,101,234
8,T8,T8,Harrison Frazar,43.16,101,234
9,10,10,Carlos Franco,42.98,147,342
10,11,11,Paul Curry,42.86,54,126
11,12,12,Brad Faxon,42.78,154,360
12,13,13,Steve Lowery,42.51,176,414
13,14,14,Bob Burns,42.48,130,306
14,15,15,Trevor Dodds,42.46,107,252
15,T16,T16,Stephen Ames,42.4,145,342
16,T16,T16,Stuart Appleby,42.4,145,342
17,18,18,Jeff Sluman,42.36,183,432
18,19,19,Jim McGovern,42.22,76,180
19,20,20,Jimmy Green,42.01,121,288
20,21,21,Bobby Cochran,41.98,68,162
21,T22,T22,Jay Don Blake,41.81,143,342
22,T22,T22,J.P. Hayes,41.81,143,342
23,T22,T22,Phil Mickelson,41.81,143,342
24,T25,T25,Doug Dunakey,41.67,105,252
25,T25,T25,Paul Goydos,41.67,150,360
26,27,27,Mark Brooks,41.5,127,306
27,28,28,Chris Perry,41.44,179,432
28,29,29,Mark O'Meara,41.41,82,198
29,T30,T30,Tom Scherrer,41.39,149,360
30,T30,T30,Jay Williamson,41.39,149,360
31,32,32,Jean Van de Velde,41.27,104,252
32,33,33,Robin Freeman,41.23,141,342
33,34,34,Andrew Magee,41.2,89,216
34,35,35,Joe Ogilvie,41.18,126,306
35,36,36,Loren Roberts,41.11,148,360
36,37,37,Jonathan Kaye,41.06,170,414
37,38,38,Steve Hart,40.97,59,144
38,39,39,Tiger Woods,40.94,140,342
39,40,40,Rick Fehr,40.87,103,252
40,T41,T41,Scott McCarron,40.83,147,360
41,T41,T41,Carl Paulson,40.83,147,360
42,T43,T43,Scott Dunlap,40.82,169,414
43,T43,T43,Jim Furyk,40.82,169,414
44,T43,T43,Frank Lickliter II,40.82,169,414
45,46,46,Charles Raulerson,40.74,132,324
46,47,47,Glen Day,40.64,139,342
47,48,48,Franklin Langham,40.56,146,360
48,49,49,Ernie Els,40.52,124,306
49,T50,T50,Steve Gotsche,40.48,102,252
50,T50,T50,Chris Riley,40.48,153,378
51,52,52,Tom Pernice Jr.,40.43,131,324
52,53,53,Robert Gamez,40.4,80,198
53,54,54,Mike Reid,40.37,109,270
54,55,55,Bob Friend,40.28,116,288
55,56,56,Scott Verplank,40.22,181,450
56,T57,T57,Robert Allenby,40.21,152,378
57,T57,T57,Davis Love III,40.21,152,378
58,59,59,Dan Forsman,40.2,123,306
59,60,60,Robert Damron,40.06,137,342
60,T61,T61,Chip Beck,40.0,36,90
61,T61,T61,Cameron Beckman,40.0,108,270
62,T61,T61,Craig Bowden,40.0,36,90
63,T64,T64,Tommy Armour III,39.93,115,288
64,T64,T64,Shaun Micheel,39.93,115,288
65,66,66,Joe Ozaki,39.9,79,198
66,67,67,Ryan Howison,39.81,86,216
67,T68,T68,Jim Carter,39.77,136,342
68,T68,T68,Brian Gay,39.77,136,342
69,T70,T70,Rich Beem,39.74,93,234
70,T70,T70,Jason Buha,39.74,93,234
71,T70,T70,David Toms,39.74,186,468
72,73,73,Mark Wiebe,39.72,143,360
73,74,74,Brad Fabel,39.68,100,252
74,75,75,Blaine McCallister,39.65,157,396
75,T76,T76,Mark Calcavecchia,39.44,142,360
76,T76,T76,Jerry Smith,39.44,142,360
77,T78,T78,Frank Nobilo,39.42,149,378
78,T78,T78,David Peoples,39.42,149,378
79,T80,T80,Peter Jacobsen,39.39,78,198
80,T80,T80,Kevin Wentworth,39.39,78,198
81,82,82,Sergio Garcia,39.35,85,216
82,83,83,Chris DiMarco,39.33,177,450
83,84,84,Craig Parry,39.29,99,252
84,T85,T85,Brent Geiberger,39.26,106,270
85,T85,T85,"Dave Stockton, Jr.",39.26,106,270
86,87,87,Lee Janzen,39.18,134,342
87,88,88,Len Mattiace,39.13,162,414
88,89,89,Skip Kendall,39.12,169,432
89,T90,T90,Michael Bradley,38.89,84,216
90,T90,T90,Olin Browne,38.89,140,360
91,T90,T90,Bill Glasson,38.89,147,378
92,T90,T90,Jesper Parnevik,38.89,112,288
93,T90,T90,Steve Stricker,38.89,70,180
94,T90,T90,Hal Sutton,38.89,147,378
95,T90,T90,Esteban Toledo,38.89,154,396
96,97,97,Scott Hoch,38.66,167,432
97,98,98,Greg Chalmers,38.58,125,324
98,99,99,Larry Mize,38.52,104,270
99,100,100,Steve Flesch,38.51,201,522
100,T101,T101,Brandel Chamblee,38.49,97,252
101,T101,T101,Craig Perks,38.49,97,252
102,103,103,Craig Stadler,38.46,90,234
103,104,104,Greg Kraft,38.43,166,432
104,105,105,Brett Quigley,38.38,76,198
105,T106,T106,Brad Elder,38.36,145,378
106,T106,T106,Kevin Sutherland,38.36,145,378
107,T106,T106,Kirk Triplett,38.36,145,378
108,T109,T109,Craig Barlow,38.33,138,360
109,T109,T109,Tim Herron,38.33,138,360
110,T109,T109,John Rollins,38.33,69,180
111,T112,T112,Paul Azinger,38.27,124,324
112,T112,T112,John Huston,38.27,124,324
113,114,114,K.J. Choi,38.24,117,306
114,115,115,P.H. Horgan III,38.19,55,144
115,116,116,Mike Weir,38.13,151,396
116,T117,T117,Kenny Perry,37.96,123,324
117,T117,T117,Grant Waite,37.96,123,324
118,119,119,Mike Springer,37.7,95,252
119,T120,T120,Tom Byrum,37.65,122,324
120,T120,T120,Neal Lancaster,37.65,122,324
121,122,122,Pete Jordan,37.57,142,378
122,123,123,Woody Austin,37.5,135,360
123,124,124,David Sutherland,37.44,155,414
124,T125,T125,Gabriel Hjertstedt,37.41,101,270
125,T125,T125,Paul Stankowski,37.41,101,270
126,T127,T127,Mike Brisky,37.3,94,252
127,T127,T127,Bradley Hughes,37.3,94,252
128,129,129,John Maginnes,37.25,114,306
129,130,130,Bob Heintz,37.22,67,180
130,131,131,Craig Spence,37.18,87,234
131,132,132,Fred Couples,37.15,107,288
132,T133,T133,Matt Gogel,37.04,80,216
133,T133,T133,Omar Uresti,37.04,100,270
134,T133,T133,Brian Watts,37.04,120,324
135,136,136,Bob May,36.94,133,360
136,137,137,Billy Mayfair,36.93,113,306
137,138,138,J.L. Lewis,36.87,146,396
138,139,139,Dicky Pride,36.51,92,252
139,140,140,Stewart Cink,36.47,151,414
140,141,141,Casey Martin,36.46,105,288
141,142,142,Michael Clark II,36.32,85,234
142,143,143,Shigeki Maruyama,36.26,124,342
143,T144,T144,Emlyn Aubrey,36.11,52,144
144,T144,T144,Nolan Henke,36.11,52,144
145,T144,T144,Keith Nolan,36.11,39,108
146,T144,T144,Vijay Singh,36.11,143,396
147,148,148,Joel Edwards,35.98,136,378
148,149,149,David Duval,35.95,110,306
149,150,150,Brandt Jobe,35.93,97,270
150,151,151,Bob Estes,35.9,84,234
151,152,152,Fred Funk,35.75,148,414
152,T153,T153,Jeff Gove,35.65,77,216
153,T153,T153,Mike Sposa,35.65,77,216
154,155,155,Jay Delsing,35.56,96,270
155,156,156,Barry Cheesman,35.47,83,234
156,157,157,Dudley Hart,35.32,89,252
157,158,158,Edward Fryatt,35.29,108,306
158,159,159,Bob Tway,35.19,95,270
159,T160,T160,Rocco Mediate,35.07,101,288
160,T160,T160,Sean Murphy,35.07,101,288
161,162,162,Perry Moss,34.92,44,126
162,163,163,Jeff Maggert,34.72,100,288
163,164,164,Mathew Goggin,34.62,81,234
164,T165,T165,Ronnie Black,34.52,87,252
165,T165,T165,Eric Booker,34.52,87,252
166,T165,T165,David Morland IV,34.52,87,252
167,T168,T168,Doug Barron,34.44,93,270
168,T168,T168,Jason Caron,34.44,62,180
169,T168,T168,Dennis Paulson,34.44,93,270
170,T168,T168,Joey Sindelar,34.44,93,270
171,T172,T172,Notah Begay III,34.38,99,288
172,T172,T172,Glen Hnatiuk,34.38,99,288
173,174,174,John Daly,34.34,68,198
174,175,175,John Cook,34.31,105,306
175,176,176,Ben Bates,34.21,117,342
176,T177,T177,Russ Cochran,34.19,80,234
177,T177,T177,Gary Nicklaus,34.19,80,234
178,T179,T179,David Frost,34.03,49,144
179,T179,T179,Tom Lehman,34.03,98,288
180,181,181,Brian Henninger,33.99,104,306
181,182,182,Aaron Bengoechea,33.95,55,162
182,183,183,Justin Leonard,33.89,122,360
183,184,184,Steve Jones,33.68,97,288
184,185,185,Duffy Waldorf,33.33,96,288
