,3-Putt_Avoidance_RANK THIS WEEK,3-Putt_Avoidance_RANK LAST WEEK,3-Putt_Avoidance_PLAYER NAME,3-Putt_Avoidance_ROUNDS,3-Putt_Avoidance_%,3-Putt_Avoidance_TOTAL 3 PUTTS,3-Putt_Avoidance_TOTAL HOLES (OVERALL)
0,T1,T1,Stewart Cink,98,1.64,28,1710
1,T1,T1,Steve Jones,75,1.64,21,1278
2,3,3,Larry Mize,71,1.69,21,1242
3,4,4,Steve Stricker,63,1.82,20,1098
4,5,5,Mark Brooks,91,1.83,29,1584
5,T6,T6,Dennis Paulson,82,1.85,27,1458
6,T6,T6,Chris Perry,109,1.85,35,1890
7,8,8,Len Mattiace,107,1.87,36,1926
8,9,9,Ernie Els,74,1.88,23,1224
9,10,10,Brian Gay,101,1.91,34,1782
10,11,11,Mark O'Meara,61,1.92,19,990
11,12,12,Jim Furyk,98,1.93,33,1710
12,T13,T13,David Frost,65,1.94,22,1134
13,T13,T13,Scott Verplank,106,1.94,37,1908
14,15,15,Scott McCarron,100,1.98,35,1764
15,T16,T16,Jim McGovern,55,1.99,19,954
16,T16,T16,Steve Pate,97,1.99,33,1656
17,18,18,Mike Hulbert,82,2.01,29,1440
18,19,19,Rick Fehr,73,2.03,26,1278
19,20,20,Mike Springer,83,2.06,30,1458
20,21,21,Phil Mickelson,85,2.08,30,1440
21,22,22,Bob Estes,68,2.12,24,1134
22,23,23,Esteban Toledo,113,2.15,43,1998
23,24,24,Paul Curry,64,2.17,25,1152
24,25,25,Bob Tway,91,2.18,35,1602
25,26,26,John Cook,90,2.21,35,1584
26,27,27,Glen Day,93,2.23,37,1656
27,28,28,Chris DiMarco,118,2.24,46,2052
28,T29,T29,Jim Carter,96,2.25,38,1692
29,T29,T29,Jeff Sluman,113,2.25,45,1998
30,T31,T31,Stuart Appleby,86,2.26,33,1458
31,T31,T31,Tom Pernice Jr.,98,2.26,39,1728
32,33,33,Bill Glasson,93,2.27,38,1674
33,34,34,Sean Murphy,102,2.28,41,1800
34,T35,T35,Jerry Kelly,111,2.3,46,1998
35,T35,T35,Steve Lowery,107,2.3,43,1872
36,T35,T35,"Dave Stockton, Jr.",89,2.3,36,1566
37,T38,T38,Brad Faxon,98,2.31,40,1728
38,T38,T38,Mike Weir,102,2.31,40,1728
39,40,40,Loren Roberts,87,2.33,36,1548
40,41,41,Blaine McCallister,104,2.35,44,1872
41,42,42,Jerry Smith,104,2.37,43,1818
42,T43,T43,Kevin Sutherland,98,2.42,41,1692
43,T43,T43,Mark Wiebe,95,2.42,40,1656
44,45,45,Joel Edwards,99,2.47,44,1782
45,46,46,Chip Beck,51,2.49,22,882
46,T47,T47,J.P. Hayes,91,2.5,40,1602
47,T47,T47,Joe Ogilvie,95,2.5,41,1638
48,T49,T49,Scott Hoch,108,2.51,47,1872
49,T49,T49,Nick Price,63,2.51,28,1116
50,T49,T49,Jay Williamson,105,2.51,46,1836
51,T52,T52,Greg Kraft,106,2.52,48,1908
52,T52,T52,Kirk Triplett,101,2.52,44,1746
53,54,54,Jonathan Kaye,115,2.53,51,2016
54,55,55,Ryan Howison,83,2.54,37,1458
55,56,56,Brian Henninger,93,2.56,41,1602
56,T57,T57,David Duval,73,2.57,31,1206
57,T57,T57,Justin Leonard,98,2.57,43,1674
58,T57,T57,Jean Van de Velde,70,2.57,31,1206
59,60,60,Paul Goydos,99,2.58,45,1746
60,T61,T61,Andrew Magee,78,2.59,34,1314
61,T61,T61,Tommy Tolles,60,2.59,28,1080
62,63,63,J.L. Lewis,104,2.61,48,1836
63,64,64,Paul Azinger,73,2.62,34,1296
64,T65,T65,Skip Kendall,114,2.63,53,2016
65,T65,T65,Tiger Woods,82,2.63,36,1368
66,T67,T67,Matt Gogel,86,2.65,40,1512
67,T67,T67,Glen Hnatiuk,94,2.65,43,1620
68,T67,T67,P.H. Horgan III,65,2.65,31,1170
69,T67,T67,Casey Martin,90,2.65,42,1584
70,71,71,Greg Chalmers,96,2.66,44,1656
71,72,72,Dicky Pride,98,2.72,46,1692
72,73,73,Joe Ozaki,55,2.73,26,954
73,74,74,Craig Parry,73,2.74,34,1242
74,T75,T75,Brad Elder,110,2.78,55,1980
75,T75,T75,John Huston,81,2.78,40,1440
76,T75,T75,Brian Watts,89,2.78,44,1584
77,78,78,Steve Flesch,123,2.8,61,2178
78,T79,T79,Ronnie Black,82,2.81,40,1422
79,T79,T79,Bob Heintz,87,2.81,43,1530
80,T79,T79,Lee Janzen,92,2.81,46,1638
81,T79,T79,Duffy Waldorf,80,2.81,38,1350
82,T83,T83,Tom Lehman,71,2.82,35,1242
83,T83,T83,Mike Sposa,73,2.82,37,1314
84,T83,T83,Paul Stankowski,77,2.82,37,1314
85,86,86,Trevor Dodds,86,2.84,43,1512
86,T87,T87,Doug Barron,85,2.85,42,1476
87,T87,T87,Michael Clark II,84,2.85,41,1440
88,89,89,Emlyn Aubrey,68,2.86,33,1152
89,90,90,Franklin Langham,95,2.87,47,1638
90,T91,T91,Sergio Garcia,59,2.88,27,936
91,T91,T91,Jimmy Green,85,2.88,43,1494
92,T91,T91,Shigeki Maruyama,88,2.88,44,1530
93,T94,T94,Brent Geiberger,79,2.89,39,1350
94,T94,T94,Jay Haas,80,2.89,40,1386
95,T94,T94,Dudley Hart,74,2.89,38,1314
96,97,97,Bob Friend,96,2.9,48,1656
97,98,98,David Toms,113,2.91,57,1962
98,T99,T99,Doug Dunakey,83,2.92,42,1440
99,T99,T99,Tom Scherrer,104,2.92,53,1818
100,T101,T101,Bob May,95,2.93,48,1638
101,T101,T101,Mike Reid,76,2.93,38,1296
102,103,103,Steve Hart,72,2.94,37,1260
103,T104,T104,K.J. Choi,92,3.0,48,1602
104,T104,T104,Brett Quigley,63,3.0,34,1134
105,106,106,Robert Allenby,98,3.01,51,1692
106,T107,T107,Stephen Ames,99,3.04,52,1710
107,T107,T107,Billy Andrade,89,3.04,47,1548
108,T107,T107,Mike Brisky,89,3.04,47,1548
109,T110,T110,Jay Don Blake,95,3.05,51,1674
110,T110,T110,Russ Cochran,71,3.05,39,1278
111,T110,T110,Jay Delsing,97,3.05,51,1674
112,113,113,Notah Begay III,82,3.06,43,1404
113,114,114,Grant Waite,85,3.07,47,1530
114,115,115,Brad Fabel,88,3.09,49,1584
115,116,116,Ted Tryba,112,3.1,62,1998
116,T117,T117,Michael Bradley,73,3.12,41,1314
117,T117,T117,Tom Byrum,91,3.12,50,1602
118,T117,T117,Steve Gotsche,91,3.12,50,1602
119,T117,T117,Keith Nolan,57,3.12,32,1026
120,T121,T121,Bobby Cochran,78,3.14,43,1368
121,T121,T121,John Maginnes,99,3.14,56,1782
122,123,123,Frank Nobilo,98,3.16,54,1710
123,T124,T124,Fred Couples,71,3.17,40,1260
124,T124,T124,Nick Faldo,51,3.17,28,882
125,T124,T124,Harrison Frazar,72,3.17,40,1260
126,T124,T124,David Morland IV,88,3.17,49,1548
127,T124,T124,Joey Sindelar,88,3.17,48,1512
128,129,129,Tim Herron,96,3.19,54,1692
129,130,130,Fred Funk,110,3.21,63,1962
130,T131,T131,Chris Riley,98,3.25,55,1692
131,T131,T131,Omar Uresti,94,3.25,55,1692
132,T133,T133,Edward Fryatt,101,3.26,57,1746
133,T133,T133,Davis Love III,98,3.26,54,1656
134,T133,T133,Kevin Wentworth,83,3.26,47,1440
135,136,136,Jesper Parnevik,71,3.27,40,1224
136,T137,T137,Frank Lickliter II,107,3.28,62,1890
137,T137,T137,Billy Mayfair,93,3.28,52,1584
138,T137,T137,Craig Stadler,70,3.28,39,1188
139,T140,T140,Craig Bowden,54,3.29,32,972
140,T140,T140,Rocco Mediate,79,3.29,45,1368
141,T140,T140,Charles Raulerson,98,3.29,58,1764
142,T143,T143,Corey Pavin,74,3.3,44,1332
143,T143,T143,David Sutherland,109,3.3,63,1908
144,T145,T145,Scott Dunlap,106,3.35,64,1908
145,T145,T145,Brandt Jobe,91,3.35,53,1584
146,T145,T145,Perry Moss,53,3.35,32,954
147,T148,T148,Robert Damron,93,3.36,55,1638
148,T148,T148,Robert Gamez,76,3.36,46,1368
149,T148,T148,Mathew Goggin,91,3.36,55,1638
150,151,151,Scott Gump,108,3.39,64,1890
151,T152,T152,Fulton Allem,77,3.41,46,1350
152,T152,T152,Gabriel Hjertstedt,86,3.41,51,1494
153,154,154,Peter Jacobsen,65,3.42,40,1170
154,155,155,Hal Sutton,93,3.43,55,1602
155,156,156,Vijay Singh,97,3.44,57,1656
156,157,157,Neal Lancaster,99,3.45,59,1710
157,T158,T158,Ben Bates,107,3.47,65,1872
158,T158,T158,Dan Forsman,88,3.47,55,1584
159,160,160,Pete Jordan,102,3.49,64,1836
160,161,161,Craig Barlow,98,3.53,61,1728
161,162,162,Rory Sabbatini,85,3.55,53,1494
162,163,163,Carl Paulson,105,3.56,66,1854
163,164,164,Carlos Franco,85,3.57,54,1512
164,165,165,David Peoples,99,3.59,64,1782
165,166,166,Mark Calcavecchia,99,3.62,60,1656
166,167,167,Bradley Hughes,93,3.64,59,1620
167,168,168,Kenny Perry,76,3.65,50,1368
168,169,169,Gary Nicklaus,84,3.66,54,1476
169,170,170,Tommy Armour III,91,3.68,59,1602
170,T171,T171,Jason Caron,77,3.7,50,1350
171,T171,T171,Barry Cheesman,96,3.7,62,1674
172,173,173,Shaun Micheel,94,3.72,61,1638
173,174,174,Eric Booker,87,3.73,57,1530
174,175,175,Robin Freeman,98,3.74,66,1764
175,176,176,Rich Beem,84,3.77,55,1458
176,177,177,Olin Browne,103,3.82,68,1782
177,178,178,Craig Spence,89,3.86,59,1530
178,179,179,Tom Purtzer,58,3.87,39,1008
179,180,180,Brandel Chamblee,72,3.89,49,1260
180,181,181,Bob Burns,91,3.93,63,1602
181,182,182,Joe Durant,94,3.96,67,1692
182,183,183,Jason Buha,82,4.0,59,1476
183,184,184,Steve Elkington,59,4.12,43,1044
184,185,185,Craig Perks,82,4.13,61,1476
185,186,186,Cameron Beckman,81,4.18,61,1458
186,187,187,Bart Bryant,73,4.19,55,1314
187,188,188,Jeff Gove,86,4.2,62,1476
188,189,189,John Rollins,72,4.32,56,1296
189,190,190,Nolan Henke,79,4.36,62,1422
190,191,191,Jeff Maggert,86,4.47,66,1476
191,192,192,Kelly Gibson,84,4.54,67,1476
192,193,193,John Daly,71,4.62,59,1278
193,194,194,Aaron Bengoechea,75,4.64,61,1314
194,195,195,Woody Austin,104,4.68,85,1818
