,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
0,1,1,Sergio Garcia,59,1.4480000000000002,1355,936
1,2,2,Mark O'Meara,61,1.449,1435,990
2,3,3,Paul Azinger,73,1.48,1918,1296
3,4,4,Ernie Els,74,1.4809999999999999,1813,1224
4,5,5,Steve Jones,75,1.484,1896,1278
5,T6,T6,Bob Estes,68,1.4880000000000002,1687,1134
6,T6,T6,Nick Faldo,51,1.4880000000000002,1312,882
7,8,8,Jean Van de Velde,70,1.494,1802,1206
8,9,9,Phil Mickelson,85,1.495,2153,1440
9,10,10,David Frost,65,1.499,1700,1134
10,11,11,Stuart Appleby,86,1.501,2188,1458
11,12,12,Jesper Parnevik,71,1.5019999999999998,1839,1224
12,13,13,Tiger Woods,82,1.514,2071,1368
13,14,14,Loren Roberts,87,1.516,2346,1548
14,15,15,David Duval,73,1.5190000000000001,1832,1206
15,16,16,Shigeki Maruyama,88,1.5290000000000001,2339,1530
16,T17,T17,Craig Parry,73,1.535,1907,1242
17,T17,T17,Dennis Paulson,82,1.535,2238,1458
18,19,19,Mike Weir,102,1.536,2655,1728
19,20,20,Jim Furyk,98,1.537,2628,1710
20,21,21,Davis Love III,98,1.538,2547,1656
21,T22,T22,Justin Leonard,98,1.541,2579,1674
22,T22,T22,Corey Pavin,74,1.541,2053,1332
23,24,24,Stewart Cink,98,1.5419999999999998,2636,1710
24,T25,T25,Robert Allenby,98,1.547,2618,1692
25,T25,T25,Kirk Triplett,101,1.547,2701,1746
26,T27,T27,Mark Calcavecchia,99,1.548,2564,1656
27,T27,T27,Nick Price,63,1.548,1728,1116
28,T29,T29,Mark Brooks,91,1.5519999999999998,2458,1584
29,T29,T29,Jeff Sluman,113,1.5519999999999998,3100,1998
30,31,31,Fred Couples,71,1.554,1958,1260
31,T32,T32,Steve Flesch,123,1.556,3388,2178
32,T32,T32,Rocco Mediate,79,1.556,2129,1368
33,T32,T32,Steve Stricker,63,1.556,1708,1098
