,One-Putt_Percentage_-_Round_4_RANK THIS WEEK,One-Putt_Percentage_-_Round_4_RANK LAST WEEK,One-Putt_Percentage_-_Round_4_PLAYER NAME,One-Putt_Percentage_-_Round_4_%,One-Putt_Percentage_-_Round_4_# OF 1 PUTTS,One-Putt_Percentage_-_Round_4_# OF HOLES
0,1,1,Keith Nolan,50.0,45,90
1,2,2,Billy Andrade,48.15,104,216
2,3,3,Brad Faxon,47.95,164,342
3,T4,T4,Jim Carter,47.22,153,324
4,T4,T4,Perry Moss,47.22,51,108
5,6,6,Gabriel Hjertstedt,47.01,110,234
6,7,7,Paul Goydos,45.91,157,342
7,8,8,Rick Fehr,45.37,98,216
8,9,9,Bob Friend,45.24,114,252
9,10,10,Jay Don Blake,45.1,138,306
10,11,11,Russ Cochran,44.95,89,198
11,12,12,Glen Day,44.75,145,324
12,T13,T13,Michael Clark II,44.44,96,216
13,T13,T13,Paul Curry,44.44,56,126
14,T13,T13,John Daly,44.44,88,198
15,T13,T13,Edward Fryatt,44.44,128,288
16,T13,T13,Brian Gay,44.44,128,288
17,T13,T13,Ted Tryba,44.44,152,342
18,19,19,Robert Damron,44.12,135,306
19,T20,T20,Doug Dunakey,44.02,103,234
20,T20,T20,Omar Uresti,44.02,103,234
21,22,22,Gary Nicklaus,43.94,87,198
22,23,23,Tom Pernice Jr.,43.7,118,270
23,T24,T24,David Morland IV,43.52,94,216
24,T24,T24,Dicky Pride,43.52,94,216
25,T24,T24,Tom Scherrer,43.52,141,324
26,27,27,Robert Gamez,43.43,86,198
27,28,28,Michael Bradley,43.33,78,180
28,29,29,Carlos Franco,43.27,148,342
29,30,30,Kevin Wentworth,43.21,70,162
30,31,31,Lee Janzen,42.98,147,342
31,32,32,Shaun Micheel,42.96,116,270
32,33,33,Eric Booker,42.93,85,198
33,34,34,Joe Ozaki,42.78,77,180
34,35,35,John Maginnes,42.71,123,288
35,36,36,Kenny Perry,42.48,130,306
36,37,37,John Rollins,42.36,61,144
37,38,38,Franklin Langham,42.16,129,306
38,39,39,Andrew Magee,42.13,91,216
39,T40,T40,Carl Paulson,42.11,144,342
40,T40,T40,Chris Riley,42.11,144,342
41,42,42,Steve Hart,42.06,53,126
42,T43,T43,Kelly Gibson,41.92,83,198
43,T43,T43,Jonathan Kaye,41.92,166,396
44,T43,T43,Corey Pavin,41.92,83,198
45,46,46,Jay Delsing,41.88,98,234
46,T47,T47,Mike Brisky,41.67,90,216
47,T47,T47,Greg Chalmers,41.67,135,324
48,T47,T47,Craig Spence,41.67,90,216
49,T47,T47,Mike Springer,41.67,90,216
50,T47,T47,Steve Stricker,41.67,75,180
51,T47,T47,Tommy Tolles,41.67,75,180
52,53,53,David Sutherland,41.53,157,378
53,54,54,Tim Herron,41.52,142,342
54,55,55,Bob Burns,41.48,112,270
55,56,56,Scott Verplank,41.44,179,432
56,57,57,Bobby Cochran,41.36,67,162
57,58,58,Kevin Sutherland,41.23,141,342
58,59,59,Len Mattiace,41.16,163,396
59,T60,T60,Jimmy Green,41.11,111,270
60,T60,T60,Brett Quigley,41.11,74,180
61,62,62,Woody Austin,41.05,133,324
62,63,63,Mike Reid,41.03,96,234
63,64,64,Frank Lickliter II,41.01,155,378
64,T65,T65,Paul Azinger,40.97,118,288
65,T65,T65,Bob Heintz,40.97,59,144
66,T65,T65,Tom Purtzer,40.97,59,144
67,T68,T68,Tom Byrum,40.74,132,324
68,T68,T68,Mike Hulbert,40.74,44,108
69,T70,T70,Mark Calcavecchia,40.64,139,342
70,T70,T70,Pete Jordan,40.64,139,342
71,T72,T72,Joe Ogilvie,40.63,117,288
72,T72,T72,Rory Sabbatini,40.63,117,288
73,T72,T72,Brian Watts,40.63,117,288
74,75,75,Craig Stadler,40.6,95,234
75,T76,T76,Peter Jacobsen,40.56,73,180
76,T76,T76,Esteban Toledo,40.56,146,360
77,78,78,Scott McCarron,40.43,131,324
78,T79,T79,Bart Bryant,40.4,80,198
79,T79,T79,Jason Buha,40.4,80,198
80,81,81,Steve Jones,40.37,109,270
81,82,82,Duffy Waldorf,40.28,116,288
82,83,83,Shigeki Maruyama,40.12,130,324
83,84,84,Skip Kendall,40.05,173,432
84,85,85,Sean Murphy,40.0,108,270
85,86,86,Ryan Howison,39.9,79,198
86,87,87,Scott Dunlap,39.86,165,414
87,T88,T88,Stephen Ames,39.81,129,324
88,T88,T88,Ronnie Black,39.81,86,216
89,T88,T88,Bob Estes,39.81,86,216
90,T88,T88,David Toms,39.81,172,432
91,92,92,Bill Glasson,39.77,136,342
92,93,93,Loren Roberts,39.72,143,360
93,T94,T94,Cameron Beckman,39.68,100,252
94,T94,T94,Brandel Chamblee,39.68,100,252
95,96,96,Jim Furyk,39.61,164,414
96,97,97,Scott Hoch,39.58,171,432
97,98,98,Jim McGovern,39.51,64,162
98,99,99,Jeff Gove,39.44,71,180
99,100,100,Steve Lowery,39.39,156,396
100,T101,T101,K.J. Choi,39.29,99,252
101,T101,T101,Bob Tway,39.29,99,252
102,103,103,Doug Barron,39.26,106,270
103,T104,T104,Joel Edwards,39.17,141,360
104,T104,T104,Brad Elder,39.17,141,360
105,106,106,Greg Kraft,39.13,162,414
106,T107,T107,Emlyn Aubrey,38.89,42,108
107,T107,T107,Craig Barlow,38.89,119,306
108,T107,T107,Barry Cheesman,38.89,77,198
109,T107,T107,Chris DiMarco,38.89,168,432
110,T107,T107,Brian Henninger,38.89,105,270
111,T107,T107,Justin Leonard,38.89,133,342
112,T107,T107,Jeff Maggert,38.89,105,270
113,T107,T107,Craig Perks,38.89,84,216
114,115,115,Mike Weir,38.64,153,396
115,116,116,David Peoples,38.61,139,360
116,T117,T117,Brent Geiberger,38.49,97,252
117,T117,T117,Craig Parry,38.49,97,252
118,T119,T119,Sergio Garcia,38.43,83,216
119,T119,T119,"Dave Stockton, Jr.",38.43,83,216
120,121,121,Fred Funk,38.41,159,414
121,122,122,Harrison Frazar,38.38,76,198
122,123,123,Rich Beem,38.33,69,180
123,124,124,Olin Browne,38.3,131,342
124,125,125,Jerry Smith,38.27,124,324
125,126,126,Phil Mickelson,38.24,117,306
126,127,127,Robin Freeman,38.19,110,288
127,128,128,Jerry Kelly,38.13,151,396
128,T129,T129,Davis Love III,38.1,144,378
129,T129,T129,Nick Price,38.1,96,252
130,131,131,Steve Pate,38.06,137,360
131,132,132,Jay Haas,38.03,89,234
132,133,133,Neal Lancaster,37.96,123,324
133,134,134,Ben Bates,37.91,116,306
134,T135,T135,Frank Nobilo,37.78,136,360
135,T135,T135,Mark O'Meara,37.78,68,180
136,137,137,Tiger Woods,37.72,129,342
137,138,138,Dudley Hart,37.7,95,252
138,139,139,Grant Waite,37.65,122,324
139,140,140,Charles Raulerson,37.5,108,288
140,141,141,Mark Wiebe,37.35,121,324
141,T142,T142,J.L. Lewis,37.3,141,378
142,T142,T142,Blaine McCallister,37.3,141,378
143,144,144,Fulton Allem,37.18,87,234
144,T145,T145,Fred Couples,37.15,107,288
145,T145,T145,Dan Forsman,37.15,107,288
146,147,147,Hal Sutton,37.13,127,342
147,148,148,Chris Perry,37.12,147,396
148,149,149,David Duval,37.04,100,270
149,T150,T150,Ernie Els,36.93,113,306
150,T150,T150,John Huston,36.93,113,306
151,T152,T152,Larry Mize,36.9,93,252
152,T152,T152,Dennis Paulson,36.9,93,252
153,154,154,Robert Allenby,36.77,139,378
154,T155,T155,Mark Brooks,36.67,99,270
155,T155,T155,Bob May,36.67,132,360
156,T155,T155,Jesper Parnevik,36.67,99,270
157,158,158,Matt Gogel,36.57,79,216
158,159,159,Paul Stankowski,36.51,92,252
159,T160,T160,Stuart Appleby,36.42,118,324
160,T160,T160,Joe Durant,36.42,118,324
161,162,162,Jay Williamson,36.39,131,360
162,163,163,Jean Van de Velde,36.36,72,198
163,164,164,Brad Fabel,36.32,85,234
164,165,165,Steve Flesch,36.31,183,504
165,T166,T166,Aaron Bengoechea,36.11,52,144
166,T166,T166,John Cook,36.11,104,288
167,T166,T166,Joey Sindelar,36.11,78,216
168,169,169,Mike Sposa,35.86,71,198
169,170,170,Billy Mayfair,35.76,103,288
170,171,171,Mathew Goggin,35.65,77,216
171,172,172,Glen Hnatiuk,35.56,96,270
172,173,173,Kirk Triplett,35.28,127,360
173,174,174,Bradley Hughes,35.19,76,216
174,175,175,Steve Gotsche,35.04,82,234
175,176,176,Vijay Singh,34.85,138,396
176,177,177,Stewart Cink,34.66,131,378
177,178,178,Rocco Mediate,34.38,99,288
178,179,179,Nolan Henke,34.13,43,126
179,180,180,Tom Lehman,33.68,97,288
180,T181,T181,Chip Beck,33.33,24,72
181,T181,T181,Notah Begay III,33.33,96,288
182,T181,T181,Steve Elkington,33.33,72,216
183,T181,T181,Nick Faldo,33.33,60,180
184,T181,T181,P.H. Horgan III,33.33,42,126
185,T181,T181,Casey Martin,33.33,90,270
186,187,187,Jeff Sluman,32.64,141,432
187,T188,T188,Tommy Armour III,32.54,82,252
188,T188,T188,David Frost,32.54,41,126
189,190,190,Trevor Dodds,32.48,76,234
190,191,191,Craig Bowden,31.94,23,72
191,192,192,J.P. Hayes,31.48,102,324
192,193,193,Brandt Jobe,31.2,73,234
193,194,194,Scott Gump,30.9,89,288
194,195,195,Jason Caron,27.78,45,162
