,Average_Approach_Distance_-_Bogey_or_Worse_RANK THIS WEEK,Average_Approach_Distance_-_Bogey_or_Worse_RANK LAST WEEK,Average_Approach_Distance_-_Bogey_or_Worse_PLAYER NAME,Average_Approach_Distance_-_Bogey_or_Worse_ROUNDS,Average_Approach_Distance_-_Bogey_or_Worse_AVG (YARDS),Average_Approach_Distance_-_Bogey_or_Worse_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Bogey_or_Worse_NUMBER OF APPROACH SHOTS
0,1,1,John Daly,63,149.6,856529.0,159
1,2,2,David Lutterus,69,149.7,1018334.0,189
2,3,3,Shaun Micheel,70,151.5,791034.0,145
3,T4,T4,Martin Laird,91,152.5,1273980.0,232
4,T4,T4,Michael Sim,64,152.5,707996.0,129
5,6,6,Matt Bettencourt,91,153.1,1240104.0,225
6,7,7,Steve Wheatcroft,74,153.3,1103644.0,200
7,8,8,Josh Teater,101,153.4,1485545.0,269
8,T9,T9,Matt Jones,89,153.6,1194781.0,216
9,T9,T9,Ian Poulter,55,153.6,514175.0,93
10,T11,T11,J.B. Holmes,100,154.2,1343241.0,242
11,T11,T11,Bubba Watson,77,154.2,1076889.0,194
12,13,13,Ben Crane,85,154.6,1012715.0,182
13,14,14,Kenny Perry,69,154.8,802506.0,144
14,T15,T15,J.P. Hayes,79,154.9,1159745.0,208
15,T15,T15,Bo Van Pelt,104,154.9,1159959.0,208
16,17,17,John Mallinger,78,155.0,1004560.0,180
17,18,18,Daniel Chopra,74,155.1,1222458.0,219
18,19,19,Pat Perez,90,155.5,1175782.0,210
19,20,20,Rod Pampling,77,155.8,1144520.0,204
20,T21,T21,Rich Barcelo,70,156.0,1072918.0,191
21,T21,T21,Jason Day,82,156.0,1117686.0,199
22,T21,T21,Cameron Tringale,55,156.0,735622.0,131
23,T24,T24,Aaron Baddeley,94,156.1,1388273.0,247
24,T24,T24,David Toms,86,156.1,938178.0,167
25,26,26,D.J. Trahan,92,156.2,1315620.0,234
26,T27,T27,Kevin Johnson,62,156.4,1075145.0,191
27,T27,T27,Marc Leishman,87,156.4,1132063.0,201
28,T29,T29,Bill Lunde,79,156.6,1178608.0,209
29,T29,T29,Rory McIlroy,54,156.6,648419.0,115
30,T31,T31,Ryan Palmer,84,156.7,1156295.0,205
31,T31,T31,Brett Wetterich,54,156.7,817990.0,145
32,T33,T33,Spencer Levin,110,156.8,1417241.0,251
33,T33,T33,Chris Wilson,65,156.8,1078094.0,191
34,T35,T35,Brendon de Jonge,114,157.0,1327815.0,235
35,T35,T35,Tom Gillis,97,157.0,1520855.0,269
36,T35,T35,Roland Thatcher,72,157.0,1158417.0,205
37,38,38,Dustin Johnson,83,157.1,1086100.0,192
38,39,39,Matt Every,60,157.3,922942.0,163
39,40,40,Michael Letzig,84,157.4,1376699.0,243
40,41,41,Kris Blanks,91,157.6,1253769.0,221
41,T42,T42,Steve Flesch,78,157.7,1231625.0,217
42,T42,T42,Justin Rose,78,157.7,993780.0,175
43,T42,T42,John Senden,103,157.7,1192197.0,210
44,45,45,Martin Flores,75,158.0,1268112.0,223
45,46,46,Jonathan Byrd,85,158.2,1190390.0,209
46,T47,T47,Ángel Cabrera,64,158.5,872753.0,153
47,T47,T47,Paul Casey,64,158.5,582079.0,102
48,49,49,Brian Stuard,81,158.6,1261928.0,221
49,50,50,Jerod Turner,54,158.7,942442.0,165
50,T51,T51,Blake Adams,84,158.8,1320199.0,231
51,T51,T51,Michael Bradley,77,158.8,1045959.0,183
52,T53,T53,Ted Purdy,86,158.9,1527443.0,267
53,T53,T53,Boo Weekley,88,158.9,1104110.0,193
54,T55,T55,David Duval,71,159.0,921662.0,161
55,T55,T55,Alex Prugh,88,159.0,1356503.0,237
56,T55,T55,Jeev Milkha Singh,59,159.0,789793.0,138
57,T58,T58,Henrik Bjornstad,72,159.1,1139444.0,199
58,T58,T58,Jeff Quinney,91,159.1,1328647.0,232
59,60,60,Geoff Ogilvy,62,159.2,779311.0,136
60,T61,T61,Michael Connell,89,159.3,1290182.0,225
61,T61,T61,Greg Owen,69,159.3,1164241.0,203
62,63,63,Garth Mulroy,53,159.4,762990.0,133
63,T64,T64,Jarrod Lyle,54,159.8,782615.0,136
64,T64,T64,Ryan Moore,80,159.8,857167.0,149
65,T66,T66,Vaughn Taylor,87,159.9,1306535.0,227
66,T66,T66,Vance Veazey,58,159.9,1087690.0,189
67,T68,T68,John Merrick,109,160.1,1435249.0,249
68,T68,T68,Jeff Overton,89,160.1,1181544.0,205
69,T68,T68,Carl Pettersson,99,160.1,1256440.0,218
70,71,71,Troy Merritt,86,160.3,1436917.0,249
71,72,72,Rory Sabbatini,79,160.4,1137238.0,197
72,73,73,Charles Howell III,103,160.5,1097487.0,190
73,74,74,Jay Williamson,76,160.6,982817.0,170
74,T75,T75,James Driscoll,78,160.7,1174512.0,203
75,T75,T75,Davis Love III,79,160.7,1110978.0,192
