,Approach_150-175_yards_RTP_Score_RANK THIS WEEK,Approach_150-175_yards_RTP_Score_RANK LAST WEEK,Approach_150-175_yards_RTP_Score_PLAYER NAME,Approach_150-175_yards_RTP_Score_ROUNDS,Approach_150-175_yards_RTP_Score_AVG RTP
0,1,1,Geoff Ogilvy,62,-.164
1,2,2,Luke Donald,71,-.157
2,3,3,Jeff Quinney,91,-.142
3,4,4,Charlie Wi,95,-.135
4,5,5,Dustin Johnson,83,-.128
5,T6,T6,Paul Casey,64,-.126
6,T6,T6,Spencer Levin,110,-.126
7,8,8,Ryan Palmer,84,-.124
8,T9,T9,Ben Curtis,78,-.116
9,T9,T9,Ryuji Imada,90,-.116
10,T9,T9,Kevin Na,94,-.116
11,T9,T9,Pat Perez,90,-.116
12,13,13,Robert Allenby,76,-.114
13,14,14,Carl Pettersson,99,-.113
14,15,15,Hunter Mahan,85,-.108
15,16,16,Freddie Jacobson,83,-.107
16,T17,T17,K.J. Choi,82,-.103
17,T17,T17,Chris Riley,73,-.103
18,19,19,Shaun Micheel,70,-.101
19,20,20,Matt Kuchar,97,-.100
20,21,21,Jim Furyk,76,-.099
21,22,22,Stephen Ames,75,-.098
22,T23,T23,Zach Johnson,93,-.096
23,T23,T23,Andres Romero,73,-.096
24,T23,T23,Cameron Tringale,55,-.096
25,26,26,Rocco Mediate,71,-.095
26,27,27,Greg Chalmers,93,-.093
27,28,28,Jeff Overton,89,-.092
28,29,29,Ricky Barnes,103,-.091
29,30,30,Steve Marino,81,-.090
30,31,31,Ben Crane,85,-.087
31,32,32,Tim Clark,88,-.083
32,33,33,Tim Herron,79,-.080
33,34,34,Brett Quigley,96,-.079
34,35,35,Joe Durant,67,-.077
35,36,36,James Driscoll,78,-.076
36,T37,T37,Padraig Harrington,57,-.074
37,T37,T37,Marc Leishman,87,-.074
38,T37,T37,Jimmy Walker,82,-.074
39,T40,T40,Bryce Molder,84,-.072
40,T40,T40,Michael Sim,64,-.072
41,T42,T42,Steve Stricker,73,-.071
42,T42,T42,Dean Wilson,54,-.071
43,44,44,Kenny Perry,69,-.070
44,T45,T45,Sean O'Hair,84,-.069
45,T45,T45,Ian Poulter,55,-.069
46,47,47,Alex Prugh,88,-.064
47,T48,T48,Steve Elkington,74,-.063
48,T48,T48,Rickie Fowler,98,-.063
49,T48,T48,Retief Goosen,75,-.063
50,T48,T48,Paul Goydos,78,-.063
51,T48,T48,Brenden Pappas,66,-.063
52,53,53,Michael Letzig,84,-.062
53,54,54,John Rollins,81,-.059
54,55,55,Trevor Immelman,55,-.058
55,T56,T56,Nathan Green,86,-.057
56,T56,T56,Skip Kendall,58,-.057
57,T56,T56,Tom Pernice Jr.,74,-.057
58,T56,T56,Aron Price,70,-.057
59,T56,T56,Webb Simpson,98,-.057
60,61,61,Ernie Els,72,-.056
61,62,62,Adam Scott,70,-.053
62,63,63,Heath Slocum,97,-.051
63,64,64,Camilo Villegas,78,-.050
64,65,65,Tom Gillis,97,-.049
65,66,66,Lucas Glover,75,-.048
66,T67,T67,Ryan Moore,80,-.047
67,T67,T67,John Senden,103,-.047
68,69,69,Chad Collins,87,-.046
69,70,70,Johnson Wagner,85,-.045
70,T71,T71,Will MacKenzie,72,-.041
71,T71,T71,Y.E. Yang,72,-.041
72,T73,T73,Jeev Milkha Singh,59,-.040
73,T73,T73,Kevin Streelman,90,-.040
74,T73,T73,Vaughn Taylor,87,-.040
75,T73,T73,Mike Weir,59,-.040
76,77,77,Craig Bowden,56,-.039
77,T78,T78,Brendon de Jonge,114,-.038
78,T78,T78,David Duval,71,-.038
79,T78,T78,Charley Hoffman,85,-.038
80,T78,T78,Cameron Percy,73,-.038
81,T78,T78,D.J. Trahan,92,-.038
82,T83,T83,Michael Connell,89,-.037
83,T83,T83,Mathias Grönberg,61,-.037
84,T83,T83,Scott McCarron,90,-.037
85,T86,T86,Briny Baird,87,-.036
86,T86,T86,Jerry Kelly,99,-.036
87,T88,T88,Graham DeLaet,88,-.035
88,T88,T88,Kevin Stadler,86,-.035
89,90,90,Phil Mickelson,76,-.032
90,T91,T91,D.A. Points,90,-.031
91,T91,T91,Chris Stroud,90,-.031
92,T91,T91,Kevin Sutherland,86,-.031
93,T91,T91,Jay Williamson,76,-.031
94,95,95,Jason Day,82,-.030
95,T96,T96,Scott Piercy,88,-.029
96,T96,T96,Justin Rose,78,-.029
97,98,98,Chad Campbell,94,-.028
98,T99,T99,Charles Warren,64,-.025
99,T99,T99,Steve Wheatcroft,74,-.025
100,T101,T101,Roger Tambellini,77,-.024
101,T101,T101,Nick Watney,91,-.024
102,T103,T103,Brad Faxon,58,-.023
103,T103,T103,Bo Van Pelt,104,-.023
104,T105,T105,Michael Bradley,77,-.022
