,Birdie_or_Better_Percentage_-__125_yard_RANK THIS WEEK,Birdie_or_Better_Percentage_-__125_yard_RANK LAST WEEK,Birdie_or_Better_Percentage_-__125_yard_PLAYER NAME,Birdie_or_Better_Percentage_-__125_yard_ROUNDS,Birdie_or_Better_Percentage_-__125_yard_%,Birdie_or_Better_Percentage_-__125_yard_TOTAL BIRDIES,Birdie_or_Better_Percentage_-__125_yard_TOTAL HOLES
121,T121,T121,Kevin Sutherland,86,22.22,64,288
122,123,123,Nicholas Thompson,88,22.19,67,302
123,124,124,Chris Couch,66,22.02,48,218
124,125,125,Henrik Bjornstad,72,22.01,46,209
125,126,126,Pat Perez,90,21.99,75,341
126,127,127,Tim Herron,79,21.96,65,296
127,128,128,Skip Kendall,58,21.9,46,210
128,129,129,Charles Howell III,103,21.83,81,371
129,130,130,Jeev Milkha Singh,59,21.8,46,211
130,131,131,Jason Dufner,87,21.72,53,244
131,T132,T132,Brenden Pappas,66,21.65,50,231
132,T132,T132,Chris Tidland,77,21.65,63,291
133,134,134,John Senden,103,21.64,74,342
134,T135,T135,Kenny Perry,69,21.63,53,245
135,T135,T135,Kevin Stadler,86,21.63,61,282
136,T135,T135,Johnson Wagner,85,21.63,53,245
137,138,138,D.J. Trahan,92,21.59,76,352
138,139,139,Garth Mulroy,53,21.56,36,167
139,140,140,Retief Goosen,75,21.54,42,195
140,141,141,Camilo Villegas,78,21.51,40,186
141,142,142,Nathan Green,86,21.38,65,304
142,143,143,James Driscoll,78,21.35,60,281
143,144,144,Josh Teater,101,21.26,88,414
144,145,145,Ian Poulter,55,21.24,24,113
145,146,146,Rich Barcelo,70,21.05,52,247
146,147,147,Michael Sim,64,21.0,46,219
147,148,148,Martin Laird,91,20.94,67,320
148,149,149,Graham DeLaet,88,20.92,73,349
149,150,150,Greg Owen,69,20.9,56,268
150,151,151,Michael Letzig,84,20.77,70,337
151,152,152,Kevin Na,94,20.75,55,265
152,153,153,Brian Stuard,81,20.74,62,299
153,154,154,Mathias Grönberg,61,20.69,42,203
154,155,155,John Daly,63,20.56,51,248
155,156,156,Cameron Tringale,55,20.36,45,221
156,157,157,John Merrick,109,20.34,71,349
157,T158,T158,Matt Bettencourt,91,20.25,64,316
158,T158,T158,Greg Kraft,52,20.25,33,163
159,160,160,Alex Prugh,88,20.2,79,391
160,161,161,Cameron Beckman,68,20.18,46,228
161,162,162,Briny Baird,87,20.07,57,284
162,163,163,Rory McIlroy,54,20.0,29,145
163,164,164,Jason Day,82,19.84,50,252
164,165,165,Andres Romero,73,19.78,55,278
165,166,166,Brett Wetterich,54,19.74,45,228
166,167,167,Steve Wheatcroft,74,19.68,49,249
167,168,168,Rocco Mediate,71,19.67,48,244
168,169,169,Jerod Turner,54,19.65,34,173
169,170,170,Daniel Chopra,74,19.55,61,312
170,171,171,Scott McCarron,90,19.44,62,319
171,172,172,Cameron Percy,73,19.43,48,247
172,173,173,Roger Tambellini,77,19.35,48,248
173,174,174,Brett Quigley,96,19.34,64,331
174,175,175,Hunter Mahan,85,19.3,44,228
175,176,176,Rod Pampling,77,19.27,53,275
176,177,177,Derek Lamely,81,19.15,54,282
177,178,178,Steve Elkington,74,18.94,43,227
178,179,179,Boo Weekley,88,18.87,57,302
179,180,180,Troy Matteson,84,18.72,67,358
180,181,181,Vance Veazey,58,18.69,37,198
181,182,182,Bill Lunde,79,18.56,54,291
182,183,183,Craig Bowden,56,18.54,38,205
183,184,184,Ángel Cabrera,64,18.47,41,222
184,185,185,Steve Lowery,67,18.1,42,232
185,186,186,Andrew McLardy,52,18.09,36,199
186,187,187,Stephen Ames,75,18.04,46,255
187,188,188,David Lutterus,69,17.89,39,218
188,189,189,Martin Flores,75,17.54,47,268
189,190,190,Chris Wilson,65,17.04,38,223
190,191,191,Ted Purdy,86,15.57,45,289
191,192,192,Trevor Immelman,55,15.13,23,152
