,Birdie_or_Better_Percentage_-_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Rough_%,Birdie_or_Better_Percentage_-_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Rough_TOTAL HOLES
0,1,1,Bubba Watson,77,25.18,70,278
1,2,2,George McNeill,79,21.58,71,329
2,3,3,Aaron Baddeley,94,21.25,78,367
3,4,4,Justin Rose,78,20.8,52,250
4,5,5,Ernie Els,72,20.43,47,230
5,6,6,Sergio Garcia,58,20.31,26,128
6,7,7,Brett Wetterich,54,20.28,43,212
7,8,8,Ben Crane,85,19.8,40,202
8,9,9,Ángel Cabrera,64,19.41,46,237
9,10,10,Luke Donald,71,19.21,39,203
10,11,11,Jimmy Walker,82,18.98,63,332
11,12,12,Nick Watney,91,18.8,47,250
12,13,13,Dustin Johnson,83,18.61,51,274
13,14,14,Robert Allenby,76,18.59,37,199
14,15,15,Steve Stricker,73,18.56,36,194
15,16,16,Y.E. Yang,72,18.52,40,216
16,17,17,Michael Sim,64,18.38,34,185
17,18,18,Jeff Overton,89,18.3,58,317
18,19,19,Troy Merritt,86,18.15,55,303
19,20,20,Scott Piercy,88,18.05,63,349
20,21,21,John Rollins,81,18.04,46,255
21,22,22,Robert Garrigus,71,18.01,47,261
22,23,23,Jonathan Byrd,85,17.97,53,295
23,24,24,J.J. Henry,92,17.94,47,262
24,25,25,Martin Laird,91,17.87,57,319
25,26,26,Bill Haas,87,17.81,44,247
26,T27,T27,J.B. Holmes,100,17.8,68,382
27,T27,T27,Marc Leishman,87,17.8,55,309
28,29,29,Justin Leonard,89,17.79,37,208
29,30,30,Rory Sabbatini,79,17.65,45,255
30,31,31,Billy Mayfair,78,17.55,33,188
31,32,32,Chris Couch,66,17.44,34,195
32,33,33,John Daly,63,17.43,38,218
33,34,34,Rory McIlroy,54,17.31,27,156
34,35,35,Graham DeLaet,88,16.97,46,271
35,36,36,Woody Austin,93,16.91,47,278
36,T37,T37,Martin Flores,75,16.88,53,314
37,T37,T37,Charles Howell III,103,16.88,65,385
38,39,39,Phil Mickelson,76,16.84,49,291
39,40,40,Geoff Ogilvy,62,16.83,34,202
40,41,41,Davis Love III,79,16.75,35,209
41,42,42,Cameron Percy,73,16.67,39,234
42,43,43,Ryan Palmer,84,16.61,48,289
43,44,44,Bill Lunde,79,16.53,40,242
44,T45,T45,Padraig Harrington,57,16.49,31,188
45,T45,T45,D.A. Points,90,16.49,47,285
46,47,47,Steve Flesch,78,16.36,35,214
47,48,48,Stephen Ames,75,16.29,36,221
48,49,49,Zach Johnson,93,16.28,35,215
49,50,50,Chris Stroud,90,16.19,40,247
50,T51,T51,Ricky Barnes,103,16.18,50,309
51,T51,T51,Lucas Glover,75,16.18,33,204
52,53,53,Cameron Tringale,55,16.09,28,174
53,T54,T54,K.J. Choi,82,16.06,31,193
54,T54,T54,Bob Estes,79,16.06,44,274
55,56,56,Garth Mulroy,53,16.0,24,150
56,57,57,D.J. Trahan,92,15.99,51,319
57,58,58,John Senden,103,15.97,46,288
58,59,59,Paul Casey,64,15.85,26,164
59,60,60,Vijay Singh,75,15.77,35,222
60,T61,T61,Adam Scott,70,15.71,30,191
61,T61,T61,Kevin Streelman,90,15.71,41,261
62,63,63,Matt Jones,89,15.67,50,319
63,T64,T64,Greg Chalmers,93,15.65,54,345
64,T64,T64,Jarrod Lyle,54,15.65,23,147
65,T66,T66,Rickie Fowler,98,15.53,48,309
66,T66,T66,Camilo Villegas,78,15.53,34,219
67,68,68,Stewart Cink,84,15.52,36,232
68,69,69,Sean O'Hair,84,15.42,39,253
69,70,70,Daniel Chopra,74,15.41,49,318
70,71,71,Mark Calcavecchia,50,15.27,20,131
71,72,72,Roland Thatcher,72,15.12,39,258
72,73,73,Cliff Kresge,50,15.11,21,139
73,74,74,Jay Williamson,76,15.1,29,192
74,75,75,Retief Goosen,75,15.08,27,179
75,76,76,Jason Bohn,84,15.06,36,239
76,77,77,Chad Campbell,95,15.02,35,233
77,78,78,Nathan Green,86,15.0,45,300
78,79,79,Blake Adams,84,14.98,37,247
79,80,80,Spencer Levin,110,14.97,50,334
80,81,81,James Driscoll,78,14.95,48,321
81,82,82,Jeff Maggert,76,14.93,30,201
82,T83,T83,Henrik Bjornstad,72,14.89,28,188
83,T83,T83,Charley Hoffman,85,14.89,39,262
84,T83,T83,Kevin Stadler,86,14.89,39,262
85,86,86,Jerod Turner,54,14.84,23,155
86,87,87,Kevin Sutherland,86,14.83,35,236
87,88,88,Bo Van Pelt,104,14.8,45,304
88,89,89,Tom Gillis,97,14.79,42,284
89,T90,T90,Matt Every,60,14.74,28,190
90,T90,T90,Brandt Snedeker,89,14.74,37,251
91,92,92,Jason Day,82,14.68,43,293
92,93,93,Mathias Grönberg,61,14.67,27,184
93,94,94,Steve Wheatcroft,74,14.65,29,198
94,95,95,Andres Romero,73,14.62,44,301
95,96,96,Paul Stankowski,62,14.61,26,178
96,97,97,Michael Letzig,84,14.59,41,281
97,98,98,Alex Prugh,88,14.58,50,343
98,99,99,Webb Simpson,98,14.57,52,357
99,T100,T100,James Nitties,92,14.55,39,268
100,T100,T100,Brett Quigley,96,14.55,48,330
101,102,102,Chris DiMarco,88,14.53,34,234
102,103,103,Chris Tidland,77,14.52,35,241
103,104,104,Hunter Mahan,85,14.47,34,235
104,105,105,Bryce Molder,84,14.46,36,249
105,106,106,Dean Wilson,54,14.38,23,160
106,107,107,Garrett Willis,82,14.36,29,202
107,108,108,Jason Dufner,87,14.16,31,219
