,Average_Approach_Distance_-_Par_RANK THIS WEEK,Average_Approach_Distance_-_Par_RANK LAST WEEK,Average_Approach_Distance_-_Par_PLAYER NAME,Average_Approach_Distance_-_Par_ROUNDS,Average_Approach_Distance_-_Par_AVG (YARDS),Average_Approach_Distance_-_Par_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Par_NUMBER OF APPROACH SHOTS
0,1,1,Alex Prugh,88,154.3,5033287.0,906
1,2,2,John Daly,63,155.3,2824184.0,505
2,T3,T3,Graham DeLaet,88,156.9,4853369.0,859
3,T3,T3,Greg Kraft,52,156.9,2450932.0,434
4,5,5,Chris Wilson,65,157.1,3200776.0,566
5,6,6,Charles Warren,64,157.4,3415970.0,603
6,T7,T7,Robert Garrigus,71,157.5,3712877.0,655
7,T7,T7,Andrew McLardy,52,157.5,2897573.0,511
8,T7,T7,Jay Williamson,76,157.5,4042254.0,713
9,10,10,Brian Stuard,81,157.9,4621736.0,813
10,11,11,Daniel Chopra,74,158.1,4268032.0,750
11,T12,T12,Tim Herron,79,158.3,4547237.0,798
12,T12,T12,Charles Howell III,103,158.3,6264080.0,1099
13,14,14,Paul Stankowski,62,158.7,3381508.0,592
14,15,15,Steve Elkington,74,158.8,4104937.0,718
15,T16,T16,Joe Durant,67,158.9,3837409.0,671
16,T16,T16,Sergio Garcia,58,158.9,2384967.0,417
17,T16,T16,Steve Marino,81,158.9,4045445.0,707
18,19,19,Cameron Tringale,55,159.0,2982240.0,521
19,T20,T20,Rickie Fowler,98,159.1,5516359.0,963
20,T20,T20,Jeff Gove,57,159.1,2846863.0,497
21,T20,T20,Greg Owen,69,159.1,4003091.0,699
22,T23,T23,Blake Adams,84,159.2,4860123.0,848
23,T23,T23,Josh Teater,101,159.2,6091347.0,1063
24,25,25,Brett Wetterich,54,159.3,3493397.0,609
25,T26,T26,Martin Flores,75,159.5,3966636.0,691
26,T26,T26,Webb Simpson,98,159.5,6029615.0,1050
27,T26,T26,Boo Weekley,88,159.5,5054021.0,880
28,29,29,Troy Matteson,84,159.6,5325374.0,927
29,30,30,Chris Stroud,90,159.7,4842011.0,842
30,T31,T31,Justin Bolli,55,159.8,2727667.0,474
31,T31,T31,Bob Estes,79,159.8,4822115.0,838
32,T31,T31,Marc Leishman,87,159.8,4659619.0,810
33,34,34,Jeff Overton,89,159.9,4537360.0,788
34,T35,T35,Matt Bettencourt,91,160.0,4469187.0,776
35,T35,T35,Mathias Grönberg,61,160.0,3231643.0,561
36,T35,T35,Cameron Percy,73,160.0,3888464.0,675
37,T35,T35,Carl Pettersson,99,160.0,5557093.0,965
38,T39,T39,Skip Kendall,58,160.1,3297287.0,572
39,T39,T39,Derek Lamely,81,160.1,4167016.0,723
40,T39,T39,Michael Letzig,84,160.1,5128428.0,890
41,T39,T39,Steve Lowery,67,160.1,3602404.0,625
42,T39,T39,Rocco Mediate,71,160.1,4115374.0,714
