,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
0,1,1,Shiv Kapur,2,297,Reno-Tahoe Open,2,9
1,2,2,Johnson Wagner,85,257,Viking Classic,1,7
2,3,3,Steve Wheatcroft,74,243,St. Jude Classic presented by Smith & Nephew,2,3
3,T4,4,Robert Allenby,76,232,World Golf Championships-CA Championship,2,13
4,T4,5,Webb Simpson,98,232,Justin Timberlake Shriners Hospitals for Children Open,1,8
5,6,6,Vijay Singh,75,229,Deutsche Bank Championship,3,2
6,7,7,Rocco Mediate,71,219,John Deere Classic,3,7
7,8,8,Troy Matteson,84,213,Frys.com Open,1,5
8,T9,9,Sean O'Hair,84,212,BMW Championship,3,2
9,T9,10,Glen Day,38,212,RBC Canadian Open,4,8
10,11,11,Martin Laird,91,211,THE PLAYERS Championship,2,5
11,12,12,Jason Dufner,87,210,Deutsche Bank Championship,3,14
12,13,13,Andres Romero,73,208,Deutsche Bank Championship,2,8
13,14,8,Troy Matteson,84,207,John Deere Classic,2,7
14,15,15,Chris Tidland,77,204,Justin Timberlake Shriners Hospitals for Children Open,4,17
15,16,16,Bryce Molder,84,203,Waste Management Phoenix Open,4,11
16,17,17,Davis Love III,79,202,Verizon Heritage,3,4
17,18,17,Davis Love III,79,200,Children's Miracle Network Classic,4,15
18,19,19,Lucas Glover,75,199,Shell Houston Open,2,16
19,T20,20,Ted Purdy,86,198,Zurich Classic of New Orleans,4,14
20,T20,21,Chad Collins,87,198,Crowne Plaza Invitational at Colonial,2,1
21,22,22,Paul Goydos,78,195,Crowne Plaza Invitational at Colonial,3,13
22,23,23,Alex Cejka,81,194,St. Jude Classic presented by Smith & Nephew,1,7
23,24,24,Jerry Kelly,99,193,Verizon Heritage,1,4
24,25,7,Rocco Mediate,71,191,Frys.com Open,1,3
25,26,26,Ken Duke,16,190,HP Byron Nelson Championship,2,2
26,27,27,George McNeill,79,189,Northern Trust Open,3,12
27,28,28,Nick Watney,91,188,Quail Hollow Championship,1,12
28,T29,29,Joe Durant,67,180,HP Byron Nelson Championship,1,8
29,T29,30,Chez Reavie,44,180,Shell Houston Open,2,6
30,T31,23,Alex Cejka,81,178,St. Jude Classic presented by Smith & Nephew,3,4
31,T31,32,Grant Waite,8,178,Valero Texas Open,2,15
32,T31,33,J.B. Holmes,100,178,AT&T Pebble Beach National Pro-Am,1,8
33,34,34,Kenny Perry,69,177,World Golf Championships-Bridgestone Invitational,4,6
34,35,35,Blake Adams,84,176,Verizon Heritage,2,3
35,36,36,Justin Leonard,89,175,Transitions Championship,2,13
36,37,37,Ernie Els,72,174,Deutsche Bank Championship,1,17
37,T38,38,Billy Mayfair,78,170,St. Jude Classic presented by Smith & Nephew,1,8
38,T38,39,Will MacKenzie,72,170,St. Jude Classic presented by Smith & Nephew,1,8
39,T38,40,Henrik Stenson,45,170,Crowne Plaza Invitational at Colonial,3,18
40,41,41,Carl Pettersson,99,168,The Honda Classic,2,8
41,T42,23,Alex Cejka,81,167,Verizon Heritage,2,6
42,T42,43,Steve Lowery,67,167,Verizon Heritage,4,18
43,T42,44,Chad Campbell,94,167,Travelers Championship,1,16
44,T45,45,Charlie Wi,95,166,AT&T National,2,12
45,T45,46,Adam Scott,70,166,World Golf Championships-Bridgestone Invitational,4,4
46,47,47,Brendan Gielow,2,165,Wyndham Championship,1,3
47,T48,48,Vaughn Taylor,87,164,The Barclays,4,9
48,T48,49,John Senden,103,164,the Memorial Tournament presented by Nationwide Insurance,4,8
49,50,36,Justin Leonard,89,162,Shell Houston Open,3,6
50,T51,51,Michael Allen,49,161,Frys.com Open,2,8
51,T51,7,Rocco Mediate,71,161,Farmers Insurance Open,2,17
52,T51,53,Ben Crane,85,161,Crowne Plaza Invitational at Colonial,2,13
53,54,7,Rocco Mediate,71,160,Frys.com Open,2,4
54,55,55,Nathan Green,86,159,AT&T National,1,5
55,T56,56,Vance Veazey,58,158,The McGladrey Classic,1,9
56,T56,21,Chad Collins,87,158,the Memorial Tournament presented by Nationwide Insurance,3,1
57,58,58,Brian Davis,101,156,BMW Championship,4,7
58,T59,59,Richard Johnson,90,155,St. Jude Classic presented by Smith & Nephew,2,15
59,T59,60,Chris Riley,73,155,Travelers Championship,4,14
60,61,61,Dustin Johnson,83,152,Northern Trust Open,2,6
61,T62,62,Ryuji Imada,90,151,THE PLAYERS Championship,1,10
62,T62,63,Josh Teater,101,151,John Deere Classic,1,15
63,T62,64,Brian Gay,101,151,HP Byron Nelson Championship,3,10
64,65,65,Steve Flesch,78,150,Valero Texas Open,3,6
65,66,66,Edoardo Molinari,27,149,World Golf Championships-CA Championship,1,17
66,67,35,Blake Adams,84,146,AT&T Pebble Beach National Pro-Am,3,1
67,68,68,Woody Austin,93,145,Shell Houston Open,2,7
68,T69,69,Tom Byrum,8,144,Valero Texas Open,1,11
69,T69,59,Richard Johnson,90,144,Justin Timberlake Shriners Hospitals for Children Open,4,4
70,T69,71,Mike Weir,59,144,Verizon Heritage,1,1
71,T72,53,Ben Crane,85,143,Crowne Plaza Invitational at Colonial,3,17
72,T72,73,Cliff Kresge,50,143,The McGladrey Classic,1,5
73,74,74,Scott McCarron,90,142,AT&T National,1,2
74,T75,75,Trevor Immelman,55,138,RBC Canadian Open,3,15
75,T75,38,Billy Mayfair,78,138,Wyndham Championship,2,9
76,T77,77,Tim Clark,88,137,Deutsche Bank Championship,3,10
77,T77,65,Steve Flesch,78,137,Northern Trust Open,2,11
78,T77,4,Robert Allenby,76,137,Arnold Palmer Invitational presented by MasterCard,1,10
79,T80,80,Jeff Overton,89,136,Northern Trust Open,2,9
80,T80,81,Todd Fischer,4,136,Reno-Tahoe Open,1,5
81,T82,82,Mark Calcavecchia,50,135,The Honda Classic,2,8
82,T82,83,Brandt Snedeker,89,135,Travelers Championship,1,12
83,T84,6,Vijay Singh,75,134,The Barclays,1,3
84,T84,85,Phil Mickelson,76,134,Arnold Palmer Invitational presented by MasterCard,2,8
85,T84,86,Briny Baird,87,134,Viking Classic,2,3
86,T87,87,Justin Bolli,55,131,Children's Miracle Network Classic,1,1
87,T87,80,Jeff Overton,89,131,Travelers Championship,1,1
88,89,89,Rod Pampling,77,130,Northern Trust Open,1,7
89,T90,39,Will MacKenzie,72,129,Reno-Tahoe Open,3,6
90,T90,91,Jay Williamson,76,129,Children's Miracle Network Classic,1,16
91,T90,92,Stewart Cink,84,129,Arnold Palmer Invitational presented by MasterCard,1,3
92,93,93,Rob Grube,4,128,RBC Canadian Open,1,14
93,94,94,Chris DiMarco,88,127,AT&T Pebble Beach National Pro-Am,3,11
94,95,95,Kevin Sutherland,86,124,Zurich Classic of New Orleans,1,8
95,96,46,Adam Scott,70,122,the Memorial Tournament presented by Nationwide Insurance,4,15
96,97,97,Ryo Ishikawa,32,120,Northern Trust Open,2,17
97,98,98,Michael Bradley,77,119,The Greenbrier Classic,2,1
98,T99,17,Davis Love III,79,118,Sony Open in Hawaii,4,16
99,T99,77,Tim Clark,88,118,THE PLAYERS Championship,3,6
100,T101,7,Rocco Mediate,71,116,Frys.com Open,4,17
101,T101,102,Katsumasa Miyamoto,6,116,World Golf Championships-Bridgestone Invitational,3,17
102,T101,103,Tim Herron,79,116,AT&T National,1,10
103,104,85,Phil Mickelson,76,115,THE TOUR Championship presented by Coca-Cola,1,12
104,105,4,Robert Allenby,76,114,World Golf Championships-CA Championship,1,5
105,T106,27,George McNeill,79,113,Verizon Heritage,3,9
106,T106,44,Chad Campbell,94,113,Travelers Championship,3,9
107,T106,35,Blake Adams,84,113,AT&T Pebble Beach National Pro-Am,3,13
108,T106,109,Nick Taylor,4,113,RBC Canadian Open,1,1
109,T106,110,D.A. Points,90,113,Turning Stone Resort Championship,2,8
110,T106,58,Brian Davis,101,113,Justin Timberlake Shriners Hospitals for Children Open,2,13
111,T106,112,Jeev Milkha Singh,59,113,Frys.com Open,4,15
112,T113,113,K.J. Choi,82,111,Crowne Plaza Invitational at Colonial,3,6
113,T113,7,Rocco Mediate,71,111,Frys.com Open,3,15
114,T115,115,Stephen Ames,75,110,RBC Canadian Open,2,15
115,T115,116,Y.E. Yang,72,110,Waste Management Phoenix Open,4,10
116,T115,5,Webb Simpson,98,110,The Greenbrier Classic,2,14
117,118,118,Tom Gillis,97,109,AT&T Pebble Beach National Pro-Am,2,11
118,T119,119,Rich Barcelo,70,108,AT&T Pebble Beach National Pro-Am,3,2
119,T119,120,Ricky Barnes,103,108,the Memorial Tournament presented by Nationwide Insurance,3,11
120,T119,49,John Senden,103,108,BMW Championship,1,18
121,122,122,Jeff Maggert,76,107,AT&T Pebble Beach National Pro-Am,4,16
122,123,21,Chad Collins,87,106,the Memorial Tournament presented by Nationwide Insurance,1,11
123,124,2,Johnson Wagner,85,105,Children's Miracle Network Classic,4,14
124,T125,4,Robert Allenby,76,103,THE TOUR Championship presented by Coca-Cola,2,13
125,T125,126,Todd Hamilton,49,103,RBC Canadian Open,1,15
126,T127,36,Justin Leonard,89,102,Frys.com Open,1,2
127,T127,110,D.A. Points,90,102,the Memorial Tournament presented by Nationwide Insurance,3,14
128,T127,128,Michael Letzig,84,102,Waste Management Phoenix Open,1,1
129,T130,130,Marc Leishman,87,100,Verizon Heritage,1,15
130,T130,131,Rickie Fowler,98,100,Waste Management Phoenix Open,2,2
131,T132,132,John Ellis,4,99,Frys.com Open,1,9
132,T132,59,Richard Johnson,90,99,The Greenbrier Classic,4,12
133,134,134,Phil Tataurangi,11,97,Valero Texas Open,1,5
134,135,135,Andrew McLardy,52,96,Frys.com Open,2,12
135,T136,136,Brett Wetterich,54,95,the Memorial Tournament presented by Nationwide Insurance,3,15
136,T136,74,Scott McCarron,90,95,The Greenbrier Classic,2,9
137,T136,138,Sergio Garcia,58,95,Transitions Championship,4,5
138,T139,94,Chris DiMarco,88,94,Bob Hope Classic,2,14
139,T139,64,Brian Gay,101,94,BMW Championship,1,11
140,T141,5,Webb Simpson,98,92,AT&T Pebble Beach National Pro-Am,3,4
141,T141,142,Jarrod Lyle,54,92,Zurich Classic of New Orleans,2,10
142,T141,143,Kirk Triplett,36,92,Valero Texas Open,2,11
143,T141,144,Greg Chalmers,93,92,John Deere Classic,4,10
144,145,34,Kenny Perry,69,90,the Memorial Tournament presented by Nationwide Insurance,1,5
145,146,146,Matt Jones,89,89,John Deere Classic,1,10
146,T147,5,Webb Simpson,98,88,AT&T National,3,6
147,T147,43,Steve Lowery,67,88,Zurich Classic of New Orleans,2,8
148,T149,120,Ricky Barnes,103,87,the Memorial Tournament presented by Nationwide Insurance,4,15
149,T149,150,Henrik Bjornstad,72,87,Sony Open in Hawaii,2,9
150,T151,151,Cameron Percy,73,85,Zurich Classic of New Orleans,1,2
151,T151,94,Chris DiMarco,88,85,Travelers Championship,3,1
152,T151,153,Lee Janzen,77,85,Zurich Classic of New Orleans,4,13
153,T151,131,Rickie Fowler,98,85,Travelers Championship,2,2
154,155,155,Kevin Streelman,90,82,RBC Canadian Open,1,15
155,T156,156,Justin Rose,78,81,The Barclays,2,17
156,T156,157,John Rollins,81,81,Arnold Palmer Invitational presented by MasterCard,1,10
157,158,7,Rocco Mediate,71,80,Viking Classic,4,18
158,159,159,Skip Kendall,58,79,Travelers Championship,1,4
159,160,160,Boo Weekley,88,78,the Memorial Tournament presented by Nationwide Insurance,2,5
160,161,161,Ben Curtis,78,77,The Honda Classic,2,4
