,Fairway_Proximity_RANK THIS WEEK,Fairway_Proximity_RANK LAST WEEK,Fairway_Proximity_PLAYER NAME,Fairway_Proximity_ROUNDS,Fairway_Proximity_AVG,Fairway_Proximity_ATTEMPTS,Fairway_Proximity_TOTAL DISTANCE (FEET),Fairway_Proximity_RELATIVE TO PAR
0,1,1,Jay Williamson,76,"28' 0""",863,24128.583,-54.00
1,2,2,Tim Clark,88,"28' 1""",991,27868.25,-91.00
2,T3,T3,Brendon de Jonge,114,"28' 9""",1248,35921.0,-137.00
3,T3,T3,Robert Garrigus,71,"28' 9""",735,21121.083,-52.00
4,5,5,Rickie Fowler,98,"28' 10""",1079,31139.417,-114.00
5,6,6,Chad Campbell,94,"28' 11""",1150,33224.5,-113.00
6,7,7,Joe Durant,67,"29' 0""",852,24713.333,-85.00
7,8,8,K.J. Choi,82,"29' 1""",836,24319.083,-81.00
8,T9,T9,Paul Casey,64,"29' 2""",568,16576.333,-91.00
9,T9,T9,Phil Mickelson,76,"29' 2""",648,18921.333,-84.00
10,T9,T9,Kenny Perry,69,"29' 2""",775,22606.167,-78.00
11,T9,T9,David Toms,86,"29' 2""",1000,29141.417,-108.00
12,T13,T13,Michael Connell,89,"29' 4""",1033,30293.5,-89.00
13,T13,T13,Cliff Kresge,50,"29' 4""",632,18531.333,-16.00
14,15,15,Tom Pernice Jr.,74,"29' 5""",801,23579.167,-54.00
15,T16,T16,Jason Bohn,84,"29' 6""",1034,30500.833,-95.00
16,T16,T16,Dean Wilson,54,"29' 6""",660,19469.833,-67.00
17,T18,T18,David Duval,71,"29' 7""",700,20719.667,-65.00
18,T18,T18,Brett Wetterich,54,"29' 7""",667,19708.667,-46.00
19,T20,T20,Spencer Levin,110,"29' 8""",1332,39543.0,-132.00
20,T20,T20,Steve Stricker,73,"29' 8""",772,22924.917,-119.00
21,T20,T20,Boo Weekley,88,"29' 8""",1004,29822.667,-88.00
22,T23,T23,Paul Goydos,78,"29' 9""",936,27864.917,-58.00
23,T23,T23,Marc Leishman,87,"29' 9""",883,26292.917,-81.00
24,T23,T23,Rocco Mediate,71,"29' 9""",846,25194.917,-59.00
25,T23,T23,Kevin Na,94,"29' 9""",1029,30588.917,-133.00
26,T23,T23,Vijay Singh,75,"29' 9""",736,21881.5,-62.00
27,T23,T23,Charles Warren,64,"29' 9""",736,21914.75,-70.00
28,T29,T29,Briny Baird,87,"29' 10""",1092,32542.083,-83.00
29,T29,T29,Cameron Percy,73,"29' 10""",749,22331.0,-53.00
30,T29,T29,Heath Slocum,97,"29' 10""",1046,31164.583,-91.00
31,32,32,Brian Gay,101,"29' 11""",1216,36378.25,-98.00
32,T33,T33,John Daly,63,"30' 0""",550,16483.833,-30.00
33,T33,T33,Bob Estes,79,"30' 0""",931,27954.5,-62.00
34,T33,T33,Michael Letzig,84,"30' 0""",1064,31946.833,-96.00
35,T33,T33,Troy Matteson,84,"30' 0""",1006,30174.417,-69.00
36,T33,T33,Omar Uresti,74,"30' 0""",898,26975.0,-34.00
37,T38,T38,Pat Perez,90,"30' 1""",1135,34126.0,-132.00
38,T38,T38,Aron Price,70,"30' 1""",861,25917.0,-107.00
39,T38,T38,Brandt Snedeker,89,"30' 1""",1016,30575.333,-90.00
40,T38,T38,Paul Stankowski,62,"30' 1""",728,21922.167,-85.00
41,T42,T42,Charley Hoffman,85,"30' 2""",1011,30515.0,-129.00
42,T42,T42,Geoff Ogilvy,62,"30' 2""",636,19163.333,-72.00
43,T44,T44,Michael Bradley,77,"30' 3""",891,26942.917,-71.00
44,T44,T44,Mark Calcavecchia,50,"30' 3""",424,12840.333,-9.00
45,T44,T44,Brent Delahoussaye,57,"30' 3""",659,19950.833,-29.00
46,T44,T44,Lee Janzen,77,"30' 3""",912,27601.25,-58.00
47,T44,T44,Jerry Kelly,99,"30' 3""",1154,34871.833,-94.00
48,T44,T44,Davis Love III,79,"30' 3""",894,27021.167,-60.00
49,T44,T44,Vaughn Taylor,87,"30' 3""",1095,33121.167,-97.00
50,T44,T44,D.J. Trahan,92,"30' 3""",1037,31374.25,-88.00
51,T52,T52,Robert Allenby,76,"30' 4""",824,24985.333,-93.00
52,T52,T52,Ricky Barnes,103,"30' 4""",1061,32172.333,-110.00
53,T52,T52,Matt Kuchar,97,"30' 4""",1021,30947.583,-164.00
54,T52,T52,Jeff Overton,89,"30' 4""",855,25966.667,-94.00
55,T52,T52,Ryan Palmer,84,"30' 4""",876,26596.333,-86.00
56,T52,T52,Carl Pettersson,99,"30' 4""",1109,33593.917,-98.00
57,T58,T58,Luke Donald,71,"30' 5""",713,21658.0,-84.00
58,T58,T58,Jim Furyk,76,"30' 5""",860,26148.167,-108.00
59,T58,T58,Brett Quigley,96,"30' 5""",1158,35254.333,-96.00
60,T58,T58,Jeff Quinney,91,"30' 5""",1141,34709.25,-83.00
