,Going_for_the_Green_RANK THIS WEEK,Going_for_the_Green_RANK LAST WEEK,Going_for_the_Green_PLAYER NAME,Going_for_the_Green_ROUNDS,Going_for_the_Green_%,Going_for_the_Green_ATTEMPTS,Going_for_the_Green_NON-ATTEMPTS,Going_for_the_Green_RTP-GOING FOR THE GREEN,Going_for_the_Green_RTP-NOT GOING FOR THE GRN
0,1,1,Dustin Johnson,83,71.85,171,67,-98,-1
1,2,2,Rory McIlroy,54,68.28,99,46,-52,+9
2,3,3,Graham DeLaet,88,67.7,174,83,-99,+9
3,4,4,Robert Garrigus,71,67.62,142,68,-72,+10
4,5,5,J.B. Holmes,100,67.31,208,101,-140,E
5,6,6,Ángel Cabrera,64,66.15,127,65,-73,+4
6,7,7,Charley Hoffman,85,66.08,189,97,-111,-3
7,8,8,Chris Couch,66,65.74,142,74,-76,+2
8,9,9,Brett Wetterich,54,65.41,121,64,-57,+1
9,10,10,Charles Warren,64,65.33,130,69,-68,+3
10,11,11,Martin Laird,91,64.93,187,101,-105,E
11,12,12,Phil Mickelson,76,64.84,142,77,-88,-5
12,13,13,John Daly,63,64.24,97,54,-53,+16
13,14,14,D.J. Trahan,92,64.09,191,107,-110,-8
14,15,15,Aaron Baddeley,94,63.88,214,121,-123,-3
15,16,16,Bubba Watson,77,61.69,153,95,-114,+3
16,17,17,Nick Watney,91,61.45,161,101,-90,-4
17,18,18,Lucas Glover,75,61.36,135,85,-79,+1
18,19,19,James Driscoll,78,60.75,161,104,-91,+4
19,20,20,Hunter Mahan,85,60.32,149,98,-77,E
20,T21,T21,Martin Flores,75,60.17,142,94,-87,+13
21,T21,T21,Boo Weekley,88,60.17,145,96,-71,+3
22,23,23,Scott Piercy,88,59.73,175,118,-91,+8
23,24,24,Camilo Villegas,78,59.49,116,79,-70,-2
24,25,25,Mathias Grönberg,61,59.17,100,69,-45,+1
25,26,26,Garth Mulroy,53,59.12,94,65,-56,-6
26,27,27,Henrik Bjornstad,72,58.88,126,88,-64,+2
27,28,28,Bo Van Pelt,104,58.6,184,130,-119,-15
28,29,29,Ted Purdy,86,58.39,160,114,-84,+15
29,30,30,Bill Haas,87,58.27,155,111,-89,-15
30,T31,T31,Retief Goosen,75,58.24,106,76,-67,-16
31,T31,T31,Kevin Stadler,86,58.24,159,114,-79,-11
