,Approaches_from_50-75_yards_RANK THIS WEEK,Approaches_from_50-75_yards_RANK LAST WEEK,Approaches_from_50-75_yards_PLAYER NAME,Approaches_from_50-75_yards_ROUNDS,Approaches_from_50-75_yards_AVG,Approaches_from_50-75_yards_TOTAL DISTANCE (FEET),Approaches_from_50-75_yards_# OF ATTEMPTS,Approaches_from_50-75_yards_RELATIVE TO PAR
0,1,1,Bryce Molder,84,"9' 6""",219.333,23,-2
1,2,2,Brett Wetterich,54,"10' 3""",123.083,12,E
2,3,3,Cameron Beckman,68,"10' 7""",127.417,12,+2
3,4,4,Scott Verplank,74,"10' 8""",149.083,14,-1
4,5,5,Padraig Harrington,57,"10' 9""",129.0,12,-5
5,6,6,Lucas Glover,75,"11' 1""",210.833,19,-5
6,7,7,Ernie Els,72,"11' 3""",326.83299999999997,29,-6
7,T8,T8,Jim Furyk,76,"11' 4""",193.167,17,-5
8,T8,T8,Kevin Na,94,"11' 4""",306.25,27,-7
9,10,10,Brandt Snedeker,89,"11' 5""",194.25,17,-4
10,11,11,Paul Stankowski,62,"11' 6""",183.833,16,-3
11,12,12,Brenden Pappas,66,"11' 7""",139.25,12,-5
12,13,13,Jarrod Lyle,54,"11' 8""",139.667,12,+4
13,T14,T14,Stewart Cink,84,"11' 11""",286.41700000000003,24,-6
14,T14,T14,Richard Johnson,90,"11' 11""",190.667,16,+1
15,T16,T16,Graham DeLaet,88,"12' 1""",362.75,30,-4
16,T16,T16,Phil Mickelson,76,"12' 1""",290.25,24,-7
17,18,18,Matt Every,60,"12' 3""",293.58299999999997,24,-9
18,19,19,Tim Clark,88,"12' 4""",433.0,35,-7
19,20,20,Michael Bradley,77,"12' 5""",423.417,34,-9
20,21,21,Kenny Perry,69,"12' 7""",302.41700000000003,24,-2
21,T22,T22,Pat Perez,90,"12' 8""",341.75,27,-5
22,T22,T22,Tim Petrovic,105,"12' 8""",518.4169999999999,41,-3
23,T22,T22,Jimmy Walker,82,"12' 8""",291.08299999999997,23,-7
24,T25,T25,Rickie Fowler,98,"12' 9""",305.83299999999997,24,-2
25,T25,T25,John Merrick,109,"12' 9""",369.667,29,+1
26,27,27,Bubba Watson,77,"12' 10""",333.333,26,-2
27,T28,T28,Mark Calcavecchia,50,"12' 11""",167.833,13,E
28,T28,T28,Chris DiMarco,88,"12' 11""",309.66700000000003,24,-8
29,T28,T28,Justin Leonard,89,"12' 11""",463.583,36,+9
30,T28,T28,Vaughn Taylor,87,"12' 11""",413.75,32,-6
31,T28,T28,Charles Warren,64,"12' 11""",232.333,18,-5
32,T33,T33,Jason Bohn,84,"13' 0""",429.167,33,-6
33,T33,T33,Boo Weekley,88,"13' 0""",285.58299999999997,22,-7
34,T35,T35,Will MacKenzie,72,"13' 2""",236.75,18,-3
35,T35,T35,Geoff Ogilvy,62,"13' 2""",288.83299999999997,22,-5
36,T35,T35,John Rollins,81,"13' 2""",381.25,29,-10
37,T35,T35,Steve Stricker,73,"13' 2""",395.667,30,-7
38,T39,T39,Brendon de Jonge,114,"13' 3""",344.25,26,-1
39,T39,T39,Chris Riley,73,"13' 3""",331.25,25,-11
40,T41,T41,Jonathan Byrd,85,"13' 4""",466.0,35,-4
41,T41,T41,Jason Dufner,87,"13' 4""",320.16700000000003,24,-1
42,43,43,Mark Wilson,87,"13' 5""",389.667,29,-12
43,44,44,Lee Janzen,77,"13' 6""",257.16700000000003,19,-2
44,45,45,Brian Davis,101,"13' 7""",380.0,28,+1
45,T46,T46,Justin Rose,78,"13' 8""",259.75,19,+2
46,T46,T46,Kevin Sutherland,86,"13' 8""",219.25,16,-3
47,T46,T46,Omar Uresti,74,"13' 8""",397.5,29,-10
48,T49,T49,Chris Couch,66,"13' 9""",261.5,19,-2
49,T49,T49,Dustin Johnson,83,"13' 9""",385.833,28,-7
50,T51,T51,Trevor Immelman,55,"13' 10""",221.75,16,E
51,T51,T51,Matt Kuchar,97,"13' 10""",373.5,27,-10
52,53,53,Rory McIlroy,54,"13' 11""",152.917,11,E
53,T54,T54,Freddie Jacobson,83,"14' 0""",364.833,26,-3
54,T54,T54,Steve Marino,81,"14' 0""",335.083,24,-5
55,T54,T54,Mike Weir,59,"14' 0""",209.75,15,-1
56,T57,T57,Alex Cejka,81,"14' 1""",366.583,26,-4
57,T57,T57,Daniel Chopra,74,"14' 1""",324.08299999999997,23,-4
58,T57,T57,Bill Haas,87,"14' 1""",465.75,33,-10
59,T57,T57,Ryan Palmer,84,"14' 1""",239.75,17,-1
60,61,61,Steve Flesch,78,"14' 2""",169.5,12,-7
61,62,62,James Driscoll,78,"14' 3""",270.58299999999997,19,-6
62,T63,T63,Bob Estes,79,"14' 4""",373.083,26,-5
63,T63,T63,Paul Goydos,78,"14' 4""",516.9169999999999,36,-1
64,T63,T63,Marc Leishman,87,"14' 4""",243.25,17,+4
65,T63,T63,Bill Lunde,79,"14' 4""",428.75,30,-4
66,T67,T67,Greg Chalmers,93,"14' 5""",403.333,28,E
67,T67,T67,David Lutterus,69,"14' 5""",216.083,15,-1
68,T67,T67,Roger Tambellini,77,"14' 5""",273.91700000000003,19,E
69,T70,T70,Kris Blanks,91,"14' 6""",406.167,28,+3
70,T70,T70,Justin Bolli,55,"14' 6""",218.083,15,+6
71,T70,T70,Zach Johnson,93,"14' 6""",318.58299999999997,22,-8
72,T70,T70,Garrett Willis,82,"14' 6""",318.58299999999997,22,-1
73,74,74,Troy Merritt,86,"14' 7""",219.25,15,-2
74,T75,T75,Stuart Appleby,101,"14' 8""",366.583,25,-7
75,T75,T75,Michael Connell,89,"14' 8""",411.333,28,+1
76,T75,T75,Brian Gay,101,"14' 8""",483.0,33,-5
77,T75,T75,Carl Pettersson,99,"14' 8""",380.5,26,+1
78,T75,T75,Webb Simpson,98,"14' 8""",293.66700000000003,20,E
79,T80,T80,Tom Gillis,97,"14' 9""",443.417,30,-12
80,T80,T80,James Nitties,92,"14' 9""",547.25,37,-6
81,T80,T80,Cameron Percy,73,"14' 9""",191.583,13,+4
82,T83,T83,Joe Durant,67,"14' 10""",296.58299999999997,20,+1
83,T83,T83,Billy Mayfair,78,"14' 10""",370.25,25,-4
84,T85,T85,Aaron Baddeley,94,"14' 11""",507.583,34,E
85,T85,T85,Chad Collins,87,"14' 11""",343.5,23,+4
86,T87,T87,Brad Faxon,58,"15' 0""",105.25,7,-1
87,T87,T87,D.A. Points,90,"15' 0""",359.417,24,-3
88,T87,T87,Nick Watney,91,"15' 0""",405.417,27,+1
89,90,90,Robert Allenby,76,"15' 1""",180.667,12,E
90,91,91,J.B. Holmes,100,"15' 2""",499.167,33,-5
91,92,92,Jeff Overton,89,"15' 4""",384.083,25,-2
92,93,93,Jeff Quinney,91,"15' 5""",538.5,35,-11
