,Approaches_Right_Rough_RTP_Score_RANK THIS WEEK,Approaches_Right_Rough_RTP_Score_RANK LAST WEEK,Approaches_Right_Rough_RTP_Score_PLAYER NAME,Approaches_Right_Rough_RTP_Score_ROUNDS,Approaches_Right_Rough_RTP_Score_AVG RTP
0,1,1,Brett Wetterich,54,-.091
1,2,2,Justin Rose,78,-.083
2,3,3,Steve Stricker,73,-.082
3,4,4,Kevin Sutherland,86,-.061
4,5,5,Andrew McLardy,52,-.057
5,6,6,Justin Leonard,89,-.050
6,7,7,Jim Furyk,76,-.024
7,8,8,Padraig Harrington,57,-.022
8,9,9,Robert Allenby,76,-.020
9,10,10,Bubba Watson,77,-.014
10,11,11,Michael Sim,64,-.011
11,T12,T12,Bill Haas,87,-.008
12,T12,T12,Chris Stroud,90,-.008
13,14,14,Ángel Cabrera,64,-.007
14,T15,T15,John Daly,63,E
15,T15,T15,Matt Kuchar,97,E
16,T15,T15,Billy Mayfair,78,E
17,18,18,Rory Sabbatini,79,+.007
18,T19,T19,Retief Goosen,75,+.012
19,T19,T19,D.J. Trahan,92,+.012
20,21,21,Nick Watney,91,+.013
21,22,22,Woody Austin,93,+.014
22,23,23,Sean O'Hair,84,+.015
23,24,24,Brian Gay,101,+.020
24,25,25,Chris Tidland,77,+.023
25,26,26,Bob Estes,79,+.025
26,27,27,Spencer Levin,110,+.026
27,28,28,Omar Uresti,74,+.027
28,29,29,Cliff Kresge,50,+.029
29,30,30,Camilo Villegas,78,+.030
30,31,31,Steve Flesch,78,+.031
31,32,32,John Rollins,81,+.032
32,33,33,Dean Wilson,54,+.033
33,T34,T34,Ricky Barnes,103,+.038
34,T34,T34,Steve Elkington,74,+.038
35,T34,T34,David Lutterus,69,+.038
36,T34,T34,Jarrod Lyle,54,+.038
37,T34,T34,Phil Mickelson,76,+.038
38,39,39,Kevin Streelman,90,+.039
39,40,40,Ryan Moore,80,+.043
40,41,41,Marc Leishman,87,+.044
41,42,42,Geoff Ogilvy,62,+.045
42,43,43,Martin Laird,91,+.046
43,44,44,Charles Howell III,103,+.047
44,45,45,John Senden,103,+.048
45,T46,T46,Henrik Bjornstad,72,+.049
46,T46,T46,Paul Stankowski,62,+.049
47,T48,T48,K.J. Choi,82,+.050
48,T48,T48,Dustin Johnson,83,+.050
49,T50,T50,Jason Dufner,87,+.053
50,T50,T50,Ernie Els,72,+.053
51,52,52,Ryuji Imada,90,+.054
52,53,53,Tom Pernice Jr.,74,+.057
53,54,54,James Driscoll,78,+.059
54,55,55,Webb Simpson,98,+.061
55,56,56,Ryan Palmer,84,+.063
56,57,57,Graham DeLaet,88,+.066
57,T58,T58,Alex Cejka,81,+.068
58,T58,T58,Trevor Immelman,55,+.068
59,T58,T58,Jeff Overton,89,+.068
60,61,61,Alex Prugh,88,+.069
61,T62,T62,David Duval,71,+.070
62,T62,T62,J.J. Henry,92,+.070
63,T62,T62,Jimmy Walker,82,+.070
64,65,65,Tim Clark,88,+.071
65,T66,T66,John Mallinger,78,+.073
66,T66,T66,Adam Scott,70,+.073
67,T68,T68,Jonathan Byrd,85,+.074
68,T68,T68,Cameron Percy,73,+.074
69,70,70,Bill Lunde,79,+.075
70,71,71,Jeev Milkha Singh,59,+.076
71,72,72,Roland Thatcher,72,+.078
72,T73,T73,Luke Donald,71,+.080
73,T73,T73,Bryce Molder,84,+.080
74,75,75,Brett Quigley,96,+.081
75,76,76,Rickie Fowler,98,+.082
76,77,77,Steve Marino,81,+.083
77,T78,T78,George McNeill,79,+.085
78,T78,T78,Andres Romero,73,+.085
79,T80,T80,Matt Jones,89,+.086
80,T80,T80,Heath Slocum,97,+.086
81,82,82,Troy Merritt,86,+.087
82,T83,T83,Aaron Baddeley,94,+.088
83,T83,T83,Derek Lamely,81,+.088
84,85,85,Davis Love III,79,+.089
