,Approaches_from_inside_100_yards_RANK THIS WEEK,Approaches_from_inside_100_yards_RANK LAST WEEK,Approaches_from_inside_100_yards_PLAYER NAME,Approaches_from_inside_100_yards_ROUNDS,Approaches_from_inside_100_yards_AVG,Approaches_from_inside_100_yards_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_# OF ATTEMPTS,Approaches_from_inside_100_yards_RELATIVE TO PAR
0,1,1,Mike Weir,59,"11' 9""",586.1669999999999,50,-0.14
1,T2,T2,Ernie Els,72,"12' 9""",856.5,67,-0.19
2,T2,T2,Padraig Harrington,57,"12' 9""",649.6669999999999,51,-0.22
3,4,4,Jeff Overton,89,"13' 3""",1257.167,95,-0.19
4,5,5,Jim Furyk,76,"13' 5""",1021.4169999999999,76,-0.26
5,6,6,Stewart Cink,84,"13' 6""",1109.5,82,-0.23
6,7,7,Vaughn Taylor,87,"13' 7""",1584.75,117,-0.16
7,8,8,Boo Weekley,88,"13' 8""",1473.4170000000001,108,-0.19
8,9,9,Geoff Ogilvy,62,"13' 11""",976.25,70,-0.34
9,10,10,James Driscoll,78,"14' 1""",1113.0,79,-0.15
10,11,11,Rickie Fowler,98,"14' 2""",1518.6670000000001,107,-0.31
11,T12,T12,Michael Bradley,77,"14' 3""",1367.4170000000001,96,-0.22
12,T12,T12,Paul Goydos,78,"14' 3""",1752.0,123,-0.24
13,14,14,Bryce Molder,84,"14' 4""",1403.5829999999999,98,-0.18
14,15,15,Tim Clark,88,"14' 5""",1732.5,120,-0.21
15,T16,T16,Brian Gay,101,"14' 7""",2322.167,159,-0.21
16,T16,T16,Matt Kuchar,97,"14' 7""",1477.0,101,-0.29
17,T18,T18,Bob Estes,79,"14' 8""",1158.25,79,-0.22
18,T18,T18,Phil Mickelson,76,"14' 8""",921.75,63,-0.29
19,T18,T18,Kevin Na,94,"14' 8""",1507.8329999999999,103,-0.22
20,T18,T18,Omar Uresti,74,"14' 8""",1422.3329999999999,97,-0.23
21,22,22,Steve Stricker,73,"14' 9""",1340.0,91,-0.22
22,T23,T23,Justin Bolli,55,"14' 10""",1084.917,73,-0.12
23,T23,T23,Lee Janzen,77,"14' 10""",1262.417,85,-0.24
24,T23,T23,Justin Rose,78,"14' 10""",1264.167,85,-0.08
25,T23,T23,Paul Stankowski,62,"14' 10""",890.5,60,-0.15
26,T27,T27,Ben Crane,85,"14' 11""",1269.417,85,-0.16
27,T27,T27,Steve Flesch,78,"14' 11""",1136.583,76,-0.16
28,T27,T27,Webb Simpson,98,"14' 11""",1804.5,121,-0.26
29,T30,T30,Zach Johnson,93,"15' 0""",1413.0829999999999,94,-0.20
30,T30,T30,Justin Leonard,89,"15' 0""",1831.3329999999999,122,+0.02
31,T30,T30,Brandt Snedeker,89,"15' 0""",1436.4170000000001,96,-0.15
32,33,33,Chris DiMarco,88,"15' 1""",1699.8329999999999,113,-0.24
33,34,34,Jason Bohn,84,"15' 2""",1380.9170000000001,91,-0.18
34,T35,T35,John Merrick,109,"15' 3""",1795.3329999999999,118,-0.11
35,T35,T35,John Rollins,81,"15' 3""",1785.75,117,-0.22
36,T35,T35,Charlie Wi,95,"15' 3""",1630.1670000000001,107,-0.17
37,T38,T38,Jonathan Byrd,85,"15' 4""",1536.75,100,-0.10
38,T38,T38,Sergio Garcia,58,"15' 4""",842.0830000000001,55,-0.27
39,T40,T40,Chad Collins,87,"15' 6""",1286.0,83,-0.04
40,T40,T40,J.P. Hayes,79,"15' 6""",1484.0,96,-0.06
41,T40,T40,Billy Mayfair,78,"15' 6""",1082.167,70,-0.09
42,T40,T40,Heath Slocum,97,"15' 6""",1751.3329999999999,113,-0.14
43,T40,T40,Jimmy Walker,82,"15' 6""",1317.3329999999999,85,-0.15
44,T45,T45,Aaron Baddeley,94,"15' 7""",1826.4170000000001,117,-0.09
45,T45,T45,Bill Haas,87,"15' 7""",1435.3329999999999,92,-0.27
46,T45,T45,Ian Poulter,55,"15' 7""",655.4169999999999,42,-0.19
47,48,48,Freddie Jacobson,83,"15' 8""",1347.0,86,-0.17
48,49,49,Lucas Glover,75,"15' 9""",1117.667,71,-0.21
49,T50,T50,Robert Allenby,76,"15' 11""",953.9169999999999,60,-0.12
50,T50,T50,J.J. Henry,92,"15' 11""",1432.8329999999999,90,-0.23
51,T50,T50,Marc Leishman,87,"15' 11""",1260.417,79,-0.04
52,T50,T50,Garrett Willis,82,"15' 11""",1303.75,82,-0.11
53,T54,T54,Mathias Grönberg,61,"16' 0""",814.25,51,-0.16
54,T54,T54,John Senden,103,"16' 0""",1842.5,115,-0.10
55,T54,T54,Camilo Villegas,78,"16' 0""",830.4169999999999,52,+0.06
56,T57,T57,Nathan Green,86,"16' 1""",1547.5829999999999,96,-0.05
57,T57,T57,Kevin Johnson,62,"16' 1""",1107.917,69,-0.04
58,T57,T57,Alex Prugh,88,"16' 1""",1942.3329999999999,121,-0.07
59,T57,T57,David Toms,86,"16' 1""",1737.6670000000001,108,-0.17
60,T61,T61,Brendon de Jonge,114,"16' 2""",1809.25,112,-0.13
61,T61,T61,Matt Every,60,"16' 2""",1131.417,70,-0.11
62,T61,T61,Ryuji Imada,90,"16' 2""",1958.3329999999999,121,-0.15
63,T61,T61,Rory McIlroy,54,"16' 2""",696.1669999999999,43,+0.05
64,T65,T65,John Mallinger,78,"16' 3""",1315.0829999999999,81,-0.07
65,T65,T65,D.A. Points,90,"16' 3""",1498.25,92,-0.09
66,T65,T65,Adam Scott,70,"16' 3""",779.5,48,+0.02
67,T68,T68,Richard Johnson,90,"16' 4""",1320.8329999999999,81,-0.19
68,T68,T68,Tim Petrovic,105,"16' 4""",2022.0829999999999,124,-0.15
69,T68,T68,Carl Pettersson,99,"16' 4""",1619.5829999999999,99,-0.09
70,T68,T68,Chris Riley,73,"16' 4""",1536.75,94,-0.29
71,T72,T72,Charles Howell III,103,"16' 5""",2063.583,126,-0.12
72,T72,T72,Jarrod Lyle,54,"16' 5""",1149.75,70,-0.06
73,T74,T74,Pat Perez,90,"16' 6""",1860.75,113,-0.07
74,T74,T74,Nick Watney,91,"16' 6""",1497.9170000000001,91,-0.03
75,T76,T76,Joe Durant,67,"16' 7""",1411.25,85,-0.11
76,T76,T76,Trevor Immelman,55,"16' 7""",794.1669999999999,48,-0.08
77,T76,T76,Greg Owen,69,"16' 7""",1443.5829999999999,87,-0.08
78,T79,T79,Ricky Barnes,103,"16' 8""",1615.1670000000001,97,-0.13
79,T79,T79,Brian Davis,101,"16' 8""",1885.8329999999999,113,-0.13
80,T79,T79,Tom Pernice Jr.,74,"16' 8""",1069.083,64,-0.06
81,T79,T79,Chris Stroud,90,"16' 8""",1447.9170000000001,87,-0.10
82,T79,T79,Scott Verplank,74,"16' 8""",1403.3329999999999,84,-0.21
83,T79,T79,Brett Wetterich,54,"16' 8""",1031.667,62,-0.10
84,T85,T85,Kris Blanks,91,"16' 9""",1470.6670000000001,88,-0.01
85,T85,T85,Greg Chalmers,93,"16' 9""",1588.5,95,-0.16
86,T85,T85,Graham DeLaet,88,"16' 9""",1773.6670000000001,106,-0.14
87,T85,T85,Ryan Palmer,84,"16' 9""",1175.083,70,-0.19
88,T85,T85,Rod Pampling,77,"16' 9""",1273.917,76,+0.04
89,T90,T90,Stuart Appleby,101,"16' 10""",2083.25,124,-0.18
90,T90,T90,Woody Austin,93,"16' 10""",1798.4170000000001,107,-0.10
91,T90,T90,Kenny Perry,69,"16' 10""",1532.1670000000001,91,-0.11
92,T90,T90,Nicholas Thompson,88,"16' 10""",1518.5,90,-0.14
93,T90,T90,Dean Wilson,54,"16' 10""",841.25,50,-0.32
94,T95,T95,Joe Ogilvie,99,"16' 11""",1807.8329999999999,107,-0.17
95,T95,T95,Charles Warren,64,"16' 11""",1184.25,70,-0.19
96,T97,T97,David Lutterus,69,"17' 0""",1018.5830000000001,60,+0.08
97,T97,T97,Rory Sabbatini,79,"17' 0""",1528.5,90,-0.01
98,T99,T99,Rocco Mediate,71,"17' 1""",1248.167,73,-0.16
99,T99,T99,James Nitties,92,"17' 1""",1898.8329999999999,111,-0.13
100,T99,T99,Kevin Sutherland,86,"17' 1""",1397.8329999999999,82,-0.11
101,T102,T102,Briny Baird,87,"17' 2""",1906.9170000000001,111,-0.14
102,T102,T102,Jerry Kelly,99,"17' 2""",1716.5829999999999,100,-0.16
103,T102,T102,Derek Lamely,81,"17' 2""",1306.167,76,-0.08
104,T102,T102,Michael Letzig,84,"17' 2""",1737.6670000000001,101,-0.08
105,T102,T102,Will MacKenzie,72,"17' 2""",1376.3329999999999,80,-0.15
106,T102,T102,Troy Matteson,84,"17' 2""",1697.25,99,-0.09
107,T102,T102,Mark Wilson,87,"17' 2""",1818.5829999999999,106,-0.24
108,T102,T102,Y.E. Yang,72,"17' 2""",1012.5,59,-0.08
109,T110,T110,Alex Cejka,81,"17' 3""",1657.9170000000001,96,-0.14
110,T110,T110,Steve Elkington,74,"17' 3""",1121.167,65,-0.14
111,T110,T110,Davis Love III,79,"17' 3""",998.3330000000001,58,-0.05
112,T110,T110,Brett Quigley,96,"17' 3""",1809.0829999999999,105,-0.05
113,T110,T110,Josh Teater,101,"17' 3""",2567.25,149,-0.13
114,T110,T110,D.J. Trahan,92,"17' 3""",1638.6670000000001,95,-0.16
115,T110,T110,Bubba Watson,77,"17' 3""",1640.6670000000001,95,-0.11
116,T117,T117,Mathew Goggin,85,"17' 4""",1091.5,63,-0.08
117,T117,T117,Jeff Gove,57,"17' 4""",1179.167,68,-0.06
118,T117,T117,Aron Price,70,"17' 4""",1127.583,65,-0.15
119,T120,T120,Cameron Beckman,68,"17' 5""",1117.0,64,-0.05
120,T120,T120,Steve Marino,81,"17' 5""",1517.0,87,-0.17
121,T122,T122,Chris Couch,66,"17' 6""",1120.417,64,-0.08
122,T122,T122,Retief Goosen,75,"17' 6""",1140.167,65,-0.29
123,T122,T122,Kevin Stadler,86,"17' 6""",1365.75,78,+0.01
124,T122,T122,Chris Wilson,65,"17' 6""",1261.75,72,-0.03
125,T126,T126,Chad Campbell,94,"17' 7""",1955.1670000000001,111,-0.14
126,T126,T126,Paul Casey,64,"17' 7""",789.6669999999999,45,-0.27
127,T126,T126,David Duval,71,"17' 7""",1198.417,68,-0.04
128,T129,T129,Blake Adams,84,"17' 8""",1784.4170000000001,101,-0.17
129,T129,T129,Brad Faxon,58,"17' 8""",1234.167,70,-0.14
130,T131,T131,Mark Calcavecchia,50,"17' 9""",746.5830000000001,42,-0.07
131,T131,T131,Jeff Quinney,91,"17' 9""",1966.4170000000001,111,+0.01
132,T131,T131,Kevin Streelman,90,"17' 9""",1618.8329999999999,91,+0.02
133,T131,T131,Roger Tambellini,77,"17' 9""",1404.25,79,-0.06
134,T131,T131,Roland Thatcher,72,"17' 9""",1493.3329999999999,84,-0.17
135,T131,T131,Cameron Tringale,55,"17' 9""",1100.25,62,+0.08
136,T137,T137,Daniel Chopra,74,"17' 10""",1477.5,83,-0.11
137,T137,T137,Michael Connell,89,"17' 10""",1833.6670000000001,103,-0.12
138,T137,T137,Jason Dufner,87,"17' 10""",1655.0829999999999,93,E
139,T140,T140,Stephen Ames,75,"18' 1""",1521.8329999999999,84,-0.12
140,T140,T140,Michael Sim,64,"18' 1""",1193.25,66,-0.02
