,Approaches_from__200_yards_RANK THIS WEEK,Approaches_from__200_yards_RANK LAST WEEK,Approaches_from__200_yards_PLAYER NAME,Approaches_from__200_yards_ROUNDS,Approaches_from__200_yards_AVG,Approaches_from__200_yards_TOTAL DISTANCE (FEET),Approaches_from__200_yards_# OF ATTEMPTS,Approaches_from__200_yards_RELATIVE TO PAR
0,1,1,Paul Casey,64,"43' 2""",5910.75,137,-28
1,2,2,Phil Mickelson,76,"43' 4""",8061.5,186,-36
2,3,3,Tim Clark,88,"43' 5""",10161.667,234,-21
3,4,4,Jay Williamson,76,"43' 10""",6884.75,157,-6
4,T5,T5,Kenny Perry,69,"44' 11""",7770.6669999999995,173,-30
5,T5,T5,Steve Stricker,73,"44' 11""",8710.083,194,-48
6,7,7,Camilo Villegas,78,"45' 3""",8423.833,186,-41
7,T8,T8,K.J. Choi,82,"45' 4""",8381.167,185,-26
8,T8,T8,Troy Matteson,84,"45' 4""",10430.25,230,-30
9,10,10,Davis Love III,79,"45' 5""",8897.417,196,-55
10,11,11,Kevin Na,94,"45' 6""",11471.333,252,-42
11,12,12,Jason Bohn,84,"45' 9""",10655.333,233,-43
12,13,13,Rickie Fowler,98,"46' 0""",10710.667,233,-36
13,14,14,Cliff Kresge,50,"46' 2""",6419.4169999999995,139,-11
14,15,15,Andres Romero,73,"46' 3""",10087.667,218,-33
15,T16,T16,Briny Baird,87,"46' 5""",10856.083,234,-22
16,T16,T16,Rocco Mediate,71,"46' 5""",9236.083,199,-19
17,T16,T16,Dean Wilson,54,"46' 5""",6447.6669999999995,139,-15
18,19,19,Michael Letzig,84,"46' 6""",11164.083,240,-44
19,20,20,Spencer Levin,110,"46' 7""",13324.083,286,-30
20,T21,T21,Luke Donald,71,"46' 8""",8120.6669999999995,174,-23
21,T21,T21,Martin Laird,91,"46' 8""",11197.333,240,-52
22,T23,T23,Dustin Johnson,83,"46' 9""",9118.583,195,-32
23,T23,T23,Ryan Palmer,84,"46' 9""",9954.333,213,-21
24,25,25,Mark Calcavecchia,50,"46' 10""",4498.25,96,-18
25,26,26,Brett Wetterich,54,"46' 11""",6240.1669999999995,133,-23
26,T27,T27,Robert Allenby,76,"47' 0""",9680.917,206,-29
27,T27,T27,Geoff Ogilvy,62,"47' 0""",7802.75,166,-21
28,T27,T27,David Toms,86,"47' 0""",10299.083,219,-36
29,T30,T30,Marc Leishman,87,"47' 2""",9566.583,203,-37
30,T30,T30,Andrew McLardy,52,"47' 2""",5802.4169999999995,123,-14
31,T32,T32,Jim Furyk,76,"47' 3""",10443.917,221,-28
32,T32,T32,Boo Weekley,88,"47' 3""",10533.75,223,-44
33,34,34,Charles Warren,64,"47' 8""",7959.4169999999995,167,-25
34,T35,T35,Robert Garrigus,71,"47' 9""",7212.6669999999995,151,-21
35,T35,T35,Troy Merritt,86,"47' 9""",10640.167,223,-51
36,T37,T37,Rich Barcelo,70,"47' 10""",7608.9169999999995,159,-31
37,T37,T37,Brendon de Jonge,114,"47' 10""",13248.0,277,-54
38,T37,T37,Aron Price,70,"47' 10""",9238.0,193,-45
39,T40,T40,Jason Dufner,87,"48' 0""",11367.75,237,-42
40,T40,T40,Charley Hoffman,85,"48' 0""",11373.083,237,-67
41,T40,T40,Matt Kuchar,97,"48' 0""",11990.167,250,-56
42,T40,T40,Pat Perez,90,"48' 0""",12278.583,256,-54
43,T44,T44,John Senden,103,"48' 1""",13081.917,272,-65
44,T44,T44,Brandt Snedeker,89,"48' 1""",11212.0,233,-20
45,T46,T46,David Duval,71,"48' 2""",8094.25,168,-21
46,T46,T46,Tom Pernice Jr.,74,"48' 2""",7615.25,158,-13
47,T46,T46,Carl Pettersson,99,"48' 2""",11171.667,232,-28
48,T46,T46,D.J. Trahan,92,"48' 2""",11411.5,237,-51
49,50,50,Bo Van Pelt,104,"48' 3""",13273.833,275,-67
50,51,51,Kris Blanks,91,"48' 4""",11458.667,237,-38
51,T52,T52,Michael Connell,89,"48' 5""",9785.083,202,-26
52,T52,T52,Chris Riley,73,"48' 5""",8618.917,178,-16
53,T54,T54,Chad Campbell,94,"48' 6""",11395.917,235,-29
54,T54,T54,Kevin Streelman,90,"48' 6""",11596.0,239,-36
55,T56,T56,Alex Cejka,81,"48' 7""",10782.583,222,-31
56,T56,T56,Cameron Percy,73,"48' 7""",7968.1669999999995,164,-28
57,58,58,John Daly,63,"48' 8""",6231.75,128,-22
58,T59,T59,Ángel Cabrera,64,"48' 9""",7462.5830000000005,153,-21
59,T59,T59,Jason Day,82,"48' 9""",10136.333,208,-45
60,T59,T59,Sergio Garcia,58,"48' 9""",5065.667,104,-12
61,T59,T59,Brian Gay,101,"48' 9""",13595.75,279,-21
62,T59,T59,Retief Goosen,75,"48' 9""",8776.583,180,-41
63,64,64,Justin Rose,78,"48' 11""",10961.417,224,-37
64,T65,T65,Ryan Moore,80,"49' 0""",11082.75,226,-44
65,T65,T65,Ian Poulter,55,"49' 0""",6024.5,123,-16
66,67,67,Brent Delahoussaye,57,"49' 2""",5996.9169999999995,122,-5
67,T68,T68,Jeff Maggert,76,"49' 3""",9253.583,188,-8
68,T68,T68,Brian Stuard,81,"49' 3""",9703.333,197,-24
69,70,70,George McNeill,79,"49' 4""",9418.917,191,-19
70,T71,T71,Matt Every,60,"49' 6""",7866.5830000000005,159,-22
71,T71,T71,J.B. Holmes,100,"49' 6""",12580.75,254,-52
72,T71,T71,Lee Janzen,77,"49' 6""",9461.333,191,-4
73,T71,T71,Sean O'Hair,84,"49' 6""",10882.333,220,-33
74,T71,T71,Heath Slocum,97,"49' 6""",11829.75,239,-23
75,T76,T76,Tom Gillis,97,"49' 7""",14240.167,287,-75
76,T76,T76,Billy Mayfair,78,"49' 7""",10208.417,206,-20
77,T76,T76,D.A. Points,90,"49' 7""",11562.0,233,-19
78,T76,T76,Jimmy Walker,82,"49' 7""",9672.833,195,-14
79,T80,T80,Bill Haas,87,"49' 8""",11879.25,239,-56
80,T80,T80,Hunter Mahan,85,"49' 8""",11721.333,236,-42
81,T80,T80,Bubba Watson,77,"49' 8""",9329.75,188,-22
82,T83,T83,Ben Crane,85,"49' 9""",11141.0,224,-23
83,T83,T83,Mathew Goggin,85,"49' 9""",11796.583,237,-34
84,T83,T83,Paul Goydos,78,"49' 9""",10945.333,220,E
85,T83,T83,Michael Sim,64,"49' 9""",7468.4169999999995,150,-23
86,87,87,John Mallinger,78,"49' 10""",9365.417,188,-38
87,T88,T88,Jonathan Byrd,85,"49' 11""",12276.083,246,-48
