,SG_Approach-the-Green_RANK THIS WEEK,SG_Approach-the-Green_RANK LAST WEEK,SG_Approach-the-Green_PLAYER NAME,SG_Approach-the-Green_ROUNDS,SG_Approach-the-Green_AVERAGE,SG_Approach-the-Green_TOTAL SG:APP,SG_Approach-the-Green_MEASURED ROUNDS
0,1,1,Adam Scott,70,1.1640000000000001,60.547,52
1,2,2,Vijay Singh,75,0.9790000000000001,55.791000000000004,57
2,3,3,Steve Stricker,73,0.773,43.269,56
3,4,4,Camilo Villegas,78,0.755,42.27,56
4,5,5,Phil Mickelson,76,0.738,42.068999999999996,57
5,6,6,Ernie Els,72,0.735,40.405,55
6,7,7,Brendon de Jonge,114,0.721,65.622,91
7,8,8,Ricky Barnes,103,0.675,56.015,83
8,9,9,Luke Donald,71,0.6609999999999999,35.023,53
9,10,10,Robert Allenby,76,0.642,39.152,61
10,11,11,Jim Furyk,76,0.6409999999999999,38.47,60
11,12,12,Chad Campbell,94,0.606,49.08,81
12,13,13,Tim Clark,88,0.591,40.181,68
13,14,14,Cameron Percy,73,0.589,34.741,59
14,15,15,Rocco Mediate,71,0.568,34.632,61
15,16,16,Heath Slocum,97,0.546,39.876999999999995,73
16,17,17,Padraig Harrington,57,0.524,23.076999999999998,44
17,18,18,Nick Watney,91,0.517,35.705999999999996,69
18,19,19,Bill Haas,87,0.515,38.650999999999996,75
19,20,20,K.J. Choi,82,0.507,30.948,61
20,21,21,Geoff Ogilvy,62,0.488,24.41,50
21,22,22,Paul Casey,64,0.483,21.26,44
22,23,23,Mike Weir,59,0.466,18.651,40
23,24,24,Alex Cejka,81,0.46399999999999997,31.584,68
24,25,25,Scott Verplank,74,0.456,25.523000000000003,56
25,26,26,John Senden,103,0.455,39.573,87
26,27,27,D.J. Trahan,92,0.45,36.911,82
27,28,28,Brett Quigley,96,0.425,37.379,88
28,29,29,Billy Mayfair,78,0.424,27.541999999999998,65
29,T30,T30,Kris Blanks,91,0.41700000000000004,30.883000000000003,74
30,T30,T30,Marc Leishman,87,0.41700000000000004,30.009,72
31,32,32,Spencer Levin,110,0.413,40.481,98
32,33,33,Cliff Kresge,50,0.41,18.472,45
33,34,34,Rickie Fowler,98,0.395,32.798,83
34,35,35,Ben Crane,85,0.379,25.011999999999997,66
35,36,36,Paul Stankowski,62,0.377,19.967,53
36,37,37,Davis Love III,79,0.364,24.037,66
37,38,38,Mark Calcavecchia,50,0.363,11.966,33
38,T39,T39,Matt Kuchar,97,0.336,25.185,75
39,T39,T39,Jimmy Walker,82,0.336,23.54,70
40,41,41,Briny Baird,87,0.33399999999999996,26.41,79
41,T42,T42,Kevin Na,94,0.33299999999999996,25.274,76
42,T42,T42,Vaughn Taylor,87,0.33299999999999996,26.329,79
43,44,44,Charles Warren,64,0.327,17.979,55
44,45,45,Jason Bohn,84,0.324,23.980999999999998,74
45,46,46,Johnson Wagner,85,0.32299999999999995,23.927,74
46,47,47,Charley Hoffman,85,0.317,24.37,77
47,48,48,Stewart Cink,84,0.309,20.067999999999998,65
48,49,49,Freddie Jacobson,83,0.302,23.276,77
49,50,50,Justin Leonard,89,0.299,21.51,72
50,51,51,Joe Durant,67,0.29600000000000004,16.846,57
51,52,52,Aron Price,70,0.29100000000000004,18.033,62
52,53,53,Dustin Johnson,83,0.28800000000000003,18.12,63
53,54,54,Charlie Wi,95,0.28,24.891,89
54,55,55,Rory McIlroy,54,0.271,10.835999999999999,40
55,56,56,Garrett Willis,82,0.261,18.557000000000002,71
56,57,57,Bo Van Pelt,104,0.26,22.641,87
57,58,58,Jerry Kelly,99,0.24600000000000002,20.185,82
58,59,59,Paul Goydos,78,0.244,16.121,66
59,60,60,Bryce Molder,84,0.235,17.137,73
60,61,61,Rich Barcelo,70,0.228,13.242,58
61,62,62,Tom Pernice Jr.,74,0.225,13.07,58
62,63,63,Zach Johnson,93,0.221,16.590999999999998,75
63,64,64,Michael Bradley,77,0.21899999999999997,14.877,68
64,65,65,Jeff Quinney,91,0.207,16.594,80
65,66,66,David Duval,71,0.20199999999999999,11.296,56
66,67,67,Sergio Garcia,58,0.19899999999999998,7.157,36
67,68,68,Sean O'Hair,84,0.198,12.899000000000001,65
68,69,69,Chris DiMarco,88,0.196,15.289000000000001,78
69,70,70,Lee Janzen,77,0.192,13.434000000000001,70
70,71,71,D.A. Points,90,0.191,15.088,79
71,72,72,Retief Goosen,75,0.185,9.788,53
72,73,73,Shaun Micheel,70,0.182,9.624,53
73,74,74,Garth Mulroy,53,0.17800000000000002,7.462000000000001,42
74,75,75,Will MacKenzie,72,0.177,12.056,68
75,76,76,Jason Dufner,87,0.17600000000000002,12.171,69
76,77,77,George McNeill,79,0.175,12.232000000000001,70
77,78,78,Justin Rose,78,0.168,11.734000000000002,70
78,79,79,Brian Gay,101,0.159,13.004000000000001,82
79,80,80,Dean Wilson,54,0.158,7.436,47
80,81,81,Kenny Perry,69,0.151,8.461,56
81,T82,T82,Bob Estes,79,0.14300000000000002,10.144,71
82,T82,T82,Martin Laird,91,0.14300000000000002,11.294,79
83,84,84,Bubba Watson,77,0.14,9.376,67
84,85,85,Lucas Glover,75,0.138,8.122,59
85,86,86,David Toms,86,0.122,8.507,70
86,87,87,Kevin Stadler,86,0.12,8.613,72
87,88,88,Graham DeLaet,88,0.111,8.45,76
88,89,89,Brett Wetterich,54,0.106,5.593999999999999,53
89,90,90,Henrik Bjornstad,72,0.096,5.671,59
90,91,91,Brian Davis,101,0.08900000000000001,7.8870000000000005,89
91,92,92,Brandt Snedeker,89,0.08800000000000001,6.606,75
92,T93,T93,Michael Connell,89,0.081,6.266,77
93,T93,T93,Nicholas Thompson,88,0.081,6.207999999999999,77
94,T95,T95,Stuart Appleby,101,0.077,6.736000000000001,88
95,T95,T95,Chris Stroud,90,0.077,5.564,72
96,97,97,Hunter Mahan,85,0.069,4.638,67
97,98,98,Jeff Overton,89,0.064,4.556,71
98,99,99,Greg Chalmers,93,0.06,5.26,87
99,T100,T100,James Nitties,92,0.057999999999999996,4.69,81
100,T100,T100,Boo Weekley,88,0.057999999999999996,4.29,74
101,T102,T102,Stephen Ames,75,0.054000000000000006,3.7539999999999996,69
102,T102,T102,Ben Curtis,78,0.054000000000000006,3.55,66
103,T102,T102,Jason Day,82,0.054000000000000006,3.8480000000000003,71
104,T102,T102,Kevin Sutherland,86,0.054000000000000006,4.231,78
105,106,106,Woody Austin,93,0.048,4.006,83
106,T107,T107,Jonathan Byrd,85,0.046,3.793,82
107,T107,T107,Charles Howell III,103,0.046,4.177,90
108,T109,T109,Troy Matteson,84,0.042,3.275,78
