,Average_Approach_Distance_-_Birdie_or_Better_RANK THIS WEEK,Average_Approach_Distance_-_Birdie_or_Better_RANK LAST WEEK,Average_Approach_Distance_-_Birdie_or_Better_PLAYER NAME,Average_Approach_Distance_-_Birdie_or_Better_ROUNDS,Average_Approach_Distance_-_Birdie_or_Better_AVG (YARDS),Average_Approach_Distance_-_Birdie_or_Better_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Birdie_or_Better_NUMBER OF APPROACH SHOTS
0,1,1,Brad Faxon,58,151.6,824303.0,151
1,2,2,Omar Uresti,74,153.0,958386.0,174
2,3,3,Brian Gay,101,154.8,1571703.0,282
3,4,4,Ben Curtis,78,155.9,1190154.0,212
4,5,5,Jerod Turner,54,157.2,696187.0,123
5,6,6,Tim Clark,88,157.6,1407050.0,248
6,7,7,Justin Leonard,89,158.2,1548834.0,272
7,8,8,Paul Goydos,78,158.5,1408971.0,247
8,9,9,Jay Williamson,76,158.7,1199533.0,210
9,10,10,Ben Crane,85,159.2,1479032.0,258
10,11,11,Brent Delahoussaye,57,159.6,809893.0,141
11,12,12,Greg Kraft,52,159.7,626616.0,109
12,13,13,Chris Riley,73,159.8,1260213.0,219
13,14,14,Dean Wilson,54,159.9,972932.0,169
14,T15,T15,Michael Bradley,77,160.1,1291111.0,224
15,T15,T15,Scott Verplank,74,160.1,1141514.0,198
16,17,17,Skip Kendall,58,160.6,890449.0,154
17,18,18,Jeff Quinney,91,160.8,1702210.0,294
18,19,19,Vance Veazey,58,161.1,858235.0,148
19,20,20,Webb Simpson,98,161.2,1961316.0,338
20,21,21,David Toms,86,161.3,1538932.0,265
21,22,22,Ryuji Imada,90,161.4,1678741.0,289
22,23,23,Tom Pernice Jr.,74,161.6,1151908.0,198
23,24,24,Justin Bolli,55,161.8,704600.0,121
24,25,25,Jeff Maggert,76,162.1,1213746.0,208
25,26,26,Kevin Johnson,62,162.2,817508.0,140
26,27,27,Bryce Molder,84,162.4,1514222.0,259
27,28,28,Craig Bowden,56,162.5,783845.0,134
28,29,29,Freddie Jacobson,83,162.8,1653087.0,282
29,30,30,Chris DiMarco,88,163.7,1543801.0,262
30,31,31,Jeev Milkha Singh,59,163.9,985296.0,167
