,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
0,1,1,Luke Donald,71,70.0,42,60,-42,-17.00
1,2,2,Brett Quigley,96,67.83,97,143,-103,-9.00
2,3,3,Rory Sabbatini,79,66.23,102,154,-106,-1.00
3,4,4,Justin Rose,78,64.96,76,117,-77,-14.00
4,5,5,Troy Merritt,86,64.83,94,145,-101,+5.00
5,6,6,Steve Stricker,73,64.29,54,84,-59,-30.00
6,7,7,Bo Van Pelt,104,64.13,118,184,-124,-15.00
7,8,8,Pat Perez,90,63.92,101,158,-104,E
8,9,9,Padraig Harrington,57,63.86,53,83,-58,-10.00
9,10,10,Paul Casey,64,63.75,51,80,-58,-11.00
10,11,11,John Mallinger,78,63.64,63,99,-67,-4.00
11,12,12,Charles Howell III,103,63.58,103,162,-108,-16.00
12,13,13,Matt Kuchar,97,63.57,89,140,-94,-28.00
13,14,14,Rich Barcelo,70,63.53,54,85,-60,+11.00
14,15,15,Bubba Watson,77,63.47,106,167,-117,+3.00
15,16,16,Jonathan Byrd,85,63.45,92,145,-98,-4.00
16,17,17,Alex Prugh,88,63.19,103,163,-113,+4.00
17,18,18,John Merrick,109,62.94,107,170,-110,-17.00
18,19,19,Retief Goosen,75,62.62,67,107,-70,-16.00
19,20,20,Daniel Chopra,74,62.6,82,131,-87,-9.00
20,21,21,K.J. Choi,82,62.5,55,88,-59,-24.00
21,22,22,Tom Gillis,97,62.22,112,180,-120,-26.00
22,23,23,Steve Wheatcroft,74,62.14,64,103,-66,+5.00
23,24,24,Chris Stroud,90,61.98,75,121,-77,-5.00
24,25,25,Steve Marino,81,61.86,73,118,-77,-3.00
25,26,26,Matt Bettencourt,91,61.81,89,144,-103,-1.00
26,27,27,Davis Love III,79,61.65,82,133,-88,-19.00
27,28,28,Cliff Kresge,50,61.29,38,62,-41,-7.00
28,29,29,J.B. Holmes,100,61.19,134,219,-146,E
29,30,30,Kevin Na,94,61.16,74,121,-77,-18.00
30,31,31,Webb Simpson,98,61.07,80,131,-83,-34.00
31,32,32,Paul Stankowski,62,61.05,58,95,-59,-7.00
32,33,33,Camilo Villegas,78,61.02,72,118,-77,-2.00
33,34,34,Phil Mickelson,76,60.96,89,146,-94,-5.00
34,35,35,Brendon de Jonge,114,60.9,95,156,-103,-13.00
35,36,36,Matt Jones,89,60.76,96,158,-104,-11.00
36,37,37,Trevor Immelman,55,60.71,34,56,-37,-6.00
37,38,38,George McNeill,79,60.63,77,127,-82,+1.00
38,39,39,Sean O'Hair,84,60.31,79,131,-86,-3.00
39,40,40,Justin Leonard,89,60.27,44,73,-47,-23.00
40,41,41,Bob Estes,79,60.2,59,98,-61,-11.00
41,42,42,Briny Baird,87,60.18,68,113,-72,-26.00
42,43,43,Robert Allenby,76,60.17,71,118,-77,-11.00
43,44,44,Mike Weir,59,60.0,33,55,-37,-6.00
44,45,45,Johnson Wagner,85,59.83,70,117,-73,-5.00
45,46,46,Ernie Els,72,59.81,64,107,-66,-13.00
46,47,47,Graham DeLaet,88,59.78,107,179,-112,+9.00
47,48,48,Steve Flesch,78,59.77,52,87,-58,-24.00
48,49,49,Garth Mulroy,53,59.57,56,94,-60,-6.00
49,50,50,Charley Hoffman,85,59.47,113,190,-121,-3.00
50,51,51,Marc Leishman,87,59.44,85,143,-88,-7.00
51,T52,T52,Lucas Glover,75,59.26,80,135,-85,+1.00
52,T52,T52,Rocco Mediate,71,59.26,48,81,-50,-16.00
53,54,54,J.P. Hayes,79,59.14,55,93,-60,-21.00
54,55,55,Michael Sim,64,58.9,43,73,-44,-1.00
55,T56,T56,Jim Furyk,76,58.82,50,85,-52,-24.00
56,T56,T56,Vaughn Taylor,87,58.82,80,136,-84,-25.00
57,58,58,Martin Laird,91,58.73,111,189,-122,E
58,59,59,Nick Watney,91,58.64,95,162,-102,-4.00
59,60,60,Nathan Green,86,58.47,69,118,-71,-5.00
60,61,61,Josh Teater,101,58.43,97,166,-102,-3.00
61,62,62,Sergio Garcia,58,58.33,42,72,-42,-3.00
62,T63,T63,Joe Ogilvie,99,58.28,88,151,-95,-18.00
63,T63,T63,John Rollins,81,58.28,95,163,-100,-9.00
64,65,65,Woody Austin,93,58.27,74,127,-80,-22.00
65,66,66,Stuart Appleby,101,58.22,85,146,-91,-9.00
66,T67,T67,Aaron Baddeley,94,58.14,125,215,-136,-3.00
67,T67,T67,Stewart Cink,84,58.14,75,129,-79,-16.00
68,T69,T69,Tim Clark,88,58.06,36,62,-37,-45.00
69,T69,T69,Jason Dufner,87,58.06,72,124,-80,+2.00
70,71,71,Martin Flores,75,58.0,87,150,-91,+13.00
71,72,72,Ryan Palmer,84,57.97,80,138,-86,+8.00
72,73,73,Jeff Quinney,91,57.95,51,88,-54,-13.00
73,74,74,James Driscoll,78,57.76,93,161,-98,+4.00
74,75,75,Kevin Streelman,90,57.59,91,158,-95,-5.00
75,76,76,Lee Janzen,77,57.58,57,99,-61,-19.00
76,T77,T77,Bill Lunde,79,57.38,70,122,-78,+9.00
77,T77,T77,Chris Tidland,77,57.38,70,122,-71,-14.00
78,79,79,Jason Day,82,57.34,82,143,-87,+6.00
79,T80,T80,Blake Adams,84,57.14,60,105,-63,-9.00
80,T80,T80,Jason Bohn,84,57.14,64,112,-68,-24.00
81,T80,T80,Michael Connell,89,57.14,52,91,-59,-28.00
82,83,83,Bill Haas,87,57.05,89,156,-97,-15.00
83,84,84,Bryce Molder,84,56.96,45,79,-48,-27.00
84,85,85,Vijay Singh,75,56.86,58,102,-62,-15.00
85,86,86,Michael Letzig,84,56.76,84,148,-91,-6.00
86,87,87,Kenny Perry,69,56.73,59,104,-62,-6.00
