,Average_Going_for_it_Shot_Distance_in_Yards_RANK THIS WEEK,Average_Going_for_it_Shot_Distance_in_Yards_RANK LAST WEEK,Average_Going_for_it_Shot_Distance_in_Yards_PLAYER NAME,Average_Going_for_it_Shot_Distance_in_Yards_EVENTS,Average_Going_for_it_Shot_Distance_in_Yards_AVG,Average_Going_for_it_Shot_Distance_in_Yards_DISTANCE (IN INCHES),Average_Going_for_it_Shot_Distance_in_Yards_ATTEMPTS
0,1,1,K.J. Choi,22,244.6,774991.0,88
1,T2,T2,Tim Clark,24,244.8,546328.0,62
2,T2,T2,Trevor Immelman,19,244.8,493443.0,56
3,4,4,Boo Weekley,27,246.5,1286779.0,145
4,5,5,Mike Weir,19,247.2,489530.0,55
5,6,6,Steve Stricker,19,247.3,747910.0,84
6,7,7,Dustin Johnson,23,247.4,1576642.0,177
7,T8,T8,Matt Bettencourt,32,248.5,1288125.0,144
8,T8,T8,Stewart Cink,23,248.5,1154265.0,129
9,T10,T10,Marc Leishman,26,248.7,1280496.0,143
10,T10,T10,George McNeill,28,248.7,1137083.0,127
11,12,12,Stephen Ames,23,249.0,950222.0,106
12,13,13,Davis Love III,24,249.1,1192842.0,133
13,14,14,Bo Van Pelt,28,249.2,1650419.0,184
14,15,15,Derek Lamely,28,249.5,1023896.0,114
15,16,16,Luke Donald,20,250.1,540242.0,60
16,17,17,Jim Furyk,21,250.2,765709.0,85
17,18,18,Bill Haas,25,250.4,1406276.0,156
18,19,19,Lucas Glover,23,250.5,1217625.0,135
19,20,20,Robert Allenby,22,250.6,1064365.0,118
20,T21,T21,Blake Adams,26,251.3,949735.0,105
21,T21,T21,D.J. Trahan,27,251.3,1764022.0,195
22,T23,T23,Mark Calcavecchia,16,251.5,579511.0,64
23,T23,T23,Bob Estes,26,251.5,887400.0,98
24,T25,T25,Alex Prugh,28,251.7,1476999.0,163
25,T25,T25,Camilo Villegas,20,251.7,1069351.0,118
26,T27,T27,Justin Rose,22,251.9,1061127.0,117
27,T27,T27,Scott Verplank,22,251.9,671085.0,74
28,29,29,Michael Letzig,27,252.0,1342619.0,148
29,30,30,Graham DeLaet,28,252.1,1624571.0,179
30,31,31,Roland Thatcher,26,252.2,1144173.0,126
31,32,32,Greg Owen,27,252.4,990488.0,109
32,33,33,Woody Austin,29,252.5,1154415.0,127
33,34,34,J.B. Holmes,26,252.6,1991734.0,219
34,35,35,Jonathan Byrd,26,252.7,1319021.0,145
35,T36,T36,Michael Bradley,24,252.8,773640.0,85
36,T36,T36,Richard Johnson,27,252.8,791852.0,87
