,GIR_Percentage_from_Fairway_RANK THIS WEEK,GIR_Percentage_from_Fairway_RANK LAST WEEK,GIR_Percentage_from_Fairway_PLAYER NAME,GIR_Percentage_from_Fairway_ROUNDS,GIR_Percentage_from_Fairway_%,GIR_Percentage_from_Fairway_GREENS HIT,GIR_Percentage_from_Fairway_# OF HOLES
0,1,1,Charles Warren,64,82.77,442,534
1,2,2,Kevin Sutherland,86,81.58,651,798
2,3,3,Cameron Tringale,55,81.3,326,401
3,4,4,Pat Perez,90,81.22,666,820
4,5,5,Joe Durant,67,81.06,522,644
5,6,6,Brett Quigley,96,81.03,645,796
6,7,7,D.J. Trahan,92,80.86,638,789
7,8,8,Dustin Johnson,83,80.83,527,652
8,9,9,Paul Casey,64,80.75,407,504
9,10,10,Lucas Glover,75,80.64,529,656
10,11,11,John Senden,103,80.52,781,970
11,12,12,Graham DeLaet,88,80.41,595,740
12,13,13,Adam Scott,70,80.37,483,601
13,T14,T14,Chad Campbell,94,80.34,719,895
14,T14,T14,Greg Owen,69,80.34,474,590
15,16,16,Briny Baird,87,80.29,607,756
16,17,17,Mathew Goggin,85,80.26,622,775
17,18,18,Scott Piercy,88,80.23,552,688
18,19,19,Chris Stroud,90,80.22,576,718
19,20,20,Brenden Pappas,66,80.13,379,473
20,21,21,John Merrick,109,80.04,754,942
21,22,22,Charles Howell III,103,80.03,601,751
22,23,23,Josh Teater,101,79.93,701,877
23,24,24,Troy Matteson,84,79.89,568,711
24,25,25,Alex Prugh,88,79.83,558,699
25,26,26,Bob Estes,79,79.79,537,673
26,27,27,James Driscoll,78,79.77,493,618
27,28,28,Aron Price,70,79.7,479,601
28,29,29,Rocco Mediate,71,79.66,521,654
29,30,30,Bo Van Pelt,104,79.64,759,953
30,31,31,Brendon de Jonge,114,79.59,768,965
31,32,32,Andrew McLardy,52,79.56,327,411
32,33,33,Jeff Overton,89,79.46,526,662
33,34,34,Rory McIlroy,54,79.39,366,461
34,35,35,Matt Kuchar,97,79.38,720,907
35,36,36,Garth Mulroy,53,79.23,328,414
36,37,37,Ernie Els,72,79.22,469,592
37,38,38,Matt Jones,89,79.18,559,706
38,39,39,Brett Wetterich,54,79.13,345,436
39,40,40,Jonathan Byrd,85,79.12,576,728
40,41,41,Spencer Levin,110,79.11,731,924
41,42,42,Kenny Perry,69,79.08,514,650
42,43,43,Roger Tambellini,77,79.0,474,600
43,44,44,Steve Marino,81,78.93,558,707
44,45,45,Paul Stankowski,62,78.9,389,493
45,T46,T46,Henrik Bjornstad,72,78.82,469,595
46,T46,T46,Mark Wilson,87,78.82,629,798
47,T48,T48,Retief Goosen,75,78.79,509,646
48,T48,T48,Cameron Percy,73,78.79,442,561
49,50,50,Jeff Gove,57,78.75,352,447
50,51,51,Freddie Jacobson,83,78.64,567,721
51,52,52,Geoff Ogilvy,62,78.53,384,489
52,53,53,Jason Day,82,78.5,522,665
53,54,54,Rickie Fowler,98,78.46,692,882
54,55,55,Michael Bradley,77,78.44,484,617
55,56,56,Boo Weekley,88,78.4,588,750
56,T57,T57,Stewart Cink,84,78.28,566,723
57,T57,T57,Steve Elkington,74,78.28,501,640
58,59,59,Ricky Barnes,103,78.21,657,840
59,60,60,Johnson Wagner,85,78.19,552,706
60,61,61,Vijay Singh,75,78.18,516,660
61,T62,T62,J.J. Henry,92,78.16,594,760
62,T62,T62,Tim Petrovic,105,78.16,773,989
63,64,64,Kris Blanks,91,78.14,604,773
64,65,65,Jarrod Lyle,54,78.13,318,407
65,66,66,Martin Laird,91,78.02,600,769
66,67,67,Aaron Baddeley,94,78.0,578,741
67,68,68,Richard Johnson,90,77.97,637,817
68,69,69,Matt Every,60,77.96,389,499
69,70,70,Davis Love III,79,77.95,555,712
70,71,71,Trevor Immelman,55,77.94,385,494
71,72,72,Will MacKenzie,72,77.93,519,666
72,73,73,Robert Garrigus,71,77.87,394,506
73,74,74,Charley Hoffman,85,77.81,554,712
74,75,75,K.J. Choi,82,77.78,560,720
75,76,76,Tim Herron,79,77.76,423,544
76,77,77,Roland Thatcher,72,77.7,467,601
77,78,78,Tom Pernice Jr.,74,77.65,483,622
78,79,79,Michael Letzig,84,77.63,576,742
79,80,80,Charlie Wi,95,77.59,658,848
80,81,81,Billy Mayfair,78,77.55,532,686
81,82,82,Jimmy Walker,82,77.48,430,555
82,83,83,Vaughn Taylor,87,77.42,641,828
83,84,84,Hunter Mahan,85,77.4,620,801
84,85,85,Robert Allenby,76,77.37,523,676
85,86,86,Nick Watney,91,77.32,600,776
86,87,87,Bubba Watson,77,77.3,463,599
87,88,88,Bill Haas,87,77.28,602,779
88,89,89,Sean O'Hair,84,77.27,571,739
89,90,90,Stephen Ames,75,77.26,530,686
90,T91,T91,Martin Flores,75,77.22,383,496
91,T91,T91,Chris Riley,73,77.22,495,641
92,93,93,Garrett Willis,82,77.12,590,765
93,94,94,John Rollins,81,77.08,565,733
94,T95,T95,Michael Connell,89,76.99,552,717
95,T95,T95,Chris DiMarco,88,76.99,629,817
96,97,97,Vance Veazey,58,76.98,311,404
