,Greens_or_Fringe_in_Regulation_RANK THIS WEEK,Greens_or_Fringe_in_Regulation_RANK LAST WEEK,Greens_or_Fringe_in_Regulation_PLAYER NAME,Greens_or_Fringe_in_Regulation_ROUNDS,Greens_or_Fringe_in_Regulation_%,Greens_or_Fringe_in_Regulation_TOTAL HIT,Greens_or_Fringe_in_Regulation_TOTAL ATTEMPTS,Greens_or_Fringe_in_Regulation_RTP SCORE
0,1,1,John Senden,103,77.52,1214,1566,-269.0
1,2,2,Charles Warren,64,76.67,759,990,-175.0
2,3,3,Joe Durant,67,76.51,785,1026,-178.0
3,4,4,Troy Matteson,84,76.28,1071,1404,-219.0
4,5,5,Kris Blanks,91,75.83,1010,1332,-191.0
5,6,6,D.J. Trahan,92,75.68,1117,1476,-263.0
6,7,7,Kevin Sutherland,86,75.64,1062,1404,-237.0
7,8,8,Cameron Percy,73,75.61,803,1062,-165.0
8,9,9,Mark Wilson,87,75.39,1072,1422,-224.0
9,10,10,Graham DeLaet,88,75.29,1030,1368,-240.0
10,T11,T11,Garth Mulroy,53,75.26,569,756,-113.0
11,T11,T11,Paul Stankowski,62,75.26,718,954,-186.0
12,13,13,Kenny Perry,69,75.1,757,1008,-168.0
13,14,14,Bill Haas,87,75.04,1013,1350,-253.0
14,15,15,Garrett Willis,82,74.96,958,1278,-215.0
15,16,16,Davis Love III,79,74.83,889,1188,-209.0
16,17,17,Cameron Tringale,55,74.81,606,810,-118.0
17,T18,T18,Brendon de Jonge,114,74.54,1221,1638,-320.0
18,T18,T18,Chris Stroud,90,74.54,966,1296,-218.0
19,20,20,Jonathan Byrd,85,74.53,1100,1476,-263.0
20,21,21,Steve Stricker,73,74.4,750,1008,-226.0
21,T22,T22,J.J. Henry,92,74.33,1057,1422,-242.0
22,T22,T22,Tom Pernice Jr.,74,74.33,776,1044,-174.0
23,T24,T24,Rocco Mediate,71,74.32,816,1098,-160.0
24,T24,T24,Boo Weekley,88,74.32,990,1332,-208.0
25,26,26,Nick Watney,91,74.24,922,1242,-261.0
26,27,27,Rickie Fowler,98,74.23,1109,1494,-285.0
27,28,28,Bo Van Pelt,104,74.2,1162,1566,-304.0
28,29,29,Chad Campbell,94,74.14,1081,1458,-254.0
29,30,30,John Merrick,109,74.09,1227,1656,-280.0
30,31,31,Matt Kuchar,97,74.07,1000,1350,-298.0
31,32,32,Briny Baird,87,74.05,1053,1422,-210.0
