,Birdie_or_Better_Percentage_-_150-175_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_150-175_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_150-175_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_150-175_ya_ROUNDS,Birdie_or_Better_Percentage_-_150-175_ya_%,Birdie_or_Better_Percentage_-_150-175_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_150-175_ya_TOTAL HOLES
0,1,1,Geoff Ogilvy,62,24.14,42,174
1,2,2,Luke Donald,71,22.73,40,176
2,3,3,Jeff Quinney,91,21.63,61,282
3,4,4,Kevin Na,94,20.07,59,294
4,5,5,Ben Curtis,78,19.76,50,253
5,6,6,Charlie Wi,95,19.73,73,370
6,7,7,Dustin Johnson,83,19.65,45,229
7,8,8,Stephen Ames,75,19.63,53,270
8,9,9,Zach Johnson,93,19.34,53,274
9,10,10,Michael Sim,64,19.16,41,214
10,11,11,Matt Kuchar,97,19.1,51,267
11,12,12,Spencer Levin,110,18.9,72,381
12,13,13,Carl Pettersson,99,18.67,62,332
13,14,14,Tom Gillis,97,18.44,59,320
14,15,15,Joe Durant,67,18.35,40,218
15,16,16,Hunter Mahan,85,18.22,45,247
16,17,17,Shaun Micheel,70,18.18,42,231
17,18,18,Ryan Palmer,84,18.07,45,249
18,19,19,Ryuji Imada,90,17.88,59,330
19,20,20,Henrik Bjornstad,72,17.87,42,235
20,21,21,Rickie Fowler,98,17.82,54,303
21,22,22,Y.E. Yang,72,17.81,39,219
22,23,23,Charley Hoffman,85,17.77,51,287
23,T24,T24,Craig Bowden,56,17.72,28,158
24,T24,T24,Aron Price,70,17.72,42,237
25,26,26,Paul Goydos,78,17.67,41,232
26,27,27,Pat Perez,90,17.53,54,308
27,28,28,D.J. Trahan,92,17.5,56,320
28,29,29,Jimmy Walker,82,17.47,47,269
29,30,30,Tim Clark,88,17.43,42,241
30,31,31,Will MacKenzie,72,17.42,46,264
31,32,32,Marc Leishman,87,17.38,49,282
32,T33,T33,Michael Connell,89,17.3,55,318
33,T33,T33,Dean Wilson,54,17.3,32,185
34,35,35,Chris Wilson,65,17.2,32,186
35,36,36,Skip Kendall,58,17.11,32,187
36,37,37,Robert Allenby,76,17.08,41,240
37,38,38,Paul Casey,64,17.06,29,170
38,39,39,Brian Davis,101,17.05,60,352
39,40,40,Freddie Jacobson,83,17.0,51,300
40,41,41,Jeff Overton,89,16.88,40,237
41,42,42,Jason Bohn,84,16.85,45,267
42,43,43,Webb Simpson,98,16.76,62,370
43,44,44,Chris Couch,66,16.75,35,209
44,45,45,Chris Riley,73,16.74,39,233
45,46,46,Sean O'Hair,84,16.59,36,217
46,47,47,Bryce Molder,84,16.56,50,302
47,48,48,Steve Marino,81,16.52,37,224
48,49,49,Brenden Pappas,66,16.5,33,200
49,50,50,Jeff Gove,57,16.48,30,182
50,51,51,Steve Wheatcroft,74,16.43,35,213
51,52,52,Jerod Turner,54,16.42,22,134
52,T53,T53,Lucas Glover,75,16.37,37,226
53,T53,T53,Ryan Moore,80,16.37,37,226
54,55,55,Michael Letzig,84,16.29,50,307
55,56,56,Blake Adams,84,16.21,47,290
56,57,57,Rocco Mediate,71,16.2,35,216
57,58,58,Brandt Snedeker,89,16.19,45,278
58,59,59,Ricky Barnes,103,16.15,52,322
59,60,60,K.J. Choi,82,16.14,36,223
60,61,61,Rory Sabbatini,79,16.06,40,249
61,62,62,Jeff Maggert,76,16.03,42,262
62,63,63,Brad Faxon,58,16.02,29,181
63,64,64,Vaughn Taylor,87,15.96,49,307
64,65,65,Alex Prugh,88,15.9,45,283
65,66,66,Brendon de Jonge,114,15.88,54,340
66,67,67,Tom Pernice Jr.,74,15.86,36,227
67,T68,T68,Ben Crane,85,15.79,36,228
68,T68,T68,Mike Weir,59,15.79,21,133
69,70,70,Chris Tidland,77,15.75,40,254
70,71,71,Cameron Tringale,55,15.72,25,159
71,T72,T72,Justin Leonard,89,15.69,43,274
72,T72,T72,Nicholas Thompson,88,15.69,43,274
73,T74,T74,Jason Day,82,15.64,43,275
74,T74,T74,Vijay Singh,75,15.64,33,211
75,76,76,Cameron Percy,73,15.6,34,218
76,77,77,George McNeill,79,15.59,46,295
77,T78,T78,Nathan Green,86,15.58,48,308
78,T78,T78,Martin Laird,91,15.58,48,308
79,T80,T80,Stewart Cink,84,15.56,42,270
80,T80,T80,Tim Herron,79,15.56,40,257
81,82,82,Mark Calcavecchia,50,15.45,19,123
82,83,83,Ángel Cabrera,64,15.43,27,175
83,84,84,Andres Romero,73,15.41,41,266
84,85,85,Joe Ogilvie,99,15.34,48,313
85,86,86,Justin Rose,78,15.33,42,274
86,T87,T87,Robert Garrigus,71,15.32,34,222
87,T87,T87,Bubba Watson,77,15.32,36,235
88,89,89,Phil Mickelson,76,15.3,28,183
89,90,90,John Rollins,81,15.18,46,303
90,91,91,Vance Veazey,58,15.17,27,178
91,92,92,Tim Petrovic,105,15.15,55,363
92,93,93,Steve Elkington,74,15.13,36,238
93,94,94,Brett Quigley,96,15.11,55,364
94,T95,T95,Graham DeLaet,88,15.04,40,266
95,T95,T95,Heath Slocum,97,15.04,40,266
96,97,97,Greg Chalmers,93,15.02,47,313
97,T98,T98,Ted Purdy,86,15.0,42,280
98,T98,T98,Nick Watney,91,15.0,36,240
99,100,100,Kenny Perry,69,14.9,31,208
100,101,101,David Toms,86,14.87,40,269
101,102,102,Steve Stricker,73,14.86,33,222
102,103,103,Mathias Grönberg,61,14.84,27,182
103,104,104,Johnson Wagner,85,14.83,47,317
104,105,105,Kevin Streelman,90,14.74,42,285
105,106,106,Jim Furyk,76,14.66,34,232
106,T107,T107,Retief Goosen,75,14.63,30,205
107,T107,T107,Davis Love III,79,14.63,42,287
